District,Poll Number,Poll Name,Bob Besner,Aisha Coghlan,Ron Gray,Rollie L. Keith,Dorothy-Jean O'Donnell,Norm Siefken,Chuck Strahl,Rejected Ballots,Total Vote,Electors
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,1,Squamish,Void,,,,,,,,,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,2,Pemberton Meadows,45,15,2,22,0,7,42,0,133,177
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,3,Whistler,Void,,,,,,,,,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,4,Whistler,Void,,,,,,,,,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,5,Pemberton,55,21,0,34,0,5,35,0,150,270
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,6,Mount Currie 6,51,26,0,65,2,10,37,0,191,570
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,7A,Pemberton,80,27,0,36,1,9,48,2,203,391
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,7B,Pemberton,64,29,1,55,0,3,52,0,204,360
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,7C,Pemberton,69,30,1,39,0,8,54,1,202,389
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,7D,Pemberton,80,27,3,46,1,2,55,0,214,384
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,8,D'Arcy,24,25,4,40,1,13,67,0,174,339
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,9,Gold Bridge,17,7,1,32,0,5,57,0,119,170
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,10,Lillooet,19,6,0,64,0,5,45,0,139,315
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,11A,Shalalth,11,5,0,21,1,1,24,0,63,215
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,11B,Shalalth,19,5,4,66,0,3,27,0,124,230
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,12,Lillooet,31,5,0,85,1,1,31,0,154,309
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,13,Lillooet,16,5,2,28,0,2,55,0,108,220
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,14,Lillooet,33,8,6,52,0,3,71,0,173,367
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,15,Lillooet,12,6,1,42,3,3,36,0,103,347
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,16,Lillooet,47,6,7,70,1,3,96,1,231,428
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,17,Lillooet,11,3,0,33,1,5,39,0,92,193
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,18,Fountain,3,4,0,43,1,5,10,0,66,200
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,19,Clinton,Void,,,,,,,,,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,20,Cache Creek,37,3,0,27,0,1,55,0,123,220
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,21,Cache Creek,19,1,3,32,1,1,55,2,114,266
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,22A,Cache Creek,33,5,2,21,0,3,89,2,155,314
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,22B,Cache Creek,30,7,3,22,0,0,73,1,136,304
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,23,Walhachin,7,0,6,6,1,1,18,0,39,96
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,24,Ashcroft,51,4,3,59,0,6,65,0,188,338
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,25,Ashcroft,50,8,0,45,0,5,105,0,213,376
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,26,Ashcroft,48,8,4,74,0,1,111,1,247,389
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,27,Ashcroft,58,8,5,72,0,4,113,1,261,441
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,28,Spences Bridge,38,9,2,51,1,4,37,0,142,211
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,29,Boston Bar,8,2,0,20,0,2,31,0,63,215
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,30,Lytton,32,24,2,76,3,6,44,1,188,352
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,31,Lytton,16,18,2,116,6,4,29,0,191,430
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,32,Skookumchuck,Void,,,,,,,,,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,33,Chehalis 5,36,11,5,82,0,5,50,0,189,391
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,34A,Harrison Hot Springs,40,10,2,46,1,1,89,0,189,307
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,34B,Harrison Hot Springs,52,7,3,34,0,3,76,0,175,309
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,35A,Harrison Hot Springs,51,5,2,45,2,0,82,0,187,285
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,35B,Harrison Hot Springs,44,7,3,47,1,0,90,0,192,276
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,36,Kent,51,10,9,38,1,3,123,1,236,439
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,37,Kent,28,9,18,28,0,4,91,0,178,346
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,38,Kent,44,8,11,34,0,3,86,0,186,337
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,39,Kent,40,5,5,49,0,2,124,1,226,376
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,40,Kent,58,7,6,50,1,2,116,0,240,394
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,41A,Kent,40,2,7,36,1,0,135,0,221,336
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,41B,Kent,36,8,1,40,0,2,75,0,162,274
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,42,Kent,53,6,11,32,0,2,137,0,241,360
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,43,Kent,40,9,6,41,2,7,84,0,189,327
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,44,Seabird Island ,45,2,3,46,1,6,33,1,137,290
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,45,North Bend,23,9,0,51,2,6,97,0,188,360
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,46,Yale,18,9,0,43,2,1,35,0,108,214
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,47,Ruby Creek,30,7,1,68,1,7,54,3,171,436
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,48,Kawkawa Lake 16,43,8,1,76,1,7,116,0,252,443
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,49A,Kawkawa Lake 16,23,4,2,45,0,2,88,0,164,292
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,49B,Kawkawa Lake 16,17,5,2,46,0,3,72,0,145,302
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,50,Hope,44,9,3,62,1,1,129,0,249,420
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,51,Hope,31,5,1,64,1,6,91,0,199,342
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,52,Hope,12,4,2,62,0,5,94,0,179,293
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,53,Hope,32,12,5,60,1,2,98,0,210,379
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,54,Hope,16,7,7,56,0,2,56,2,146,387
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,55A,Hope,17,5,1,60,0,2,55,0,140,318
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,55B,Hope,31,6,6,56,1,2,73,0,175,334
