District,Poll Number,Poll Name,Shawn McKee,Kelsey Pearson,Del Price,Gerry Ritz,Diane Stephan,Rejected Ballots,Total Vote,Electors
Battlefords--Lloydminster/Battlefords--Lloydminster,1A,Onion Lake,34,5,33,13,0,0,85,564
Battlefords--Lloydminster/Battlefords--Lloydminster,1B,Onion Lake,49,2,28,4,0,0,83,423
Battlefords--Lloydminster/Battlefords--Lloydminster,2,Fort Pitt,11,5,2,106,0,0,124,224
Battlefords--Lloydminster/Battlefords--Lloydminster,3,Bolney,17,3,9,191,1,0,221,391
Battlefords--Lloydminster/Battlefords--Lloydminster,4,Paradise Hill,24,4,14,106,0,0,148,252
Battlefords--Lloydminster/Battlefords--Lloydminster,5,St. Walburg,31,6,29,157,0,0,223,486
Battlefords--Lloydminster/Battlefords--Lloydminster,6,St. Walburg,36,2,19,126,0,2,185,304
Battlefords--Lloydminster/Battlefords--Lloydminster,7,Mervin,9,0,7,40,1,1,58,98
Battlefords--Lloydminster/Battlefords--Lloydminster,8,Elmhurst,29,3,22,52,2,0,108,152
Battlefords--Lloydminster/Battlefords--Lloydminster,9,Spruce Lake,5,3,15,65,1,1,90,163
Battlefords--Lloydminster/Battlefords--Lloydminster,10,Thunderchild,17,0,25,1,0,1,44,382
Battlefords--Lloydminster/Battlefords--Lloydminster,11,Turtleford,26,3,13,70,1,0,113,186
Battlefords--Lloydminster/Battlefords--Lloydminster,12A,Turtleford,20,7,23,76,0,0,126,297
Battlefords--Lloydminster/Battlefords--Lloydminster,12B,Turtleford,17,3,18,52,1,0,91,237
Battlefords--Lloydminster/Battlefords--Lloydminster,13,Livelong,69,7,39,175,2,1,293,419
Battlefords--Lloydminster/Battlefords--Lloydminster,14,Mervin,40,5,13,90,1,1,150,234
Battlefords--Lloydminster/Battlefords--Lloydminster,15,Glaslyn,36,3,26,105,3,2,175,277
Battlefords--Lloydminster/Battlefords--Lloydminster,16,Glaslyn,37,2,31,93,2,0,165,387
Battlefords--Lloydminster/Battlefords--Lloydminster,17,Medstead,44,15,29,238,3,0,329,460
Battlefords--Lloydminster/Battlefords--Lloydminster,18,Edam,10,0,18,74,1,0,103,145
Battlefords--Lloydminster/Battlefords--Lloydminster,19,Edam,35,1,32,139,3,0,210,351
Battlefords--Lloydminster/Battlefords--Lloydminster,20,Vawn,18,3,21,79,3,0,124,193
Battlefords--Lloydminster/Battlefords--Lloydminster,21,Meota,53,8,76,190,2,0,329,526
Battlefords--Lloydminster/Battlefords--Lloydminster,22,Cochin,40,5,58,96,1,0,200,467
Battlefords--Lloydminster/Battlefords--Lloydminster,23,Prince,8,1,17,37,1,0,64,172
Battlefords--Lloydminster/Battlefords--Lloydminster,24,Saulteaux,10,0,30,3,0,0,43,152
Battlefords--Lloydminster/Battlefords--Lloydminster,25,Moosimin,14,0,44,5,0,0,63,256
Battlefords--Lloydminster/Battlefords--Lloydminster,26,Rabbit Lake,19,13,23,109,2,0,166,303
Battlefords--Lloydminster/Battlefords--Lloydminster,27,Whitkow,26,1,9,36,0,0,72,121
Battlefords--Lloydminster/Battlefords--Lloydminster,28,Hamlin,29,4,28,138,3,0,202,341
Battlefords--Lloydminster/Battlefords--Lloydminster,29,Denholm,16,6,23,81,2,1,129,226
Battlefords--Lloydminster/Battlefords--Lloydminster,30,North Battleford,54,3,76,160,5,0,298,514
Battlefords--Lloydminster/Battlefords--Lloydminster,31,North Battleford,54,1,33,97,1,0,186,441
Battlefords--Lloydminster/Battlefords--Lloydminster,32,North Battleford,47,4,47,115,3,0,216,359
Battlefords--Lloydminster/Battlefords--Lloydminster,33,North Battleford,51,3,38,85,1,0,178,339
Battlefords--Lloydminster/Battlefords--Lloydminster,34,North Battleford,47,3,58,101,2,1,212,375
Battlefords--Lloydminster/Battlefords--Lloydminster,35,North Battleford,45,7,42,75,1,1,171,456
Battlefords--Lloydminster/Battlefords--Lloydminster,36,North Battleford,72,4,42,100,4,1,223,344
Battlefords--Lloydminster/Battlefords--Lloydminster,37,North Battleford,43,7,33,58,1,1,143,262
Battlefords--Lloydminster/Battlefords--Lloydminster,38,North Battleford,36,4,30,63,2,1,136,368
Battlefords--Lloydminster/Battlefords--Lloydminster,39,North Battleford,47,6,32,84,0,0,169,339
Battlefords--Lloydminster/Battlefords--Lloydminster,40,North Battleford,50,8,25,68,1,0,152,325
Battlefords--Lloydminster/Battlefords--Lloydminster,41,North Battleford,44,2,52,70,3,1,172,352
Battlefords--Lloydminster/Battlefords--Lloydminster,42,North Battleford,52,6,34,80,1,1,174,416
Battlefords--Lloydminster/Battlefords--Lloydminster,43,North Battleford,25,5,12,29,1,0,72,288
Battlefords--Lloydminster/Battlefords--Lloydminster,44,North Battleford,63,4,39,100,5,1,212,388
Battlefords--Lloydminster/Battlefords--Lloydminster,45,North Battleford,69,5,41,76,2,0,193,387
Battlefords--Lloydminster/Battlefords--Lloydminster,46,North Battleford,67,7,44,57,4,1,180,299
Battlefords--Lloydminster/Battlefords--Lloydminster,47,North Battleford,42,6,32,52,1,0,133,318
Battlefords--Lloydminster/Battlefords--Lloydminster,48,North Battleford,51,5,28,62,2,1,149,356
Battlefords--Lloydminster/Battlefords--Lloydminster,49,North Battleford,53,3,56,63,2,1,178,417
Battlefords--Lloydminster/Battlefords--Lloydminster,50,North Battleford,28,5,30,46,2,0,111,342
Battlefords--Lloydminster/Battlefords--Lloydminster,51,North Battleford,57,2,41,65,1,1,167,410
Battlefords--Lloydminster/Battlefords--Lloydminster,52,North Battleford,31,3,26,62,3,0,125,321
Battlefords--Lloydminster/Battlefords--Lloydminster,53,North Battleford,50,7,25,62,5,2,151,463
Battlefords--Lloydminster/Battlefords--Lloydminster,54,North Battleford,45,2,32,52,1,0,132,373
Battlefords--Lloydminster/Battlefords--Lloydminster,55,North Battleford,19,1,18,43,1,0,82,179
Battlefords--Lloydminster/Battlefords--Lloydminster,56,North Battleford,61,3,44,94,3,0,205,431
Battlefords--Lloydminster/Battlefords--Lloydminster,57,Northminster,14,1,10,121,1,0,147,265
Battlefords--Lloydminster/Battlefords--Lloydminster,58,Hillmond,18,1,10,141,2,1,173,299
Battlefords--Lloydminster/Battlefords--Lloydminster,59,Lloydminster,36,2,9,136,1,0,184,353
Battlefords--Lloydminster/Battlefords--Lloydminster,60,Maidstone,41,6,17,165,0,1,230,359
Battlefords--Lloydminster/Battlefords--Lloydminster,61,Maidstone,27,8,19,68,1,1,124,222
Battlefords--Lloydminster/Battlefords--Lloydminster,62,Maidstone,21,2,10,73,0,0,106,163
Battlefords--Lloydminster/Battlefords--Lloydminster,63,Maidstone,28,11,11,126,2,0,178,438
Battlefords--Lloydminster/Battlefords--Lloydminster,64A,Lloydminster,27,2,12,59,2,0,102,388
Battlefords--Lloydminster/Battlefords--Lloydminster,64B,Lloydminster,22,4,11,43,0,0,80,360
Battlefords--Lloydminster/Battlefords--Lloydminster,65,Lloydminster,49,8,35,94,1,1,188,456
Battlefords--Lloydminster/Battlefords--Lloydminster,66,Lloydminster,41,6,23,77,0,0,147,541
Battlefords--Lloydminster/Battlefords--Lloydminster,67,Lloydminster,55,7,26,95,0,1,184,442
Battlefords--Lloydminster/Battlefords--Lloydminster,68,Lloydminster,35,4,10,92,2,0,143,414
Battlefords--Lloydminster/Battlefords--Lloydminster,69,Lloydminster,24,5,11,45,1,0,86,399
Battlefords--Lloydminster/Battlefords--Lloydminster,70,Lloydminster,22,5,25,74,3,0,129,383
Battlefords--Lloydminster/Battlefords--Lloydminster,71,Lloydminster,43,4,13,124,0,2,186,547
Battlefords--Lloydminster/Battlefords--Lloydminster,72,Lloydminster,31,7,16,103,2,0,159,448
Battlefords--Lloydminster/Battlefords--Lloydminster,73,Lloydminster,40,7,19,110,2,0,178,464
Battlefords--Lloydminster/Battlefords--Lloydminster,74,Lloydminster,37,6,11,120,2,1,177,537
Battlefords--Lloydminster/Battlefords--Lloydminster,75,Lloydminster,33,6,14,89,2,0,144,494
Battlefords--Lloydminster/Battlefords--Lloydminster,76,Marshall,31,4,4,108,2,0,149,254
Battlefords--Lloydminster/Battlefords--Lloydminster,77,Marshall,28,3,5,75,0,0,111,155
Battlefords--Lloydminster/Battlefords--Lloydminster,78,Marshall,38,10,18,115,0,0,181,505
