District,Poll Number,Poll Name,Jennifer Burgis,Andrew Lewis,Gary Lunn,Mary Moreau,David Mulroney,Rejected Ballots,Total Vote,Electors
Saanich--Gulf Islands/Saanich--Gulf Islands,1,North Galiano,131,69,68,0,46,1,315,385
Saanich--Gulf Islands/Saanich--Gulf Islands,2,Ganges,58,86,51,0,39,0,234,346
Saanich--Gulf Islands/Saanich--Gulf Islands,3,Ganges,77,69,72,0,52,2,272,394
Saanich--Gulf Islands/Saanich--Gulf Islands,4,Sturdies Bay,112,70,82,0,59,0,323,464
Saanich--Gulf Islands/Saanich--Gulf Islands,5,Saturna,59,39,57,2,38,2,197,263
Saanich--Gulf Islands/Saanich--Gulf Islands,6,Ganges,7,30,27,0,18,0,82,140
Saanich--Gulf Islands/Saanich--Gulf Islands,7,Ganges,68,74,87,0,72,0,301,408
Saanich--Gulf Islands/Saanich--Gulf Islands,8,Ganges,103,121,48,0,53,0,325,492
Saanich--Gulf Islands/Saanich--Gulf Islands,9,Ganges,64,102,94,0,50,0,310,514
Saanich--Gulf Islands/Saanich--Gulf Islands,10,Mayne,55,93,71,0,42,0,261,287
Saanich--Gulf Islands/Saanich--Gulf Islands,11,Mayne,49,122,97,0,61,0,329,389
Saanich--Gulf Islands/Saanich--Gulf Islands,12,Ganges,57,58,69,1,59,0,244,376
Saanich--Gulf Islands/Saanich--Gulf Islands,13,Ganges,74,120,78,1,35,0,308,422
Saanich--Gulf Islands/Saanich--Gulf Islands,14,Ganges,62,103,55,1,55,3,279,469
Saanich--Gulf Islands/Saanich--Gulf Islands,15,Ganges,111,92,64,0,50,0,317,510
Saanich--Gulf Islands/Saanich--Gulf Islands,16,Ganges,56,52,65,1,56,1,231,352
Saanich--Gulf Islands/Saanich--Gulf Islands,17,Ganges,82,121,45,2,40,0,290,475
Saanich--Gulf Islands/Saanich--Gulf Islands,18,Ganges,65,88,62,0,42,0,257,410
Saanich--Gulf Islands/Saanich--Gulf Islands,19,Ganges,61,88,48,0,40,0,237,372
Saanich--Gulf Islands/Saanich--Gulf Islands,20,Ganges,66,137,72,0,38,1,314,506
Saanich--Gulf Islands/Saanich--Gulf Islands,21,Ganges,Void,,,,,,,
Saanich--Gulf Islands/Saanich--Gulf Islands,22,Port Washington,28,87,45,2,28,1,191,302
Saanich--Gulf Islands/Saanich--Gulf Islands,23,Port Washington,27,32,22,0,16,0,97,125
Saanich--Gulf Islands/Saanich--Gulf Islands,24,Fulford Harbour,108,150,60,0,43,0,361,529
Saanich--Gulf Islands/Saanich--Gulf Islands,25,Fulford Harbour,105,194,48,1,50,0,398,559
Saanich--Gulf Islands/Saanich--Gulf Islands,26,Port Washington,44,92,61,0,34,0,231,328
Saanich--Gulf Islands/Saanich--Gulf Islands,27,Port Washington,72,97,81,0,42,2,294,450
Saanich--Gulf Islands/Saanich--Gulf Islands,28,Pender Island 8,60,132,109,0,65,0,366,502
Saanich--Gulf Islands/Saanich--Gulf Islands,29,North Saanich,31,55,112,2,65,0,265,364
Saanich--Gulf Islands/Saanich--Gulf Islands,30,North Saanich,39,43,137,0,77,0,296,419
Saanich--Gulf Islands/Saanich--Gulf Islands,31,North Saanich,54,50,104,0,92,0,300,429
Saanich--Gulf Islands/Saanich--Gulf Islands,32,North Saanich,27,47,127,1,101,2,305,485
Saanich--Gulf Islands/Saanich--Gulf Islands,33,North Saanich,30,48,92,0,52,0,222,328
Saanich--Gulf Islands/Saanich--Gulf Islands,34,North Saanich,33,101,109,0,78,1,322,487
Saanich--Gulf Islands/Saanich--Gulf Islands,35,North Saanich,47,66,118,1,91,0,323,473
Saanich--Gulf Islands/Saanich--Gulf Islands,36,North Saanich,46,54,88,0,42,0,230,302
Saanich--Gulf Islands/Saanich--Gulf Islands,37,North Saanich,19,23,66,0,34,0,142,205
Saanich--Gulf Islands/Saanich--Gulf Islands,38,North Saanich,32,28,79,1,52,0,192,273
Saanich--Gulf Islands/Saanich--Gulf Islands,39,North Saanich,22,44,68,0,58,0,192,294
Saanich--Gulf Islands/Saanich--Gulf Islands,40,North Saanich,40,45,132,0,75,0,292,444
Saanich--Gulf Islands/Saanich--Gulf Islands,41,North Saanich,36,67,154,2,98,0,357,517
Saanich--Gulf Islands/Saanich--Gulf Islands,42,North Saanich,42,70,109,0,41,0,262,415
Saanich--Gulf Islands/Saanich--Gulf Islands,43,North Saanich,75,41,98,1,57,0,272,478
Saanich--Gulf Islands/Saanich--Gulf Islands,44,North Saanich,14,26,117,0,57,0,214,295
Saanich--Gulf Islands/Saanich--Gulf Islands,45,North Saanich,32,30,132,0,77,1,272,351
