District,Poll Number,Poll Name,Elisabeth Clark,Laurent Filion,Mario Laframboise,David H. McArthur,Michael O'Grady,Claude Sabourin,Yves Sabourin,Rejected Ballots,Total Vote,Electors
Argenteuil--Mirabel/Argenteuil--Mirabel,1,Bowman,8,1,75,33,2,10,102,3,234,429
Argenteuil--Mirabel/Argenteuil--Mirabel,2,Val-des-Bois,8,2,79,22,1,6,62,0,180,321
Argenteuil--Mirabel/Argenteuil--Mirabel,3,Val-des-Bois,11,1,101,29,1,7,82,2,234,414
Argenteuil--Mirabel/Argenteuil--Mirabel,4,Mulgrave-et-Derry,2,0,31,11,0,3,22,1,70,106
Argenteuil--Mirabel/Argenteuil--Mirabel,5,Mulgrave-et-Derry (Mayo),5,3,7,19,0,7,47,0,88,141
Argenteuil--Mirabel/Argenteuil--Mirabel,6,Mulgrave-et-Derry (Mayo),14,0,59,30,0,22,112,3,240,358
Argenteuil--Mirabel/Argenteuil--Mirabel,7,Lochaber,10,0,85,22,1,6,50,0,174,390
Argenteuil--Mirabel/Argenteuil--Mirabel,8,Lochaber,3,0,60,24,0,4,28,1,120,210
Argenteuil--Mirabel/Argenteuil--Mirabel,9,Thurso,7,0,91,11,0,8,31,2,150,312
Argenteuil--Mirabel/Argenteuil--Mirabel,10,Thurso,3,1,112,15,0,7,63,0,201,452
Argenteuil--Mirabel/Argenteuil--Mirabel,11A,Thurso,1,0,79,6,0,2,35,2,125,231
Argenteuil--Mirabel/Argenteuil--Mirabel,11B,Thurso,6,1,90,13,0,6,48,0,164,323
Argenteuil--Mirabel/Argenteuil--Mirabel,12,Thurso,6,0,165,9,0,5,42,3,230,464
Argenteuil--Mirabel/Argenteuil--Mirabel,13,Thurso,1,0,80,8,0,10,53,3,155,329
Argenteuil--Mirabel/Argenteuil--Mirabel,14,Saint-Sixte,6,2,102,11,0,8,29,4,162,295
Argenteuil--Mirabel/Argenteuil--Mirabel,15,Ripon,8,1,131,9,0,8,30,1,188,327
Argenteuil--Mirabel/Argenteuil--Mirabel,16,Ripon,2,1,154,12,0,14,70,8,261,487
Argenteuil--Mirabel/Argenteuil--Mirabel,17,Ripon,15,0,127,8,0,21,55,2,228,336
Argenteuil--Mirabel/Argenteuil--Mirabel,18,Montpellier,2,0,111,4,0,5,40,3,165,314
Argenteuil--Mirabel/Argenteuil--Mirabel,19,Montpellier,5,1,141,12,1,18,98,1,277,476
Argenteuil--Mirabel/Argenteuil--Mirabel,20,Duhamel,2,11,124,3,0,6,32,5,183,301
Argenteuil--Mirabel/Argenteuil--Mirabel,21,Lac-des-Plages,13,1,164,18,0,20,51,7,274,394
Argenteuil--Mirabel/Argenteuil--Mirabel,22,Boileau,11,2,63,8,1,9,32,1,127,213
Argenteuil--Mirabel/Argenteuil--Mirabel,23,Namur,8,0,111,11,2,16,77,2,227,503
Argenteuil--Mirabel/Argenteuil--Mirabel,24,Saint-Émile-de-Suffolk,6,0,145,1,0,10,44,6,212,397
Argenteuil--Mirabel/Argenteuil--Mirabel,25,Chénéville,3,0,131,7,0,7,57,5,210,380
Argenteuil--Mirabel/Argenteuil--Mirabel,26,Chénéville,1,1,107,9,0,5,57,6,186,343
Argenteuil--Mirabel/Argenteuil--Mirabel,27,Lac-Simon,8,1,97,8,0,10,50,5,179,274
Argenteuil--Mirabel/Argenteuil--Mirabel,28,Lac-Simon,2,0,127,19,0,15,55,2,220,326
Argenteuil--Mirabel/Argenteuil--Mirabel,29,Notre-Dame-de-la-Paix,7,2,58,2,0,8,26,0,103,178
Argenteuil--Mirabel/Argenteuil--Mirabel,30,Notre-Dame-de-la-Paix,5,1,169,2,1,12,40,6,236,357
Argenteuil--Mirabel/Argenteuil--Mirabel,31,Saint-André-Avellin,6,2,122,11,0,10,55,2,208,382
Argenteuil--Mirabel/Argenteuil--Mirabel,32A,Saint-André-Avellin,1,4,114,13,0,11,29,5,177,297
Argenteuil--Mirabel/Argenteuil--Mirabel,32B,Saint-André-Avellin,2,4,113,6,1,11,46,4,187,324
Argenteuil--Mirabel/Argenteuil--Mirabel,33,Saint-André-Avellin,1,3,92,4,1,3,20,0,124,224
Argenteuil--Mirabel/Argenteuil--Mirabel,34,Saint-André-Avellin,1,1,46,8,0,7,7,0,70,137
Argenteuil--Mirabel/Argenteuil--Mirabel,35,Saint-André-Avellin,4,2,115,5,1,12,22,1,162,368
Argenteuil--Mirabel/Argenteuil--Mirabel,36,Saint-André-Avellin,1,4,131,4,0,9,53,3,205,409
Argenteuil--Mirabel/Argenteuil--Mirabel,37,Saint-André-Avellin,1,1,96,4,0,4,14,0,120,209
Argenteuil--Mirabel/Argenteuil--Mirabel,38,Saint-André-Avellin,8,0,149,8,2,12,48,1,228,389
Argenteuil--Mirabel/Argenteuil--Mirabel,39,Plaisance,6,1,192,9,0,16,51,1,276,505
Argenteuil--Mirabel/Argenteuil--Mirabel,40,Plaisance,6,0,132,9,0,13,56,8,224,367
Argenteuil--Mirabel/Argenteuil--Mirabel,41,Sainte-Angélique,1,1,94,6,0,4,28,1,135,222
Argenteuil--Mirabel/Argenteuil--Mirabel,42A,Sainte-Angélique,5,1,117,11,0,10,43,2,189,345
Argenteuil--Mirabel/Argenteuil--Mirabel,42B,Sainte-Angélique,4,1,121,9,2,11,48,5,201,371
Argenteuil--Mirabel/Argenteuil--Mirabel,43,Papineauville,6,2,141,8,0,14,44,4,219,427
Argenteuil--Mirabel/Argenteuil--Mirabel,44,Papineauville,7,0,170,15,0,10,42,5,249,441
Argenteuil--Mirabel/Argenteuil--Mirabel,45,Montebello,1,0,12,6,0,4,13,0,36,76
Argenteuil--Mirabel/Argenteuil--Mirabel,46,Montebello,3,1,150,6,2,10,57,5,234,441
Argenteuil--Mirabel/Argenteuil--Mirabel,47,Montebello,6,0,145,9,0,6,63,2,231,398
Argenteuil--Mirabel/Argenteuil--Mirabel,48,Notre-Dame-de-Bon-Secours-Partie-Nord,9,0,53,6,0,5,42,4,119,222
Argenteuil--Mirabel/Argenteuil--Mirabel,49,Fassett,5,2,148,21,1,11,59,5,252,407
Argenteuil--Mirabel/Argenteuil--Mirabel,50,Avoca,8,0,5,36,0,4,44,1,98,162
Argenteuil--Mirabel/Argenteuil--Mirabel,51A,Grenville sur la Rouge (Pointe-au-Chêne),6,2,65,18,0,7,43,3,144,294
Argenteuil--Mirabel/Argenteuil--Mirabel,51B,Grenville sur la Rouge (Pointe-au-Chêne),6,0,74,18,1,10,51,1,161,326
Argenteuil--Mirabel/Argenteuil--Mirabel,52,Kilmar,4,0,3,41,0,8,53,2,111,267
Argenteuil--Mirabel/Argenteuil--Mirabel,53,Grenville sur la Rouge (Calumet),2,0,47,20,0,8,75,2,154,253
Argenteuil--Mirabel/Argenteuil--Mirabel,54,Grenville sur la Rouge (Calumet),6,0,45,15,0,8,54,2,130,242
Argenteuil--Mirabel/Argenteuil--Mirabel,55,Grenville sur la Rouge,7,0,61,27,0,13,59,2,169,305
Argenteuil--Mirabel/Argenteuil--Mirabel,56,Grenville,5,2,92,10,0,7,73,6,195,423
Argenteuil--Mirabel/Argenteuil--Mirabel,57,Grenville,5,1,68,19,0,4,75,3,175,364
