District,Poll Number,Poll Name,Barry Bell,Gulzar Cheema,Nina Grewal,Joseph Theriault,David Walters,Rejected Ballots,Total Vote,Electors
Fleetwood--Port Kells/Fleetwood--Port Kells,1,Surrey,62,54,67,0,16,1,200,356
Fleetwood--Port Kells/Fleetwood--Port Kells,2,Surrey,102,87,91,1,11,3,295,498
Fleetwood--Port Kells/Fleetwood--Port Kells,3A,Surrey,40,41,45,0,10,0,136,280
Fleetwood--Port Kells/Fleetwood--Port Kells,3B,Surrey,34,40,40,0,8,0,122,257
Fleetwood--Port Kells/Fleetwood--Port Kells,4,Surrey,49,82,81,0,8,1,221,389
Fleetwood--Port Kells/Fleetwood--Port Kells,5A,Surrey,36,49,57,0,14,1,157,315
Fleetwood--Port Kells/Fleetwood--Port Kells,5B,Surrey,45,41,57,1,10,1,155,298
Fleetwood--Port Kells/Fleetwood--Port Kells,6,Surrey,35,89,88,0,17,0,229,445
Fleetwood--Port Kells/Fleetwood--Port Kells,7A,Surrey,22,64,72,0,12,0,170,310
Fleetwood--Port Kells/Fleetwood--Port Kells,7B,Surrey,17,62,65,0,16,1,161,369
Fleetwood--Port Kells/Fleetwood--Port Kells,8,Surrey,68,105,84,0,16,1,274,503
Fleetwood--Port Kells/Fleetwood--Port Kells,9,Surrey,48,78,112,1,12,5,256,479
Fleetwood--Port Kells/Fleetwood--Port Kells,10,Surrey,42,51,93,0,16,0,202,311
Fleetwood--Port Kells/Fleetwood--Port Kells,11,Surrey,67,63,105,3,14,0,252,445
Fleetwood--Port Kells/Fleetwood--Port Kells,12A,Surrey,28,38,95,0,9,1,171,328
Fleetwood--Port Kells/Fleetwood--Port Kells,12B,Surrey,45,58,67,1,7,0,178,363
Fleetwood--Port Kells/Fleetwood--Port Kells,13A,Surrey,38,45,82,0,7,0,172,327
Fleetwood--Port Kells/Fleetwood--Port Kells,13B,Surrey,36,42,54,0,11,3,146,316
Fleetwood--Port Kells/Fleetwood--Port Kells,14A,Surrey,26,57,42,0,5,0,130,329
Fleetwood--Port Kells/Fleetwood--Port Kells,14B,Surrey,16,53,71,0,3,0,143,321
Fleetwood--Port Kells/Fleetwood--Port Kells,15A,Surrey,25,48,76,0,6,0,155,305
Fleetwood--Port Kells/Fleetwood--Port Kells,15B,Surrey,29,48,89,0,7,0,173,318
Fleetwood--Port Kells/Fleetwood--Port Kells,16,Surrey,46,73,144,2,14,2,281,460
Fleetwood--Port Kells/Fleetwood--Port Kells,17,Surrey,25,41,76,0,12,0,154,285
Fleetwood--Port Kells/Fleetwood--Port Kells,18,Barnston Island,64,49,148,1,21,1,284,524
Fleetwood--Port Kells/Fleetwood--Port Kells,19,Surrey,69,60,86,1,17,3,236,462
Fleetwood--Port Kells/Fleetwood--Port Kells,20,Surrey,96,58,77,1,15,4,251,448
Fleetwood--Port Kells/Fleetwood--Port Kells,21,Surrey,53,32,34,1,13,0,133,317
Fleetwood--Port Kells/Fleetwood--Port Kells,22,Surrey,51,39,57,1,14,0,162,319
Fleetwood--Port Kells/Fleetwood--Port Kells,23,Surrey,66,28,38,0,19,1,152,292
Fleetwood--Port Kells/Fleetwood--Port Kells,24,Surrey,46,75,59,1,20,1,202,417
Fleetwood--Port Kells/Fleetwood--Port Kells,25,Surrey,36,28,42,2,14,0,122,217
Fleetwood--Port Kells/Fleetwood--Port Kells,26,Surrey,61,45,89,1,21,1,218,412
Fleetwood--Port Kells/Fleetwood--Port Kells,27,Surrey,34,43,28,0,10,1,116,256
Fleetwood--Port Kells/Fleetwood--Port Kells,28,Surrey,31,41,20,0,6,1,99,227
Fleetwood--Port Kells/Fleetwood--Port Kells,29,Surrey,37,86,71,3,6,0,203,412
Fleetwood--Port Kells/Fleetwood--Port Kells,30,Surrey,57,46,37,1,11,0,152,292
Fleetwood--Port Kells/Fleetwood--Port Kells,31A,Surrey,32,24,37,0,9,0,102,258
Fleetwood--Port Kells/Fleetwood--Port Kells,31B,Surrey,54,48,45,1,11,2,161,299
Fleetwood--Port Kells/Fleetwood--Port Kells,32,Surrey,47,37,58,2,6,0,150,352
Fleetwood--Port Kells/Fleetwood--Port Kells,33,Surrey,93,68,48,1,11,0,221,470
Fleetwood--Port Kells/Fleetwood--Port Kells,34,Surrey,38,20,42,0,7,2,109,392
Fleetwood--Port Kells/Fleetwood--Port Kells,35,Surrey,66,66,58,3,16,3,212,449
