District,Poll Number,Poll Name,Gabriel Draven,Philip Fernandez,Dan Goldstick,Bill Graham,Megan Harris,Kevin Peck,Michael Shapcott,Jay Wagner,Rejected Ballots,Total Vote,Electors
Toronto Centre/Toronto-Centre,98,Toronto,13,0,2,158,36,1,68,1,1,280,445
Toronto Centre/Toronto-Centre,99,Toronto,8,0,2,90,31,0,70,2,0,203,308
Toronto Centre/Toronto-Centre,100,Toronto,10,0,1,122,25,0,77,3,1,239,575
Toronto Centre/Toronto-Centre,101,Toronto,16,0,0,121,18,0,63,1,3,222,483
Toronto Centre/Toronto-Centre,102,Toronto,15,0,0,117,25,0,85,2,0,244,434
Toronto Centre/Toronto-Centre,103,Toronto,2,0,0,108,20,0,51,1,0,182,341
Toronto Centre/Toronto-Centre,104,Toronto,16,0,0,210,42,1,122,4,4,399,700
Toronto Centre/Toronto-Centre,105,Toronto,10,0,0,127,31,0,34,2,2,206,445
Toronto Centre/Toronto-Centre,106,Toronto,0,0,0,116,52,1,31,2,0,202,404
Toronto Centre/Toronto-Centre,107,Toronto,25,0,0,228,61,0,115,4,3,436,665
Toronto Centre/Toronto-Centre,108,Toronto,10,0,0,162,74,0,29,0,0,275,415
Toronto Centre/Toronto-Centre,109A,Toronto,15,0,1,165,51,0,52,0,1,285,419
Toronto Centre/Toronto-Centre,109B,Toronto,17,0,0,163,47,0,35,1,1,264,394
Toronto Centre/Toronto-Centre,110,Toronto,10,0,1,119,30,0,44,0,6,210,493
Toronto Centre/Toronto-Centre,111,Toronto,21,0,0,181,51,1,69,2,1,326,612
Toronto Centre/Toronto-Centre,112,Toronto,Merged with No. 113,,,,,,,,,,169
Toronto Centre/Toronto-Centre,113,Toronto,7,0,6,176,24,0,89,2,4,308,364
Toronto Centre/Toronto-Centre,114,Toronto,10,0,1,136,29,0,97,1,2,276,394
Toronto Centre/Toronto-Centre,115,Toronto,14,1,0,166,27,1,72,4,3,288,424
Toronto Centre/Toronto-Centre,116,Toronto,1,0,0,174,15,0,48,3,0,241,532
Toronto Centre/Toronto-Centre,117,Toronto,2,2,3,232,23,0,72,4,4,342,703
Toronto Centre/Toronto-Centre,118,Toronto,2,0,3,142,8,2,39,0,1,197,395
Toronto Centre/Toronto-Centre,119,Toronto,3,0,3,179,18,0,40,2,0,245,517
Toronto Centre/Toronto-Centre,120,Toronto,17,1,2,119,23,0,65,3,0,230,431
Toronto Centre/Toronto-Centre,121,Toronto,15,0,1,174,40,0,74,0,1,305,595
Toronto Centre/Toronto-Centre,122,Toronto,3,3,1,177,15,0,53,4,2,258,470
Toronto Centre/Toronto-Centre,123,Toronto,28,1,0,156,40,0,91,1,2,319,663
Toronto Centre/Toronto-Centre,124,Toronto,2,0,1,128,5,0,76,1,0,213,495
Toronto Centre/Toronto-Centre,125,Toronto,5,0,0,172,16,0,67,1,4,265,501
Toronto Centre/Toronto-Centre,126,Toronto,Merged with No. 440,,,,,,,,,,234
Toronto Centre/Toronto-Centre,127A,Toronto,8,0,0,145,11,0,89,3,0,256,459
Toronto Centre/Toronto-Centre,127B,Toronto,9,0,1,108,12,1,110,2,1,244,415
Toronto Centre/Toronto-Centre,128,Toronto,14,0,0,149,38,0,129,3,0,333,524
Toronto Centre/Toronto-Centre,129,Toronto,3,0,0,57,9,0,27,0,0,96,222
Toronto Centre/Toronto-Centre,130,Toronto,8,2,0,125,27,0,112,0,0,274,463
Toronto Centre/Toronto-Centre,131,Toronto,11,0,1,116,22,1,72,0,1,224,440
Toronto Centre/Toronto-Centre,132,Toronto,12,1,0,101,19,0,114,3,0,250,429
Toronto Centre/Toronto-Centre,133,Toronto,1,0,0,62,12,0,62,0,0,137,227
Toronto Centre/Toronto-Centre,134,Toronto,15,0,1,122,18,1,111,3,2,273,466
Toronto Centre/Toronto-Centre,135,Toronto,11,1,0,146,28,0,128,5,0,319,613
Toronto Centre/Toronto-Centre,136,Toronto,10,0,1,149,40,0,56,1,0,257,431
Toronto Centre/Toronto-Centre,137,Toronto,4,2,1,138,7,0,111,3,3,269,440
Toronto Centre/Toronto-Centre,138,Toronto,16,0,1,119,35,0,81,1,2,255,420
Toronto Centre/Toronto-Centre,139,Toronto,Merged with No. 133,,,,,,,,,,6
Toronto Centre/Toronto-Centre,140,Toronto,26,2,1,232,37,2,147,4,0,451,694
Toronto Centre/Toronto-Centre,141,Toronto,22,1,0,197,26,1,113,3,2,365,633
Toronto Centre/Toronto-Centre,400,Toronto,10,0,0,155,26,0,27,0,1,219,300
Toronto Centre/Toronto-Centre,401,Toronto,Merged with No. 38,,,,,,,,,,85
Toronto Centre/Toronto-Centre,402,Toronto,12,0,0,117,35,0,23,0,0,187,301
Toronto Centre/Toronto-Centre,403,Toronto,3,0,0,98,31,0,23,1,2,158,254
Toronto Centre/Toronto-Centre,404,Toronto,9,0,0,128,17,0,55,3,0,212,412
Toronto Centre/Toronto-Centre,405,Toronto,2,0,0,74,18,0,27,2,0,123,275
Toronto Centre/Toronto-Centre,406,Toronto,3,0,1,70,19,0,42,1,2,138,248
Toronto Centre/Toronto-Centre,407,Toronto,3,0,0,68,16,0,37,0,2,126,324
Toronto Centre/Toronto-Centre,408,Toronto,3,0,0,73,15,0,31,0,0,122,227
Toronto Centre/Toronto-Centre,409,Toronto,4,1,0,144,18,2,71,0,3,243,422
Toronto Centre/Toronto-Centre,410,Toronto,3,0,0,86,24,0,35,0,3,151,274
Toronto Centre/Toronto-Centre,411,Toronto,2,1,0,127,31,1,36,0,5,203,416
Toronto Centre/Toronto-Centre,412,Toronto,3,1,2,111,30,1,54,2,4,208,417
Toronto Centre/Toronto-Centre,413,Toronto,4,2,1,147,35,1,78,0,0,268,488
Toronto Centre/Toronto-Centre,414,Toronto,Merged with No. 411,,,,,,,,,,6
Toronto Centre/Toronto-Centre,415,Toronto,1,0,0,73,9,0,39,0,1,123,307
Toronto Centre/Toronto-Centre,416,Toronto,3,0,1,85,25,0,44,0,0,158,350
Toronto Centre/Toronto-Centre,417,Toronto,9,0,1,134,39,0,33,0,0,216,363
Toronto Centre/Toronto-Centre,418,Toronto,Merged with No. 424,,,,,,,,,,104
Toronto Centre/Toronto-Centre,419,Toronto,7,0,0,112,15,0,59,2,1,196,302
Toronto Centre/Toronto-Centre,420,Toronto,7,0,0,120,13,0,89,1,4,234,419
Toronto Centre/Toronto-Centre,421,Toronto,6,0,1,146,15,1,76,1,0,246,459
Toronto Centre/Toronto-Centre,422,Toronto,1,0,0,136,14,0,55,1,3,210,388
Toronto Centre/Toronto-Centre,423,Toronto,4,2,0,138,20,1,70,1,4,240,401
Toronto Centre/Toronto-Centre,424,Toronto,4,1,0,105,15,0,35,2,0,162,302
Toronto Centre/Toronto-Centre,425,Toronto,5,0,0,81,14,0,33,0,0,133,315
Toronto Centre/Toronto-Centre,426,Toronto,0,0,0,84,14,0,40,0,0,138,336
Toronto Centre/Toronto-Centre,427,Toronto,0,1,0,95,10,0,33,2,2,143,312
Toronto Centre/Toronto-Centre,428,Toronto,4,1,1,68,11,0,32,1,0,118,279
Toronto Centre/Toronto-Centre,429,Toronto,0,0,2,80,12,1,39,1,1,136,304
Toronto Centre/Toronto-Centre,430,Toronto,9,1,0,158,58,0,61,1,2,290,277
Toronto Centre/Toronto-Centre,431,Toronto,7,0,0,155,45,1,24,1,0,233,390
Toronto Centre/Toronto-Centre,432,Toronto,4,0,0,199,55,0,20,2,0,280,430
Toronto Centre/Toronto-Centre,433,Toronto,Merged with No. 430,,,,,,,,,,195
Toronto Centre/Toronto-Centre,434,Toronto,7,0,0,70,18,0,72,0,0,167,436
Toronto Centre/Toronto-Centre,435,Toronto,12,0,1,96,38,0,33,3,0,183,264
Toronto Centre/Toronto-Centre,436,Toronto,5,0,0,121,24,0,75,1,0,226,396
Toronto Centre/Toronto-Centre,437,Toronto,12,1,0,166,23,0,117,1,0,320,525
Toronto Centre/Toronto-Centre,438,Toronto,18,0,2,203,37,0,108,5,1,374,554
Toronto Centre/Toronto-Centre,439,Toronto,5,0,0,160,11,1,56,0,0,233,330
Toronto Centre/Toronto-Centre,440,Toronto,4,1,3,148,38,0,82,1,4,281,402
Toronto Centre/Toronto-Centre,441,Toronto,5,0,0,154,26,0,46,2,0,233,396
Toronto Centre/Toronto-Centre,442,Toronto,6,0,0,159,42,0,48,1,0,256,446
Toronto Centre/Toronto-Centre,443,Toronto,2,0,0,120,36,0,32,0,0,190,333
Toronto Centre/Toronto-Centre,444,Toronto,4,0,0,123,25,0,21,0,1,174,346
Toronto Centre/Toronto-Centre,445,Toronto,7,0,0,95,7,0,61,1,0,171,297
Toronto Centre/Toronto-Centre,446,Toronto,12,0,0,131,34,0,104,5,2,288,480
Toronto Centre/Toronto-Centre,447,Toronto,4,2,0,118,9,0,50,1,0,184,258
Toronto Centre/Toronto-Centre,448,Toronto,7,0,0,120,30,0,53,1,1,212,310
Toronto Centre/Toronto-Centre,449,Toronto,4,0,0,70,20,0,15,0,1,110,174
Toronto Centre/Toronto-Centre,450,Toronto,5,0,0,67,22,0,12,0,0,106,181
Toronto Centre/Toronto-Centre,451,Toronto,4,0,0,118,13,0,37,0,1,173,277
Toronto Centre/Toronto-Centre,452,Toronto,3,0,0,100,19,0,44,2,0,168,261
Toronto Centre/Toronto-Centre,453,Toronto,5,0,0,117,19,0,42,1,0,184,283
Toronto Centre/Toronto-Centre,454,Toronto,2,0,2,108,10,0,68,0,1,191,296
Toronto Centre/Toronto-Centre,455,Toronto,Merged with No. 47,,,,,,,,,,143
Toronto Centre/Toronto-Centre,456,Toronto,5,0,1,79,12,0,22,2,0,121,275
Toronto Centre/Toronto-Centre,457,Toronto,6,2,3,129,25,0,39,2,6,212,326
Toronto Centre/Toronto-Centre,458,Toronto,14,0,0,82,28,0,77,0,1,202,403
Toronto Centre/Toronto-Centre,459,Toronto,Merged with No. 64,,,,,,,,,,68
Toronto Centre/Toronto-Centre,460,Toronto,20,0,0,50,15,0,76,2,0,163,309
Toronto Centre/Toronto-Centre,461,Toronto,6,2,3,80,13,2,45,2,4,157,303
Toronto Centre/Toronto-Centre,462,Toronto,5,3,1,109,14,1,62,0,2,197,339
Toronto Centre/Toronto-Centre,463,Toronto,3,1,4,106,6,0,45,0,4,169,316
Toronto Centre/Toronto-Centre,464,Toronto,0,0,0,115,13,0,55,4,0,187,329
Toronto Centre/Toronto-Centre,465,Toronto,20,0,0,136,23,0,47,2,0,228,261
Toronto Centre/Toronto-Centre,466,Toronto,Merged with No. 465,,,,,,,,,,99
Toronto Centre/Toronto-Centre,467,Toronto,4,1,1,90,25,0,38,1,0,160,290
Toronto Centre/Toronto-Centre,468,Toronto,15,0,0,170,32,0,78,0,0,295,463
Toronto Centre/Toronto-Centre,469,Toronto,5,1,0,84,29,0,29,0,0,148,265
Toronto Centre/Toronto-Centre,470,Toronto,18,0,0,163,61,1,43,2,0,288,417
Toronto Centre/Toronto-Centre,471,Toronto,13,0,0,163,44,0,51,1,2,274,413
Toronto Centre/Toronto-Centre,500,Mobile poll/Bureau itinérant,0,0,0,18,9,0,15,2,0,44,152
Toronto Centre/Toronto-Centre,600,Toronto,33,0,0,464,300,0,55,0,0,852,
Toronto Centre/Toronto-Centre,601,Toronto,32,0,0,464,208,0,82,0,4,790,
Toronto Centre/Toronto-Centre,602,Toronto,8,1,0,230,77,0,88,2,1,407,
Toronto Centre/Toronto-Centre,603,Toronto,29,1,2,392,72,1,206,4,1,708,
Toronto Centre/Toronto-Centre,604,Toronto,7,3,1,249,73,1,128,1,1,464,
Toronto Centre/Toronto-Centre,605,Toronto,23,2,0,260,45,0,138,2,1,471,
Toronto Centre/Toronto-Centre,606,Toronto,21,0,1,305,123,1,175,9,1,636,
Toronto Centre/Toronto-Centre,607,Toronto,11,1,0,158,26,1,98,2,1,298,
Toronto Centre/Toronto-Centre,608,Toronto,13,0,1,165,42,1,127,1,1,351,
Toronto Centre/Toronto-Centre,,Group 1/Groupe 1,7,0,1,104,36,0,29,1,3,181,280
Toronto Centre/Toronto-Centre,,Group 2/Groupe 2,49,0,2,397,160,2,197,5,23,835,
