District,Poll Number,Poll Name,Dan Harris,Heather Jewell,Elizabeth Rowley,Peter Van Dalen,Tom Wappel,Rejected Ballots,Total Vote,Electors
Scarborough Southwest/Scarborough-Sud-Ouest,1,Scarborough,27,21,1,4,61,1,115,311
Scarborough Southwest/Scarborough-Sud-Ouest,2,Scarborough,18,18,0,1,46,0,83,172
Scarborough Southwest/Scarborough-Sud-Ouest,3,Scarborough,Void,,,,,,,
Scarborough Southwest/Scarborough-Sud-Ouest,4,Scarborough,2,2,0,2,20,0,26,62
Scarborough Southwest/Scarborough-Sud-Ouest,5,Scarborough,30,57,2,10,82,2,183,317
Scarborough Southwest/Scarborough-Sud-Ouest,6,Scarborough,33,76,1,8,90,4,212,331
Scarborough Southwest/Scarborough-Sud-Ouest,7,Scarborough,29,32,5,3,85,1,155,372
Scarborough Southwest/Scarborough-Sud-Ouest,8,Scarborough,34,61,1,8,125,0,229,372
Scarborough Southwest/Scarborough-Sud-Ouest,9,Scarborough,40,58,0,6,120,0,224,375
Scarborough Southwest/Scarborough-Sud-Ouest,10A,Scarborough,48,47,2,2,126,0,225,588
Scarborough Southwest/Scarborough-Sud-Ouest,10B,Scarborough,45,35,1,5,136,1,223,527
Scarborough Southwest/Scarborough-Sud-Ouest,11,Scarborough,26,52,2,3,66,0,149,343
Scarborough Southwest/Scarborough-Sud-Ouest,12,Scarborough,35,12,1,3,105,2,158,404
Scarborough Southwest/Scarborough-Sud-Ouest,13,Scarborough,60,60,2,7,138,1,268,580
Scarborough Southwest/Scarborough-Sud-Ouest,14A,Scarborough,49,47,0,9,130,0,235,464
Scarborough Southwest/Scarborough-Sud-Ouest,14B,Scarborough,30,44,0,5,99,3,181,366
Scarborough Southwest/Scarborough-Sud-Ouest,15,Scarborough,34,66,0,6,124,0,230,401
Scarborough Southwest/Scarborough-Sud-Ouest,16,Scarborough,44,48,1,8,94,2,197,465
Scarborough Southwest/Scarborough-Sud-Ouest,17,Scarborough,40,40,1,9,77,2,169,289
Scarborough Southwest/Scarborough-Sud-Ouest,18,Scarborough,36,48,0,8,141,1,234,384
Scarborough Southwest/Scarborough-Sud-Ouest,19,Scarborough,35,37,2,6,94,0,174,320
Scarborough Southwest/Scarborough-Sud-Ouest,20,Scarborough,53,49,4,15,132,2,255,391
Scarborough Southwest/Scarborough-Sud-Ouest,21,Scarborough,39,44,1,8,96,1,189,303
Scarborough Southwest/Scarborough-Sud-Ouest,22,Scarborough,39,56,1,7,125,0,228,421
Scarborough Southwest/Scarborough-Sud-Ouest,23,Scarborough,36,40,0,7,86,0,169,330
Scarborough Southwest/Scarborough-Sud-Ouest,24,Scarborough,58,84,2,19,167,1,331,645
Scarborough Southwest/Scarborough-Sud-Ouest,25,Scarborough,52,35,0,8,115,0,210,492
Scarborough Southwest/Scarborough-Sud-Ouest,26,Scarborough,27,49,2,3,112,1,194,328
Scarborough Southwest/Scarborough-Sud-Ouest,27,Scarborough,33,72,2,7,78,2,194,295
Scarborough Southwest/Scarborough-Sud-Ouest,28,Scarborough,48,26,3,9,86,0,172,388
Scarborough Southwest/Scarborough-Sud-Ouest,29,Scarborough,47,34,0,5,102,1,189,455
Scarborough Southwest/Scarborough-Sud-Ouest,30,Scarborough,13,13,1,0,39,0,66,167
Scarborough Southwest/Scarborough-Sud-Ouest,31,Scarborough,18,26,1,3,102,0,150,377
Scarborough Southwest/Scarborough-Sud-Ouest,32,Scarborough,33,43,2,4,62,0,144,306
Scarborough Southwest/Scarborough-Sud-Ouest,33,Scarborough,41,44,1,5,93,2,186,384
Scarborough Southwest/Scarborough-Sud-Ouest,34,Scarborough,53,64,1,10,104,0,232,421
Scarborough Southwest/Scarborough-Sud-Ouest,35,Scarborough,31,26,0,1,48,1,107,236
Scarborough Southwest/Scarborough-Sud-Ouest,36,Scarborough,42,22,2,3,138,2,209,473
Scarborough Southwest/Scarborough-Sud-Ouest,37,Scarborough,13,15,0,2,69,0,99,238
Scarborough Southwest/Scarborough-Sud-Ouest,38,Scarborough,60,50,1,6,143,0,260,470
Scarborough Southwest/Scarborough-Sud-Ouest,39,Scarborough,24,25,1,5,88,3,146,278
Scarborough Southwest/Scarborough-Sud-Ouest,40,Scarborough,55,25,3,2,117,0,202,480
Scarborough Southwest/Scarborough-Sud-Ouest,41,Scarborough,56,46,0,9,140,3,254,493
Scarborough Southwest/Scarborough-Sud-Ouest,42,Scarborough,41,42,0,3,82,0,168,345
Scarborough Southwest/Scarborough-Sud-Ouest,43,Scarborough,48,46,2,4,85,0,185,373
Scarborough Southwest/Scarborough-Sud-Ouest,44,Scarborough,45,29,2,5,90,1,172,385
