District,Poll Number,Poll Name,Scott Brison,Skip Hambling,Richard Hennigar,Jim Hnatiuk,Bob Mullan,Kevin Stacey,Rejected Ballots,Total Vote,Electors
Kings--Hants/Kings--Hants,116,Summerville,95,19,0,4,39,5,0,162,250
Kings--Hants/Kings--Hants,117,Bramber,93,31,2,3,17,5,2,153,316
Kings--Hants/Kings--Hants,118,Pembroke,65,16,1,3,36,3,1,125,208
Kings--Hants/Kings--Hants,119,Summerville,87,36,0,1,34,7,2,167,292
Kings--Hants/Kings--Hants,120,Centre Burlington,133,57,1,7,41,13,0,252,418
Kings--Hants/Kings--Hants,121,Scotch Village,108,26,1,2,83,15,2,237,357
Kings--Hants/Kings--Hants,122,Avondale,137,38,0,1,72,10,1,259,364
Kings--Hants/Kings--Hants,123,Mantua,94,15,0,0,59,8,0,176,289
Kings--Hants/Kings--Hants,124A,Brooklyn,75,20,0,0,47,1,4,147,263
Kings--Hants/Kings--Hants,124B,Brooklyn,82,12,1,0,38,3,0,136,251
Kings--Hants/Kings--Hants,125,Brooklyn,82,31,2,0,37,3,1,156,254
Kings--Hants/Kings--Hants,126,Ardoise,122,36,2,0,83,10,0,253,387
Kings--Hants/Kings--Hants,127,Ardoise,97,32,0,0,59,4,0,192,339
Kings--Hants/Kings--Hants,128,Ellershouse,63,13,0,0,52,7,3,138,201
Kings--Hants/Kings--Hants,129,Ellershouse,75,43,0,0,46,9,0,173,320
Kings--Hants/Kings--Hants,130,South Rawdon,78,31,0,2,66,12,0,189,318
Kings--Hants/Kings--Hants,131,Mount Uniacke,110,46,1,1,63,7,0,228,373
Kings--Hants/Kings--Hants,132,Mount Uniacke,45,38,1,2,24,1,0,111,242
Kings--Hants/Kings--Hants,133A,Mount Uniacke,63,45,2,2,46,6,2,166,326
Kings--Hants/Kings--Hants,133B,Mount Uniacke,63,47,1,4,28,8,2,153,363
Kings--Hants/Kings--Hants,134,Mount Uniacke,84,53,1,3,50,12,3,206,381
Kings--Hants/Kings--Hants,135,Mount Uniacke,53,42,0,1,48,3,1,148,236
Kings--Hants/Kings--Hants,136,Mount Uniacke,23,36,2,1,25,2,2,91,196
Kings--Hants/Kings--Hants,137,Mount Uniacke,42,47,0,0,19,3,0,111,291
Kings--Hants/Kings--Hants,138,East Walton,73,23,0,1,14,2,0,113,232
Kings--Hants/Kings--Hants,139,Minasville,51,17,0,2,32,4,0,106,193
Kings--Hants/Kings--Hants,140,Noel,53,19,2,2,29,3,4,112,202
Kings--Hants/Kings--Hants,141,East Noel,48,20,0,0,30,1,0,99,298
Kings--Hants/Kings--Hants,142,Maitland,20,8,1,2,15,3,0,49,88
Kings--Hants/Kings--Hants,143,Maitland,98,57,1,0,63,24,1,244,365
Kings--Hants/Kings--Hants,144,Noel Road,90,47,0,0,84,6,0,227,456
Kings--Hants/Kings--Hants,145,Latties Brook,23,28,3,0,16,1,0,71,106
Kings--Hants/Kings--Hants,146,Clarksville,77,43,1,2,54,3,1,181,292
Kings--Hants/Kings--Hants,147,Kennetcook,75,31,0,0,72,1,4,183,290
Kings--Hants/Kings--Hants,148,Upper Kennetcook,29,20,1,3,37,1,0,91,212
Kings--Hants/Kings--Hants,149,South Maitland,42,34,2,2,22,5,1,108,109
Kings--Hants/Kings--Hants,150,Rawdon Gold Mines,62,27,2,2,32,5,1,131,195
Kings--Hants/Kings--Hants,151A,Gore,51,23,0,3,30,4,0,111,215
Kings--Hants/Kings--Hants,151B,Gore,72,27,3,2,29,1,0,134,283
Kings--Hants/Kings--Hants,152,Rawdon Gold Mines,86,48,2,0,34,9,0,179,373
Kings--Hants/Kings--Hants,153,Shubenacadie,64,58,0,7,57,4,2,192,344
Kings--Hants/Kings--Hants,154,Shubenacadie,44,62,1,5,46,5,1,164,314
Kings--Hants/Kings--Hants,155A,Shubenacadie,59,30,0,6,42,5,4,146,221
Kings--Hants/Kings--Hants,155B,Shubenacadie,62,43,0,6,35,0,2,148,226
Kings--Hants/Kings--Hants,156,Shubenacadie,59,20,0,4,49,2,0,134,237
Kings--Hants/Kings--Hants,157A,Milford Station,95,16,1,8,47,3,1,171,301
Kings--Hants/Kings--Hants,157B,Milford Station,51,28,1,2,37,3,0,122,240
Kings--Hants/Kings--Hants,158,Nine Mile River,28,29,2,6,22,2,0,89,163
Kings--Hants/Kings--Hants,159,Nine Mile River,103,72,1,21,61,7,3,268,446
Kings--Hants/Kings--Hants,160,Nine Mile River,90,58,4,2,44,2,2,202,379
Kings--Hants/Kings--Hants,161,Milford Station,57,31,1,8,39,6,0,142,230
Kings--Hants/Kings--Hants,162,Milford Station,56,23,0,4,29,7,1,120,191
Kings--Hants/Kings--Hants,163A,Lantz,49,31,0,9,53,8,0,150,292
Kings--Hants/Kings--Hants,163B,Lantz,63,28,0,13,35,5,1,145,306
Kings--Hants/Kings--Hants,164A,Lantz,69,31,0,8,28,6,1,143,244
Kings--Hants/Kings--Hants,164B,Lantz,67,26,1,15,38,5,0,152,269
Kings--Hants/Kings--Hants,165A,Lantz,85,43,1,13,53,7,0,202,404
Kings--Hants/Kings--Hants,165B,Lantz,89,59,1,9,46,0,2,206,406
Kings--Hants/Kings--Hants,166,Elmsdale,42,17,0,5,34,3,0,101,243
Kings--Hants/Kings--Hants,167,Elmsdale,121,49,0,6,63,6,1,246,466
Kings--Hants/Kings--Hants,168,Elmsdale,123,57,1,4,40,3,1,229,441
Kings--Hants/Kings--Hants,169,Enfield,134,56,2,3,75,5,3,278,476
Kings--Hants/Kings--Hants,170A,Enfield,56,31,0,4,33,7,1,132,275
Kings--Hants/Kings--Hants,170B,Enfield,55,32,2,12,27,11,1,140,273
Kings--Hants/Kings--Hants,171,Enfield,90,67,1,10,63,11,2,244,460
Kings--Hants/Kings--Hants,172,Elmsdale,41,22,0,0,28,4,0,95,166
Kings--Hants/Kings--Hants,173,Enfield,97,77,3,9,34,9,3,232,433
Kings--Hants/Kings--Hants,174A,Enfield,78,43,2,4,41,5,0,173,256
Kings--Hants/Kings--Hants,174B,Enfield,67,41,2,3,45,11,1,170,269
Kings--Hants/Kings--Hants,175,Micmac,34,24,2,1,7,5,0,73,128
Kings--Hants/Kings--Hants,176,Micmac,27,39,0,1,6,3,0,76,372
Kings--Hants/Kings--Hants,500,Mobile poll/Bureau itinérant,60,4,3,0,38,2,6,113,224
Kings--Hants/Kings--Hants,501,Mobile poll/Bureau itinérant,32,7,2,0,39,4,8,92,169
Kings--Hants/Kings--Hants,600,Canning,58,8,1,0,44,5,3,119,
Kings--Hants/Kings--Hants,601,Centreville,100,34,2,1,115,13,1,266,
Kings--Hants/Kings--Hants,602,Kentville,193,46,1,3,213,16,2,474,
Kings--Hants/Kings--Hants,603,New Minas,145,27,0,2,147,1,0,322,
Kings--Hants/Kings--Hants,604,Wolfville,176,53,0,2,94,18,2,345,
Kings--Hants/Kings--Hants,605,Hantsport,56,11,0,1,38,5,0,111,
Kings--Hants/Kings--Hants,606,Windsor,256,37,3,6,137,10,4,453,
Kings--Hants/Kings--Hants,607,Summerville,58,16,1,1,26,5,1,108,
Kings--Hants/Kings--Hants,608,Mount Uniacke,88,59,0,0,62,5,0,214,
Kings--Hants/Kings--Hants,609,Noel,59,18,0,3,26,4,0,110,
Kings--Hants/Kings--Hants,610,Shubenacadie,160,68,1,16,134,5,1,385,
Kings--Hants/Kings--Hants,,Group 1/Groupe 1,69,17,3,0,75,12,6,182,538
Kings--Hants/Kings--Hants,,Group 2/Groupe 2,294,97,7,5,218,23,10,654,
