District,Poll Number,Poll Name,Patrick Clune,Normand Fournier,Monique Garcia,Diane Joubert,Maka Kotto,Yolande Thibeault,Rejected Ballots,Total Vote,Electors
Saint-Lambert/Saint-Lambert,1A,Longueuil,18,0,3,5,104,89,6,225,470
Saint-Lambert/Saint-Lambert,1B,Longueuil,15,0,2,0,80,81,3,181,407
Saint-Lambert/Saint-Lambert,1C,Longueuil,16,1,11,9,90,104,3,234,515
Saint-Lambert/Saint-Lambert,2,Longueuil,13,2,7,5,93,101,7,228,461
Saint-Lambert/Saint-Lambert,3,Longueuil,8,0,15,5,112,48,4,192,316
Saint-Lambert/Saint-Lambert,4,Longueuil,9,1,10,11,147,48,0,226,373
Saint-Lambert/Saint-Lambert,5,Longueuil,7,0,5,13,138,33,1,197,417
Saint-Lambert/Saint-Lambert,6,Longueuil,17,1,11,5,128,48,8,218,454
Saint-Lambert/Saint-Lambert,7,Longueuil,17,1,2,2,74,26,1,123,330
Saint-Lambert/Saint-Lambert,8,Longueuil,10,0,7,4,90,30,5,146,359
Saint-Lambert/Saint-Lambert,9,Longueuil,7,1,9,6,101,27,2,153,295
Saint-Lambert/Saint-Lambert,10,Longueuil,11,0,6,5,100,27,3,152,297
Saint-Lambert/Saint-Lambert,11A,Longueuil,9,0,10,1,68,89,3,180,378
Saint-Lambert/Saint-Lambert,11B,Longueuil,5,0,8,2,87,71,2,175,377
Saint-Lambert/Saint-Lambert,12A,Longueuil,5,0,9,1,55,59,2,131,334
Saint-Lambert/Saint-Lambert,12B,Longueuil,7,2,4,2,45,61,1,122,369
Saint-Lambert/Saint-Lambert,13,Longueuil,Void,,,,,,,,
Saint-Lambert/Saint-Lambert,14,Longueuil,Void,,,,,,,,
Saint-Lambert/Saint-Lambert,15,Longueuil,Void,,,,,,,,
Saint-Lambert/Saint-Lambert,16,Longueuil,9,0,5,5,78,15,1,113,239
Saint-Lambert/Saint-Lambert,17,Longueuil,11,2,12,13,106,60,1,205,493
Saint-Lambert/Saint-Lambert,18,Longueuil,9,0,13,10,157,37,4,230,404
Saint-Lambert/Saint-Lambert,19,Longueuil,21,1,15,1,133,49,2,222,425
Saint-Lambert/Saint-Lambert,20,Longueuil,12,0,14,10,153,75,6,270,533
Saint-Lambert/Saint-Lambert,21,Longueuil,6,2,3,7,91,33,3,145,250
Saint-Lambert/Saint-Lambert,22,Longueuil,11,0,9,3,121,54,7,205,375
Saint-Lambert/Saint-Lambert,23,Longueuil,8,0,13,4,121,35,4,185,388
Saint-Lambert/Saint-Lambert,24,Longueuil,7,2,9,5,103,40,5,171,319
Saint-Lambert/Saint-Lambert,25,Longueuil,5,0,14,10,143,35,2,209,459
Saint-Lambert/Saint-Lambert,26,Longueuil,10,1,7,3,106,29,4,160,342
Saint-Lambert/Saint-Lambert,27,Longueuil,13,1,8,8,110,43,5,188,405
Saint-Lambert/Saint-Lambert,28,Longueuil,13,2,4,5,147,43,11,225,449
Saint-Lambert/Saint-Lambert,29,Longueuil,3,1,7,1,103,51,5,171,377
Saint-Lambert/Saint-Lambert,30,Longueuil,12,1,5,4,103,21,3,149,299
Saint-Lambert/Saint-Lambert,31,Longueuil,4,2,10,5,147,45,5,218,461
Saint-Lambert/Saint-Lambert,32,Longueuil,8,0,6,8,148,31,11,212,446
Saint-Lambert/Saint-Lambert,33,Longueuil,13,1,4,3,152,28,7,208,383
Saint-Lambert/Saint-Lambert,34,Longueuil,13,0,18,3,125,54,4,217,465
Saint-Lambert/Saint-Lambert,35,Longueuil,12,2,8,11,109,72,5,219,415
