District,Poll Number,Poll Name,Normand Beaudet,Diane Bourgeois,Martin Drapeau,Pierre Gingras,Patrick Légaré,Rejected Ballots,Total Vote,Electors
Terrebonne--Blainville/Terrebonne--Blainville,58,Terrebonne,5,162,7,42,11,9,236,349
Terrebonne--Blainville/Terrebonne--Blainville,59,Terrebonne,5,120,5,43,11,6,190,410
Terrebonne--Blainville/Terrebonne--Blainville,60,Terrebonne,6,132,4,32,6,3,183,303
Terrebonne--Blainville/Terrebonne--Blainville,61,Terrebonne,7,111,12,51,10,4,195,313
Terrebonne--Blainville/Terrebonne--Blainville,62,Terrebonne,7,111,5,27,8,0,158,270
Terrebonne--Blainville/Terrebonne--Blainville,63,Terrebonne,7,135,4,53,6,5,210,437
Terrebonne--Blainville/Terrebonne--Blainville,64,Terrebonne,9,150,2,28,12,6,207,386
Terrebonne--Blainville/Terrebonne--Blainville,65,Terrebonne,7,109,4,30,5,9,164,271
Terrebonne--Blainville/Terrebonne--Blainville,66,Terrebonne,4,159,7,37,8,8,223,440
Terrebonne--Blainville/Terrebonne--Blainville,67,Terrebonne,9,129,10,47,6,5,206,331
Terrebonne--Blainville/Terrebonne--Blainville,68,Terrebonne,0,198,5,26,16,1,246,434
Terrebonne--Blainville/Terrebonne--Blainville,69,Terrebonne,7,192,10,40,15,6,270,402
Terrebonne--Blainville/Terrebonne--Blainville,70,Terrebonne,10,86,3,23,5,3,130,243
Terrebonne--Blainville/Terrebonne--Blainville,71,Terrebonne,8,141,10,33,0,6,198,357
Terrebonne--Blainville/Terrebonne--Blainville,72,Terrebonne,2,130,9,38,16,5,200,369
Terrebonne--Blainville/Terrebonne--Blainville,73,Terrebonne,5,186,5,48,10,10,264,440
Terrebonne--Blainville/Terrebonne--Blainville,74,Terrebonne,7,131,8,23,14,4,187,483
Terrebonne--Blainville/Terrebonne--Blainville,75,Terrebonne,5,176,6,67,12,6,272,529
Terrebonne--Blainville/Terrebonne--Blainville,76,Terrebonne,4,122,10,37,5,5,183,390
Terrebonne--Blainville/Terrebonne--Blainville,77,Terrebonne,10,112,11,37,2,4,176,337
Terrebonne--Blainville/Terrebonne--Blainville,78,Terrebonne,7,161,8,40,4,9,229,471
Terrebonne--Blainville/Terrebonne--Blainville,79,Terrebonne,13,173,7,56,17,4,270,407
Terrebonne--Blainville/Terrebonne--Blainville,80,Terrebonne,12,246,11,38,12,7,326,581
Terrebonne--Blainville/Terrebonne--Blainville,81,Terrebonne,11,132,10,27,6,8,194,390
Terrebonne--Blainville/Terrebonne--Blainville,82,Terrebonne,3,141,10,31,10,2,197,421
Terrebonne--Blainville/Terrebonne--Blainville,83,Terrebonne,5,199,5,41,19,10,279,493
Terrebonne--Blainville/Terrebonne--Blainville,84,Terrebonne,8,175,7,46,6,11,253,385
Terrebonne--Blainville/Terrebonne--Blainville,85,Terrebonne,7,210,2,34,15,6,274,447
Terrebonne--Blainville/Terrebonne--Blainville,86,Terrebonne,9,211,11,42,15,7,295,516
Terrebonne--Blainville/Terrebonne--Blainville,87,Terrebonne,9,184,4,40,6,0,243,392
Terrebonne--Blainville/Terrebonne--Blainville,88,Terrebonne,12,165,7,44,11,4,243,482
Terrebonne--Blainville/Terrebonne--Blainville,89,Terrebonne,11,167,11,38,11,9,247,430
Terrebonne--Blainville/Terrebonne--Blainville,90,Terrebonne,10,221,15,52,12,10,320,504
Terrebonne--Blainville/Terrebonne--Blainville,91,Terrebonne,10,156,5,51,19,6,247,399
