District,Poll Number,Poll Name,Alice Brown,Gordon Campbell,K. No. Daniels,Claire A. Foss,Will Hansma,Blair T. Longley,Erin Nelson,Darrel Stinson,Rejected Ballots,Total Vote,Electors
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,1,Seymour Arm,7,0,0,0,4,0,10,19,0,40,53
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,2A,Anglemont,38,3,0,0,32,1,6,70,2,152,296
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,2B,Anglemont,37,1,0,2,34,4,8,100,0,186,293
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,3A,Scotch Creek,41,1,0,2,48,3,9,112,1,217,352
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,3B,Scotch Creek,53,2,1,1,44,7,6,96,1,211,386
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,4,Adams River,66,2,2,0,47,4,12,101,1,235,359
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,5,Quaaout 1,26,1,0,0,18,2,6,24,0,77,186
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,6,Barrière--Louis Creek,Void,,,,,,,,,,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,7,Chase,63,3,0,1,71,3,13,75,1,230,363
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,8,East Shuswap Rd.,Void,,,,,,,,,,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,9A,Chase,49,3,1,1,43,2,6,96,0,201,378
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,9B,Chase,42,3,0,3,45,3,5,107,1,209,398
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,10,Chase,54,1,0,0,75,2,17,116,0,265,455
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,11,Chase,67,1,0,1,68,3,13,109,0,262,523
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,12,Chase,Void,,,,,,,,,,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,13,Pritchard,Void,,,,,,,,,,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,14A,Chase,27,1,0,1,20,2,5,30,0,86,171
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,14B,Chase,34,2,1,0,18,1,5,43,0,104,214
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,15,Monte Lake--Westwold,Void,,,,,,,,,,
