District,Poll Number,Poll Name,Will Arlow,Ken DeVries,Gar Knutson,Tim McCallum,Joe Preston,Julie-Ann Stodolny,Rejected Ballots,Total Vote,Electors
Elgin--Middlesex--London/Elgin--Middlesex--London,1,Cherry Grove,1,6,116,40,136,17,1,317,485
Elgin--Middlesex--London/Elgin--Middlesex--London,2,Wellburn,1,6,68,33,144,14,0,266,381
Elgin--Middlesex--London/Elgin--Middlesex--London,3,Thorndale,6,4,48,45,90,15,1,209,357
Elgin--Middlesex--London/Elgin--Middlesex--London,4,Bryanston,0,3,92,32,145,17,0,289,474
Elgin--Middlesex--London/Elgin--Middlesex--London,5,West Nissouri,0,7,93,52,124,19,0,295,524
Elgin--Middlesex--London/Elgin--Middlesex--London,6,Evelyn,1,1,50,8,57,19,1,137,229
Elgin--Middlesex--London/Elgin--Middlesex--London,7,London,0,8,139,28,148,8,2,333,568
Elgin--Middlesex--London/Elgin--Middlesex--London,8,London,1,3,146,18,115,2,0,285,463
Elgin--Middlesex--London/Elgin--Middlesex--London,9,London,0,8,152,36,152,20,0,368,542
Elgin--Middlesex--London/Elgin--Middlesex--London,10,London,0,2,73,19,62,8,1,165,318
Elgin--Middlesex--London/Elgin--Middlesex--London,11,London,0,6,132,36,116,14,3,307,518
Elgin--Middlesex--London/Elgin--Middlesex--London,12,London,2,1,103,16,83,7,0,212,354
Elgin--Middlesex--London/Elgin--Middlesex--London,13,London,0,2,98,19,80,14,1,214,339
Elgin--Middlesex--London/Elgin--Middlesex--London,14,London,0,3,107,7,134,10,0,261,431
Elgin--Middlesex--London/Elgin--Middlesex--London,15,London,0,1,51,12,35,4,0,103,174
Elgin--Middlesex--London/Elgin--Middlesex--London,16,London,1,2,47,20,61,7,2,140,282
Elgin--Middlesex--London/Elgin--Middlesex--London,17,London,0,2,75,16,84,5,3,185,369
Elgin--Middlesex--London/Elgin--Middlesex--London,18A,London,3,3,49,28,21,2,0,106,277
Elgin--Middlesex--London/Elgin--Middlesex--London,18B,London,1,1,42,25,24,2,1,96,289
Elgin--Middlesex--London/Elgin--Middlesex--London,19,London,0,3,76,52,29,16,2,178,338
Elgin--Middlesex--London/Elgin--Middlesex--London,20,London,1,5,98,58,49,16,1,228,427
Elgin--Middlesex--London/Elgin--Middlesex--London,21,London,0,2,60,32,23,7,0,124,258
Elgin--Middlesex--London/Elgin--Middlesex--London,22,London,0,3,109,60,92,14,1,279,507
Elgin--Middlesex--London/Elgin--Middlesex--London,23,London,0,1,29,31,20,9,1,91,191
Elgin--Middlesex--London/Elgin--Middlesex--London,24,London,2,1,71,66,67,13,2,222,433
Elgin--Middlesex--London/Elgin--Middlesex--London,25,London,2,3,66,31,49,5,0,156,295
Elgin--Middlesex--London/Elgin--Middlesex--London,26,London,0,1,29,8,21,1,0,60,122
Elgin--Middlesex--London/Elgin--Middlesex--London,27,London,0,6,72,23,93,13,2,209,341
Elgin--Middlesex--London/Elgin--Middlesex--London,28,North Dorchester,1,5,50,22,92,14,2,186,378
Elgin--Middlesex--London/Elgin--Middlesex--London,29,North Dorchester,0,12,76,15,102,8,0,213,374
Elgin--Middlesex--London/Elgin--Middlesex--London,30,Dorchester,0,0,41,21,35,2,0,99,166
Elgin--Middlesex--London/Elgin--Middlesex--London,31,Dorchester,0,3,67,46,88,9,0,213,346
Elgin--Middlesex--London/Elgin--Middlesex--London,32,Dorchester,0,9,92,61,106,13,1,282,511
Elgin--Middlesex--London/Elgin--Middlesex--London,33,Dorchester,1,10,104,38,144,16,0,313,509
Elgin--Middlesex--London/Elgin--Middlesex--London,34,Dorchester,0,10,120,33,109,13,1,286,445
Elgin--Middlesex--London/Elgin--Middlesex--London,35,Dorchester,0,3,84,13,61,12,0,173,284
Elgin--Middlesex--London/Elgin--Middlesex--London,36,Dorchester,0,4,103,19,93,4,0,223,374
Elgin--Middlesex--London/Elgin--Middlesex--London,37,Dorchester,0,2,112,26,116,9,0,265,460
Elgin--Middlesex--London/Elgin--Middlesex--London,38A,Dorchester,1,2,80,22,69,14,0,188,335
Elgin--Middlesex--London/Elgin--Middlesex--London,38B,Dorchester,0,5,77,25,89,12,0,208,341
Elgin--Middlesex--London/Elgin--Middlesex--London,39,Nilestown,1,0,87,23,78,11,0,200,339
Elgin--Middlesex--London/Elgin--Middlesex--London,40,North Dorchester,0,3,80,35,107,16,0,241,413
Elgin--Middlesex--London/Elgin--Middlesex--London,41,Putnam,1,5,80,46,113,17,0,262,494
Elgin--Middlesex--London/Elgin--Middlesex--London,42,Belmont,0,7,91,41,83,12,0,234,334
Elgin--Middlesex--London/Elgin--Middlesex--London,43,Belmont,2,9,120,25,113,10,0,279,471
Elgin--Middlesex--London/Elgin--Middlesex--London,44,Belmont,0,0,53,28,43,6,0,130,186
Elgin--Middlesex--London/Elgin--Middlesex--London,45,Belmont,0,1,81,40,89,7,1,219,336
Elgin--Middlesex--London/Elgin--Middlesex--London,46,Gladstone,0,5,86,26,129,16,2,264,441
Elgin--Middlesex--London/Elgin--Middlesex--London,47,Crampton,0,12,103,27,133,23,1,299,485
Elgin--Middlesex--London/Elgin--Middlesex--London,48,Wardsville,1,3,62,26,59,12,0,163,245
Elgin--Middlesex--London/Elgin--Middlesex--London,49,West Lorne,0,4,42,22,79,12,0,159,298
Elgin--Middlesex--London/Elgin--Middlesex--London,50,Rodney,1,4,49,35,77,7,0,173,310
Elgin--Middlesex--London/Elgin--Middlesex--London,51,Rodney,0,5,48,28,46,6,0,133,221
Elgin--Middlesex--London/Elgin--Middlesex--London,52,Rodney,1,3,49,29,62,18,1,163,343
Elgin--Middlesex--London/Elgin--Middlesex--London,53,Rodney,0,2,62,29,65,11,3,172,294
Elgin--Middlesex--London/Elgin--Middlesex--London,54,West Lorne,0,10,93,55,135,7,1,301,510
Elgin--Middlesex--London/Elgin--Middlesex--London,55,West Lorne,0,10,92,58,66,13,1,240,495
Elgin--Middlesex--London/Elgin--Middlesex--London,56,West Lorne,1,3,72,31,54,15,1,177,326
Elgin--Middlesex--London/Elgin--Middlesex--London,57,West Lorne,2,5,49,28,57,7,1,149,302
Elgin--Middlesex--London/Elgin--Middlesex--London,58,West Lorne,3,1,43,20,60,2,0,129,254
Elgin--Middlesex--London/Elgin--Middlesex--London,59,West Lorne,0,9,54,26,66,9,0,164,285
Elgin--Middlesex--London/Elgin--Middlesex--London,60,Dunwich,0,3,80,47,88,6,2,226,338
Elgin--Middlesex--London/Elgin--Middlesex--London,61,Dunwich,0,3,27,27,56,4,0,117,188
Elgin--Middlesex--London/Elgin--Middlesex--London,62A,Dutton,0,1,43,40,50,4,0,138,220
Elgin--Middlesex--London/Elgin--Middlesex--London,62B,Dutton,0,1,43,40,50,4,0,138,278
Elgin--Middlesex--London/Elgin--Middlesex--London,62C,Mobile poll/Bureau itinérant,Merged with No. 187B,,,,,,,,49
Elgin--Middlesex--London/Elgin--Middlesex--London,63A,Dutton,1,2,53,37,69,9,1,172,290
Elgin--Middlesex--London/Elgin--Middlesex--London,63B,Dutton,0,4,60,26,67,1,0,158,274
Elgin--Middlesex--London/Elgin--Middlesex--London,63C,Mobile poll/Bureau itinérant,Merged with No. 187B,,,,,,,,24
Elgin--Middlesex--London/Elgin--Middlesex--London,64,Dunwich,0,4,37,18,60,6,0,125,188
Elgin--Middlesex--London/Elgin--Middlesex--London,65,Dunwich,1,6,69,35,136,13,2,262,412
Elgin--Middlesex--London/Elgin--Middlesex--London,66,Dunwich,1,12,52,29,105,13,2,214,338
Elgin--Middlesex--London/Elgin--Middlesex--London,67,Southwold,0,3,61,26,82,6,0,178,353
Elgin--Middlesex--London/Elgin--Middlesex--London,68,Southwold,1,6,61,25,93,8,0,194,270
Elgin--Middlesex--London/Elgin--Middlesex--London,69,Southwold,0,6,71,38,113,7,0,235,368
Elgin--Middlesex--London/Elgin--Middlesex--London,70,Southwold,0,10,31,28,71,5,0,145,189
Elgin--Middlesex--London/Elgin--Middlesex--London,71,Southwold,0,2,89,23,104,10,1,229,364
Elgin--Middlesex--London/Elgin--Middlesex--London,72,Southwold,0,8,47,21,124,18,2,220,366
Elgin--Middlesex--London/Elgin--Middlesex--London,73,Southwold,1,6,53,15,70,7,0,152,270
Elgin--Middlesex--London/Elgin--Middlesex--London,74A,Southwold,1,3,56,25,76,8,2,171,283
Elgin--Middlesex--London/Elgin--Middlesex--London,74B,Southwold,0,5,73,12,80,7,5,182,301
Elgin--Middlesex--London/Elgin--Middlesex--London,75,Southwold,0,3,60,19,99,8,0,189,296
Elgin--Middlesex--London/Elgin--Middlesex--London,76,Port Stanley,0,0,52,31,72,5,2,162,273
Elgin--Middlesex--London/Elgin--Middlesex--London,77A,Port Stanley,0,3,47,20,62,5,1,138,266
Elgin--Middlesex--London/Elgin--Middlesex--London,77B,Port Stanley,1,1,74,25,55,3,2,161,285
Elgin--Middlesex--London/Elgin--Middlesex--London,78,Port Stanley,2,3,83,28,71,14,1,202,350
Elgin--Middlesex--London/Elgin--Middlesex--London,79,Port Stanley,1,0,48,20,39,6,0,114,220
Elgin--Middlesex--London/Elgin--Middlesex--London,80,Port Stanley,1,2,59,28,69,10,1,170,339
Elgin--Middlesex--London/Elgin--Middlesex--London,81,Port Stanley,0,3,83,31,65,15,0,197,376
Elgin--Middlesex--London/Elgin--Middlesex--London,82,Yarmouth,0,5,122,35,127,4,0,293,549
Elgin--Middlesex--London/Elgin--Middlesex--London,83,St. Thomas,0,5,95,35,129,7,4,275,514
