District,Poll Number,Poll Name,Larry Bagnell,Pam Boyde,Geoffrey Capp,Sean Davey,James Hartle,Philippe LeBlond,Rejected Ballots,Total Vote,Electors
Yukon/Yukon,1,Old Crow,49,12,1,2,9,1,0,74,183
Yukon/Yukon,2,Northwest Dawson,Merged with No. 3A,,,,,,,,10
Yukon/Yukon,3A,Dawson,86,38,0,4,31,8,0,167,296
Yukon/Yukon,3B,Dawson,57,52,1,6,28,6,2,152,279
Yukon/Yukon,3C,Dawson,55,39,0,3,21,3,1,122,237
Yukon/Yukon,4,Klondike,90,63,1,12,45,8,2,221,380
Yukon/Yukon,5,Stewart Crossing,1,6,0,2,6,1,0,16,35
Yukon/Yukon,6,Keno Hill,2,5,0,0,4,0,0,11,24
Yukon/Yukon,7,Mayo,61,47,1,8,26,8,2,153,304
Yukon/Yukon,8,Beaver Creek,16,16,0,0,8,1,1,42,88
Yukon/Yukon,9,Pelly Crossing,17,22,1,3,14,1,0,58,200
Yukon/Yukon,10,Carmacks,27,49,1,4,30,6,1,118,268
Yukon/Yukon,11,Faro,42,39,0,6,41,7,1,136,283
Yukon/Yukon,12,Ross River,21,35,3,5,32,1,0,97,230
Yukon/Yukon,13,Burwash Landing,21,6,1,0,4,1,1,34,69
Yukon/Yukon,14,Destruction Bay,4,4,1,3,11,3,0,26,40
Yukon/Yukon,15,Haines Junction,28,12,1,1,18,1,0,61,90
Yukon/Yukon,16,Haines Junction,92,60,5,6,70,16,0,249,452
Yukon/Yukon,17,Upper Laberge,36,17,2,0,42,8,0,105,180
Yukon/Yukon,18,Champagne,8,8,1,0,7,1,1,26,42
Yukon/Yukon,19,Takhini,38,37,1,1,17,4,0,98,156
Yukon/Yukon,20,Takhini,88,75,2,3,74,12,0,254,410
Yukon/Yukon,21,MacRae,70,52,1,4,23,14,0,164,247
Yukon/Yukon,22,Whitehorse,79,38,0,3,41,10,2,173,303
Yukon/Yukon,23,Whitehorse,54,41,1,6,32,4,0,138,270
Yukon/Yukon,24,Whitehorse,58,32,0,6,20,7,0,123,212
Yukon/Yukon,25,Whitehorse,26,25,1,4,25,5,0,86,169
Yukon/Yukon,26,Whitehorse,54,45,3,2,35,6,3,148,321
Yukon/Yukon,27,Whitehorse,46,27,2,4,31,5,1,116,246
Yukon/Yukon,28,Whitehorse,85,32,0,2,28,2,0,149,247
Yukon/Yukon,29,Whitehorse,45,21,5,0,17,5,0,93,189
Yukon/Yukon,30,Whitehorse,92,27,1,2,49,9,1,181,356
Yukon/Yukon,31,Whitehorse,78,39,0,3,21,3,0,144,266
Yukon/Yukon,32,Whitehorse,107,24,1,2,30,5,0,169,246
Yukon/Yukon,33,Whitehorse,104,34,2,3,33,9,1,186,327
Yukon/Yukon,34,Whitehorse,54,27,2,4,31,1,0,119,275
Yukon/Yukon,35,Whitehorse,148,23,2,3,40,11,0,227,349
Yukon/Yukon,36,Whitehorse,139,84,1,6,27,21,0,278,525
Yukon/Yukon,37,Whitehorse,31,13,0,3,10,4,0,61,177
Yukon/Yukon,38,Whitehorse,27,16,0,0,15,3,0,61,181
Yukon/Yukon,39,Whitehorse,69,59,0,3,30,11,2,174,317
Yukon/Yukon,40,Whitehorse,51,50,0,4,12,2,0,119,276
Yukon/Yukon,41,Whitehorse,163,51,0,4,50,9,1,278,546
Yukon/Yukon,42,Whitehorse,120,30,0,2,51,4,1,208,347
Yukon/Yukon,43,Whitehorse,162,45,0,4,57,6,0,274,479
Yukon/Yukon,44,Whitehorse,117,41,1,4,49,4,1,217,395
Yukon/Yukon,45,Whitehorse,92,17,2,1,36,7,0,155,256
Yukon/Yukon,46,Whitehorse,50,66,2,2,22,3,1,146,230
Yukon/Yukon,47,Whitehorse,37,22,4,5,15,4,1,88,182
Yukon/Yukon,48,Whitehorse,61,60,4,5,26,11,0,167,309
Yukon/Yukon,49,Whitehorse,79,61,0,5,22,12,0,179,325
Yukon/Yukon,50,Whitehorse,85,35,3,0,28,9,0,160,332
Yukon/Yukon,51,Whitehorse,52,39,0,2,15,11,0,119,228
Yukon/Yukon,52,Whitehorse,122,53,0,2,32,20,0,229,403
Yukon/Yukon,53,Whitehorse,50,43,1,4,32,9,0,139,256
Yukon/Yukon,54,Whitehorse,58,39,0,4,19,3,1,124,249
Yukon/Yukon,55,Whitehorse,138,42,0,1,41,11,0,233,377
Yukon/Yukon,56,Whitehorse,120,50,1,4,49,9,1,234,399
Yukon/Yukon,57,Whitehorse,88,50,1,6,21,9,1,176,395
Yukon/Yukon,58,Whitehorse,110,48,2,4,40,8,1,213,358
Yukon/Yukon,59,Whitehorse,149,62,2,2,66,16,1,298,464
Yukon/Yukon,60,Whitehorse,116,54,0,1,32,17,1,221,384
Yukon/Yukon,61,MacRae,59,42,1,0,25,4,0,131,330
Yukon/Yukon,62,MacRae,118,67,0,2,48,11,2,248,417
Yukon/Yukon,63,MacRae,85,44,0,4,30,16,0,179,300
Yukon/Yukon,64,MacRae,54,61,2,4,45,6,0,172,258
Yukon/Yukon,65,Marsh Lake,104,59,1,2,72,10,1,249,370
Yukon/Yukon,66,Carcross,57,42,1,13,29,7,1,150,328
Yukon/Yukon,67,Tagish,36,24,0,6,33,1,1,101,174
Yukon/Yukon,68,Johnsons Crossing,2,1,0,0,6,0,0,9,14
Yukon/Yukon,69,Teslin,60,62,1,12,38,2,0,175,317
Yukon/Yukon,70,Swift River,22,21,0,5,27,2,0,77,162
Yukon/Yukon,71,Tuchitua,68,41,1,8,50,4,3,175,444
Yukon/Yukon,72,Watson Lake,43,18,6,1,55,5,0,128,236
Yukon/Yukon,73,Watson Lake,38,13,2,4,31,3,0,91,188
Yukon/Yukon,500,Mobile poll/Bureau itinérant,16,10,2,2,6,6,0,42,78
Yukon/Yukon,600,Old Crow,13,5,1,0,1,0,1,21,
Yukon/Yukon,601,Dawson City,19,12,0,1,12,0,0,44,
Yukon/Yukon,602,Mayo,15,7,0,0,5,1,0,28,
Yukon/Yukon,603,Beaver Creek,6,4,0,2,0,1,1,14,
Yukon/Yukon,604,Burwash Landing,11,5,0,0,1,0,0,17,
Yukon/Yukon,605,Haines Junction,10,11,0,1,10,1,0,33,
Yukon/Yukon,606,Pelly Crossing,21,12,0,10,8,0,0,51,
Yukon/Yukon,607,Carmacks,6,3,2,0,4,0,0,15,
Yukon/Yukon,608,Faro,14,5,0,1,10,1,0,31,
Yukon/Yukon,609,Ross River,7,1,0,3,3,0,0,14,
Yukon/Yukon,610,Whitehorse,80,44,5,1,28,4,0,162,
Yukon/Yukon,611,Whitehorse,101,40,1,1,33,8,0,184,
Yukon/Yukon,612,Whitehorse,100,55,1,0,35,9,0,200,
Yukon/Yukon,613,Golden Horn,23,19,0,1,18,7,1,69,
Yukon/Yukon,614,Carcross,4,9,0,3,11,0,0,27,
Yukon/Yukon,615,Teslin,11,5,0,1,5,0,0,22,
Yukon/Yukon,616,Watson Lake,13,7,1,2,14,7,1,45,
Yukon/Yukon,,Group 1/Groupe 1,11,5,0,6,11,3,1,37,60
Yukon/Yukon,,Group 2/Groupe 2,272,203,4,8,123,36,4,650,
