District,Poll Number,Poll Name,Robert A. Cruise,Paul Forman,David Tremblay,Jeff Watson,Susan Whelan,Rejected Ballots,Total Vote,Electors
Essex/Essex,600,Lakeshore,0,16,152,192,193,1,554,
Essex/Essex,601,Lakeshore,1,15,108,185,172,1,482,
Essex/Essex,602,LaSalle,1,25,109,253,188,4,580,
Essex/Essex,603,LaSalle,1,19,128,289,241,3,681,
Essex/Essex,604,Amherstburg,0,8,64,184,138,1,395,
Essex/Essex,605,Amherstburg,1,8,87,218,194,1,509,
Essex/Essex,606,Essex,0,0,21,48,30,0,99,
Essex/Essex,607,Colchester South,0,20,47,188,131,2,388,
Essex/Essex,608,Essex,0,18,73,200,106,1,398,
Essex/Essex,609,Gosfield South,1,5,30,126,65,1,228,
Essex/Essex,610,Kingsville,1,25,81,345,195,3,650,
Essex/Essex,,Group 1/Groupe 1,0,2,7,35,13,1,58,139
Essex/Essex,,Group 2/Groupe 2,2,12,105,228,166,3,516,
