District,Poll Number,Poll Name,Raynald Blais,Guy De Coste,Bob Eichenberger,Georges Farrah,Philip Toone,Rejected Ballots,Total Vote,Electors
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,1,Murdochville,87,11,2,27,3,4,134,266
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,2,Murdochville,60,3,3,27,8,3,104,209
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,3,Murdochville,66,11,0,16,8,1,102,196
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,4,Grande-Vallée,95,19,4,17,0,5,140,255
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,5,Grande-Vallée,136,35,5,33,0,1,210,370
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,6,Grande-Vallée,130,14,3,55,0,4,206,405
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,7,Cloridorme,88,2,1,31,3,0,125,180
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,8A,Cloridorme,48,7,0,29,2,0,86,209
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,8B,Cloridorme,79,8,1,66,0,0,154,336
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,9,Saint-Yvon,Merged with No. 10,,,,,,,85
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,10,Saint-Yvon,42,7,1,43,0,1,94,106
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,11,Gaspé,108,12,0,38,0,3,161,480
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,12,Gaspé,94,15,1,42,0,0,152,370
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,12-1,Gaspé,76,4,2,17,0,1,100,235
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,13,Gaspé,64,10,1,14,0,1,90,174
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,14,Gaspé,Merged with No. 13,,,,,,,77
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,15,Gaspé,48,3,1,10,0,0,62,127
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,16,Gaspé,172,16,1,64,1,6,260,734
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,17,Gaspé,114,8,2,25,0,2,151,386
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,18,Gaspé,69,8,0,36,0,0,113,359
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,19,Gaspé,97,7,1,37,1,4,147,429
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,20,Gaspé,76,7,0,15,1,2,101,273
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,21,Gaspé,84,9,2,21,2,4,122,290
Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine,22,Gaspé,68,5,0,7,1,1,82,203
