District,Poll Number,Poll Name,Ken Dryden,Peter Flaherty,Constantine Kritsonis,Michael Mostyn,Max Royz,Rejected Ballots,Total Vote,Electors
York Centre/York-Centre,1A,North York,54,30,2,35,3,1,125,232
York Centre/York-Centre,1B,North York,59,36,4,29,1,5,134,283
York Centre/York-Centre,2,North York,Void,,,,,,,
York Centre/York-Centre,3,North York,124,24,8,73,11,3,243,465
York Centre/York-Centre,4,North York,142,30,10,39,2,0,223,375
York Centre/York-Centre,5,North York,128,36,7,50,8,2,231,440
York Centre/York-Centre,6,North York,120,22,10,54,0,3,209,372
York Centre/York-Centre,7,North York,120,16,10,48,2,3,199,364
York Centre/York-Centre,8,North York,121,35,4,51,7,3,221,371
York Centre/York-Centre,9,North York,105,28,7,70,2,2,214,454
York Centre/York-Centre,10,North York,72,15,7,40,3,2,139,279
York Centre/York-Centre,11A,North York,53,17,4,26,7,1,108,231
York Centre/York-Centre,11B,North York,28,13,1,34,1,0,77,166
York Centre/York-Centre,12,North York,95,36,3,58,12,0,204,408
York Centre/York-Centre,13,North York,50,5,1,14,1,0,71,152
York Centre/York-Centre,14A,North York,17,2,1,5,4,0,29,114
York Centre/York-Centre,14B,North York,37,3,4,42,15,1,102,153
York Centre/York-Centre,14C,North York,45,10,4,38,4,0,101,213
York Centre/York-Centre,15,North York,98,21,5,42,1,2,169,345
York Centre/York-Centre,16,North York,141,30,10,76,1,0,258,424
York Centre/York-Centre,17,North York,152,41,8,50,1,0,252,434
York Centre/York-Centre,18,North York,127,24,8,53,0,1,213,372
York Centre/York-Centre,19,North York,112,39,4,25,3,1,184,437
York Centre/York-Centre,20,North York,79,19,3,55,4,1,161,482
York Centre/York-Centre,21,North York,204,20,11,60,4,0,299,548
York Centre/York-Centre,22,North York,133,24,7,54,2,0,220,412
York Centre/York-Centre,23,North York,141,26,10,60,1,0,238,440
York Centre/York-Centre,24,North York,120,23,5,45,1,3,197,363
York Centre/York-Centre,25,North York,104,30,5,68,1,0,208,395
York Centre/York-Centre,26A,North York,30,9,5,17,8,3,72,189
York Centre/York-Centre,26B,North York,40,10,1,38,3,0,92,203
York Centre/York-Centre,27,North York,81,24,4,53,1,0,163,327
York Centre/York-Centre,28,North York,89,11,4,51,4,1,160,301
York Centre/York-Centre,29,North York,92,9,7,58,92,20,278,377
York Centre/York-Centre,30A,North York,31,6,2,11,2,0,52,132
York Centre/York-Centre,30B,North York,19,2,3,15,3,1,43,84
York Centre/York-Centre,30C,North York,85,15,7,59,7,6,179,254
York Centre/York-Centre,31,North York,89,23,6,54,5,4,181,346
York Centre/York-Centre,32,North York,84,19,10,70,26,0,209,479
York Centre/York-Centre,33,North York,57,21,6,58,11,1,154,297
York Centre/York-Centre,34,North York,101,11,2,55,3,0,172,296
York Centre/York-Centre,35,North York,86,9,7,91,5,0,198,456
York Centre/York-Centre,36,North York,125,34,12,76,10,2,259,545
York Centre/York-Centre,37,North York,112,15,11,139,4,0,281,455
York Centre/York-Centre,38,North York,86,21,2,123,0,0,232,409
York Centre/York-Centre,39,North York,160,12,10,119,13,1,315,514
York Centre/York-Centre,40,North York,76,12,5,91,2,0,186,409
York Centre/York-Centre,41A,North York,27,18,2,14,2,1,64,126
York Centre/York-Centre,41B,North York,23,12,2,13,7,2,59,156
York Centre/York-Centre,41C,North York,33,6,1,31,5,2,78,140
York Centre/York-Centre,42,North York,72,20,10,26,4,2,134,258
York Centre/York-Centre,43A,North York,23,3,1,18,3,1,49,130
York Centre/York-Centre,43B,North York,35,16,4,22,3,0,80,138
York Centre/York-Centre,43C,North York,17,16,6,22,9,2,72,181
York Centre/York-Centre,44,North York,34,19,6,51,10,2,122,259
York Centre/York-Centre,45,North York,135,19,7,113,23,1,298,490
York Centre/York-Centre,46,North York,60,21,6,36,4,0,127,333
York Centre/York-Centre,47,North York,59,15,5,60,7,0,146,221
York Centre/York-Centre,48,North York,76,21,3,76,4,2,182,352
York Centre/York-Centre,49A,North York,91,12,4,72,10,0,189,271
York Centre/York-Centre,49B,North York,95,18,0,75,5,3,196,313
York Centre/York-Centre,50,North York,108,24,10,32,6,0,180,447
York Centre/York-Centre,51,North York,136,24,5,76,6,0,247,505
York Centre/York-Centre,52,North York,74,13,4,74,4,2,171,395
York Centre/York-Centre,53,North York,132,16,6,117,9,4,284,462
York Centre/York-Centre,54A,North York,65,16,4,25,3,1,114,268
York Centre/York-Centre,54B,North York,44,20,2,17,3,1,87,169
York Centre/York-Centre,55,North York,33,9,2,6,0,0,50,199
York Centre/York-Centre,56A,North York,80,16,5,43,0,2,146,272
York Centre/York-Centre,56B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,45
York Centre/York-Centre,57,North York,65,17,4,29,1,1,117,386
York Centre/York-Centre,58A,North York,29,20,3,8,27,1,88,173
York Centre/York-Centre,58B,North York,74,26,2,67,4,2,175,362
York Centre/York-Centre,59A,North York,14,10,1,18,1,0,44,90
York Centre/York-Centre,59B,North York,35,15,4,20,7,3,84,149
York Centre/York-Centre,60A,North York,42,20,3,35,13,0,113,226
York Centre/York-Centre,60B,North York,75,22,4,24,2,3,130,214
York Centre/York-Centre,61,North York,98,23,4,54,8,0,187,484
York Centre/York-Centre,62,North York,75,42,4,44,7,1,173,464
York Centre/York-Centre,63A,North York,4,2,0,6,0,1,13,46
York Centre/York-Centre,63B,North York,89,9,7,66,0,1,172,352
York Centre/York-Centre,64,North York,113,13,8,107,0,1,242,408
York Centre/York-Centre,65,North York,99,16,15,68,1,0,199,322
York Centre/York-Centre,66,North York,79,19,4,25,2,3,132,379
York Centre/York-Centre,67,North York,80,19,4,42,2,1,148,266
York Centre/York-Centre,68,North York,110,15,8,86,2,1,222,408
York Centre/York-Centre,69,North York,88,27,1,59,1,0,176,388
York Centre/York-Centre,70,North York,102,16,19,43,2,0,182,346
York Centre/York-Centre,71,North York,132,31,4,52,4,0,223,418
York Centre/York-Centre,72,North York,124,16,5,62,0,0,207,361
York Centre/York-Centre,73,North York,124,27,8,65,3,0,227,391
York Centre/York-Centre,74,North York,119,12,6,61,2,5,205,370
York Centre/York-Centre,75,North York,149,24,12,48,6,2,241,407
York Centre/York-Centre,76,North York,149,24,9,53,1,0,236,456
York Centre/York-Centre,77,North York,122,24,13,56,1,4,220,406
York Centre/York-Centre,78,North York,192,41,16,66,3,2,320,690
York Centre/York-Centre,79,North York,145,37,8,64,0,2,256,530
York Centre/York-Centre,80,North York,67,22,5,39,8,3,144,256
York Centre/York-Centre,81A,North York,24,5,8,17,1,1,56,203
York Centre/York-Centre,81B,North York,51,18,5,23,0,2,99,128
York Centre/York-Centre,81C,North York,36,19,3,21,0,0,79,116
York Centre/York-Centre,82A,North York,18,11,5,14,1,0,49,67
York Centre/York-Centre,82B,North York,25,9,5,12,1,0,52,81
York Centre/York-Centre,82C,North York,18,8,1,13,0,0,40,75
York Centre/York-Centre,83A,North York,52,24,3,42,2,0,123,232
York Centre/York-Centre,83B,North York,36,8,0,43,1,0,88,141
York Centre/York-Centre,84,North York,87,26,10,75,1,0,199,351
York Centre/York-Centre,85,North York,129,29,8,62,2,3,233,361
York Centre/York-Centre,86,North York,133,34,11,52,2,0,232,404
York Centre/York-Centre,87,North York,115,25,9,62,5,0,216,406
York Centre/York-Centre,88,North York,120,31,5,52,2,6,216,450
York Centre/York-Centre,89A,North York,36,4,0,50,12,2,104,162
York Centre/York-Centre,89B,North York,42,6,1,51,10,2,112,175
York Centre/York-Centre,90A,North York,39,17,7,28,4,1,96,158
York Centre/York-Centre,90B,North York,22,6,3,15,1,2,49,139
York Centre/York-Centre,91,North York,101,22,5,79,1,1,209,477
York Centre/York-Centre,92,North York,128,14,2,110,5,4,263,424
York Centre/York-Centre,93,North York,74,13,7,71,0,3,168,379
York Centre/York-Centre,94,North York,71,9,7,86,2,0,175,375
York Centre/York-Centre,95,North York,167,21,3,120,0,2,313,459
York Centre/York-Centre,96,North York,92,22,9,129,1,0,253,472
York Centre/York-Centre,97,North York,84,18,3,112,2,0,219,390
York Centre/York-Centre,98,North York,158,13,2,91,0,1,265,419
York Centre/York-Centre,99,North York,188,15,8,113,0,0,324,490
York Centre/York-Centre,100,North York,123,29,11,107,0,0,270,459
York Centre/York-Centre,101,North York,80,24,4,46,0,1,155,375
York Centre/York-Centre,102,North York,87,25,6,42,0,1,161,276
York Centre/York-Centre,103,North York,173,13,7,135,0,1,329,503
York Centre/York-Centre,104,North York,125,9,4,97,0,1,236,406
York Centre/York-Centre,105,North York,129,27,5,107,1,0,269,379
York Centre/York-Centre,106,North York,125,22,13,53,1,0,214,422
York Centre/York-Centre,107,North York,44,19,4,25,1,1,94,243
York Centre/York-Centre,108,North York,64,23,7,53,0,0,147,330
York Centre/York-Centre,109,North York,111,17,12,56,3,5,204,402
York Centre/York-Centre,110,North York,81,40,3,38,1,0,163,380
York Centre/York-Centre,111,North York,141,22,10,63,1,1,238,419
York Centre/York-Centre,112,North York,114,52,6,45,2,0,219,417
York Centre/York-Centre,113A,North York,88,5,5,29,0,0,127,241
York Centre/York-Centre,113B,North York,63,27,5,18,4,1,118,229
York Centre/York-Centre,114,North York,116,43,4,22,0,0,185,334
York Centre/York-Centre,115,North York,131,50,3,26,2,3,215,391
York Centre/York-Centre,116,North York,123,32,2,22,2,1,182,303
