District,Poll Number,Poll Name,Rosie The Clown Elston,Janina Fisher Balfour,Rob Hutchison,Blair MacLean,Terry Marshall,Peter Milliken,Don Rogers,Karl Eric Walker,Rejected Ballots,Total Vote,Electors
Kingston and the Islands/Kingston et les Îles,1,Kingston,1,7,26,53,1,130,0,0,2,220,367
Kingston and the Islands/Kingston et les Îles,2,Kingston,1,6,22,45,4,66,0,0,1,145,245
Kingston and the Islands/Kingston et les Îles,3,Kingston,0,10,18,91,2,99,0,0,9,229,357
Kingston and the Islands/Kingston et les Îles,4,Kingston,2,11,21,52,0,88,0,1,0,175,384
Kingston and the Islands/Kingston et les Îles,5,Kingston,2,7,39,51,7,81,0,0,1,188,398
Kingston and the Islands/Kingston et les Îles,6,Kingston,1,7,8,58,3,74,0,0,0,151,278
Kingston and the Islands/Kingston et les Îles,7,Kingston,1,15,31,51,3,76,1,1,1,180,434
Kingston and the Islands/Kingston et les Îles,8,Kingston,1,6,28,66,2,102,1,0,0,206,334
Kingston and the Islands/Kingston et les Îles,9,Kingston,0,10,23,52,2,89,2,1,0,179,291
Kingston and the Islands/Kingston et les Îles,10A,Kingston,1,11,40,39,3,115,1,0,0,210,348
Kingston and the Islands/Kingston et les Îles,10B,Mobile poll/Bureau itinérant,Merged with No. 102B,,,,,,,,,,113
Kingston and the Islands/Kingston et les Îles,11,Kingston,0,16,29,66,0,98,0,1,0,210,308
Kingston and the Islands/Kingston et les Îles,12,Kingston,1,4,28,57,1,130,0,0,2,223,424
Kingston and the Islands/Kingston et les Îles,13,Kingston,0,8,31,61,8,81,0,0,0,189,378
Kingston and the Islands/Kingston et les Îles,14,Kingston,0,8,11,50,1,57,1,0,1,129,256
Kingston and the Islands/Kingston et les Îles,15,Kingston,1,5,31,31,0,56,0,0,0,124,271
Kingston and the Islands/Kingston et les Îles,16,Kingston,0,11,25,73,2,108,0,0,0,219,397
Kingston and the Islands/Kingston et les Îles,17,Kingston,1,3,31,44,3,92,1,0,0,175,375
Kingston and the Islands/Kingston et les Îles,18,Kingston,2,8,21,76,1,144,0,0,1,253,500
Kingston and the Islands/Kingston et les Îles,19,Kingston,1,9,17,72,3,148,3,0,2,255,487
Kingston and the Islands/Kingston et les Îles,20,Kingston,2,8,19,89,3,121,0,0,2,244,424
Kingston and the Islands/Kingston et les Îles,21,Kingston,0,13,33,45,2,124,0,0,0,217,366
Kingston and the Islands/Kingston et les Îles,22,Kingston,0,16,55,120,2,160,0,0,0,353,668
Kingston and the Islands/Kingston et les Îles,23,Kingston,0,6,15,41,5,88,0,0,1,156,303
Kingston and the Islands/Kingston et les Îles,24,Kingston,3,13,50,72,2,101,0,0,2,243,459
Kingston and the Islands/Kingston et les Îles,25,Kingston,4,10,43,71,1,87,2,1,0,219,470
Kingston and the Islands/Kingston et les Îles,26,Kingston,3,14,46,74,2,116,0,1,0,256,559
Kingston and the Islands/Kingston et les Îles,27A,Kingston,1,11,43,110,1,172,2,1,0,341,637
Kingston and the Islands/Kingston et les Îles,27B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,,,41
Kingston and the Islands/Kingston et les Îles,28,Kingston,0,8,28,63,3,128,1,1,2,234,456
Kingston and the Islands/Kingston et les Îles,29,Kingston,0,12,38,68,1,127,0,0,0,246,474
Kingston and the Islands/Kingston et les Îles,30,Kingston,0,10,25,58,4,118,2,0,0,217,416
Kingston and the Islands/Kingston et les Îles,31,Kingston,1,11,25,53,1,116,0,0,2,209,379
Kingston and the Islands/Kingston et les Îles,32,Kingston,1,10,22,49,2,127,0,0,0,211,386
Kingston and the Islands/Kingston et les Îles,33,Kingston,0,9,23,35,5,145,0,0,0,217,352
Kingston and the Islands/Kingston et les Îles,34,Kingston,1,4,20,59,0,183,1,0,0,268,432
Kingston and the Islands/Kingston et les Îles,35,Kingston,0,7,20,59,5,112,1,1,0,205,371
Kingston and the Islands/Kingston et les Îles,36,Kingston,0,4,14,56,3,134,0,0,0,211,370
Kingston and the Islands/Kingston et les Îles,37,Kingston,0,12,16,49,1,143,0,0,0,221,346
Kingston and the Islands/Kingston et les Îles,38,Kingston,2,15,25,77,1,177,0,0,0,297,525
Kingston and the Islands/Kingston et les Îles,39,Kingston,1,10,32,55,2,179,0,0,1,280,452
Kingston and the Islands/Kingston et les Îles,40,Kingston,1,5,28,38,4,113,1,0,0,190,388
Kingston and the Islands/Kingston et les Îles,41,Kingston,0,10,40,46,0,101,0,1,0,198,486
Kingston and the Islands/Kingston et les Îles,42,Kingston,1,6,29,24,2,62,0,0,0,124,206
