District,Poll Number,Poll Name,Hilary Crowley,Harley J. Harasym,Jay Hill,Michael Hunter,Tara Rimstad,Arleene Thorpe,Rejected Ballots,Total Vote,Electors
Prince George--Peace River/Prince George--Peace River,1,Coal River,0,0,2,0,0,0,0,2,4
Prince George--Peace River/Prince George--Peace River,2,Muncho Lake,0,0,5,0,0,0,0,5,8
Prince George--Peace River/Prince George--Peace River,3,Summit Lake,5,0,19,2,0,3,1,30,46
Prince George--Peace River/Prince George--Peace River,4,Snake River,12,1,120,26,1,25,0,185,341
Prince George--Peace River/Prince George--Peace River,5,Muskwa,6,1,57,17,0,9,0,90,204
Prince George--Peace River/Prince George--Peace River,6,Fort Nelson,11,1,102,38,0,33,2,187,371
Prince George--Peace River/Prince George--Peace River,7,Fort Nelson,22,3,195,76,4,40,0,340,1187
Prince George--Peace River/Prince George--Peace River,8,Fort Nelson,6,2,68,26,0,13,2,117,264
Prince George--Peace River/Prince George--Peace River,9,Fort Nelson,5,0,70,28,0,17,2,122,337
Prince George--Peace River/Prince George--Peace River,10,Fort Nelson,6,1,69,32,1,17,1,127,286
Prince George--Peace River/Prince George--Peace River,11,Fort Nelson,9,1,121,34,0,24,3,192,500
Prince George--Peace River/Prince George--Peace River,12,Prophet River,11,1,10,4,0,4,0,30,47
Prince George--Peace River/Prince George--Peace River,13,Fort Ware,7,8,12,4,1,2,0,34,135
Prince George--Peace River/Prince George--Peace River,14,Ingenika Point,6,4,19,26,3,11,0,69,111
Prince George--Peace River/Prince George--Peace River,15,Mackenzie,3,0,74,33,0,24,1,135,294
Prince George--Peace River/Prince George--Peace River,16,Mackenzie,11,1,82,45,0,30,0,169,385
Prince George--Peace River/Prince George--Peace River,17,Mackenzie,6,1,77,45,1,28,1,159,353
Prince George--Peace River/Prince George--Peace River,18,Mackenzie,3,3,72,50,1,17,2,148,328
Prince George--Peace River/Prince George--Peace River,19,Mackenzie,8,2,125,65,1,46,1,248,647
Prince George--Peace River/Prince George--Peace River,20,Mackenzie,6,1,100,37,1,21,0,166,345
Prince George--Peace River/Prince George--Peace River,21,Mackenzie,3,1,90,29,0,39,1,163,355
Prince George--Peace River/Prince George--Peace River,22,Mackenzie,2,0,78,45,0,34,1,160,309
Prince George--Peace River/Prince George--Peace River,23,Mackenzie,7,1,68,36,0,12,0,124,306
Prince George--Peace River/Prince George--Peace River,24,McLeod Lake,6,0,13,20,0,16,1,56,126
Prince George--Peace River/Prince George--Peace River,25,Pink Mountain,1,0,27,1,0,1,1,31,70
Prince George--Peace River/Prince George--Peace River,26,Upper Halfway,0,1,21,2,0,14,0,38,91
Prince George--Peace River/Prince George--Peace River,27,Wonowon,2,0,24,3,0,0,0,29,37
Prince George--Peace River/Prince George--Peace River,28,Buick,2,0,61,14,1,1,0,79,150
Prince George--Peace River/Prince George--Peace River,29,Doig River,0,0,4,3,1,5,1,14,70
Prince George--Peace River/Prince George--Peace River,30,Prespatou,0,0,67,4,0,6,0,77,196
Prince George--Peace River/Prince George--Peace River,31,Murdale,0,0,7,0,0,0,0,7,71
