District,Poll Number,Poll Name,Daniel Bouchard,Jean-François Coderre,Marco Geoffroy,Wendy Gorchinsky,Pierre A. Paquette,Jacques Trudeau,Rejected Ballots,Total Vote,Electors
Joliette/Joliette,1,Manawan,2,48,6,2,28,0,0,86,464
Joliette/Joliette,2,Manawan,4,47,3,1,26,1,0,82,496
Joliette/Joliette,3,Saint-Michel-des-Saints,4,24,2,3,99,3,4,139,308
Joliette/Joliette,4,Saint-Michel-des-Saints,19,32,1,4,138,4,3,201,371
Joliette/Joliette,5,Saint-Michel-des-Saints,7,51,1,0,111,10,5,185,295
Joliette/Joliette,6,Saint-Michel-des-Saints,21,53,1,2,147,11,5,240,425
Joliette/Joliette,7,Saint-Guillaume-Nord,Merged with No. 5,,,,,,,,35
Joliette/Joliette,8,Saint-Michel-des-Saints,22,55,1,4,209,9,4,304,612
Joliette/Joliette,9A,Saint-Zénon,13,27,2,4,115,6,5,172,332
Joliette/Joliette,9B,Saint-Zénon,22,31,2,3,104,5,5,172,310
Joliette/Joliette,10,Saint-Zénon,16,74,2,3,148,5,8,256,396
Joliette/Joliette,11,Saint-Damien,24,45,7,7,190,13,12,298,504
Joliette/Joliette,12A,Saint-Damien,10,46,2,4,128,4,6,200,339
Joliette/Joliette,12B,Saint-Damien,8,44,3,1,118,9,9,192,327
Joliette/Joliette,13,Saint-Damien,13,55,3,3,142,4,10,230,436
Joliette/Joliette,14,Saint-Donat,19,67,0,4,189,8,3,290,596
Joliette/Joliette,15,Saint-Donat,12,52,1,5,93,8,4,175,416
Joliette/Joliette,16,Saint-Donat,20,53,4,2,165,3,4,251,464
Joliette/Joliette,17,Saint-Donat,14,80,2,5,179,13,8,301,627
Joliette/Joliette,18,Saint-Donat,18,56,2,7,147,9,7,246,495
Joliette/Joliette,19,Saint-Donat,25,68,3,1,150,11,3,261,504
Joliette/Joliette,20A,Notre-Dame-de-la-Merci,20,49,2,7,122,10,3,213,389
Joliette/Joliette,20B,Notre-Dame-de-la-Merci,19,55,2,7,115,10,2,210,367
Joliette/Joliette,21,Entrelacs,13,68,1,0,97,5,7,191,322
Joliette/Joliette,22,Entrelacs,14,52,2,2,152,9,5,236,367
Joliette/Joliette,23,Chertsey,9,58,6,2,168,4,5,252,515
Joliette/Joliette,24,Chertsey,6,61,3,8,177,7,7,269,549
Joliette/Joliette,25A,Chertsey,Merged with No. 29,,,,,,,,161
Joliette/Joliette,25B,Chertsey,16,52,0,9,193,8,4,282,533
Joliette/Joliette,26,Chertsey,17,69,7,5,181,8,7,294,580
Joliette/Joliette,27,Chertsey,18,67,3,9,216,7,15,335,618
Joliette/Joliette,28,Chertsey,10,43,3,8,125,11,1,201,447
Joliette/Joliette,29,Chertsey,9,41,2,5,161,8,6,232,323
Joliette/Joliette,30,Sainte-Émélie-de-l'Énergie,18,49,2,7,159,9,6,250,404
Joliette/Joliette,31,Sainte-Émélie-de-l'Énergie,25,55,4,7,156,8,9,264,407
Joliette/Joliette,32,Sainte-Émélie-de-l'Énergie,13,41,4,4,193,4,7,266,477
Joliette/Joliette,33,Saint-Jean-de-Matha,10,90,6,4,175,11,7,303,570
Joliette/Joliette,34,Saint-Jean-de-Matha,11,56,5,6,128,8,7,221,364
Joliette/Joliette,35,Saint-Jean-de-Matha,17,47,6,2,189,9,4,274,281
Joliette/Joliette,36,Saint-Jean-de-Matha,26,55,5,5,189,13,8,301,550
Joliette/Joliette,37A,Saint-Jean-de-Matha,Merged with No. 35,,,,,,,,214
Joliette/Joliette,37B,Saint-Jean-de-Matha,Merged with No. 38,,,,,,,,121
Joliette/Joliette,38,Saint-Jean-de-Matha,22,66,11,3,216,6,10,334,485
Joliette/Joliette,39,Saint-Jean-de-Matha,17,41,4,5,263,7,10,347,567
Joliette/Joliette,40,Sainte-Béatrix,10,54,9,6,167,11,2,259,398
Joliette/Joliette,41,Saint-Côme,10,41,4,3,145,8,4,215,411
Joliette/Joliette,42,Saint-Côme,10,36,0,0,121,2,5,174,350
Joliette/Joliette,43,Saint-Côme,18,63,1,4,145,4,4,239,407
Joliette/Joliette,44,Saint-Côme,15,54,3,1,170,2,9,254,471
Joliette/Joliette,45,Saint-Alphonse-Rodriguez,16,51,1,5,176,13,6,268,493
Joliette/Joliette,46,Saint-Alphonse-Rodriguez,7,43,2,6,123,5,7,193,368
Joliette/Joliette,47,Saint-Alphonse-Rodriguez,9,59,2,4,167,16,7,264,450
Joliette/Joliette,48,Sainte-Béatrix,15,59,6,9,160,9,7,265,444
Joliette/Joliette,49,Sainte-Béatrix,17,54,2,11,183,5,1,273,490
Joliette/Joliette,50,Saint-Alphonse-Rodriguez,7,69,7,8,196,13,6,306,539
Joliette/Joliette,51,Saint-Alphonse-Rodriguez,13,81,5,6,210,5,7,327,643
Joliette/Joliette,52,Sainte-Marcelline-de-Kildare,24,77,8,11,276,19,8,423,644
Joliette/Joliette,53,Sainte-Marcelline-de-Kildare,13,51,0,7,171,9,8,259,453
Joliette/Joliette,54,Rawdon,14,81,2,9,105,10,3,224,439
Joliette/Joliette,55,Rawdon,22,68,1,19,120,9,4,243,507
Joliette/Joliette,56,Rawdon,14,59,2,7,120,16,3,221,359
Joliette/Joliette,57,Rawdon,11,28,3,8,106,4,7,167,384
Joliette/Joliette,58,Rawdon,8,36,0,3,166,3,4,220,477
Joliette/Joliette,59,Rawdon,Merged with No. 56,,,,,,,,185
Joliette/Joliette,60,Rawdon,14,57,2,10,103,8,3,197,398
Joliette/Joliette,61,Rawdon,25,56,5,11,139,7,7,250,592
Joliette/Joliette,62,Rawdon,14,55,1,6,81,9,5,171,384
Joliette/Joliette,63,Rawdon,16,61,2,6,95,5,9,194,450
Joliette/Joliette,64,Rawdon,11,63,0,13,142,6,0,235,522
Joliette/Joliette,65,Rawdon,27,70,6,12,121,13,9,258,507
Joliette/Joliette,66,Rawdon,21,97,4,13,114,14,7,270,491
Joliette/Joliette,67,Rawdon,12,74,1,11,94,8,2,202,452
Joliette/Joliette,68,Rawdon,19,92,1,8,97,15,5,237,468
Joliette/Joliette,69,Rawdon,17,23,2,5,142,13,6,208,416
Joliette/Joliette,70,Rawdon,10,42,1,3,129,7,1,193,375
Joliette/Joliette,71A,Sainte-Mélanie,Merged with No. 72,,,,,,,,157
