District,Poll Number,Poll Name,Jean Bernatchez,Odina Desrochers,Anicet Gagné,Jean Landry,Rama Borne MacDonald,Rejected Ballots,Total Vote,Electors
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,1,Leclercville,9,53,24,28,3,1,118,209
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,2,Leclercville,2,55,46,30,5,3,141,219
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,3A,Lotbinière,21,138,85,71,4,5,324,495
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,3B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,,17
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,4,Lotbinière,6,56,37,37,5,2,143,213
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,5,Saint-Édouard-de-Lotbinière,8,76,45,64,6,10,209,334
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,6,Saint-Édouard-de-Lotbinière,1,23,9,14,3,4,54,118
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,7,Saint-Édouard-de-Lotbinière,8,110,82,82,11,8,301,491
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,8,Sainte-Croix,5,76,37,49,3,4,174,303
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,9,Sainte-Croix,9,99,62,55,6,11,242,409
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,10,Sainte-Croix,11,110,38,44,4,10,217,405
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,11,Sainte-Croix,10,122,50,45,1,10,238,421
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,12,Sainte-Croix,7,80,32,40,8,2,169,310
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,13,Saint-Antoine-de-Tilly,8,119,68,49,10,2,256,371
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,14,Saint-Antoine-de-Tilly,14,121,66,44,15,6,266,399
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,15,Saint-Antoine-de-Tilly,15,122,45,46,8,3,239,362
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,16,Saint-Apollinaire,15,127,59,59,10,7,277,506
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,17,Saint-Apollinaire,5,118,40,50,8,9,230,426
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,18,Saint-Apollinaire,4,64,50,52,9,5,184,408
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,19,Saint-Apollinaire,4,86,33,34,1,10,168,342
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,20,Saint-Apollinaire,6,135,61,58,7,3,270,524
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,21,Saint-Apollinaire,8,141,40,73,7,15,284,544
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,22,Saint-Apollinaire,9,141,27,68,8,7,260,502
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,23,Saint-Agapit,6,106,44,98,13,3,270,472
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,24,Saint-Agapit,14,122,65,97,19,5,322,485
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,25,Saint-Agapit,2,48,31,33,2,9,125,206
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,26,Saint-Agapit,9,83,55,61,5,2,215,341
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,27,Saint-Agapit,7,81,74,56,4,5,227,332
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,28,Saint-Agapit,22,64,43,101,5,13,248,446
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,29,Saint-Flavien,13,113,38,73,6,16,259,452
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,30,Notre-Dame-du-Sacré-Coeur-d'Issoudun,4,30,23,35,10,3,105,193
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,31,Notre-Dame-du-Sacré-Coeur-d'Issoudun,5,70,31,83,7,11,207,390
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,32,Laurier-Station,3,75,37,52,5,5,177,373
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,33,Laurier-Station,5,55,22,26,2,4,114,224
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,34,Laurier-Station,8,85,35,40,2,10,180,358
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,35,Laurier-Station,3,93,57,66,1,4,224,430
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,36,Laurier-Station,10,88,63,64,6,6,237,437
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,37,Saint-Flavien,7,65,32,24,3,2,133,253
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,38,Saint-Flavien,15,89,32,37,9,8,190,367
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,39,Saint-Janvier-de-Joly,4,60,26,36,6,6,138,228
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,40,Saint-Janvier-de-Joly,7,126,45,68,14,10,270,491
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,41,Val-Alain,8,98,22,55,17,6,206,393
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,42,Val-Alain,8,79,50,50,8,7,202,337
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,43,Saint-Nicolas,11,90,45,49,12,3,210,421
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,44,Saint-Nicolas,19,120,44,74,8,7,272,548
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,45,Saint-Nicolas,13,128,66,53,11,4,275,459
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,46,Saint-Nicolas,18,139,61,47,11,3,279,523
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,47,Saint-Nicolas,15,152,80,52,10,4,313,507
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,48,Saint-Nicolas,7,89,47,25,9,2,179,300
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,49,Saint-Nicolas,9,96,82,47,8,1,243,416
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,50,Saint-Nicolas,7,106,58,42,6,3,222,388
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,51,Saint-Nicolas,12,103,71,45,17,5,253,442
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,52,Saint-Nicolas,7,83,73,28,8,3,202,365
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,53,Saint-Nicolas,16,120,31,52,12,6,237,467
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,54,Saint-Nicolas,10,143,72,64,7,9,305,505
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,55,Saint-Nicolas,12,144,66,83,8,6,319,609
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,56,Saint-Nicolas,3,127,46,55,11,5,247,473
Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière,57,Saint-Nicolas,23,125,46,54,8,3,259,451
