District,Poll Number,Poll Name,C. Nella Cotrupi,Ellena Lam,Pete Merrifield,Tim Rudkins,Bryon Wilfert,Rejected Ballots,Total Vote,Electors
Richmond Hill/Richmond Hill,1,Richmond Hill,14,5,96,7,127,0,249,490
Richmond Hill/Richmond Hill,2,Richmond Hill,29,4,102,21,206,0,362,658
Richmond Hill/Richmond Hill,3,Richmond Hill,26,2,108,12,178,0,326,554
Richmond Hill/Richmond Hill,4,Richmond Hill,15,10,86,12,164,2,289,532
Richmond Hill/Richmond Hill,5,Richmond Hill,14,4,61,9,145,1,234,408
Richmond Hill/Richmond Hill,6,Richmond Hill,10,2,56,8,142,2,220,376
Richmond Hill/Richmond Hill,7A,Richmond Hill,19,7,84,11,139,0,260,500
Richmond Hill/Richmond Hill,7B,Richmond Hill,21,9,68,9,127,1,235,533
Richmond Hill/Richmond Hill,8A,Richmond Hill,19,2,58,10,112,1,202,379
Richmond Hill/Richmond Hill,8B,Richmond Hill,17,4,74,7,117,1,220,384
Richmond Hill/Richmond Hill,9,Richmond Hill,14,4,58,14,119,1,210,362
Richmond Hill/Richmond Hill,10,Richmond Hill,11,3,75,4,167,0,260,445
Richmond Hill/Richmond Hill,11,Richmond Hill,8,3,70,8,189,0,278,483
Richmond Hill/Richmond Hill,12,Richmond Hill,18,1,44,11,123,0,197,366
Richmond Hill/Richmond Hill,13,Richmond Hill,9,3,45,12,117,1,187,363
Richmond Hill/Richmond Hill,14,Richmond Hill,11,2,79,15,193,0,300,517
Richmond Hill/Richmond Hill,15,Richmond Hill,46,2,75,10,176,2,311,513
Richmond Hill/Richmond Hill,16,Richmond Hill,20,6,99,9,178,0,312,544
Richmond Hill/Richmond Hill,17,Richmond Hill,36,5,69,19,149,2,280,411
Richmond Hill/Richmond Hill,18,Richmond Hill,52,2,62,20,143,2,281,511
Richmond Hill/Richmond Hill,19,Richmond Hill,27,4,43,10,100,0,184,373
Richmond Hill/Richmond Hill,20,Richmond Hill,23,2,45,13,94,1,178,370
Richmond Hill/Richmond Hill,21,Richmond Hill,30,2,53,22,125,3,235,389
Richmond Hill/Richmond Hill,22,Richmond Hill,10,0,85,10,170,0,275,440
Richmond Hill/Richmond Hill,23,Richmond Hill,16,1,78,7,144,1,247,389
Richmond Hill/Richmond Hill,24,Richmond Hill,12,2,67,7,117,1,206,388
Richmond Hill/Richmond Hill,25,Richmond Hill,24,3,63,7,137,0,234,362
Richmond Hill/Richmond Hill,26,Richmond Hill,20,6,70,31,134,1,262,406
Richmond Hill/Richmond Hill,27,Richmond Hill,23,1,48,29,89,0,190,335
Richmond Hill/Richmond Hill,28,Richmond Hill,27,1,55,19,121,0,223,363
Richmond Hill/Richmond Hill,29,Richmond Hill,15,0,59,13,133,0,220,435
Richmond Hill/Richmond Hill,30,Richmond Hill,29,2,53,9,148,1,242,394
Richmond Hill/Richmond Hill,31,Richmond Hill,17,2,70,12,141,0,242,466
Richmond Hill/Richmond Hill,32,Richmond Hill,26,1,28,13,85,1,154,280
Richmond Hill/Richmond Hill,33,Richmond Hill,33,3,31,10,68,1,146,325
Richmond Hill/Richmond Hill,34,Richmond Hill,17,5,45,14,72,2,155,329
Richmond Hill/Richmond Hill,35,Richmond Hill,33,1,51,17,88,0,190,396
Richmond Hill/Richmond Hill,36,Richmond Hill,35,4,61,17,56,0,173,356
Richmond Hill/Richmond Hill,37,Richmond Hill,35,1,58,15,71,0,180,331
Richmond Hill/Richmond Hill,38,Richmond Hill,25,3,40,12,105,0,185,310
Richmond Hill/Richmond Hill,39,Richmond Hill,23,1,76,17,70,2,189,330
Richmond Hill/Richmond Hill,40,Richmond Hill,40,5,62,21,115,0,243,449
Richmond Hill/Richmond Hill,41,Richmond Hill,19,1,35,17,92,1,165,320
Richmond Hill/Richmond Hill,42,Richmond Hill,23,3,50,12,76,1,165,280
Richmond Hill/Richmond Hill,43,Richmond Hill,22,0,51,13,88,1,175,310
Richmond Hill/Richmond Hill,44,Richmond Hill,23,7,69,15,117,1,232,436
Richmond Hill/Richmond Hill,45,Richmond Hill,21,3,32,13,65,1,135,395
Richmond Hill/Richmond Hill,46,Richmond Hill,41,1,58,18,107,1,226,394
Richmond Hill/Richmond Hill,47,Richmond Hill,22,6,39,18,89,0,174,320
Richmond Hill/Richmond Hill,48,Richmond Hill,43,7,62,17,112,0,241,542
Richmond Hill/Richmond Hill,49,Richmond Hill,8,4,33,8,66,0,119,204
Richmond Hill/Richmond Hill,50,Richmond Hill,23,3,74,12,80,1,193,317
Richmond Hill/Richmond Hill,51,Richmond Hill,24,3,89,10,142,0,268,446
Richmond Hill/Richmond Hill,52,Richmond Hill,23,8,70,8,111,2,222,410
Richmond Hill/Richmond Hill,53,Richmond Hill,24,7,53,18,166,0,268,459
Richmond Hill/Richmond Hill,54,Richmond Hill,22,1,49,13,97,0,182,360
Richmond Hill/Richmond Hill,55,Richmond Hill,23,1,42,10,53,0,129,246
Richmond Hill/Richmond Hill,56,Richmond Hill,28,8,67,12,170,2,287,487
Richmond Hill/Richmond Hill,57,Richmond Hill,36,5,78,9,257,2,387,801
Richmond Hill/Richmond Hill,58,Richmond Hill,32,9,71,15,168,0,295,463
Richmond Hill/Richmond Hill,59,Richmond Hill,17,3,59,17,122,3,221,418
Richmond Hill/Richmond Hill,60,Richmond Hill,18,3,53,9,116,1,200,372
Richmond Hill/Richmond Hill,61,Richmond Hill,25,10,56,6,187,4,288,481
Richmond Hill/Richmond Hill,62,Richmond Hill,17,3,45,9,107,1,182,371
Richmond Hill/Richmond Hill,63,Richmond Hill,33,11,46,11,116,0,217,418
Richmond Hill/Richmond Hill,64,Richmond Hill,31,5,51,11,112,1,211,357
Richmond Hill/Richmond Hill,65,Richmond Hill,19,5,82,21,184,2,313,541
Richmond Hill/Richmond Hill,66,Richmond Hill,21,7,56,11,84,1,180,300
Richmond Hill/Richmond Hill,67,Richmond Hill,32,2,51,23,110,3,221,402
Richmond Hill/Richmond Hill,68,Richmond Hill,42,8,77,30,173,4,334,588
Richmond Hill/Richmond Hill,69,Richmond Hill,31,0,66,20,127,0,244,433
Richmond Hill/Richmond Hill,70,Richmond Hill,38,5,81,28,169,0,321,510
Richmond Hill/Richmond Hill,71,Richmond Hill,18,4,70,6,165,1,264,406
Richmond Hill/Richmond Hill,72,Richmond Hill,34,2,83,11,164,2,296,438
Richmond Hill/Richmond Hill,73,Richmond Hill,22,1,33,8,53,1,118,314
Richmond Hill/Richmond Hill,74,Richmond Hill,39,16,69,16,151,1,292,601
Richmond Hill/Richmond Hill,75,Richmond Hill,25,1,44,7,75,0,152,309
Richmond Hill/Richmond Hill,76,Richmond Hill,31,5,53,20,104,2,215,496
Richmond Hill/Richmond Hill,77,Richmond Hill,17,1,29,7,63,0,117,287
Richmond Hill/Richmond Hill,78,Richmond Hill,35,1,40,18,80,0,174,356
Richmond Hill/Richmond Hill,79,Richmond Hill,29,2,37,18,83,0,169,314
Richmond Hill/Richmond Hill,80,Richmond Hill,36,5,33,12,83,0,169,354
Richmond Hill/Richmond Hill,81,Richmond Hill,20,4,56,7,77,1,165,346
Richmond Hill/Richmond Hill,82,Richmond Hill,46,3,52,15,140,4,260,437
Richmond Hill/Richmond Hill,83,Richmond Hill,25,1,42,18,69,0,155,351
Richmond Hill/Richmond Hill,84,Richmond Hill,28,3,52,16,100,0,199,372
Richmond Hill/Richmond Hill,85,Richmond Hill,11,2,14,2,46,2,77,164
Richmond Hill/Richmond Hill,86A,Richmond Hill,17,2,30,8,77,0,134,357
Richmond Hill/Richmond Hill,86B,Richmond Hill,28,4,42,21,78,0,173,396
Richmond Hill/Richmond Hill,87,Richmond Hill,18,1,53,12,170,1,255,461
Richmond Hill/Richmond Hill,88,Richmond Hill,17,2,32,5,95,0,151,253
Richmond Hill/Richmond Hill,89,Richmond Hill,7,5,34,8,155,1,210,446
Richmond Hill/Richmond Hill,90,Richmond Hill,36,3,53,13,101,0,206,430
Richmond Hill/Richmond Hill,91,Richmond Hill,12,0,10,4,66,3,95,168
Richmond Hill/Richmond Hill,92A,Richmond Hill,8,4,43,4,83,1,143,307
Richmond Hill/Richmond Hill,92B,Richmond Hill,18,4,49,10,93,1,175,350
Richmond Hill/Richmond Hill,93,Richmond Hill,22,4,24,19,78,1,148,429
Richmond Hill/Richmond Hill,94,Richmond Hill,43,5,29,5,121,1,204,431
Richmond Hill/Richmond Hill,95,Richmond Hill,14,4,17,10,80,0,125,251
Richmond Hill/Richmond Hill,96,Richmond Hill,12,5,57,8,192,1,275,503
Richmond Hill/Richmond Hill,97,Richmond Hill,18,6,51,9,116,0,200,438
Richmond Hill/Richmond Hill,98,Richmond Hill,26,9,66,5,144,0,250,507
Richmond Hill/Richmond Hill,99A,Richmond Hill,37,12,45,7,128,1,230,448
Richmond Hill/Richmond Hill,99B,Richmond Hill,34,3,73,9,162,1,282,519
Richmond Hill/Richmond Hill,100A,Richmond Hill,34,6,63,9,140,0,252,489
Richmond Hill/Richmond Hill,100B,Richmond Hill,33,17,79,10,199,4,342,666
Richmond Hill/Richmond Hill,101,Richmond Hill,19,7,22,2,90,1,141,275
Richmond Hill/Richmond Hill,102,Richmond Hill,40,4,53,16,143,0,256,570
Richmond Hill/Richmond Hill,103A,Richmond Hill,17,3,26,6,94,1,147,340
Richmond Hill/Richmond Hill,103B,Richmond Hill,22,14,37,10,168,3,254,490
Richmond Hill/Richmond Hill,104,Richmond Hill,33,10,65,15,151,1,275,537
Richmond Hill/Richmond Hill,105,Richmond Hill,13,12,65,6,191,0,287,550
