District,Poll Number,Poll Name,Paul Charbonneau,John McKay,Brenda Thompson,Tom Varesh,Sheila White,Rejected Ballots,Total Vote,Electors
Scarborough--Guildwood/Scarborough--Guildwood,1,Scarborough,2,99,4,17,39,0,161,359
Scarborough--Guildwood/Scarborough--Guildwood,2,Scarborough,6,157,1,26,25,3,218,495
Scarborough--Guildwood/Scarborough--Guildwood,3,Scarborough,3,118,0,15,22,0,158,452
Scarborough--Guildwood/Scarborough--Guildwood,4,Scarborough,2,100,1,13,49,4,169,429
Scarborough--Guildwood/Scarborough--Guildwood,5,Scarborough,0,98,0,11,21,0,130,415
Scarborough--Guildwood/Scarborough--Guildwood,6,Scarborough,4,132,2,44,23,0,205,339
Scarborough--Guildwood/Scarborough--Guildwood,7,Scarborough,2,123,4,58,18,3,208,373
Scarborough--Guildwood/Scarborough--Guildwood,8,Scarborough,5,146,3,86,25,2,267,394
Scarborough--Guildwood/Scarborough--Guildwood,9,Scarborough,7,109,0,71,19,1,207,372
Scarborough--Guildwood/Scarborough--Guildwood,10,Scarborough,2,104,0,48,23,3,180,327
Scarborough--Guildwood/Scarborough--Guildwood,11,Scarborough,2,179,1,84,38,2,306,509
Scarborough--Guildwood/Scarborough--Guildwood,12,Scarborough,5,92,0,48,25,0,170,371
Scarborough--Guildwood/Scarborough--Guildwood,13,Scarborough,8,116,1,20,18,1,164,365
Scarborough--Guildwood/Scarborough--Guildwood,14,Scarborough,6,98,0,29,30,1,164,321
Scarborough--Guildwood/Scarborough--Guildwood,15,Scarborough,5,108,3,54,42,1,213,391
Scarborough--Guildwood/Scarborough--Guildwood,16,Scarborough,4,117,0,61,22,0,204,326
Scarborough--Guildwood/Scarborough--Guildwood,17,Scarborough,10,239,1,61,28,1,340,629
Scarborough--Guildwood/Scarborough--Guildwood,18,Scarborough,5,141,1,21,44,5,217,513
Scarborough--Guildwood/Scarborough--Guildwood,19,Scarborough,8,146,0,46,38,3,241,419
Scarborough--Guildwood/Scarborough--Guildwood,20,Scarborough,4,122,1,29,31,1,188,343
Scarborough--Guildwood/Scarborough--Guildwood,21,Scarborough,4,129,0,65,18,1,217,360
Scarborough--Guildwood/Scarborough--Guildwood,22,Scarborough,5,77,0,19,29,2,132,412
Scarborough--Guildwood/Scarborough--Guildwood,23,Scarborough,0,118,0,22,27,1,168,452
Scarborough--Guildwood/Scarborough--Guildwood,24,Scarborough,6,104,0,31,50,1,192,434
Scarborough--Guildwood/Scarborough--Guildwood,25,Scarborough,10,136,0,40,27,0,213,405
Scarborough--Guildwood/Scarborough--Guildwood,26,Scarborough,6,96,3,72,30,1,208,400
Scarborough--Guildwood/Scarborough--Guildwood,27,Scarborough,2,75,1,40,43,1,162,296
Scarborough--Guildwood/Scarborough--Guildwood,28,Scarborough,6,120,0,56,23,0,205,434
Scarborough--Guildwood/Scarborough--Guildwood,29,Scarborough,11,123,0,50,40,0,224,412
Scarborough--Guildwood/Scarborough--Guildwood,30,Scarborough,5,126,3,40,32,0,206,402
Scarborough--Guildwood/Scarborough--Guildwood,31,Scarborough,12,99,1,39,50,3,204,406
Scarborough--Guildwood/Scarborough--Guildwood,32,Scarborough,5,110,1,52,30,4,202,357
Scarborough--Guildwood/Scarborough--Guildwood,33,Scarborough,10,163,3,47,47,3,273,529
Scarborough--Guildwood/Scarborough--Guildwood,34,Scarborough,8,113,2,27,34,1,185,434
Scarborough--Guildwood/Scarborough--Guildwood,35,Scarborough,6,124,1,53,33,1,218,381
Scarborough--Guildwood/Scarborough--Guildwood,36,Scarborough,4,105,1,17,28,1,156,613
Scarborough--Guildwood/Scarborough--Guildwood,37,Scarborough,8,132,3,55,32,1,231,423
Scarborough--Guildwood/Scarborough--Guildwood,38,Scarborough,7,117,0,49,36,2,211,393
Scarborough--Guildwood/Scarborough--Guildwood,39,Scarborough,6,174,0,51,27,1,259,438
Scarborough--Guildwood/Scarborough--Guildwood,40,Scarborough,6,97,1,31,62,2,199,394
Scarborough--Guildwood/Scarborough--Guildwood,41,Scarborough,6,180,0,59,36,3,284,503
Scarborough--Guildwood/Scarborough--Guildwood,42,Scarborough,3,134,1,49,48,2,237,430
Scarborough--Guildwood/Scarborough--Guildwood,43,Scarborough,4,110,0,46,39,3,202,366
Scarborough--Guildwood/Scarborough--Guildwood,44,Scarborough,4,113,0,41,36,3,197,377
Scarborough--Guildwood/Scarborough--Guildwood,45,Scarborough,12,154,3,70,42,0,281,498
Scarborough--Guildwood/Scarborough--Guildwood,46,Scarborough,10,101,0,47,31,1,190,406
Scarborough--Guildwood/Scarborough--Guildwood,47,Scarborough,3,88,1,33,37,1,163,341
Scarborough--Guildwood/Scarborough--Guildwood,48,Scarborough,5,84,1,27,13,1,131,319
Scarborough--Guildwood/Scarborough--Guildwood,49,Scarborough,4,96,0,32,36,1,169,375
Scarborough--Guildwood/Scarborough--Guildwood,50,Scarborough,4,93,2,23,38,6,166,525
Scarborough--Guildwood/Scarborough--Guildwood,51,Scarborough,4,100,1,20,14,0,139,505
Scarborough--Guildwood/Scarborough--Guildwood,52,Scarborough,12,102,2,63,33,1,213,383
Scarborough--Guildwood/Scarborough--Guildwood,53,Scarborough,9,115,4,57,23,0,208,338
Scarborough--Guildwood/Scarborough--Guildwood,54,Scarborough,10,110,0,61,34,1,216,355
Scarborough--Guildwood/Scarborough--Guildwood,55,Scarborough,1,74,1,22,16,3,117,278
Scarborough--Guildwood/Scarborough--Guildwood,56,Scarborough,17,137,0,65,51,1,271,546
Scarborough--Guildwood/Scarborough--Guildwood,57,Scarborough,1,35,2,6,7,1,52,219
Scarborough--Guildwood/Scarborough--Guildwood,58,Scarborough,2,141,1,29,26,4,203,461
Scarborough--Guildwood/Scarborough--Guildwood,59,Scarborough,6,159,2,19,56,2,244,548
Scarborough--Guildwood/Scarborough--Guildwood,60,Scarborough,6,120,0,52,29,1,208,436
Scarborough--Guildwood/Scarborough--Guildwood,61,Scarborough,7,129,0,46,54,2,238,529
Scarborough--Guildwood/Scarborough--Guildwood,62,Scarborough,0,30,0,24,19,1,74,200
Scarborough--Guildwood/Scarborough--Guildwood,63,Scarborough,10,122,2,148,32,5,319,630
Scarborough--Guildwood/Scarborough--Guildwood,64,Scarborough,12,114,1,40,56,0,223,368
Scarborough--Guildwood/Scarborough--Guildwood,65,Scarborough,3,139,0,73,30,3,248,456
Scarborough--Guildwood/Scarborough--Guildwood,66,Scarborough,5,77,0,8,21,1,112,311
Scarborough--Guildwood/Scarborough--Guildwood,67,Scarborough,9,219,7,31,40,6,312,447
Scarborough--Guildwood/Scarborough--Guildwood,68,Scarborough,2,93,0,15,32,1,143,463
Scarborough--Guildwood/Scarborough--Guildwood,69,Scarborough,3,142,0,47,45,0,237,492
Scarborough--Guildwood/Scarborough--Guildwood,70,Scarborough,4,190,0,39,57,7,297,631
Scarborough--Guildwood/Scarborough--Guildwood,71,Scarborough,1,21,0,9,11,0,42,100
Scarborough--Guildwood/Scarborough--Guildwood,72,Scarborough,10,165,0,76,47,1,299,570
Scarborough--Guildwood/Scarborough--Guildwood,73,Scarborough,3,71,0,11,18,0,103,302
Scarborough--Guildwood/Scarborough--Guildwood,74,Scarborough,1,65,0,19,19,0,104,354
Scarborough--Guildwood/Scarborough--Guildwood,75,Scarborough,1,111,0,55,22,2,191,304
Scarborough--Guildwood/Scarborough--Guildwood,76,Scarborough,1,117,3,50,27,0,198,352
Scarborough--Guildwood/Scarborough--Guildwood,77,Scarborough,9,118,1,43,34,0,205,346
Scarborough--Guildwood/Scarborough--Guildwood,78,Scarborough,16,128,1,63,46,2,256,466
Scarborough--Guildwood/Scarborough--Guildwood,79,Scarborough,7,125,1,50,49,1,233,410
Scarborough--Guildwood/Scarborough--Guildwood,80,Scarborough,11,77,1,39,37,1,166,394
Scarborough--Guildwood/Scarborough--Guildwood,81,Scarborough,7,119,3,41,22,1,193,417
Scarborough--Guildwood/Scarborough--Guildwood,82,Scarborough,0,70,0,13,13,0,96,301
Scarborough--Guildwood/Scarborough--Guildwood,83,Scarborough,5,58,3,14,20,1,101,332
Scarborough--Guildwood/Scarborough--Guildwood,84,Scarborough,3,115,2,21,19,1,161,458
Scarborough--Guildwood/Scarborough--Guildwood,85A,Scarborough,0,90,0,43,30,1,164,415
Scarborough--Guildwood/Scarborough--Guildwood,85B,Scarborough,4,138,3,36,35,2,218,429
Scarborough--Guildwood/Scarborough--Guildwood,86,Scarborough,Merged with No. 85B,,,,,,,37
Scarborough--Guildwood/Scarborough--Guildwood,87,Scarborough,1,150,0,18,28,5,202,459
Scarborough--Guildwood/Scarborough--Guildwood,88,Scarborough,2,59,0,8,12,1,82,178
Scarborough--Guildwood/Scarborough--Guildwood,89,Scarborough,8,127,0,30,26,2,193,361
Scarborough--Guildwood/Scarborough--Guildwood,90,Scarborough,1,66,1,0,30,2,100,267
Scarborough--Guildwood/Scarborough--Guildwood,91,Scarborough,8,173,2,33,59,0,275,686
Scarborough--Guildwood/Scarborough--Guildwood,92,Scarborough,7,115,2,35,27,0,186,356
Scarborough--Guildwood/Scarborough--Guildwood,93,Scarborough,12,124,1,65,38,2,242,420
Scarborough--Guildwood/Scarborough--Guildwood,94,Scarborough,14,88,1,60,45,0,208,323
Scarborough--Guildwood/Scarborough--Guildwood,95,Scarborough,4,95,1,48,28,1,177,404
Scarborough--Guildwood/Scarborough--Guildwood,96,Scarborough,8,79,0,30,15,1,133,298
Scarborough--Guildwood/Scarborough--Guildwood,97,Scarborough,0,18,1,3,7,0,29,114
Scarborough--Guildwood/Scarborough--Guildwood,98,Scarborough,3,98,0,38,35,1,175,358
Scarborough--Guildwood/Scarborough--Guildwood,99,Scarborough,6,143,2,52,56,1,260,559
Scarborough--Guildwood/Scarborough--Guildwood,100,Scarborough,6,59,1,28,33,1,128,295
Scarborough--Guildwood/Scarborough--Guildwood,101,Scarborough,8,114,3,43,43,1,212,382
Scarborough--Guildwood/Scarborough--Guildwood,102,Scarborough,5,61,1,15,33,1,116,344
Scarborough--Guildwood/Scarborough--Guildwood,103,Scarborough,0,22,0,8,6,0,36,200
Scarborough--Guildwood/Scarborough--Guildwood,104,Scarborough,2,159,0,8,42,1,212,512
Scarborough--Guildwood/Scarborough--Guildwood,105,Scarborough,3,116,3,31,20,0,173,379
Scarborough--Guildwood/Scarborough--Guildwood,106,Scarborough,4,108,1,48,28,2,191,294
Scarborough--Guildwood/Scarborough--Guildwood,107,Scarborough,7,119,0,30,27,0,183,300
Scarborough--Guildwood/Scarborough--Guildwood,108,Scarborough,6,102,1,18,26,0,153,268
Scarborough--Guildwood/Scarborough--Guildwood,109,Scarborough,6,127,0,32,46,0,211,470
Scarborough--Guildwood/Scarborough--Guildwood,110,Scarborough,14,78,1,54,37,0,184,348
Scarborough--Guildwood/Scarborough--Guildwood,111,Scarborough,14,121,1,68,31,0,235,478
Scarborough--Guildwood/Scarborough--Guildwood,112,Scarborough,2,23,1,12,5,0,43,121
Scarborough--Guildwood/Scarborough--Guildwood,113,Scarborough,5,104,0,61,25,0,195,288
Scarborough--Guildwood/Scarborough--Guildwood,114,Scarborough,3,106,1,26,43,1,180,345
Scarborough--Guildwood/Scarborough--Guildwood,115,Scarborough,17,154,2,56,57,0,286,424
Scarborough--Guildwood/Scarborough--Guildwood,116,Scarborough,7,86,0,35,37,0,165,360
Scarborough--Guildwood/Scarborough--Guildwood,117,Scarborough,4,96,1,47,31,1,180,347
Scarborough--Guildwood/Scarborough--Guildwood,118,Scarborough,10,138,2,54,21,0,225,337
Scarborough--Guildwood/Scarborough--Guildwood,119,Scarborough,11,142,2,76,19,1,251,366
Scarborough--Guildwood/Scarborough--Guildwood,120,Scarborough,2,40,1,8,14,0,65,195
