District,Poll Number,Poll Name,Sheila Fougere,Kevin Leslie Keefe,Alexa McDonough,Michael Oddy,Rejected Ballots,Total Vote,Electors
Halifax/Halifax,1A,Halifax,55,46,80,2,4,187,275
Halifax/Halifax,1B,Halifax,31,13,64,1,0,109,147
Halifax/Halifax,2,Halifax,61,25,95,12,0,193,358
Halifax/Halifax,3,Halifax,54,16,81,6,1,158,288
Halifax/Halifax,4,Halifax,49,19,113,5,3,189,491
Halifax/Halifax,5,Halifax,58,28,71,9,1,167,316
Halifax/Halifax,6,Halifax,94,27,108,10,0,239,395
Halifax/Halifax,7,Halifax,57,12,86,8,1,164,266
Halifax/Halifax,8,Halifax,103,32,62,3,1,201,307
Halifax/Halifax,9,Halifax,187,38,117,12,1,355,543
Halifax/Halifax,10,Halifax,94,38,78,12,1,223,326
Halifax/Halifax,11,Halifax,87,23,104,15,0,229,342
Halifax/Halifax,12,Halifax,81,26,110,11,0,228,350
Halifax/Halifax,13,Halifax,53,21,85,6,1,166,304
Halifax/Halifax,14,Halifax,79,15,112,3,0,209,338
Halifax/Halifax,15,Halifax,79,32,95,5,1,212,338
Halifax/Halifax,16,Halifax,80,29,105,11,4,229,456
Halifax/Halifax,17,Halifax,133,31,114,12,1,291,445
Halifax/Halifax,18A,Halifax,66,16,73,5,0,160,389
Halifax/Halifax,18B,Halifax,55,18,47,3,0,123,330
Halifax/Halifax,19,Halifax,49,17,91,4,2,163,336
Halifax/Halifax,20,Halifax,44,17,128,6,1,196,396
Halifax/Halifax,21,Halifax,68,20,84,3,2,177,301
Halifax/Halifax,22,Halifax,23,9,57,2,0,91,165
Halifax/Halifax,23A,Halifax,30,16,37,12,0,95,149
Halifax/Halifax,23B,Halifax,80,27,72,7,1,187,264
Halifax/Halifax,23C,Halifax,67,14,66,3,1,151,236
Halifax/Halifax,24,Halifax,195,32,87,9,0,323,545
Halifax/Halifax,25,Halifax,137,30,73,9,0,249,322
Halifax/Halifax,26,Halifax,101,33,59,3,1,197,273
Halifax/Halifax,27,Halifax,109,29,35,4,0,177,309
Halifax/Halifax,28,Halifax,114,71,37,14,0,236,348
Halifax/Halifax,29,Halifax,83,30,101,6,0,220,377
Halifax/Halifax,30A,Halifax,131,48,48,10,4,241,327
Halifax/Halifax,30B,Halifax,127,28,116,12,1,284,526
Halifax/Halifax,31,Halifax,27,17,28,0,0,72,174
Halifax/Halifax,32,Halifax,75,28,107,5,0,215,335
Halifax/Halifax,33A,Halifax,95,19,55,6,0,175,257
Halifax/Halifax,33B,Halifax,53,25,53,3,1,135,168
Halifax/Halifax,34,Halifax,136,38,76,15,0,265,356
Halifax/Halifax,35,Halifax,43,29,47,10,3,132,361
Halifax/Halifax,36,Halifax,97,25,69,6,5,202,286
Halifax/Halifax,37,Halifax,88,30,103,8,1,230,345
Halifax/Halifax,38,Halifax,78,21,79,8,3,189,301
Halifax/Halifax,39,Halifax,81,46,103,13,1,244,363
Halifax/Halifax,40,Halifax,99,25,87,8,1,220,359
Halifax/Halifax,41,Halifax,98,23,69,6,1,197,291
Halifax/Halifax,42,Halifax,96,25,88,12,1,222,365
Halifax/Halifax,43,Halifax,99,27,73,13,1,213,309
Halifax/Halifax,44,Halifax,74,27,100,7,0,208,363
Halifax/Halifax,45,Halifax,85,32,80,9,3,209,323
Halifax/Halifax,46,Halifax,127,19,99,5,3,253,386
Halifax/Halifax,47,Halifax,74,16,87,10,1,188,331
Halifax/Halifax,48,Halifax,50,27,134,21,1,233,426
Halifax/Halifax,49,Halifax,44,24,110,16,1,195,374
Halifax/Halifax,50,Halifax,60,22,108,18,2,210,399
Halifax/Halifax,51,Halifax,58,14,189,29,1,291,554
Halifax/Halifax,52,Halifax,44,9,119,7,4,183,577
Halifax/Halifax,53,Halifax,29,32,28,2,10,101,322
Halifax/Halifax,54A,Halifax,32,11,113,22,1,179,397
Halifax/Halifax,54B,Halifax,19,11,34,0,1,65,83
Halifax/Halifax,55,Halifax,29,15,93,4,0,141,338
Halifax/Halifax,56A,Halifax,75,27,97,8,8,215,525
Halifax/Halifax,56B,Halifax,54,29,56,4,3,146,262
Halifax/Halifax,57A,Halifax,25,10,63,10,2,110,321
Halifax/Halifax,57B,Halifax,35,14,61,2,0,112,319
Halifax/Halifax,58,Halifax,27,14,58,5,1,105,311
Halifax/Halifax,59,Halifax,40,16,66,11,0,133,322
Halifax/Halifax,60,Halifax,33,11,87,10,1,142,304
Halifax/Halifax,61A,Halifax,29,8,75,10,0,122,273
Halifax/Halifax,61B,Halifax,31,9,50,2,2,94,154
Halifax/Halifax,62,Halifax,5,1,32,3,0,41,77
Halifax/Halifax,63A,Halifax,45,8,94,13,1,161,292
Halifax/Halifax,63B,Halifax,42,16,86,7,3,154,239
Halifax/Halifax,64,Halifax,57,13,80,12,1,163,319
Halifax/Halifax,65,Halifax,41,6,101,14,0,162,271
Halifax/Halifax,66,Halifax,38,2,119,5,0,164,321
Halifax/Halifax,67,Halifax,85,15,108,19,1,228,440
Halifax/Halifax,68A,Halifax,63,11,86,12,1,173,331
Halifax/Halifax,68B,Halifax,28,13,7,1,2,51,157
Halifax/Halifax,69,Halifax,74,22,129,24,1,250,515
Halifax/Halifax,70A,Halifax,72,9,114,13,1,209,369
Halifax/Halifax,70B,Halifax,53,11,68,13,2,147,297
Halifax/Halifax,71,Halifax,131,39,182,18,1,371,535
Halifax/Halifax,72,Halifax,141,38,184,29,4,396,577
Halifax/Halifax,73,Halifax,163,42,146,13,1,365,524
Halifax/Halifax,74,Halifax,167,39,53,11,1,271,381
Halifax/Halifax,75,Halifax,86,20,52,9,0,167,262
Halifax/Halifax,76,Halifax,126,38,74,7,0,245,398
Halifax/Halifax,77,Halifax,68,18,72,9,1,168,246
Halifax/Halifax,78,Halifax,106,31,56,5,0,198,307
Halifax/Halifax,79,Halifax,195,52,83,11,2,343,515
Halifax/Halifax,80,Halifax,139,51,60,7,3,260,388
Halifax/Halifax,81,Halifax,126,47,112,17,1,303,479
Halifax/Halifax,82,Halifax,102,25,95,10,0,232,346
Halifax/Halifax,83,Halifax,87,24,94,15,1,221,348
Halifax/Halifax,84A,Halifax,61,37,92,6,0,196,324
Halifax/Halifax,84B,Halifax,58,15,71,7,0,151,261
Halifax/Halifax,85,Halifax,129,25,87,7,1,249,398
Halifax/Halifax,86,Halifax,102,26,88,16,2,234,395
Halifax/Halifax,87,Halifax,97,20,112,16,1,246,468
Halifax/Halifax,88,Halifax,136,55,140,17,4,352,645
Halifax/Halifax,89,Halifax,95,27,90,12,1,225,345
Halifax/Halifax,90,Halifax,90,20,70,14,2,196,352
Halifax/Halifax,91,Halifax,142,66,95,10,1,314,504
Halifax/Halifax,92A,Halifax,66,19,51,8,2,146,319
Halifax/Halifax,92B,Halifax,54,14,47,4,1,120,280
Halifax/Halifax,93,Halifax,113,53,100,16,0,282,500
Halifax/Halifax,94,Halifax,79,27,36,11,1,154,255
Halifax/Halifax,95,Halifax,140,40,146,23,0,349,622
Halifax/Halifax,96,Halifax,123,33,131,23,2,312,601
Halifax/Halifax,97A,Halifax,53,8,56,12,4,133,275
Halifax/Halifax,97B,Halifax,48,16,45,1,0,110,133
Halifax/Halifax,98A,Halifax,68,20,86,17,0,191,338
Halifax/Halifax,98B,Halifax,46,20,78,14,0,158,306
Halifax/Halifax,99,Halifax,32,12,18,1,0,63,127
Halifax/Halifax,100,Halifax,96,26,108,13,1,244,374
Halifax/Halifax,101,Halifax,196,61,84,15,3,359,571
Halifax/Halifax,102A,Halifax,105,14,102,15,0,236,449
Halifax/Halifax,102B,Mobile poll/Bureau itinérant,Merged with No. 108B,,,,,,11
Halifax/Halifax,103,Halifax,68,23,92,20,1,204,431
Halifax/Halifax,104,Halifax,90,13,110,20,0,233,437
Halifax/Halifax,105,Halifax,73,18,90,22,1,204,451
Halifax/Halifax,106,Halifax,78,24,65,14,1,182,327
Halifax/Halifax,107,Halifax,92,20,99,18,1,230,507
Halifax/Halifax,108A,Halifax,99,39,113,20,0,271,510
Halifax/Halifax,108B,Mobile poll/Bureau itinérant,18,8,9,1,2,38,42
