District,Poll Number,Poll Name,John Cummins,Shelley Leonhardt,Dana L. Miller,Itrath Syed,Rejected Ballots,Total Vote,Electors
Delta--Richmond East/Delta--Richmond-Est,1,Richmond,123,149,13,48,2,335,613
Delta--Richmond East/Delta--Richmond-Est,2,Richmond,51,62,8,21,2,144,272
Delta--Richmond East/Delta--Richmond-Est,3,Richmond,90,122,7,36,0,255,574
Delta--Richmond East/Delta--Richmond-Est,4,Richmond,74,76,11,37,0,198,438
Delta--Richmond East/Delta--Richmond-Est,5,Richmond,96,93,15,78,6,288,640
Delta--Richmond East/Delta--Richmond-Est,6,Richmond,44,61,5,39,0,149,292
Delta--Richmond East/Delta--Richmond-Est,7,Richmond,136,90,20,39,0,285,517
Delta--Richmond East/Delta--Richmond-Est,8,Richmond,141,131,13,52,0,337,622
Delta--Richmond East/Delta--Richmond-Est,9,Richmond,63,92,9,27,0,191,406
Delta--Richmond East/Delta--Richmond-Est,10,Richmond,111,95,15,34,1,256,506
Delta--Richmond East/Delta--Richmond-Est,11,Richmond,61,33,10,26,0,130,221
Delta--Richmond East/Delta--Richmond-Est,12,Richmond,98,117,10,26,0,251,672
Delta--Richmond East/Delta--Richmond-Est,13,Richmond,73,96,4,19,1,193,552
Delta--Richmond East/Delta--Richmond-Est,14,Richmond,41,80,7,31,1,160,309
Delta--Richmond East/Delta--Richmond-Est,15,Richmond,72,92,5,48,2,219,490
Delta--Richmond East/Delta--Richmond-Est,16,Richmond,75,72,11,38,0,196,405
Delta--Richmond East/Delta--Richmond-Est,17A,Richmond,65,96,4,17,1,183,439
Delta--Richmond East/Delta--Richmond-Est,17B,Richmond,29,66,2,18,0,115,289
Delta--Richmond East/Delta--Richmond-Est,18,Richmond,89,150,5,24,4,272,651
Delta--Richmond East/Delta--Richmond-Est,19,Richmond,97,136,4,25,3,265,589
Delta--Richmond East/Delta--Richmond-Est,20,Richmond,Merged with No. 17B,,,,,,14
Delta--Richmond East/Delta--Richmond-Est,21,Richmond,90,148,10,16,0,264,667
Delta--Richmond East/Delta--Richmond-Est,22,Richmond,56,52,13,19,0,140,316
Delta--Richmond East/Delta--Richmond-Est,23,Richmond,105,63,16,42,1,227,378
Delta--Richmond East/Delta--Richmond-Est,24,Richmond,73,88,16,23,0,200,408
Delta--Richmond East/Delta--Richmond-Est,25,Richmond,52,87,9,38,3,189,352
Delta--Richmond East/Delta--Richmond-Est,26A,Richmond,89,75,10,24,2,200,387
Delta--Richmond East/Delta--Richmond-Est,26B,Richmond,36,74,9,41,2,162,316
Delta--Richmond East/Delta--Richmond-Est,27,Richmond,152,125,16,59,2,354,633
Delta--Richmond East/Delta--Richmond-Est,28,Richmond,132,151,10,37,3,333,618
Delta--Richmond East/Delta--Richmond-Est,29,Richmond,99,99,9,36,2,245,462
Delta--Richmond East/Delta--Richmond-Est,30,Richmond,138,96,71,14,2,321,537
Delta--Richmond East/Delta--Richmond-Est,31,Richmond,89,109,8,26,0,232,423
Delta--Richmond East/Delta--Richmond-Est,32,Richmond,93,105,8,29,0,235,399
Delta--Richmond East/Delta--Richmond-Est,33,Richmond,102,88,14,26,0,230,402
Delta--Richmond East/Delta--Richmond-Est,34,Richmond,95,91,15,48,3,252,504
Delta--Richmond East/Delta--Richmond-Est,35,Richmond,75,93,17,40,0,225,427
Delta--Richmond East/Delta--Richmond-Est,36,Richmond,67,91,22,43,2,225,416
Delta--Richmond East/Delta--Richmond-Est,37,Richmond,66,82,6,36,1,191,423
Delta--Richmond East/Delta--Richmond-Est,38,Richmond,78,88,12,45,1,224,417
Delta--Richmond East/Delta--Richmond-Est,39,Richmond,58,75,7,27,0,167,410
Delta--Richmond East/Delta--Richmond-Est,40,Richmond,72,93,20,45,0,230,430
Delta--Richmond East/Delta--Richmond-Est,41,Richmond,59,66,8,34,2,169,279
Delta--Richmond East/Delta--Richmond-Est,42,Richmond,96,103,19,31,0,249,509
Delta--Richmond East/Delta--Richmond-Est,43,Richmond,110,125,11,34,0,280,468
