District,Poll Number,Poll Name,Olivia Chow,Tristan Alexander Downe-Dewdney,Asif Hossain,Tony Ianno,Daniel Knezetic,Nick Lin,Mark Viitala,David Watters,Rejected Ballots,Total Vote,Electors
Trinity--Spadina/Trinity--Spadina,1,Toronto,56,0,1,48,0,0,6,5,1,117,213
Trinity--Spadina/Trinity--Spadina,2,Toronto,82,0,5,74,0,1,11,8,1,182,367
Trinity--Spadina/Trinity--Spadina,3,Toronto,129,0,0,108,0,0,10,9,3,259,429
Trinity--Spadina/Trinity--Spadina,4,Toronto,97,0,2,64,0,0,8,4,0,175,300
Trinity--Spadina/Trinity--Spadina,5,Toronto,131,0,1,84,0,0,11,9,0,236,398
Trinity--Spadina/Trinity--Spadina,6,Toronto,149,0,1,94,0,0,13,17,4,278,420
Trinity--Spadina/Trinity--Spadina,7,Toronto,93,0,1,94,1,0,9,9,1,208,383
Trinity--Spadina/Trinity--Spadina,8,Toronto,110,1,1,104,0,0,9,7,1,233,402
Trinity--Spadina/Trinity--Spadina,9,Toronto,104,0,0,64,0,0,15,7,2,192,362
Trinity--Spadina/Trinity--Spadina,10,Toronto,112,0,4,110,0,0,9,15,5,255,460
Trinity--Spadina/Trinity--Spadina,11,Toronto,129,1,2,110,0,0,11,7,3,263,441
Trinity--Spadina/Trinity--Spadina,12,Toronto,53,1,1,39,0,0,3,6,0,103,219
Trinity--Spadina/Trinity--Spadina,13,Toronto,76,2,5,58,0,0,5,5,2,153,294
Trinity--Spadina/Trinity--Spadina,14,Toronto,112,0,0,112,0,0,18,7,1,250,430
Trinity--Spadina/Trinity--Spadina,15,Toronto,115,0,1,120,0,0,10,7,0,253,412
Trinity--Spadina/Trinity--Spadina,16A,Toronto,84,0,0,66,0,0,3,5,1,159,316
Trinity--Spadina/Trinity--Spadina,16B,Toronto,11,1,1,31,0,0,0,4,1,49,97
Trinity--Spadina/Trinity--Spadina,17,Toronto,129,0,0,86,1,0,12,22,3,253,472
Trinity--Spadina/Trinity--Spadina,18,Toronto,104,2,0,93,1,0,8,9,1,218,392
Trinity--Spadina/Trinity--Spadina,19,Toronto,84,0,1,62,1,0,10,8,0,166,290
Trinity--Spadina/Trinity--Spadina,20A,Toronto,35,0,0,40,0,0,2,4,0,81,151
Trinity--Spadina/Trinity--Spadina,20B,Toronto,12,2,1,41,1,0,2,1,1,61,171
Trinity--Spadina/Trinity--Spadina,21,Toronto,118,0,1,87,1,0,15,10,1,233,465
Trinity--Spadina/Trinity--Spadina,22,Toronto,149,0,2,108,0,0,21,12,0,292,460
Trinity--Spadina/Trinity--Spadina,23,Toronto,96,0,0,62,0,0,6,8,0,172,274
Trinity--Spadina/Trinity--Spadina,24,Toronto,95,0,2,73,0,0,9,9,1,189,337
Trinity--Spadina/Trinity--Spadina,25,Toronto,85,0,0,47,0,1,10,6,0,149,267
Trinity--Spadina/Trinity--Spadina,26,Toronto,104,0,3,91,1,0,13,8,1,221,354
Trinity--Spadina/Trinity--Spadina,27,Toronto,82,0,2,57,0,0,13,13,0,167,282
Trinity--Spadina/Trinity--Spadina,28,Toronto,57,0,0,58,0,0,7,13,0,135,245
Trinity--Spadina/Trinity--Spadina,29,Toronto,107,0,1,94,0,0,9,38,0,249,428
Trinity--Spadina/Trinity--Spadina,30,Toronto,108,0,0,92,0,0,16,16,3,235,321
Trinity--Spadina/Trinity--Spadina,31,Toronto,123,0,0,93,0,0,17,17,7,257,413
Trinity--Spadina/Trinity--Spadina,32,Toronto,91,0,0,73,0,0,9,22,2,197,335
Trinity--Spadina/Trinity--Spadina,33,Toronto,93,0,0,74,0,2,10,11,0,190,281
Trinity--Spadina/Trinity--Spadina,34,Toronto,137,0,5,104,0,0,12,19,3,280,417
Trinity--Spadina/Trinity--Spadina,35,Toronto,139,0,2,83,0,0,21,16,0,261,419
Trinity--Spadina/Trinity--Spadina,36,Toronto,112,1,0,86,2,0,8,15,0,224,408
Trinity--Spadina/Trinity--Spadina,37,Toronto,100,0,0,96,0,0,14,12,1,223,400
Trinity--Spadina/Trinity--Spadina,38,Toronto,98,0,0,42,1,0,7,1,0,149,216
Trinity--Spadina/Trinity--Spadina,39,Toronto,84,0,0,101,0,0,11,14,0,210,342
Trinity--Spadina/Trinity--Spadina,40,Toronto,141,0,4,124,0,0,13,14,1,297,484
Trinity--Spadina/Trinity--Spadina,41,Toronto,84,1,0,62,1,1,7,8,0,164,281
Trinity--Spadina/Trinity--Spadina,42,Toronto,99,0,2,91,1,0,9,26,1,229,462
Trinity--Spadina/Trinity--Spadina,43,Toronto,100,0,2,119,0,0,13,19,0,253,406
Trinity--Spadina/Trinity--Spadina,44,Toronto,70,0,1,99,0,0,9,37,2,218,361
Trinity--Spadina/Trinity--Spadina,45,Toronto,72,0,7,92,0,0,3,31,0,205,339
Trinity--Spadina/Trinity--Spadina,46,Toronto,50,0,1,114,0,0,8,40,0,213,328
Trinity--Spadina/Trinity--Spadina,47,Toronto,41,0,2,125,0,0,6,39,2,215,322
Trinity--Spadina/Trinity--Spadina,48,Toronto,46,0,0,115,0,0,10,40,0,211,369
Trinity--Spadina/Trinity--Spadina,49,Toronto,85,0,3,65,0,1,10,16,1,181,364
Trinity--Spadina/Trinity--Spadina,50A,Toronto,84,0,4,85,0,0,14,32,2,221,384
Trinity--Spadina/Trinity--Spadina,50B,Toronto,60,0,1,85,0,0,5,11,0,162,307
Trinity--Spadina/Trinity--Spadina,51,Toronto,113,0,2,140,0,1,7,24,0,287,481
Trinity--Spadina/Trinity--Spadina,52,Toronto,67,0,3,157,0,1,9,40,0,277,464
Trinity--Spadina/Trinity--Spadina,53,Toronto,56,0,1,90,0,0,7,33,0,187,312
Trinity--Spadina/Trinity--Spadina,54,Toronto,171,0,7,99,2,0,9,27,4,319,526
Trinity--Spadina/Trinity--Spadina,55,Toronto,68,0,1,62,0,1,13,17,0,162,290
Trinity--Spadina/Trinity--Spadina,56,Toronto,122,0,1,122,0,2,6,18,3,274,496
Trinity--Spadina/Trinity--Spadina,57,Toronto,113,2,4,123,1,1,17,14,4,279,531
Trinity--Spadina/Trinity--Spadina,58,Toronto,102,1,0,87,0,2,13,8,1,214,359
Trinity--Spadina/Trinity--Spadina,59,Toronto,170,0,2,150,0,1,10,21,2,356,562
Trinity--Spadina/Trinity--Spadina,60,Toronto,129,1,1,112,0,0,11,10,1,265,455
Trinity--Spadina/Trinity--Spadina,61,Toronto,134,2,2,150,0,1,16,4,6,315,489
Trinity--Spadina/Trinity--Spadina,62,Toronto,100,0,0,91,0,0,6,7,2,206,323
Trinity--Spadina/Trinity--Spadina,63,Toronto,100,0,0,132,2,1,6,5,1,247,386
Trinity--Spadina/Trinity--Spadina,64,Toronto,104,1,2,133,1,2,13,14,5,275,496
Trinity--Spadina/Trinity--Spadina,65,Toronto,102,0,0,48,0,0,9,3,0,162,321
Trinity--Spadina/Trinity--Spadina,66,Toronto,101,0,4,77,0,0,6,9,2,199,353
Trinity--Spadina/Trinity--Spadina,67,Toronto,126,2,3,158,1,0,8,7,5,310,543
Trinity--Spadina/Trinity--Spadina,68,Toronto,73,0,0,106,0,0,2,6,0,187,322
Trinity--Spadina/Trinity--Spadina,69,Toronto,80,0,1,67,0,1,6,8,0,163,271
Trinity--Spadina/Trinity--Spadina,70,Toronto,133,0,0,101,0,0,20,12,0,266,436
Trinity--Spadina/Trinity--Spadina,71,Toronto,91,0,0,61,0,1,14,7,2,176,299
Trinity--Spadina/Trinity--Spadina,72,Toronto,113,1,1,77,0,1,5,14,0,212,361
Trinity--Spadina/Trinity--Spadina,73,Toronto,127,1,1,80,0,0,10,15,3,237,424
Trinity--Spadina/Trinity--Spadina,74,Toronto,173,1,1,103,0,0,13,11,0,302,543
Trinity--Spadina/Trinity--Spadina,75,Toronto,67,0,0,52,0,0,11,27,0,157,276
Trinity--Spadina/Trinity--Spadina,76,Toronto,Merged with No. 77,,,,,,,,,,247
Trinity--Spadina/Trinity--Spadina,77,Toronto,158,0,0,121,0,0,24,11,0,314,245
Trinity--Spadina/Trinity--Spadina,78,Toronto,127,2,0,106,1,0,6,12,1,255,454
Trinity--Spadina/Trinity--Spadina,79,Toronto,95,0,1,69,0,0,3,7,0,175,297
Trinity--Spadina/Trinity--Spadina,80,Toronto,128,0,0,88,1,0,8,14,3,242,367
Trinity--Spadina/Trinity--Spadina,81,Toronto,94,0,2,78,0,0,11,12,1,198,331
Trinity--Spadina/Trinity--Spadina,82,Toronto,81,0,0,72,1,1,8,9,2,174,269
Trinity--Spadina/Trinity--Spadina,83,Toronto,86,0,0,74,0,9,0,6,0,175,307
Trinity--Spadina/Trinity--Spadina,84,Toronto,85,1,0,42,0,0,3,5,0,136,260
Trinity--Spadina/Trinity--Spadina,85,Toronto,110,0,0,73,0,0,14,14,0,211,327
Trinity--Spadina/Trinity--Spadina,86,Toronto,94,0,1,91,0,2,12,11,0,211,373
Trinity--Spadina/Trinity--Spadina,87,Toronto,97,0,1,63,0,0,6,13,0,180,276
Trinity--Spadina/Trinity--Spadina,88,Toronto,159,0,0,133,1,0,17,15,1,326,498
Trinity--Spadina/Trinity--Spadina,89,Toronto,96,0,3,85,0,1,22,12,0,219,362
Trinity--Spadina/Trinity--Spadina,90,Toronto,122,0,1,104,0,1,12,9,1,250,455
Trinity--Spadina/Trinity--Spadina,91,Toronto,113,1,0,74,0,0,7,20,1,216,436
Trinity--Spadina/Trinity--Spadina,92,Toronto,142,1,1,132,1,1,10,12,1,301,554
Trinity--Spadina/Trinity--Spadina,93,Toronto,84,0,1,88,0,1,7,13,1,195,408
Trinity--Spadina/Trinity--Spadina,94,Toronto,145,0,1,129,1,0,17,22,4,319,637
Trinity--Spadina/Trinity--Spadina,95,Toronto,150,0,3,143,1,1,14,12,5,329,624
Trinity--Spadina/Trinity--Spadina,96,Toronto,94,0,0,72,0,2,13,10,2,193,382
Trinity--Spadina/Trinity--Spadina,97,Toronto,147,0,1,105,0,0,14,16,6,289,470
Trinity--Spadina/Trinity--Spadina,98,Toronto,151,0,0,117,0,0,10,17,1,296,538
Trinity--Spadina/Trinity--Spadina,99,Toronto,123,0,2,124,0,0,11,10,4,274,483
Trinity--Spadina/Trinity--Spadina,100,Toronto,100,3,1,129,2,2,10,15,5,267,493
Trinity--Spadina/Trinity--Spadina,101,Toronto,90,1,1,133,0,0,13,9,1,248,451
Trinity--Spadina/Trinity--Spadina,102,Toronto,119,0,1,99,1,0,13,7,2,242,387
Trinity--Spadina/Trinity--Spadina,103,Toronto,112,2,3,90,0,0,19,11,1,238,418
Trinity--Spadina/Trinity--Spadina,104,Toronto,125,0,2,92,1,0,15,6,1,242,504
Trinity--Spadina/Trinity--Spadina,105,Toronto,133,1,2,126,1,0,13,10,2,288,517
Trinity--Spadina/Trinity--Spadina,106,Toronto,97,0,1,129,0,0,3,3,4,237,386
Trinity--Spadina/Trinity--Spadina,107,Toronto,91,0,2,108,0,0,10,10,5,226,394
Trinity--Spadina/Trinity--Spadina,108,Toronto,76,0,2,57,0,0,5,8,1,149,254
Trinity--Spadina/Trinity--Spadina,109,Toronto,85,2,3,108,1,0,8,8,0,215,360
Trinity--Spadina/Trinity--Spadina,110,Toronto,101,1,1,113,0,0,8,7,0,231,424
Trinity--Spadina/Trinity--Spadina,111,Toronto,135,0,2,124,1,0,15,19,3,299,536
Trinity--Spadina/Trinity--Spadina,112,Toronto,76,0,2,122,1,2,5,18,3,229,448
Trinity--Spadina/Trinity--Spadina,113,Toronto,106,0,0,103,1,0,11,9,0,230,507
Trinity--Spadina/Trinity--Spadina,114,Toronto,116,1,1,108,2,2,13,11,1,255,579
Trinity--Spadina/Trinity--Spadina,115,Toronto,124,0,3,99,0,2,8,11,3,250,462
Trinity--Spadina/Trinity--Spadina,116,Toronto,165,0,0,102,0,1,10,21,0,299,515
Trinity--Spadina/Trinity--Spadina,117,Toronto,102,2,3,125,6,1,4,7,7,257,435
Trinity--Spadina/Trinity--Spadina,118,Toronto,152,1,0,110,0,2,14,7,1,287,506
Trinity--Spadina/Trinity--Spadina,119,Toronto,146,0,4,100,0,0,9,8,0,267,448
