District,Poll Number,Poll Name,Anna-Celestrya Carr,Robert Eng,Robin (Pilar) Faye,Pat Martin,David Northcott,Douglas Edward Schweitzer,John M. Siedleski,Rejected Ballots,Total Vote,Electors
Winnipeg Centre/Winnipeg-Centre,62,Winnipeg,0,9,5,86,41,0,1,2,144,415
Winnipeg Centre/Winnipeg-Centre,63,Winnipeg,1,7,4,50,28,0,3,0,93,326
Winnipeg Centre/Winnipeg-Centre,64,Winnipeg,1,13,1,52,46,1,1,0,115,436
Winnipeg Centre/Winnipeg-Centre,65,Winnipeg,2,31,5,91,49,0,2,3,183,507
Winnipeg Centre/Winnipeg-Centre,66,Winnipeg,1,26,0,79,48,1,0,1,156,412
Winnipeg Centre/Winnipeg-Centre,67,Winnipeg,2,14,2,99,65,1,2,0,185,510
Winnipeg Centre/Winnipeg-Centre,68,Winnipeg,0,11,1,34,25,0,0,0,71,256
Winnipeg Centre/Winnipeg-Centre,69,Winnipeg,0,24,4,67,54,0,1,1,151,405
Winnipeg Centre/Winnipeg-Centre,70,Winnipeg,0,9,0,58,39,0,1,0,107,358
Winnipeg Centre/Winnipeg-Centre,71,Winnipeg,2,21,5,94,90,0,1,4,217,713
Winnipeg Centre/Winnipeg-Centre,72,Winnipeg,1,14,1,96,78,0,1,5,196,609
Winnipeg Centre/Winnipeg-Centre,73,Winnipeg,0,13,0,68,54,0,2,1,138,428
Winnipeg Centre/Winnipeg-Centre,74,Winnipeg,0,20,3,57,37,0,1,1,119,387
Winnipeg Centre/Winnipeg-Centre,75,Winnipeg,1,13,2,94,42,0,3,2,157,583
Winnipeg Centre/Winnipeg-Centre,76,Winnipeg,1,9,7,91,67,2,2,1,180,612
Winnipeg Centre/Winnipeg-Centre,77,Winnipeg,3,12,2,29,79,0,3,1,129,520
Winnipeg Centre/Winnipeg-Centre,78,Winnipeg,1,1,1,23,13,0,1,3,43,273
Winnipeg Centre/Winnipeg-Centre,79,Winnipeg,1,25,5,32,47,0,2,0,112,278
Winnipeg Centre/Winnipeg-Centre,80,Winnipeg,1,12,1,61,56,1,2,3,137,538
Winnipeg Centre/Winnipeg-Centre,81,Winnipeg,0,9,0,60,42,0,2,1,114,382
Winnipeg Centre/Winnipeg-Centre,82,Winnipeg,0,14,5,95,69,1,4,1,189,679
Winnipeg Centre/Winnipeg-Centre,83,Winnipeg,0,14,5,154,93,2,2,4,274,607
Winnipeg Centre/Winnipeg-Centre,84,Winnipeg,Void,,,,,,,,,
Winnipeg Centre/Winnipeg-Centre,85,Winnipeg,1,20,6,76,65,0,0,1,169,491
Winnipeg Centre/Winnipeg-Centre,86,Winnipeg,0,27,8,121,108,0,3,2,269,786
Winnipeg Centre/Winnipeg-Centre,87,Winnipeg,1,8,4,76,51,0,5,0,145,463
Winnipeg Centre/Winnipeg-Centre,88,Winnipeg,2,12,7,44,61,0,0,6,132,444
Winnipeg Centre/Winnipeg-Centre,89,Winnipeg,1,8,5,42,32,0,2,3,93,320
Winnipeg Centre/Winnipeg-Centre,90,Winnipeg,1,15,3,59,22,1,0,4,105,407
Winnipeg Centre/Winnipeg-Centre,91,Winnipeg,1,10,3,40,52,1,2,1,110,494
Winnipeg Centre/Winnipeg-Centre,92,Winnipeg,0,13,2,58,35,0,3,1,112,614
Winnipeg Centre/Winnipeg-Centre,93,Winnipeg,2,4,1,34,32,0,1,2,76,421
Winnipeg Centre/Winnipeg-Centre,94,Winnipeg,0,4,6,18,21,0,3,1,53,280
Winnipeg Centre/Winnipeg-Centre,95,Winnipeg,1,11,10,62,32,1,1,1,119,492
Winnipeg Centre/Winnipeg-Centre,96,Winnipeg,0,12,7,58,42,1,4,0,124,343
Winnipeg Centre/Winnipeg-Centre,97,Winnipeg,1,29,6,89,98,0,4,2,229,443
Winnipeg Centre/Winnipeg-Centre,98,Winnipeg,0,15,6,51,57,1,1,2,133,467
Winnipeg Centre/Winnipeg-Centre,99,Winnipeg,0,10,3,20,16,0,0,0,49,197
Winnipeg Centre/Winnipeg-Centre,100,Winnipeg,0,21,9,58,58,0,1,0,147,402
Winnipeg Centre/Winnipeg-Centre,101,Winnipeg,3,35,7,111,78,4,4,2,244,458
Winnipeg Centre/Winnipeg-Centre,102,Winnipeg,1,44,13,81,62,1,5,1,208,430
Winnipeg Centre/Winnipeg-Centre,103,Winnipeg,2,23,9,90,72,1,1,0,198,437
Winnipeg Centre/Winnipeg-Centre,104,Winnipeg,1,22,6,66,62,2,1,1,161,408
Winnipeg Centre/Winnipeg-Centre,105,Winnipeg,2,14,11,91,65,3,7,1,194,455
Winnipeg Centre/Winnipeg-Centre,106,Winnipeg,1,15,6,64,36,1,3,1,127,449
Winnipeg Centre/Winnipeg-Centre,107,Winnipeg,0,21,39,95,56,0,7,2,220,477
Winnipeg Centre/Winnipeg-Centre,108,Winnipeg,1,11,26,71,33,0,0,0,142,304
Winnipeg Centre/Winnipeg-Centre,109,Winnipeg,0,6,17,64,42,0,3,0,132,238
Winnipeg Centre/Winnipeg-Centre,110,Winnipeg,0,9,29,102,58,0,1,0,199,375
Winnipeg Centre/Winnipeg-Centre,111,Winnipeg,0,5,11,42,20,0,0,0,78,227
Winnipeg Centre/Winnipeg-Centre,112,Winnipeg,0,21,11,98,61,0,4,0,195,415
Winnipeg Centre/Winnipeg-Centre,113,Winnipeg,0,29,35,157,79,0,1,0,301,467
Winnipeg Centre/Winnipeg-Centre,114,Winnipeg,0,31,18,157,91,0,0,1,298,446
Winnipeg Centre/Winnipeg-Centre,115,Winnipeg,0,23,15,112,84,0,0,0,234,362
Winnipeg Centre/Winnipeg-Centre,116,Winnipeg,1,11,26,105,74,0,0,0,217,314
Winnipeg Centre/Winnipeg-Centre,117,Winnipeg,0,15,20,113,49,0,3,0,200,337
Winnipeg Centre/Winnipeg-Centre,118,Winnipeg,0,21,14,142,93,0,1,0,271,385
Winnipeg Centre/Winnipeg-Centre,119,Winnipeg,1,18,25,129,76,0,2,1,252,417
Winnipeg Centre/Winnipeg-Centre,120,Winnipeg,1,24,24,116,73,0,1,2,241,516
Winnipeg Centre/Winnipeg-Centre,121,Winnipeg,2,11,19,66,45,0,3,0,146,515
Winnipeg Centre/Winnipeg-Centre,122,Winnipeg,1,14,16,112,58,1,6,1,209,505
Winnipeg Centre/Winnipeg-Centre,123,Winnipeg,2,13,18,90,33,0,1,0,157,378
Winnipeg Centre/Winnipeg-Centre,124,Winnipeg,0,14,26,65,43,1,3,1,153,387
Winnipeg Centre/Winnipeg-Centre,125,Winnipeg,0,29,2,39,99,0,1,0,170,297
Winnipeg Centre/Winnipeg-Centre,126,Winnipeg,1,22,14,76,55,0,3,0,171,424
Winnipeg Centre/Winnipeg-Centre,127,Winnipeg,1,31,13,41,59,0,0,0,145,452
Winnipeg Centre/Winnipeg-Centre,128,Winnipeg,2,23,18,86,84,0,2,0,215,412
Winnipeg Centre/Winnipeg-Centre,129,Winnipeg,1,10,11,55,56,0,1,0,134,277
Winnipeg Centre/Winnipeg-Centre,130,Winnipeg,1,36,12,74,94,1,5,0,223,568
Winnipeg Centre/Winnipeg-Centre,131,Winnipeg,0,24,6,105,74,1,4,1,215,487
Winnipeg Centre/Winnipeg-Centre,132,Winnipeg,0,18,2,41,38,0,3,0,102,335
