District,Poll Number,Poll Name,Gordon Guyatt,David Januczkowski,Russ Powers,David Sweet,Rejected Ballots,Total Vote,Electors
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,1,Flamborough,26,9,45,84,2,166,245
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,2,Flamborough,22,15,81,64,2,184,264
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,3,Flamborough,29,13,81,76,0,199,308
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,4,Flamborough,51,17,112,161,2,343,514
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,5,Flamborough,Void,,,,,,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,6,Flamborough,32,18,57,74,1,182,304
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,7,Flamborough,23,17,74,118,1,233,393
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,8,Flamborough,24,11,55,75,1,166,261
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,9,Flamborough,24,16,141,112,1,294,452
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,10,Flamborough,8,16,64,85,0,173,275
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,11,Flamborough,16,11,70,92,1,190,299
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,12,Flamborough,19,12,112,90,1,234,390
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,13,Flamborough,18,15,86,91,2,212,321
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,14,Flamborough,17,11,83,96,1,208,342
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,15,Flamborough,25,9,60,84,0,178,328
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,16,Flamborough,32,10,62,116,0,220,310
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,17,Flamborough,19,3,44,64,1,131,267
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,18,Flamborough,32,14,66,100,0,212,377
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,19,Flamborough,41,8,83,100,0,232,322
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,20A,Flamborough,71,7,77,117,3,275,380
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,20B,Flamborough,56,19,83,119,1,278,390
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,21,Flamborough,Void,,,,,,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,22,Flamborough,29,10,47,78,0,164,268
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,23,Flamborough,75,8,77,109,2,271,448
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,24,Flamborough,42,13,61,154,1,271,386
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,25,Flamborough,18,8,60,97,0,183,260
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,26,Flamborough,25,7,39,96,0,167,231
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,27,Flamborough,34,10,59,98,6,207,287
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,28,Flamborough,23,13,82,90,0,208,298
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,29,Flamborough,29,9,37,81,0,156,237
