District,Poll Number,Poll Name,David Raymond Amos,Karin Bach,Pat Hanratty,John Herron,Rob Moore,Rejected Ballots,Total Vote,Electors
Fundy/Fundy,79,Mispec,0,0,16,22,36,2,76,131
Fundy/Fundy,80,Sussex,4,2,33,84,78,2,203,348
Fundy/Fundy,81,Sussex,4,5,17,80,72,2,180,324
Fundy/Fundy,82,Sussex,4,1,12,61,96,0,174,308
Fundy/Fundy,83A,Sussex,6,2,17,36,28,0,89,212
Fundy/Fundy,83B,Sussex,3,4,11,28,31,1,78,192
Fundy/Fundy,84,Sussex,4,2,19,46,63,1,135,272
Fundy/Fundy,85,Sussex,4,5,26,36,55,0,126,258
Fundy/Fundy,86,Sussex,3,2,26,97,112,1,241,398
Fundy/Fundy,87,Sussex,5,2,22,69,83,2,183,331
Fundy/Fundy,88,Sussex,4,5,19,59,66,0,153,298
Fundy/Fundy,89,Sussex,11,8,24,53,60,0,156,317
Fundy/Fundy,90,Sussex,6,1,11,45,66,0,129,253
Fundy/Fundy,91A,Apohaqui,1,0,10,33,39,1,84,115
Fundy/Fundy,91B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,10
Fundy/Fundy,92A,Erb Settlement,2,5,27,42,62,2,140,288
Fundy/Fundy,92B,Erb Settlement,8,4,34,79,80,1,206,374
Fundy/Fundy,93,Norton,4,11,31,88,96,1,231,431
Fundy/Fundy,94A,Central Norton,2,0,25,91,58,0,176,285
Fundy/Fundy,94B,Central Norton,1,1,20,55,59,2,138,272
Fundy/Fundy,95,Bloomfield,7,6,50,74,94,2,233,475
Fundy/Fundy,96,Salt Springs,1,5,49,44,142,1,242,460
Fundy/Fundy,97A,Upham,2,5,32,34,67,0,140,297
Fundy/Fundy,97B,Upham,3,1,37,34,69,3,147,279
Fundy/Fundy,98,Hampton,0,5,50,82,103,0,240,436
Fundy/Fundy,99,Hampton,0,4,29,42,86,2,163,368
Fundy/Fundy,100A,Hampton,0,6,27,70,53,1,157,285
Fundy/Fundy,100B,Hampton,0,4,16,76,52,0,148,261
Fundy/Fundy,101,Hampton,0,0,24,68,41,2,135,236
Fundy/Fundy,102,Hampton,2,6,36,88,76,1,209,379
Fundy/Fundy,103A,Hampton,4,2,30,79,74,0,189,332
Fundy/Fundy,103B,Hampton,3,2,38,58,64,0,165,327
Fundy/Fundy,104,Hampton,0,4,33,110,74,0,221,335
Fundy/Fundy,105,Hampton,1,4,35,145,95,0,280,457
Fundy/Fundy,106,Hampton,10,4,40,46,86,2,188,437
Fundy/Fundy,107,Darlings Island,0,2,89,107,90,1,289,442
Fundy/Fundy,108,Nauwigewauk,1,3,57,80,87,2,230,389
Fundy/Fundy,109,Nauwigewauk,2,3,58,61,107,1,232,399
Fundy/Fundy,110,French Village,0,4,28,23,40,0,95,222
Fundy/Fundy,111,Upper Golden Grove,2,4,48,57,80,0,191,416
Fundy/Fundy,112A,Lower Norton,1,3,20,55,67,1,147,246
Fundy/Fundy,112B,Lower Norton,1,5,24,73,73,0,176,285
Fundy/Fundy,113,Kingston,3,2,41,67,98,1,212,314
Fundy/Fundy,114A,Kingston,0,5,31,50,70,3,159,272
Fundy/Fundy,114B,Kingston,1,1,35,51,97,1,186,297
Fundy/Fundy,115,Clifton Royal,1,6,43,69,121,0,240,406
Fundy/Fundy,116,Long Reach,4,8,34,74,86,1,207,345
Fundy/Fundy,117A,Summerville,1,7,41,61,56,0,166,266
Fundy/Fundy,117B,Summerville,2,1,41,64,53,0,161,265
Fundy/Fundy,118,Bayswater,1,11,78,72,118,2,282,424
Fundy/Fundy,119A,Quispamsis,0,2,32,54,38,1,127,237
Fundy/Fundy,119B,Quispamsis,0,2,34,60,50,0,146,281
Fundy/Fundy,120A,Quispamsis,1,2,24,50,42,2,121,272
Fundy/Fundy,120B,Quispamsis,1,1,14,47,50,0,113,247
Fundy/Fundy,121A,Quispamsis,0,9,15,87,47,1,159,239
Fundy/Fundy,121B,Quispamsis,0,5,29,60,50,0,144,252
Fundy/Fundy,122A,Quispamsis,0,12,35,67,62,2,178,295
Fundy/Fundy,122B,Quispamsis,2,2,20,74,75,2,175,309
Fundy/Fundy,123,Quispamsis,1,0,22,45,55,2,125,241
Fundy/Fundy,124,Quispamsis,2,1,20,56,66,0,145,285
Fundy/Fundy,125,Quispamsis,1,0,11,29,32,1,74,193
Fundy/Fundy,126,Quispamsis,0,2,18,25,36,0,81,214
Fundy/Fundy,127,Quispamsis,1,1,21,37,50,0,110,211
Fundy/Fundy,128A,Quispamsis,0,3,13,57,78,0,151,271
Fundy/Fundy,128B,Quispamsis,0,9,16,79,57,0,161,300
Fundy/Fundy,129A,Quispamsis,0,6,41,71,67,0,185,333
Fundy/Fundy,129B,Quispamsis,2,6,30,96,78,3,215,349
Fundy/Fundy,130,Quispamsis,0,2,24,61,66,3,156,255
Fundy/Fundy,131,Quispamsis,1,2,46,75,67,2,193,379
