District,Poll Number,Poll Name,Paul Forseth,Dave Haggard,Jack Hummelman,Steve McClurg,Carli Travers,Rejected Ballots,Total Vote,Electors
New Westminster--Coquitlam/New Westminster--Coquitlam,1,Port Moody,84,100,3,35,8,1,231,468
New Westminster--Coquitlam/New Westminster--Coquitlam,2,Port Moody,77,77,6,117,26,0,303,450
New Westminster--Coquitlam/New Westminster--Coquitlam,3,Port Moody,56,79,0,39,11,0,185,247
New Westminster--Coquitlam/New Westminster--Coquitlam,4,Port Moody,52,33,7,48,8,0,148,252
New Westminster--Coquitlam/New Westminster--Coquitlam,5,Port Moody,101,74,1,67,12,0,255,369
New Westminster--Coquitlam/New Westminster--Coquitlam,6,Port Moody,59,53,3,98,15,1,229,386
New Westminster--Coquitlam/New Westminster--Coquitlam,7,Port Moody,46,25,0,83,4,1,159,311
New Westminster--Coquitlam/New Westminster--Coquitlam,8,Port Moody,75,74,2,69,18,0,238,340
New Westminster--Coquitlam/New Westminster--Coquitlam,9,Port Moody,114,80,2,80,12,0,288,383
New Westminster--Coquitlam/New Westminster--Coquitlam,10,Port Moody,67,75,5,76,13,1,237,342
New Westminster--Coquitlam/New Westminster--Coquitlam,11,Port Moody,90,84,1,74,14,0,263,356
New Westminster--Coquitlam/New Westminster--Coquitlam,12,Port Moody,83,49,4,103,21,0,260,419
New Westminster--Coquitlam/New Westminster--Coquitlam,13,Port Moody,69,39,2,90,7,2,209,392
New Westminster--Coquitlam/New Westminster--Coquitlam,14,Port Moody,61,62,3,106,28,3,263,447
New Westminster--Coquitlam/New Westminster--Coquitlam,15,Port Moody,55,63,3,84,17,2,224,406
New Westminster--Coquitlam/New Westminster--Coquitlam,16,Port Moody,51,53,3,62,14,0,183,287
New Westminster--Coquitlam/New Westminster--Coquitlam,17,Port Moody,54,47,2,61,6,0,170,267
New Westminster--Coquitlam/New Westminster--Coquitlam,18A,Port Moody,38,35,1,61,18,0,153,284
New Westminster--Coquitlam/New Westminster--Coquitlam,18B,Port Moody,35,30,2,41,16,0,124,237
New Westminster--Coquitlam/New Westminster--Coquitlam,19,Port Moody,71,68,3,116,25,0,283,505
New Westminster--Coquitlam/New Westminster--Coquitlam,20,Port Moody,100,69,1,93,18,0,281,434
New Westminster--Coquitlam/New Westminster--Coquitlam,21,Port Moody,72,57,6,73,13,0,221,364
New Westminster--Coquitlam/New Westminster--Coquitlam,22,Coquitlam,Merged with No. 21,,,,,,,4
New Westminster--Coquitlam/New Westminster--Coquitlam,23,Coquitlam,Merged with No. 21,,,,,,,2
New Westminster--Coquitlam/New Westminster--Coquitlam,24,Coquitlam,98,70,1,98,19,1,287,441
New Westminster--Coquitlam/New Westminster--Coquitlam,25,Coquitlam,85,71,1,59,16,0,232,388
New Westminster--Coquitlam/New Westminster--Coquitlam,26,Coquitlam,108,66,1,70,20,2,267,439
New Westminster--Coquitlam/New Westminster--Coquitlam,27,Coquitlam,88,69,2,75,4,1,239,414
New Westminster--Coquitlam/New Westminster--Coquitlam,28,Coquitlam,103,79,3,74,14,0,273,481
New Westminster--Coquitlam/New Westminster--Coquitlam,29,Coquitlam,Merged with No. 31,,,,,,,1
New Westminster--Coquitlam/New Westminster--Coquitlam,30,Coquitlam,Merged with No. 31,,,,,,,5
New Westminster--Coquitlam/New Westminster--Coquitlam,31,Coquitlam,56,62,3,79,21,1,222,363
New Westminster--Coquitlam/New Westminster--Coquitlam,32,Coquitlam,73,90,5,91,7,1,267,472
New Westminster--Coquitlam/New Westminster--Coquitlam,33,Coquitlam,77,44,2,135,20,2,280,501
New Westminster--Coquitlam/New Westminster--Coquitlam,34,Coquitlam,42,53,3,71,11,1,181,327
New Westminster--Coquitlam/New Westminster--Coquitlam,35,Coquitlam,89,56,3,50,11,1,210,359
New Westminster--Coquitlam/New Westminster--Coquitlam,36,Coquitlam,99,69,4,53,14,0,239,395
New Westminster--Coquitlam/New Westminster--Coquitlam,37,Coquitlam,64,60,4,38,14,0,180,271
New Westminster--Coquitlam/New Westminster--Coquitlam,38,Coquitlam,74,53,4,40,9,0,180,254
New Westminster--Coquitlam/New Westminster--Coquitlam,39,Coquitlam,93,83,4,52,14,0,246,397
New Westminster--Coquitlam/New Westminster--Coquitlam,40,Coquitlam,123,88,2,35,9,0,257,436
New Westminster--Coquitlam/New Westminster--Coquitlam,41,Coquitlam,96,89,3,46,10,0,244,460
New Westminster--Coquitlam/New Westminster--Coquitlam,42,Coquitlam,95,95,3,21,6,0,220,416
New Westminster--Coquitlam/New Westminster--Coquitlam,43,Coquitlam,24,21,6,39,6,0,96,324
New Westminster--Coquitlam/New Westminster--Coquitlam,44,Coquitlam,100,89,2,36,11,0,238,387
New Westminster--Coquitlam/New Westminster--Coquitlam,45,Coquitlam,92,86,2,50,12,0,242,396
New Westminster--Coquitlam/New Westminster--Coquitlam,46,Coquitlam,99,57,4,37,8,0,205,340
New Westminster--Coquitlam/New Westminster--Coquitlam,47,Coquitlam,90,112,6,80,17,1,306,499
New Westminster--Coquitlam/New Westminster--Coquitlam,48A,Coquitlam,69,53,2,48,9,1,182,335
New Westminster--Coquitlam/New Westminster--Coquitlam,48B,Coquitlam,64,54,0,50,8,1,177,287
New Westminster--Coquitlam/New Westminster--Coquitlam,49,Coquitlam,90,92,3,90,14,0,289,484
New Westminster--Coquitlam/New Westminster--Coquitlam,50,Coquitlam,87,88,1,86,16,1,279,443
New Westminster--Coquitlam/New Westminster--Coquitlam,51,Coquitlam,68,60,2,79,7,0,216,404
New Westminster--Coquitlam/New Westminster--Coquitlam,52,Coquitlam,93,72,1,71,17,0,254,448
New Westminster--Coquitlam/New Westminster--Coquitlam,53,Coquitlam,64,50,8,62,9,0,193,343
New Westminster--Coquitlam/New Westminster--Coquitlam,54,Coquitlam,82,64,1,52,8,0,207,338
New Westminster--Coquitlam/New Westminster--Coquitlam,55,Coquitlam,79,78,2,64,5,0,228,383
New Westminster--Coquitlam/New Westminster--Coquitlam,56,Coquitlam,85,67,5,76,12,0,245,364
New Westminster--Coquitlam/New Westminster--Coquitlam,57,Coquitlam,81,67,2,72,11,0,233,413
New Westminster--Coquitlam/New Westminster--Coquitlam,58,Coquitlam,136,82,0,64,13,0,295,445
New Westminster--Coquitlam/New Westminster--Coquitlam,59,Coquitlam,116,85,0,73,15,0,289,436
New Westminster--Coquitlam/New Westminster--Coquitlam,60,Coquitlam,117,89,3,65,12,0,286,420
New Westminster--Coquitlam/New Westminster--Coquitlam,61,Coquitlam,121,81,2,88,13,2,307,476
New Westminster--Coquitlam/New Westminster--Coquitlam,62,Coquitlam,75,77,1,67,12,1,233,366
New Westminster--Coquitlam/New Westminster--Coquitlam,63,Coquitlam,106,107,2,75,19,1,310,466
