District,Poll Number,Poll Name,Judi Longfield,Michael MacDonald,Ian MacNeil,Maret Sadem-Thompson,Rejected Ballots,Total Vote,Electors
Whitby--Oshawa/Whitby--Oshawa,78,Whitby,140,16,110,37,0,303,481
Whitby--Oshawa/Whitby--Oshawa,79,Whitby,220,16,132,26,4,398,554
Whitby--Oshawa/Whitby--Oshawa,80,Whitby,118,4,53,22,1,198,268
Whitby--Oshawa/Whitby--Oshawa,81,Whitby,198,15,125,38,0,376,589
Whitby--Oshawa/Whitby--Oshawa,82,Whitby,137,13,77,30,0,257,461
Whitby--Oshawa/Whitby--Oshawa,83,Whitby,118,12,88,27,2,247,431
Whitby--Oshawa/Whitby--Oshawa,84A,Whitby,111,11,85,34,1,242,417
Whitby--Oshawa/Whitby--Oshawa,84B,Whitby,114,16,76,25,1,232,375
Whitby--Oshawa/Whitby--Oshawa,85,Whitby,116,7,66,32,1,222,392
Whitby--Oshawa/Whitby--Oshawa,86,Whitby,140,5,97,24,3,269,472
Whitby--Oshawa/Whitby--Oshawa,87,Whitby,84,9,50,35,1,179,386
Whitby--Oshawa/Whitby--Oshawa,88,Whitby,129,7,96,44,0,276,515
Whitby--Oshawa/Whitby--Oshawa,89,Whitby,154,12,78,32,3,279,484
Whitby--Oshawa/Whitby--Oshawa,90,Whitby,99,7,48,47,0,201,386
Whitby--Oshawa/Whitby--Oshawa,91,Whitby,156,9,119,36,1,321,577
Whitby--Oshawa/Whitby--Oshawa,92,Whitby,103,7,79,39,2,230,420
Whitby--Oshawa/Whitby--Oshawa,93,Whitby,121,31,143,50,1,346,506
Whitby--Oshawa/Whitby--Oshawa,94,Whitby,67,9,74,43,0,193,320
Whitby--Oshawa/Whitby--Oshawa,95,Whitby,121,7,73,17,0,218,385
Whitby--Oshawa/Whitby--Oshawa,96,Whitby,155,12,102,23,3,295,509
Whitby--Oshawa/Whitby--Oshawa,97,Whitby,104,15,105,30,2,256,396
Whitby--Oshawa/Whitby--Oshawa,98,Whitby,149,17,87,34,2,289,456
Whitby--Oshawa/Whitby--Oshawa,99,Whitby,142,13,110,40,1,306,454
Whitby--Oshawa/Whitby--Oshawa,100,Whitby,148,15,107,38,0,308,491
Whitby--Oshawa/Whitby--Oshawa,101,Whitby,148,13,102,30,1,294,477
Whitby--Oshawa/Whitby--Oshawa,102,Whitby,195,7,91,39,4,336,547
Whitby--Oshawa/Whitby--Oshawa,103,Whitby,138,10,94,33,1,276,462
Whitby--Oshawa/Whitby--Oshawa,104,Whitby,117,12,75,41,0,245,421
Whitby--Oshawa/Whitby--Oshawa,105,Whitby,109,11,81,20,0,221,341
Whitby--Oshawa/Whitby--Oshawa,106,Whitby,115,17,98,28,2,260,440
Whitby--Oshawa/Whitby--Oshawa,107,Whitby,124,18,127,34,0,303,473
Whitby--Oshawa/Whitby--Oshawa,108,Whitby,142,7,112,25,1,287,466
Whitby--Oshawa/Whitby--Oshawa,109,Whitby,107,16,102,29,1,255,433
Whitby--Oshawa/Whitby--Oshawa,110,Whitby,125,28,88,39,1,281,420
Whitby--Oshawa/Whitby--Oshawa,111,Whitby,97,7,61,52,0,217,418
Whitby--Oshawa/Whitby--Oshawa,112A,Whitby,95,9,57,22,0,183,351
Whitby--Oshawa/Whitby--Oshawa,112B,Whitby,82,9,62,33,3,189,342
Whitby--Oshawa/Whitby--Oshawa,113,Whitby,22,5,29,30,2,88,258
Whitby--Oshawa/Whitby--Oshawa,114A,Whitby,108,17,103,23,2,253,357
Whitby--Oshawa/Whitby--Oshawa,114B,Whitby,91,13,103,26,1,234,366
Whitby--Oshawa/Whitby--Oshawa,115A,Whitby,92,8,51,25,0,176,333
Whitby--Oshawa/Whitby--Oshawa,115B,Whitby,90,9,67,34,1,201,356
Whitby--Oshawa/Whitby--Oshawa,116A,Whitby,120,5,83,20,1,229,398
Whitby--Oshawa/Whitby--Oshawa,116B,Whitby,Merged with No. 122B,,,,,,192
Whitby--Oshawa/Whitby--Oshawa,117,Whitby,176,8,113,34,1,332,510
Whitby--Oshawa/Whitby--Oshawa,118,Whitby,204,13,108,17,0,342,515
Whitby--Oshawa/Whitby--Oshawa,119,Whitby,185,16,88,34,0,323,529
Whitby--Oshawa/Whitby--Oshawa,120,Whitby,172,9,84,17,1,283,472
Whitby--Oshawa/Whitby--Oshawa,121,Whitby,176,15,135,46,4,376,575
Whitby--Oshawa/Whitby--Oshawa,122A,Whitby,85,6,69,25,0,185,384
Whitby--Oshawa/Whitby--Oshawa,122B,Whitby,102,14,90,22,2,230,208
Whitby--Oshawa/Whitby--Oshawa,123,Whitby,146,14,122,41,0,323,553
Whitby--Oshawa/Whitby--Oshawa,124,Whitby,140,9,75,29,4,257,449
Whitby--Oshawa/Whitby--Oshawa,125,Whitby,89,10,63,18,1,181,307
Whitby--Oshawa/Whitby--Oshawa,126,Whitby,129,12,73,29,1,244,409
Whitby--Oshawa/Whitby--Oshawa,127,Whitby,165,11,114,31,4,325,505
Whitby--Oshawa/Whitby--Oshawa,128,Whitby,116,9,61,19,0,205,324
Whitby--Oshawa/Whitby--Oshawa,129,Whitby,155,9,100,29,0,293,463
Whitby--Oshawa/Whitby--Oshawa,130,Whitby,144,13,97,23,3,280,429
Whitby--Oshawa/Whitby--Oshawa,131,Whitby,167,16,102,29,3,317,497
Whitby--Oshawa/Whitby--Oshawa,132,Whitby,105,18,79,18,1,221,366
Whitby--Oshawa/Whitby--Oshawa,133,Whitby,139,7,88,26,0,260,495
Whitby--Oshawa/Whitby--Oshawa,134,Whitby,140,15,111,43,0,309,548
Whitby--Oshawa/Whitby--Oshawa,135,Whitby,91,6,70,24,1,192,348
Whitby--Oshawa/Whitby--Oshawa,136,Whitby,138,11,105,19,0,273,434
Whitby--Oshawa/Whitby--Oshawa,137,Whitby,97,12,76,33,0,218,376
Whitby--Oshawa/Whitby--Oshawa,138,Whitby,147,16,107,48,2,320,290
Whitby--Oshawa/Whitby--Oshawa,139,Whitby,121,15,82,51,0,269,413
Whitby--Oshawa/Whitby--Oshawa,140,Whitby,84,7,72,51,2,216,352
Whitby--Oshawa/Whitby--Oshawa,141,Whitby,81,16,71,39,2,209,356
Whitby--Oshawa/Whitby--Oshawa,142,Whitby,Merged with No. 138,,,,,,187
Whitby--Oshawa/Whitby--Oshawa,143,Whitby,121,15,93,39,1,269,570
Whitby--Oshawa/Whitby--Oshawa,144,Whitby,78,18,102,20,1,219,401
Whitby--Oshawa/Whitby--Oshawa,145,Whitby,112,8,95,36,0,251,378
Whitby--Oshawa/Whitby--Oshawa,146,Whitby,125,7,97,29,0,258,382
Whitby--Oshawa/Whitby--Oshawa,147,Whitby,114,11,76,12,1,214,350
Whitby--Oshawa/Whitby--Oshawa,148,Whitby,136,28,109,69,1,343,587
Whitby--Oshawa/Whitby--Oshawa,149,Whitby,106,16,85,24,0,231,421
Whitby--Oshawa/Whitby--Oshawa,150,Whitby,76,13,60,30,0,179,295
Whitby--Oshawa/Whitby--Oshawa,151,Whitby,108,9,74,63,0,254,544
Whitby--Oshawa/Whitby--Oshawa,152,Whitby,54,7,43,24,1,129,296
Whitby--Oshawa/Whitby--Oshawa,153,Whitby,69,16,58,50,0,193,376
Whitby--Oshawa/Whitby--Oshawa,154,Whitby,95,20,68,39,1,223,354
Whitby--Oshawa/Whitby--Oshawa,155,Whitby,119,16,78,30,3,246,432
Whitby--Oshawa/Whitby--Oshawa,156A,Whitby,Merged with No. 157,,,,,,220
Whitby--Oshawa/Whitby--Oshawa,156B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,160
Whitby--Oshawa/Whitby--Oshawa,157,Whitby,132,32,109,68,3,344,340
Whitby--Oshawa/Whitby--Oshawa,158,Whitby,116,15,109,34,0,274,458
Whitby--Oshawa/Whitby--Oshawa,159,Whitby,129,21,128,49,1,328,506
Whitby--Oshawa/Whitby--Oshawa,160,Whitby,81,2,45,24,2,154,319
Whitby--Oshawa/Whitby--Oshawa,161,Whitby,68,11,54,41,2,176,407
Whitby--Oshawa/Whitby--Oshawa,162,Whitby,124,10,70,37,0,241,444
Whitby--Oshawa/Whitby--Oshawa,163,Whitby,102,20,85,39,0,246,461
Whitby--Oshawa/Whitby--Oshawa,164,Whitby,118,11,116,21,3,269,476
Whitby--Oshawa/Whitby--Oshawa,165,Whitby,134,9,97,25,1,266,405
Whitby--Oshawa/Whitby--Oshawa,166,Whitby,108,11,75,35,0,229,361
Whitby--Oshawa/Whitby--Oshawa,167,Whitby,105,12,62,30,3,212,379
Whitby--Oshawa/Whitby--Oshawa,168,Whitby,97,12,63,36,1,209,379
Whitby--Oshawa/Whitby--Oshawa,169,Whitby,51,10,49,24,0,134,349
Whitby--Oshawa/Whitby--Oshawa,170,Whitby,98,7,89,36,2,232,379
Whitby--Oshawa/Whitby--Oshawa,171,Whitby,79,12,74,31,1,197,387
Whitby--Oshawa/Whitby--Oshawa,172,Whitby,53,9,45,37,7,151,399
Whitby--Oshawa/Whitby--Oshawa,173,Whitby,79,8,76,39,0,202,363
Whitby--Oshawa/Whitby--Oshawa,174,Whitby,43,6,33,46,1,129,313
Whitby--Oshawa/Whitby--Oshawa,175,Whitby,100,14,71,37,0,222,356
Whitby--Oshawa/Whitby--Oshawa,176,Whitby,124,13,123,27,4,291,417
Whitby--Oshawa/Whitby--Oshawa,177,Whitby,107,19,72,47,3,248,395
Whitby--Oshawa/Whitby--Oshawa,178A,Whitby,92,7,74,21,0,194,313
Whitby--Oshawa/Whitby--Oshawa,178B,Whitby,93,5,64,36,1,199,317
Whitby--Oshawa/Whitby--Oshawa,179,Whitby,173,16,135,20,0,344,512
Whitby--Oshawa/Whitby--Oshawa,180,Whitby,127,11,110,45,2,295,480
Whitby--Oshawa/Whitby--Oshawa,181A,Whitby,98,8,59,30,1,196,370
Whitby--Oshawa/Whitby--Oshawa,181B,Whitby,112,14,78,31,4,239,399
Whitby--Oshawa/Whitby--Oshawa,182,Whitby,85,12,62,37,0,196,464
Whitby--Oshawa/Whitby--Oshawa,183,Whitby,74,14,59,38,0,185,441
Whitby--Oshawa/Whitby--Oshawa,184,Whitby,85,11,81,26,0,203,361
Whitby--Oshawa/Whitby--Oshawa,185,Whitby,77,14,96,32,3,222,362
Whitby--Oshawa/Whitby--Oshawa,186,Whitby,70,9,28,31,3,141,326
Whitby--Oshawa/Whitby--Oshawa,187,Whitby,114,15,48,58,4,239,386
Whitby--Oshawa/Whitby--Oshawa,188,Whitby,106,11,67,18,0,202,313
Whitby--Oshawa/Whitby--Oshawa,189,Whitby,85,17,66,35,0,203,316
Whitby--Oshawa/Whitby--Oshawa,190,Whitby,104,13,60,29,0,206,348
Whitby--Oshawa/Whitby--Oshawa,191,Whitby,115,9,84,35,3,246,420
Whitby--Oshawa/Whitby--Oshawa,192,Whitby,87,13,60,15,0,175,309
Whitby--Oshawa/Whitby--Oshawa,193,Whitby,101,7,75,36,0,219,359
Whitby--Oshawa/Whitby--Oshawa,194,Whitby,114,15,74,42,0,245,392
Whitby--Oshawa/Whitby--Oshawa,195,Whitby,82,13,84,47,0,226,379
Whitby--Oshawa/Whitby--Oshawa,196,Whitby,80,9,84,19,2,194,328
Whitby--Oshawa/Whitby--Oshawa,197,Whitby,84,15,68,52,1,220,436
Whitby--Oshawa/Whitby--Oshawa,198A,Whitby,148,19,108,27,0,302,464
Whitby--Oshawa/Whitby--Oshawa,198B,Whitby,113,19,95,44,1,272,465
Whitby--Oshawa/Whitby--Oshawa,199,Whitby,141,15,96,33,2,287,462
Whitby--Oshawa/Whitby--Oshawa,200,Whitby,92,15,82,30,1,220,407
Whitby--Oshawa/Whitby--Oshawa,201,Whitby,136,11,88,31,1,267,426
Whitby--Oshawa/Whitby--Oshawa,202,Whitby,105,15,75,32,0,227,477
Whitby--Oshawa/Whitby--Oshawa,500,Mobile poll/Bureau itinérant,38,9,39,23,1,110,229
Whitby--Oshawa/Whitby--Oshawa,600,Whitby,69,6,91,30,0,196,
Whitby--Oshawa/Whitby--Oshawa,601,Whitby,260,16,283,37,8,604,
Whitby--Oshawa/Whitby--Oshawa,602,Whitby,156,11,201,55,1,424,
Whitby--Oshawa/Whitby--Oshawa,603,Whitby,210,13,236,94,0,553,
Whitby--Oshawa/Whitby--Oshawa,604,Whitby,370,20,356,76,2,824,
Whitby--Oshawa/Whitby--Oshawa,605,Whitby,363,26,316,55,4,764,
Whitby--Oshawa/Whitby--Oshawa,606,Whitby,269,25,273,57,0,624,
Whitby--Oshawa/Whitby--Oshawa,607,Whitby,155,20,164,79,1,419,
Whitby--Oshawa/Whitby--Oshawa,608,Whitby,193,21,143,48,2,407,
Whitby--Oshawa/Whitby--Oshawa,,Group 1/Groupe 1,21,1,36,2,0,60,110
Whitby--Oshawa/Whitby--Oshawa,,Group 2/Groupe 2,273,24,241,84,9,631,
