District,Poll Number,Poll Name,Christopher Bojanowski,Yonnel Bonaventure,Jean-Guy Carignan,Bernard Cleary,Michel Fragasso,Henri Gauvin,Dominique Théberge,Josée Verner,Rejected Ballots,Total Vote,Electors
Louis-Saint-Laurent/Louis-Saint-Laurent,54,Loretteville,9,10,0,61,36,0,1,39,0,156,303
Louis-Saint-Laurent/Louis-Saint-Laurent,55,Loretteville,5,6,3,81,37,1,2,58,10,203,435
Louis-Saint-Laurent/Louis-Saint-Laurent,56,Loretteville,9,4,0,69,44,1,2,41,6,176,404
Louis-Saint-Laurent/Louis-Saint-Laurent,57A,Loretteville,4,7,2,69,39,0,3,62,4,190,423
Louis-Saint-Laurent/Louis-Saint-Laurent,57B,Mobile poll/Bureau itinérant,Merged with No. 500B,,,,,,,,,,53
Louis-Saint-Laurent/Louis-Saint-Laurent,58,Loretteville,7,6,0,83,60,1,0,45,4,206,317
Louis-Saint-Laurent/Louis-Saint-Laurent,59A,Loretteville,11,5,1,84,51,0,0,46,2,200,306
Louis-Saint-Laurent/Louis-Saint-Laurent,59B,Mobile poll/Bureau itinérant,Merged with No. 501B,,,,,,,,,,59
Louis-Saint-Laurent/Louis-Saint-Laurent,60,Loretteville,8,0,4,81,49,0,1,52,3,198,344
Louis-Saint-Laurent/Louis-Saint-Laurent,61,Loretteville,9,2,0,72,58,0,0,43,1,185,333
Louis-Saint-Laurent/Louis-Saint-Laurent,62,Loretteville,11,3,2,77,88,1,2,43,4,231,451
Louis-Saint-Laurent/Louis-Saint-Laurent,63,Loretteville,6,5,6,107,71,2,0,57,5,259,472
Louis-Saint-Laurent/Louis-Saint-Laurent,64,Loretteville,5,7,0,67,31,0,1,63,1,175,428
Louis-Saint-Laurent/Louis-Saint-Laurent,65,Loretteville,1,8,1,84,45,0,0,51,4,194,389
Louis-Saint-Laurent/Louis-Saint-Laurent,66,Loretteville,2,7,1,54,34,0,0,32,0,130,397
Louis-Saint-Laurent/Louis-Saint-Laurent,67,Loretteville,2,4,3,84,43,3,0,46,6,191,334
Louis-Saint-Laurent/Louis-Saint-Laurent,68,Val-Bélair,7,3,4,51,36,1,1,38,6,147,414
Louis-Saint-Laurent/Louis-Saint-Laurent,69,Val-Bélair,8,6,8,63,35,0,0,57,2,179,408
Louis-Saint-Laurent/Louis-Saint-Laurent,70,Val-Bélair,1,5,5,77,32,2,1,49,6,178,389
Louis-Saint-Laurent/Louis-Saint-Laurent,71,Val-Bélair,5,3,4,57,32,0,0,65,18,184,427
Louis-Saint-Laurent/Louis-Saint-Laurent,72,Val-Bélair,3,4,3,55,21,1,0,92,6,185,460
Louis-Saint-Laurent/Louis-Saint-Laurent,73,Val-Bélair,8,5,3,48,41,2,1,72,3,183,376
Louis-Saint-Laurent/Louis-Saint-Laurent,74,Val-Bélair,7,7,1,82,40,1,1,65,6,210,462
Louis-Saint-Laurent/Louis-Saint-Laurent,75,Val-Bélair,11,8,0,74,25,1,0,87,1,207,530
Louis-Saint-Laurent/Louis-Saint-Laurent,76,Val-Bélair,8,7,6,85,55,0,0,70,0,231,546
Louis-Saint-Laurent/Louis-Saint-Laurent,77,Val-Bélair,2,4,1,53,37,1,0,53,2,153,351
Louis-Saint-Laurent/Louis-Saint-Laurent,78,Val-Bélair,3,7,1,41,20,2,1,63,2,140,374
Louis-Saint-Laurent/Louis-Saint-Laurent,79,Val-Bélair,7,4,2,55,27,2,1,41,0,139,338
Louis-Saint-Laurent/Louis-Saint-Laurent,80A,Val-Bélair,5,6,3,74,25,0,1,74,5,193,360
Louis-Saint-Laurent/Louis-Saint-Laurent,80B,Val-Bélair,7,2,5,80,24,0,0,59,3,180,383
Louis-Saint-Laurent/Louis-Saint-Laurent,81,Val-Bélair,1,1,3,71,34,0,0,53,3,166,416
Louis-Saint-Laurent/Louis-Saint-Laurent,82,Val-Bélair,7,3,2,69,25,1,0,59,2,168,394
Louis-Saint-Laurent/Louis-Saint-Laurent,83,Val-Bélair,7,4,2,71,16,0,0,43,3,146,301
Louis-Saint-Laurent/Louis-Saint-Laurent,84,Val-Bélair,6,6,4,100,50,0,0,74,3,243,517
Louis-Saint-Laurent/Louis-Saint-Laurent,85,Val-Bélair,4,7,1,84,35,0,0,68,1,200,412
Louis-Saint-Laurent/Louis-Saint-Laurent,86,Val-Bélair,1,2,0,91,44,1,0,81,7,227,496
Louis-Saint-Laurent/Louis-Saint-Laurent,87,Val-Bélair,4,4,1,79,35,1,0,68,7,199,574
Louis-Saint-Laurent/Louis-Saint-Laurent,88,Val-Bélair,5,3,3,58,28,1,0,52,0,150,352
Louis-Saint-Laurent/Louis-Saint-Laurent,89,Val-Bélair,1,5,1,67,37,0,0,38,4,153,495
Louis-Saint-Laurent/Louis-Saint-Laurent,90,Val-Bélair,1,2,2,57,36,0,0,41,0,139,350
Louis-Saint-Laurent/Louis-Saint-Laurent,91,Val-Bélair,1,15,2,84,29,0,0,74,6,211,532
Louis-Saint-Laurent/Louis-Saint-Laurent,92,Val-Bélair,4,6,2,60,33,0,0,47,6,158,369
Louis-Saint-Laurent/Louis-Saint-Laurent,93,Val-Bélair,5,7,4,70,26,4,0,87,6,209,434
Louis-Saint-Laurent/Louis-Saint-Laurent,94,Val-Bélair,6,10,5,94,42,1,0,81,7,246,476
Louis-Saint-Laurent/Louis-Saint-Laurent,95,Val-Bélair,9,9,1,92,58,3,0,114,5,291,587
Louis-Saint-Laurent/Louis-Saint-Laurent,96,Val-Bélair,10,5,1,91,32,0,0,124,5,268,573
Louis-Saint-Laurent/Louis-Saint-Laurent,97,Val-Bélair,6,4,2,76,36,1,0,105,4,234,451
Louis-Saint-Laurent/Louis-Saint-Laurent,98,Val-Bélair,2,2,0,42,26,0,0,56,3,131,282
Louis-Saint-Laurent/Louis-Saint-Laurent,99,Val-Bélair,2,3,2,48,25,0,0,81,1,162,342
Louis-Saint-Laurent/Louis-Saint-Laurent,100,Val-Bélair,2,2,1,35,18,1,0,30,4,93,273
Louis-Saint-Laurent/Louis-Saint-Laurent,101,Val-Bélair,3,9,2,83,35,1,0,70,7,210,452
Louis-Saint-Laurent/Louis-Saint-Laurent,102,Val-Bélair,9,6,0,81,27,1,0,38,1,163,363
Louis-Saint-Laurent/Louis-Saint-Laurent,103A,Val-Bélair,2,4,3,50,22,1,0,56,5,143,344
Louis-Saint-Laurent/Louis-Saint-Laurent,103B,Val-Bélair,4,6,1,64,21,0,1,70,2,169,341
Louis-Saint-Laurent/Louis-Saint-Laurent,104,Val-Bélair,2,8,2,69,35,2,1,57,5,181,408
Louis-Saint-Laurent/Louis-Saint-Laurent,105,Québec,12,8,2,101,74,1,2,93,4,297,538
Louis-Saint-Laurent/Louis-Saint-Laurent,106,Québec,5,4,1,89,63,0,1,43,5,211,353
Louis-Saint-Laurent/Louis-Saint-Laurent,107,Québec,18,5,3,131,45,1,1,76,1,281,465
Louis-Saint-Laurent/Louis-Saint-Laurent,108,Québec,10,12,0,114,73,2,0,83,3,297,485
Louis-Saint-Laurent/Louis-Saint-Laurent,109,Québec,8,13,4,151,64,0,0,105,2,347,642
Louis-Saint-Laurent/Louis-Saint-Laurent,110A,Québec,8,4,1,60,22,0,0,52,8,155,336
Louis-Saint-Laurent/Louis-Saint-Laurent,110B,Québec,6,2,13,33,72,0,2,39,4,171,224
Louis-Saint-Laurent/Louis-Saint-Laurent,111,Québec,0,9,0,78,30,3,0,55,9,184,413
Louis-Saint-Laurent/Louis-Saint-Laurent,112,Québec,5,10,4,0,39,111,1,83,4,257,433
Louis-Saint-Laurent/Louis-Saint-Laurent,113,Québec,8,3,1,61,25,0,0,60,7,165,289
Louis-Saint-Laurent/Louis-Saint-Laurent,114,Québec,3,2,5,70,32,1,0,49,6,168,275
Louis-Saint-Laurent/Louis-Saint-Laurent,115,Québec,5,1,5,54,42,0,1,46,4,158,281
Louis-Saint-Laurent/Louis-Saint-Laurent,116,Québec,3,8,1,85,43,1,1,43,5,190,390
Louis-Saint-Laurent/Louis-Saint-Laurent,117A,Québec,9,7,0,77,35,3,1,69,5,206,416
Louis-Saint-Laurent/Louis-Saint-Laurent,117B,Québec,11,6,0,77,36,2,0,60,2,194,406
Louis-Saint-Laurent/Louis-Saint-Laurent,118,Québec,4,7,0,78,34,1,1,60,5,190,319
Louis-Saint-Laurent/Louis-Saint-Laurent,119,Québec,6,7,2,81,29,1,1,46,1,174,320
Louis-Saint-Laurent/Louis-Saint-Laurent,120,Québec,1,6,1,103,46,1,0,74,10,242,405
Louis-Saint-Laurent/Louis-Saint-Laurent,121,Québec,7,6,3,112,31,1,0,76,4,240,400
Louis-Saint-Laurent/Louis-Saint-Laurent,122,Québec,3,3,2,83,41,1,0,66,5,204,316
Louis-Saint-Laurent/Louis-Saint-Laurent,123,Québec,8,9,1,96,38,1,1,73,6,233,373
Louis-Saint-Laurent/Louis-Saint-Laurent,124,Québec,9,3,0,97,37,3,0,68,6,223,388
Louis-Saint-Laurent/Louis-Saint-Laurent,125,Québec,4,4,1,97,46,1,1,62,4,220,421
Louis-Saint-Laurent/Louis-Saint-Laurent,126,Québec,4,3,2,114,37,2,0,62,8,232,594
Louis-Saint-Laurent/Louis-Saint-Laurent,127,Québec,10,4,7,110,44,3,2,50,5,235,468
Louis-Saint-Laurent/Louis-Saint-Laurent,128,Québec,3,12,1,90,42,0,0,81,4,233,476
Louis-Saint-Laurent/Louis-Saint-Laurent,129,Québec,6,5,3,59,41,1,0,57,2,174,268
Louis-Saint-Laurent/Louis-Saint-Laurent,130,Québec,12,7,2,80,30,2,1,58,3,195,464
Louis-Saint-Laurent/Louis-Saint-Laurent,131,Québec,4,6,0,68,25,0,2,43,5,153,419
Louis-Saint-Laurent/Louis-Saint-Laurent,132,Québec,5,8,0,80,47,0,1,51,4,196,343
Louis-Saint-Laurent/Louis-Saint-Laurent,133,Québec,15,8,1,98,71,2,1,98,6,300,473
Louis-Saint-Laurent/Louis-Saint-Laurent,134,Québec,4,5,5,62,42,0,0,41,4,163,266
Louis-Saint-Laurent/Louis-Saint-Laurent,135,Québec,8,3,0,99,59,0,0,45,1,215,366
Louis-Saint-Laurent/Louis-Saint-Laurent,136,Québec,3,9,1,102,40,0,0,71,4,230,376
Louis-Saint-Laurent/Louis-Saint-Laurent,137,Québec,5,8,1,117,39,0,1,77,3,251,461
Louis-Saint-Laurent/Louis-Saint-Laurent,138,Québec,7,7,0,73,53,2,0,54,3,199,412
Louis-Saint-Laurent/Louis-Saint-Laurent,139,Québec,6,4,0,80,38,0,1,33,2,164,289
Louis-Saint-Laurent/Louis-Saint-Laurent,140,Québec,6,3,0,69,54,0,0,27,7,166,321
Louis-Saint-Laurent/Louis-Saint-Laurent,141A,Québec,7,7,3,74,21,0,0,42,5,159,395
Louis-Saint-Laurent/Louis-Saint-Laurent,141B,Québec,7,3,1,57,24,0,2,43,2,139,377
Louis-Saint-Laurent/Louis-Saint-Laurent,142,Québec,4,8,2,75,35,0,0,54,4,182,434
Louis-Saint-Laurent/Louis-Saint-Laurent,143,Québec,6,0,0,30,23,1,1,18,1,80,265
Louis-Saint-Laurent/Louis-Saint-Laurent,144,Québec,12,3,2,91,29,1,1,36,3,178,530
Louis-Saint-Laurent/Louis-Saint-Laurent,145,Québec,6,2,2,95,42,2,2,51,1,203,620
Louis-Saint-Laurent/Louis-Saint-Laurent,146A,L'Ancienne-Lorette,8,5,2,72,53,1,1,82,2,226,344
Louis-Saint-Laurent/Louis-Saint-Laurent,146B,L'Ancienne-Lorette,5,2,1,68,48,1,0,91,4,220,345
Louis-Saint-Laurent/Louis-Saint-Laurent,147,L'Ancienne-Lorette,4,8,3,143,63,3,0,122,13,359,602
Louis-Saint-Laurent/Louis-Saint-Laurent,148,L'Ancienne-Lorette,7,1,6,91,41,2,0,85,3,236,370
Louis-Saint-Laurent/Louis-Saint-Laurent,149,L'Ancienne-Lorette,8,12,1,79,47,0,1,64,3,215,347
Louis-Saint-Laurent/Louis-Saint-Laurent,150,L'Ancienne-Lorette,10,6,2,75,45,0,1,73,4,216,379
Louis-Saint-Laurent/Louis-Saint-Laurent,151A,L'Ancienne-Lorette,6,2,0,75,31,0,0,71,4,189,347
Louis-Saint-Laurent/Louis-Saint-Laurent,151B,L'Ancienne-Lorette,6,10,1,81,38,0,1,78,9,224,360
Louis-Saint-Laurent/Louis-Saint-Laurent,152,L'Ancienne-Lorette,4,5,2,73,46,2,0,59,6,197,294
Louis-Saint-Laurent/Louis-Saint-Laurent,153,L'Ancienne-Lorette,11,14,4,103,62,2,0,73,6,275,447
Louis-Saint-Laurent/Louis-Saint-Laurent,154,L'Ancienne-Lorette,4,7,4,69,35,2,1,69,4,195,360
Louis-Saint-Laurent/Louis-Saint-Laurent,155,L'Ancienne-Lorette,12,6,2,71,55,0,1,64,5,216,362
Louis-Saint-Laurent/Louis-Saint-Laurent,156,L'Ancienne-Lorette,2,14,2,85,46,1,0,82,7,239,395
Louis-Saint-Laurent/Louis-Saint-Laurent,157,L'Ancienne-Lorette,5,6,1,71,48,3,0,84,4,222,355
Louis-Saint-Laurent/Louis-Saint-Laurent,158,L'Ancienne-Lorette,1,5,7,80,51,1,0,90,8,243,414
Louis-Saint-Laurent/Louis-Saint-Laurent,159,L'Ancienne-Lorette,3,2,4,68,46,2,0,45,3,173,368
Louis-Saint-Laurent/Louis-Saint-Laurent,160,L'Ancienne-Lorette,7,8,4,74,54,0,1,58,6,212,371
Louis-Saint-Laurent/Louis-Saint-Laurent,161,L'Ancienne-Lorette,6,5,1,64,52,2,0,52,4,186,345
Louis-Saint-Laurent/Louis-Saint-Laurent,162,L'Ancienne-Lorette,7,5,2,69,53,2,0,73,6,217,344
Louis-Saint-Laurent/Louis-Saint-Laurent,163,L'Ancienne-Lorette,7,5,4,85,46,0,1,63,3,214,364
