District,Poll Number,Poll Name,Margaret Peggy Askin,John Chan,Michael Falconar,Mark MacGillivray,Cathy McClusky,Jim Prentice,Rejected Ballots,Total Vote,Electors
Calgary North Centre/Calgary-Centre-Nord,1,Calgary,0,21,2,8,34,146,1,212,365
Calgary North Centre/Calgary-Centre-Nord,2,Calgary,0,14,1,22,39,93,0,169,366
Calgary North Centre/Calgary-Centre-Nord,3,Calgary,0,10,1,18,28,96,2,155,345
Calgary North Centre/Calgary-Centre-Nord,4,Calgary,0,12,2,25,36,93,0,168,366
Calgary North Centre/Calgary-Centre-Nord,5,Calgary,0,10,2,11,30,109,0,162,336
Calgary North Centre/Calgary-Centre-Nord,6,Calgary,0,19,1,14,13,82,1,130,253
Calgary North Centre/Calgary-Centre-Nord,7,Calgary,0,27,1,18,47,128,0,221,440
Calgary North Centre/Calgary-Centre-Nord,8,Calgary,1,9,0,15,36,114,1,176,365
Calgary North Centre/Calgary-Centre-Nord,9,Calgary,0,11,1,11,40,95,1,159,359
Calgary North Centre/Calgary-Centre-Nord,10,Calgary,1,15,0,9,42,72,1,140,250
Calgary North Centre/Calgary-Centre-Nord,11,Calgary,0,14,2,13,41,114,0,184,389
Calgary North Centre/Calgary-Centre-Nord,12,Calgary,1,25,2,10,57,126,0,221,389
Calgary North Centre/Calgary-Centre-Nord,13,Calgary,4,13,1,12,70,176,1,277,450
Calgary North Centre/Calgary-Centre-Nord,14,Calgary,1,15,2,12,25,76,1,132,274
Calgary North Centre/Calgary-Centre-Nord,15,Calgary,2,20,0,16,35,73,0,146,332
Calgary North Centre/Calgary-Centre-Nord,16,Calgary,0,18,2,7,32,64,0,123,378
Calgary North Centre/Calgary-Centre-Nord,17,Calgary,0,15,1,4,50,104,1,175,328
Calgary North Centre/Calgary-Centre-Nord,18,Calgary,0,17,1,12,44,111,0,185,340
Calgary North Centre/Calgary-Centre-Nord,19,Calgary,0,13,0,17,18,96,0,144,243
Calgary North Centre/Calgary-Centre-Nord,20,Calgary,1,25,2,18,29,131,0,206,349
Calgary North Centre/Calgary-Centre-Nord,21,Calgary,0,30,3,15,32,133,1,214,385
Calgary North Centre/Calgary-Centre-Nord,22,Calgary,0,18,1,13,32,128,0,192,354
Calgary North Centre/Calgary-Centre-Nord,23,Calgary,0,24,0,5,18,108,0,155,293
Calgary North Centre/Calgary-Centre-Nord,24,Calgary,0,10,0,8,25,117,0,160,358
Calgary North Centre/Calgary-Centre-Nord,25,Calgary,1,15,3,9,31,85,0,144,220
Calgary North Centre/Calgary-Centre-Nord,26,Calgary,0,17,2,13,48,126,1,207,313
Calgary North Centre/Calgary-Centre-Nord,27,Calgary,0,15,2,13,31,76,1,138,289
Calgary North Centre/Calgary-Centre-Nord,28,Calgary,0,13,1,9,27,112,0,162,360
Calgary North Centre/Calgary-Centre-Nord,29,Calgary,1,20,2,14,18,85,0,140,256
Calgary North Centre/Calgary-Centre-Nord,30,Calgary,0,36,2,17,32,117,0,204,384
Calgary North Centre/Calgary-Centre-Nord,31,Calgary,0,21,2,16,34,72,2,147,280
Calgary North Centre/Calgary-Centre-Nord,32,Calgary,1,21,2,6,37,120,1,188,339
Calgary North Centre/Calgary-Centre-Nord,33,Calgary,1,20,1,10,23,70,0,125,290
Calgary North Centre/Calgary-Centre-Nord,34,Calgary,1,25,1,23,39,157,1,247,367
Calgary North Centre/Calgary-Centre-Nord,35,Calgary,0,18,2,15,47,110,0,192,342
Calgary North Centre/Calgary-Centre-Nord,36,Calgary,2,15,1,17,32,105,0,172,327
Calgary North Centre/Calgary-Centre-Nord,37,Calgary,3,27,3,19,28,122,0,202,390
Calgary North Centre/Calgary-Centre-Nord,38,Calgary,0,7,1,14,43,89,0,154,315
Calgary North Centre/Calgary-Centre-Nord,39,Calgary,0,16,3,13,35,136,0,203,401
Calgary North Centre/Calgary-Centre-Nord,40,Calgary,0,19,2,12,22,105,1,161,370
Calgary North Centre/Calgary-Centre-Nord,41,Calgary,0,15,2,22,24,102,1,166,335
Calgary North Centre/Calgary-Centre-Nord,42,Calgary,1,16,6,13,40,162,1,239,442
Calgary North Centre/Calgary-Centre-Nord,43,Calgary,0,25,3,21,55,166,0,270,440
Calgary North Centre/Calgary-Centre-Nord,44,Calgary,0,20,0,13,30,145,1,209,349
Calgary North Centre/Calgary-Centre-Nord,45,Calgary,0,11,2,21,29,106,0,169,285
Calgary North Centre/Calgary-Centre-Nord,46,Calgary,0,23,4,10,44,114,0,195,314
Calgary North Centre/Calgary-Centre-Nord,47,Calgary,0,18,0,10,26,78,0,132,333
Calgary North Centre/Calgary-Centre-Nord,48,Calgary,1,12,3,14,26,97,0,153,298
Calgary North Centre/Calgary-Centre-Nord,49,Calgary,0,16,1,13,21,119,1,171,350
Calgary North Centre/Calgary-Centre-Nord,50,Calgary,1,31,1,11,34,135,2,215,390
Calgary North Centre/Calgary-Centre-Nord,51,Calgary,1,15,2,14,45,120,0,197,379
Calgary North Centre/Calgary-Centre-Nord,52,Calgary,0,25,3,14,28,107,0,177,331
Calgary North Centre/Calgary-Centre-Nord,53,Calgary,0,14,2,19,25,144,3,207,369
Calgary North Centre/Calgary-Centre-Nord,54,Calgary,0,13,1,5,34,82,4,139,328
Calgary North Centre/Calgary-Centre-Nord,55,Calgary,1,23,1,8,49,88,0,170,335
Calgary North Centre/Calgary-Centre-Nord,56,Calgary,0,13,1,4,14,60,0,92,259
Calgary North Centre/Calgary-Centre-Nord,57,Calgary,0,16,0,12,25,85,0,138,336
Calgary North Centre/Calgary-Centre-Nord,58,Calgary,1,10,1,10,33,88,1,144,324
Calgary North Centre/Calgary-Centre-Nord,59,Calgary,1,17,3,18,39,148,0,226,462
Calgary North Centre/Calgary-Centre-Nord,60,Calgary,0,25,3,16,23,94,0,161,440
Calgary North Centre/Calgary-Centre-Nord,61,Calgary,0,19,2,13,31,67,1,133,307
Calgary North Centre/Calgary-Centre-Nord,62,Calgary,0,8,0,14,21,98,1,142,266
Calgary North Centre/Calgary-Centre-Nord,63,Calgary,2,23,0,27,44,95,1,192,471
Calgary North Centre/Calgary-Centre-Nord,64,Calgary,2,14,4,21,37,146,0,224,358
Calgary North Centre/Calgary-Centre-Nord,65,Calgary,2,28,1,21,41,151,2,246,416
Calgary North Centre/Calgary-Centre-Nord,66,Calgary,0,15,1,29,40,153,1,239,366
Calgary North Centre/Calgary-Centre-Nord,67,Calgary,0,9,1,10,45,115,0,180,287
Calgary North Centre/Calgary-Centre-Nord,68,Calgary,0,23,5,28,48,143,0,247,372
Calgary North Centre/Calgary-Centre-Nord,69,Calgary,1,24,1,24,44,117,0,211,333
Calgary North Centre/Calgary-Centre-Nord,70,Calgary,0,17,1,11,25,159,0,213,309
Calgary North Centre/Calgary-Centre-Nord,71,Calgary,0,18,0,22,22,119,0,181,240
Calgary North Centre/Calgary-Centre-Nord,72,Calgary,0,15,1,19,29,135,2,201,283
Calgary North Centre/Calgary-Centre-Nord,73,Calgary,1,18,2,20,38,118,1,198,314
Calgary North Centre/Calgary-Centre-Nord,74,Calgary,0,17,1,28,42,154,0,242,418
Calgary North Centre/Calgary-Centre-Nord,75,Calgary,2,28,0,20,48,158,0,256,423
Calgary North Centre/Calgary-Centre-Nord,76,Calgary,0,29,1,28,49,166,0,273,374
Calgary North Centre/Calgary-Centre-Nord,77,Calgary,0,20,3,21,35,117,0,196,349
Calgary North Centre/Calgary-Centre-Nord,78,Calgary,3,33,2,20,61,179,0,298,510
Calgary North Centre/Calgary-Centre-Nord,79,Calgary,0,12,1,27,31,85,1,157,271
Calgary North Centre/Calgary-Centre-Nord,80,Calgary,0,15,1,25,39,112,1,193,294
Calgary North Centre/Calgary-Centre-Nord,81,Calgary,0,31,0,10,34,114,0,189,299
Calgary North Centre/Calgary-Centre-Nord,82,Calgary,0,22,2,20,49,124,0,217,345
Calgary North Centre/Calgary-Centre-Nord,83,Calgary,2,22,3,24,32,104,0,187,274
Calgary North Centre/Calgary-Centre-Nord,84,Calgary,1,17,2,18,24,79,3,144,225
Calgary North Centre/Calgary-Centre-Nord,85,Calgary,2,29,2,27,40,110,0,210,332
Calgary North Centre/Calgary-Centre-Nord,86,Calgary,0,23,3,24,58,113,1,222,336
Calgary North Centre/Calgary-Centre-Nord,87,Calgary,0,16,5,18,49,119,0,207,320
Calgary North Centre/Calgary-Centre-Nord,88,Calgary,1,23,3,21,36,88,1,173,242
Calgary North Centre/Calgary-Centre-Nord,89,Calgary,0,16,4,33,50,124,1,228,334
Calgary North Centre/Calgary-Centre-Nord,90,Calgary,1,17,3,26,68,147,1,263,379
Calgary North Centre/Calgary-Centre-Nord,91,Calgary,0,24,3,31,66,124,0,248,378
Calgary North Centre/Calgary-Centre-Nord,92,Calgary,0,17,1,19,28,72,1,138,260
Calgary North Centre/Calgary-Centre-Nord,93,Calgary,0,23,1,15,48,128,0,215,380
Calgary North Centre/Calgary-Centre-Nord,94,Calgary,2,23,7,25,56,133,0,246,377
Calgary North Centre/Calgary-Centre-Nord,95,Calgary,2,35,1,19,44,132,1,234,355
Calgary North Centre/Calgary-Centre-Nord,96,Calgary,1,19,2,22,52,147,0,243,382
Calgary North Centre/Calgary-Centre-Nord,97,Calgary,1,30,4,39,58,134,0,266,376
Calgary North Centre/Calgary-Centre-Nord,98,Calgary,1,24,2,22,37,109,1,196,265
Calgary North Centre/Calgary-Centre-Nord,99,Calgary,0,20,1,23,57,132,0,233,381
Calgary North Centre/Calgary-Centre-Nord,100,Calgary,0,20,0,32,55,139,4,250,381
Calgary North Centre/Calgary-Centre-Nord,101,Calgary,0,35,1,26,63,154,0,279,395
Calgary North Centre/Calgary-Centre-Nord,102,Calgary,0,9,0,13,14,92,0,128,204
Calgary North Centre/Calgary-Centre-Nord,103,Calgary,0,21,1,11,42,74,1,150,257
Calgary North Centre/Calgary-Centre-Nord,104,Calgary,0,12,1,14,45,116,1,189,286
Calgary North Centre/Calgary-Centre-Nord,105,Calgary,1,12,1,24,48,85,0,171,280
Calgary North Centre/Calgary-Centre-Nord,106,Calgary,3,32,1,32,62,117,0,247,399
Calgary North Centre/Calgary-Centre-Nord,107,Calgary,0,28,1,31,52,96,1,209,366
Calgary North Centre/Calgary-Centre-Nord,108,Calgary,0,19,0,23,39,63,0,144,232
Calgary North Centre/Calgary-Centre-Nord,109,Calgary,0,26,7,35,78,179,0,325,545
Calgary North Centre/Calgary-Centre-Nord,110,Calgary,0,40,0,40,49,118,0,247,438
Calgary North Centre/Calgary-Centre-Nord,111,Calgary,0,33,1,26,61,137,2,260,385
Calgary North Centre/Calgary-Centre-Nord,112,Calgary,0,16,1,18,37,69,0,141,252
Calgary North Centre/Calgary-Centre-Nord,113,Calgary,0,16,0,20,45,140,0,221,401
Calgary North Centre/Calgary-Centre-Nord,114,Calgary,0,16,0,19,30,85,0,150,252
Calgary North Centre/Calgary-Centre-Nord,115,Calgary,0,13,1,15,26,43,0,98,288
Calgary North Centre/Calgary-Centre-Nord,116,Calgary,0,33,1,18,45,117,0,214,336
Calgary North Centre/Calgary-Centre-Nord,117,Calgary,2,12,1,27,25,127,1,195,309
Calgary North Centre/Calgary-Centre-Nord,118,Calgary,1,27,2,23,31,120,0,204,351
Calgary North Centre/Calgary-Centre-Nord,119,Calgary,0,23,2,21,42,112,0,200,303
Calgary North Centre/Calgary-Centre-Nord,120,Calgary,0,21,0,26,29,95,0,171,281
Calgary North Centre/Calgary-Centre-Nord,121,Calgary,0,25,0,21,43,67,1,157,255
Calgary North Centre/Calgary-Centre-Nord,122,Calgary,1,21,0,18,33,87,3,163,303
Calgary North Centre/Calgary-Centre-Nord,123,Calgary,1,9,0,22,46,113,0,191,297
Calgary North Centre/Calgary-Centre-Nord,124,Calgary,0,18,1,9,40,113,1,182,347
Calgary North Centre/Calgary-Centre-Nord,125,Calgary,0,16,2,16,28,135,0,197,298
Calgary North Centre/Calgary-Centre-Nord,126,Calgary,1,13,2,18,29,110,0,173,330
Calgary North Centre/Calgary-Centre-Nord,127,Calgary,0,16,0,15,30,105,1,167,299
Calgary North Centre/Calgary-Centre-Nord,128,Calgary,1,23,1,3,24,69,0,121,352
Calgary North Centre/Calgary-Centre-Nord,129,Calgary,2,28,1,16,41,127,0,215,516
Calgary North Centre/Calgary-Centre-Nord,130,Calgary,1,12,2,10,22,66,1,114,308
Calgary North Centre/Calgary-Centre-Nord,131,Calgary,1,30,3,14,32,118,0,198,394
Calgary North Centre/Calgary-Centre-Nord,132,Calgary,1,14,1,15,12,83,0,126,267
Calgary North Centre/Calgary-Centre-Nord,133,Calgary,1,9,0,15,22,56,1,104,223
Calgary North Centre/Calgary-Centre-Nord,134,Calgary,0,23,2,9,24,69,3,130,302
Calgary North Centre/Calgary-Centre-Nord,135,Calgary,0,20,2,12,27,95,0,156,334
