Province,Electors 2004,Electors 2000,Electors 1997,Electors 1993*,Polls 2004,Polls 2000,Polls 1997,Polls 1993*,Avg Electors/Polls 2004,Avg Electors/Polls 2000,Avg Electors/Polls 1997,Avg Electors/Polls 1993*
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",405032,405210,407109,419635,1445,1404,1393,1387,280,289,292,303
"Prince Edward Island/Île-du-Prince-Édouard",109031,103034,97802,99645,331,324,320,326,329,318,306,306
"Nova Scotia/Nouvelle-Écosse",706932,694984,677164,707202,2225,2215,2206,2210,318,314,307,320
"New Brunswick/Nouveau-Brunswick",597440,571569,551530,562128,1916,1790,1755,1733,312,319,314,324
"Quebec/Québec",5800109,5542169,5177159,5025263,15880,15279,15025,14951,365,363,345,336
"Ontario",8294928,7713744,7115785,7266097,23030,21621,20938,20285,360,357,340,358
"Manitoba",841061,786309,758526,791374,2498,2419,2406,2451,337,325,315,323
"Saskatchewan",723922,698145,679806,704248,2337,2295,2258,2253,310,304,301,313
"Alberta",2171584,2094001,1811413,1851822,6231,5690,5544,5093,349,368,327,364
"British Columbia/Colombie-Britannique",2750577,2574322,2332083,2420709,7735,7467,7281,6821,356,345,320,355
"Yukon",20345,20901,19934,20565,92,86,88,76,221,243,227,271
"Northwest Territories/Territoires du Nord-Ouest",28619,24716,35167,38108,85,92,135,139,337,269,260,274
"Nunavut",17041,14369,0,0,54,46,0,0,316,312,,
