District,Poll Number,Poll Name,Michel Bédard,Richard Bélisle,David Fiset,Nicole Fournier-Sylvester,Robert Gladu,Caroline St-Hilaire,Rejected Ballots,Total Vote,Electors
Longueuil/Longueuil,1,Boucherville,1,3,0,2,11,49,2,68,122
Longueuil/Longueuil,2,Boucherville,6,11,1,20,75,140,5,258,400
Longueuil/Longueuil,3,Boucherville,8,7,3,7,54,118,6,203,346
Longueuil/Longueuil,4A,Boucherville,3,9,1,10,44,105,4,176,301
Longueuil/Longueuil,4B,Boucherville,6,5,0,8,48,97,3,167,327
Longueuil/Longueuil,5,Boucherville,4,14,1,13,40,78,4,154,323
Longueuil/Longueuil,6,Boucherville,7,13,4,13,90,160,7,294,521
Longueuil/Longueuil,7,Boucherville,6,10,1,9,85,97,6,214,313
Longueuil/Longueuil,8,Boucherville,8,14,6,15,84,124,5,256,376
Longueuil/Longueuil,9,Boucherville,6,22,1,14,65,144,2,254,388
Longueuil/Longueuil,10,Boucherville,7,20,3,13,103,167,7,320,468
Longueuil/Longueuil,11,Boucherville,11,12,4,17,71,176,1,292,408
Longueuil/Longueuil,12,Boucherville,10,12,2,14,80,128,1,247,366
Longueuil/Longueuil,13,Boucherville,8,7,2,14,71,154,5,261,381
Longueuil/Longueuil,14,Boucherville,8,9,1,32,97,205,3,355,462
Longueuil/Longueuil,15,Boucherville,5,9,3,9,62,149,7,244,354
Longueuil/Longueuil,16,Boucherville,4,14,1,19,73,102,3,216,312
Longueuil/Longueuil,17,Boucherville,5,17,0,9,48,154,1,234,453
Longueuil/Longueuil,18,Boucherville,12,16,2,16,48,156,5,255,417
Longueuil/Longueuil,19,Boucherville,7,14,1,22,76,167,3,290,442
Longueuil/Longueuil,20,Boucherville,12,12,0,15,62,201,6,308,513
Longueuil/Longueuil,21,Boucherville,4,8,1,13,74,137,2,239,396
Longueuil/Longueuil,22,Boucherville,5,14,2,10,64,150,1,246,360
Longueuil/Longueuil,23,Boucherville,4,23,1,11,83,207,8,337,577
Longueuil/Longueuil,24,Boucherville,5,26,3,17,92,224,7,374,591
Longueuil/Longueuil,25,Boucherville,8,10,1,11,110,139,3,282,421
Longueuil/Longueuil,26A,Boucherville,7,7,3,11,86,106,1,221,339
Longueuil/Longueuil,26B,Boucherville,5,9,1,3,51,120,0,189,294
Longueuil/Longueuil,27,Boucherville,9,22,2,24,96,127,8,288,417
Longueuil/Longueuil,28,Boucherville,6,5,1,11,69,132,1,225,322
Longueuil/Longueuil,29,Boucherville,5,13,2,21,68,115,1,225,306
Longueuil/Longueuil,30,Boucherville,8,11,2,8,72,113,3,217,318
Longueuil/Longueuil,31,Boucherville,4,10,0,7,74,159,5,259,410
Longueuil/Longueuil,32,Boucherville,9,10,3,20,61,194,1,298,396
Longueuil/Longueuil,33,Boucherville,10,12,0,12,80,143,3,260,422
Longueuil/Longueuil,34,Boucherville,6,12,2,10,97,173,2,302,457
Longueuil/Longueuil,35,Boucherville,4,12,0,16,75,136,2,245,350
Longueuil/Longueuil,36,Boucherville,2,18,6,16,66,145,2,255,390
Longueuil/Longueuil,37,Boucherville,0,0,0,2,1,7,0,10,31
Longueuil/Longueuil,38,Longueuil,7,12,2,4,44,100,3,172,273
Longueuil/Longueuil,39,Longueuil,15,8,1,11,62,152,4,253,364
Longueuil/Longueuil,40,Longueuil,5,17,4,11,56,138,0,231,355
Longueuil/Longueuil,41,Longueuil,5,15,0,8,46,144,4,222,371
Longueuil/Longueuil,42,Longueuil,7,10,3,9,32,144,6,211,400
Longueuil/Longueuil,43,Longueuil,5,13,3,9,46,158,3,237,424
Longueuil/Longueuil,44,Longueuil,4,6,1,5,30,69,8,123,317
Longueuil/Longueuil,45,Longueuil,7,10,1,10,27,107,3,165,427
Longueuil/Longueuil,46,Longueuil,6,18,6,5,29,151,6,221,408
Longueuil/Longueuil,47,Longueuil,7,7,4,14,52,175,7,266,398
Longueuil/Longueuil,48,Longueuil,3,14,1,20,63,188,5,294,494
Longueuil/Longueuil,49,Longueuil,4,11,5,7,42,130,4,203,312
Longueuil/Longueuil,50,Longueuil,2,11,3,15,55,146,2,234,392
Longueuil/Longueuil,51,Longueuil,2,11,1,12,55,181,4,266,429
Longueuil/Longueuil,52,Longueuil,15,11,3,18,79,151,2,279,371
Longueuil/Longueuil,53,Longueuil,4,16,1,16,70,120,4,231,396
Longueuil/Longueuil,54,Longueuil,12,11,3,24,68,173,2,293,421
Longueuil/Longueuil,55,Longueuil,9,16,1,14,70,123,2,235,390
Longueuil/Longueuil,56,Longueuil,9,18,1,18,96,127,1,270,431
Longueuil/Longueuil,57,Longueuil,4,11,1,18,64,124,0,222,319
Longueuil/Longueuil,58,Longueuil,11,17,1,18,70,159,3,279,423
Longueuil/Longueuil,59,Longueuil,6,14,0,10,49,136,2,217,354
Longueuil/Longueuil,60,Longueuil,4,9,2,10,41,165,6,237,455
Longueuil/Longueuil,61,Longueuil,5,2,1,13,21,75,2,119,273
