District,Poll Number,Poll Name,Robert Cree,Doug Faulkner,Ian Hopfe,Brian Jean,Rejected Ballots,Total Vote,Electors
Athabasca/Athabasca,1,Garden Creek,7,68,1,4,2,82,79
Athabasca/Athabasca,2,Chipewyan Lakes ,Merged with No. 1,,,,,,13
Athabasca/Athabasca,3,Peerless Lake ,Void,,,,,,
Athabasca/Athabasca,4,Peerless Lake ,2,40,2,7,0,51,231
Athabasca/Athabasca,5,Red Earth Creek,2,60,2,29,0,93,308
Athabasca/Athabasca,6,Red Earth Creek ,2,10,5,40,0,57,94
Athabasca/Athabasca,7,Trout Lake,5,7,0,7,0,19,160
Athabasca/Athabasca,8,Atikameg,7,15,2,13,0,37,381
Athabasca/Athabasca,9A,Wabasca,9,42,17,44,0,112,429
Athabasca/Athabasca,9B,Wabasca,9,34,10,48,0,101,565
Athabasca/Athabasca,10,Wabasca,13,39,9,40,0,101,387
Athabasca/Athabasca,11,Sandy Lake ,4,10,8,6,0,28,312
Athabasca/Athabasca,12,Calling Lake ,17,35,8,58,0,118,433
Athabasca/Athabasca,13,Fitzgerald,Merged with No. 14,,,,,,16
Athabasca/Athabasca,14,Fort Chipewyan,33,116,12,68,1,230,448
Athabasca/Athabasca,15,Fort Chipewyan,Merged with No. 14,,,,,,194
Athabasca/Athabasca,16,Fort McKay,23,23,2,13,1,62,190
Athabasca/Athabasca,17,Suprae Creek--Wood Buffalo,17,62,15,176,0,270,508
Athabasca/Athabasca,18,Anzac ,32,52,16,147,0,247,491
Athabasca/Athabasca,19,Janvier--Chard,9,27,0,49,0,85,190
Athabasca/Athabasca,20,Conklin,14,12,7,8,0,41,118
Athabasca/Athabasca,21,Fort McMurray,19,66,14,108,0,207,625
Athabasca/Athabasca,22A,Fort McMurray,17,51,10,106,1,185,528
Athabasca/Athabasca,22B,Fort McMurray,14,50,13,101,0,178,536
Athabasca/Athabasca,23,Fort McMurray,26,69,11,207,0,313,728
Athabasca/Athabasca,24,Fort McMurray,18,44,9,90,1,162,517
Athabasca/Athabasca,25,Fort McMurray,17,109,9,172,1,308,600
Athabasca/Athabasca,26,Fort McMurray,13,66,13,116,1,209,447
Athabasca/Athabasca,27,Fort McMurray,8,49,7,102,1,167,342
Athabasca/Athabasca,28,Fort McMurray,12,62,17,140,1,232,231
Athabasca/Athabasca,29,Fort McMurray,24,73,9,138,2,246,496
Athabasca/Athabasca,30,Fort McMurray,27,105,7,204,0,343,624
Athabasca/Athabasca,31,Fort McMurray,Merged with No. 28,,,,,,217
Athabasca/Athabasca,32,Fort McMurray,20,65,7,168,0,260,583
Athabasca/Athabasca,33,Fort McMurray,13,60,7,111,4,195,339
Athabasca/Athabasca,34,Fort McMurray,29,77,14,145,4,269,509
Athabasca/Athabasca,35,Fort McMurray,18,84,11,119,0,232,435
Athabasca/Athabasca,36,Fort McMurray,14,53,9,91,1,168,351
Athabasca/Athabasca,37,Fort McMurray,15,54,10,163,0,242,570
Athabasca/Athabasca,38,Fort McMurray,22,44,11,77,0,154,418
Athabasca/Athabasca,39,Fort McMurray,23,55,12,96,0,186,474
Athabasca/Athabasca,40,Fort McMurray,21,88,1,127,1,238,450
Athabasca/Athabasca,41,Fort McMurray,20,55,5,118,1,199,411
Athabasca/Athabasca,42,Fort McMurray,30,59,7,91,2,189,389
Athabasca/Athabasca,43,Fort McMurray,26,85,9,92,1,213,469
Athabasca/Athabasca,44,Fort McMurray,14,52,13,80,0,159,481
Athabasca/Athabasca,45,Fort McMurray,23,76,13,139,0,251,507
Athabasca/Athabasca,46,Fort McMurray,14,27,11,67,0,119,289
Athabasca/Athabasca,47,Fort McMurray,19,54,15,99,0,187,412
Athabasca/Athabasca,48,Fort McMurray,22,43,10,81,0,156,363
Athabasca/Athabasca,49,Fort McMurray,22,38,12,62,1,135,407
Athabasca/Athabasca,50,Fort McMurray,24,53,3,68,1,149,381
Athabasca/Athabasca,51,Fort McMurray,17,42,9,67,1,136,361
Athabasca/Athabasca,52,Fort McMurray,19,73,17,136,0,245,493
Athabasca/Athabasca,53,Fort McMurray,33,56,7,130,1,227,460
Athabasca/Athabasca,54,Fort McMurray,15,69,8,111,1,204,430
Athabasca/Athabasca,55,Fort McMurray,30,60,12,134,0,236,462
Athabasca/Athabasca,56,Fort McMurray,6,28,1,33,0,68,480
Athabasca/Athabasca,57,Fort McMurray,19,45,13,59,1,137,308
Athabasca/Athabasca,58,Fort McMurray,17,55,10,100,2,184,462
Athabasca/Athabasca,59,Fort McMurray,Merged with No. 57,,,,,,261
Athabasca/Athabasca,60,Fort McMurray,20,48,7,86,1,162,381
Athabasca/Athabasca,61,Fort McMurray,9,25,3,56,0,93,344
Athabasca/Athabasca,62,Fort McMurray,15,28,5,42,2,92,287
Athabasca/Athabasca,63,Fort McMurray,24,48,9,70,1,152,395
Athabasca/Athabasca,64,Fort McMurray,15,20,3,23,0,61,396
Athabasca/Athabasca,65,Fort McMurray,15,22,7,45,0,89,282
Athabasca/Athabasca,66,Fort McMurray,30,52,10,82,0,174,480
Athabasca/Athabasca,67,Fort McMurray,17,36,8,59,2,122,333
Athabasca/Athabasca,68,Fort McMurray,17,57,11,71,0,156,515
Athabasca/Athabasca,69,Fort McMurray,23,47,12,91,0,173,417
Athabasca/Athabasca,70,Fort McMurray,21,54,1,83,1,160,383
Athabasca/Athabasca,71,Fort McMurray,18,77,13,109,1,218,534
Athabasca/Athabasca,72,Fort McMurray,27,103,15,173,2,320,667
Athabasca/Athabasca,73,Fort McMurray,17,35,8,57,0,117,460
Athabasca/Athabasca,74,Fort McMurray,8,31,8,45,0,92,373
Athabasca/Athabasca,75,Fort McMurray,21,50,13,84,1,169,465
Athabasca/Athabasca,76,Fort McMurray ,22,65,9,98,2,196,427
Athabasca/Athabasca,77,Fort McMurray,33,49,9,131,1,223,434
Athabasca/Athabasca,78,Fort McMurray,12,51,6,79,0,148,293
Athabasca/Athabasca,79,Fort McMurray,18,46,6,79,1,150,339
Athabasca/Athabasca,80,Fort McMurray,33,43,10,114,1,201,484
Athabasca/Athabasca,81,Fort McMurray,12,47,11,96,2,168,471
Athabasca/Athabasca,82,Fort McMurray,28,42,3,78,0,151,488
Athabasca/Athabasca,83,Fort McMurray,20,46,8,70,1,145,537
Athabasca/Athabasca,84,Fort McMurray,27,54,5,82,1,169,488
Athabasca/Athabasca,85,Fort McMurray,19,68,12,71,0,170,593
Athabasca/Athabasca,86,Fort McMurray,19,55,7,114,0,195,484
Athabasca/Athabasca,87,Prairie Echo ,4,21,5,90,1,121,216
Athabasca/Athabasca,88,Peavine ,10,45,2,28,0,85,269
Athabasca/Athabasca,89,Gift Lake ,7,43,0,38,0,88,375
Athabasca/Athabasca,90,Grouard ,31,22,3,50,0,106,306
Athabasca/Athabasca,91,Triangle,15,5,23,212,0,255,317
Athabasca/Athabasca,92,High Prairie,26,31,15,130,0,202,487
Athabasca/Athabasca,93,High Prairie,14,36,9,115,0,174,362
Athabasca/Athabasca,94,High Prairie,24,24,8,117,1,174,437
Athabasca/Athabasca,95,High Prairie,23,46,16,179,1,265,243
Athabasca/Athabasca,96,High Prairie,Merged with No. 95,,,,,,237
Athabasca/Athabasca,97,High Prairie,15,16,10,99,2,142,524
Athabasca/Athabasca,98,High Prairie,8,11,10,167,2,198,309
Athabasca/Athabasca,99,Enilda,16,24,7,145,0,192,378
Athabasca/Athabasca,100,Sucker Creek ,43,24,1,14,2,84,257
Athabasca/Athabasca,101,Big Lakes,Merged with No. 91,,,,,,145
Athabasca/Athabasca,102,Big Lakes,3,2,8,62,1,76,98
Athabasca/Athabasca,103,East Prairie,17,16,1,15,0,49,148
Athabasca/Athabasca,104,Joussard,23,21,11,82,1,138,284
Athabasca/Athabasca,105,Drift Pile River 150 ,27,126,5,9,1,168,373
Athabasca/Athabasca,106,Faust,22,21,8,69,0,120,260
Athabasca/Athabasca,107,Kinuso,3,5,4,19,0,31,129
Athabasca/Athabasca,108,Kinuso,2,6,3,32,0,43,134
Athabasca/Athabasca,109,Kinuso,11,45,7,139,0,202,366
Athabasca/Athabasca,110,Kinuso,3,2,3,21,1,30,197
Athabasca/Athabasca,111,Widewater,14,32,12,188,0,246,557
