District,Poll Number,Poll Name,Jean-François Breton,Howard M. Bruce,Guy Côté,Claude Duplain,Pierre Poulin,Rejected Ballots,Total Vote,Electors
Portneuf/Portneuf,1,Stoneham-et-Tewkesbury,16,38,144,45,17,5,265,538
Portneuf/Portneuf,2,Stoneham-et-Tewkesbury,4,23,101,23,7,6,164,350
Portneuf/Portneuf,3,Stoneham-et-Tewkesbury,3,40,62,29,9,5,148,351
Portneuf/Portneuf,4,Stoneham-et-Tewkesbury,11,62,116,39,17,7,252,477
Portneuf/Portneuf,5,Stoneham-et-Tewkesbury,6,37,89,56,8,14,210,396
Portneuf/Portneuf,6,Stoneham-et-Tewkesbury,8,25,50,31,6,0,120,228
Portneuf/Portneuf,7,Stoneham-et-Tewkesbury,9,38,83,52,15,2,199,368
Portneuf/Portneuf,8,Stoneham-et-Tewkesbury,19,47,181,50,17,3,317,530
Portneuf/Portneuf,9,Stoneham-et-Tewkesbury,6,66,130,39,9,7,257,552
Portneuf/Portneuf,10,Lac-Delage,9,35,114,51,12,1,222,360
Portneuf/Portneuf,11A,Stoneham-et-Tewkesbury,18,33,53,27,11,4,146,280
Portneuf/Portneuf,11B,Stoneham-et-Tewkesbury,14,32,77,36,10,2,171,309
Portneuf/Portneuf,12A,Saint-Gabriel-de-Valcartier,7,38,55,58,6,3,167,292
Portneuf/Portneuf,12B,Saint-Gabriel-de-Valcartier,5,38,46,54,11,6,160,309
Portneuf/Portneuf,13,Saint-Gabriel-de-Valcartier,11,54,43,80,11,5,204,522
Portneuf/Portneuf,14,Saint-Gabriel-de-Valcartier,10,32,68,57,10,8,185,316
Portneuf/Portneuf,15,Sainte-Brigitte-de-Laval,7,54,122,53,30,7,273,495
Portneuf/Portneuf,16,Sainte-Brigitte-de-Laval,13,53,134,38,23,7,268,523
Portneuf/Portneuf,17,Sainte-Brigitte-de-Laval,9,74,81,36,12,4,216,426
Portneuf/Portneuf,18,Sainte-Brigitte-de-Laval,11,36,77,48,13,3,188,352
Portneuf/Portneuf,19,Sainte-Brigitte-de-Laval,7,40,112,32,10,13,214,467
Portneuf/Portneuf,20,Sainte-Brigitte-de-Laval,11,52,122,33,14,12,244,437
Portneuf/Portneuf,21,Lac-Beauport,4,30,61,34,9,3,141,236
Portneuf/Portneuf,22,Lac-Beauport,13,80,128,66,21,2,310,565
Portneuf/Portneuf,23,Lac-Beauport,9,33,107,49,20,4,222,332
Portneuf/Portneuf,24,Lac-Beauport,11,38,114,71,30,3,267,425
Portneuf/Portneuf,25,Lac-Beauport,18,56,143,104,26,11,358,560
Portneuf/Portneuf,26,Lac-Beauport,14,65,142,91,15,3,330,549
Portneuf/Portneuf,27,Lac-Beauport,20,53,123,42,21,6,265,465
Portneuf/Portneuf,28,Lac-Beauport,14,70,149,94,20,6,353,566
Portneuf/Portneuf,29,Lac-Beauport,10,35,98,64,14,8,229,400
Portneuf/Portneuf,30A,Lac-Beauport,7,47,69,38,8,0,169,315
Portneuf/Portneuf,30B,Lac-Beauport,8,34,51,48,7,7,155,256
Portneuf/Portneuf,31,Rivière-à-Pierre,4,23,73,45,2,13,160,280
Portneuf/Portneuf,32,Saint-Raymond,3,57,79,128,8,6,281,512
Portneuf/Portneuf,33,Saint-Raymond,4,43,52,108,6,2,215,376
Portneuf/Portneuf,34,Saint-Raymond,10,47,73,94,4,2,230,386
Portneuf/Portneuf,35,Saint-Raymond,2,40,63,74,3,8,190,322
Portneuf/Portneuf,36A,Saint-Raymond,6,38,82,49,16,1,192,329
Portneuf/Portneuf,36B,Saint-Raymond,4,33,61,46,11,2,157,273
Portneuf/Portneuf,37,Saint-Raymond,5,33,74,52,9,6,179,455
Portneuf/Portneuf,38,Saint-Raymond,6,36,73,94,3,9,221,397
Portneuf/Portneuf,39A,Saint-Raymond,7,23,54,96,1,4,185,271
Portneuf/Portneuf,39B,Saint-Raymond,5,39,70,85,7,4,210,307
Portneuf/Portneuf,40,Saint-Raymond,3,15,43,83,4,5,153,274
