District,Poll Number,Poll Name,Josh Cooper,Benjamin Fitzerman,Lloyd Helferty,Simion Iron,Susan Kadis,Rick Morelli,Rejected Ballots,Total Vote,Electors
Thornhill/Thornhill,1,Vaughan,25,1,5,0,54,15,0,100,324
Thornhill/Thornhill,2,Vaughan,45,2,13,1,180,26,6,273,557
Thornhill/Thornhill,3,Vaughan,46,0,3,0,156,21,1,227,456
Thornhill/Thornhill,4,Vaughan,72,0,12,3,138,32,1,258,548
Thornhill/Thornhill,5A,Vaughan,70,2,6,0,97,25,0,200,373
Thornhill/Thornhill,5B,Vaughan,55,1,5,2,105,35,0,203,419
Thornhill/Thornhill,6,Vaughan,64,0,4,1,68,21,0,158,337
Thornhill/Thornhill,7,Vaughan,83,0,6,6,124,12,2,233,438
Thornhill/Thornhill,8,Vaughan,53,3,0,2,78,22,3,161,347
Thornhill/Thornhill,9A,Vaughan,45,0,5,0,103,12,0,165,339
Thornhill/Thornhill,9B,Vaughan,57,4,5,1,78,27,0,172,325
Thornhill/Thornhill,10,Vaughan,91,2,7,2,162,41,3,308,549
Thornhill/Thornhill,11A,Vaughan,90,0,8,2,85,8,0,193,333
Thornhill/Thornhill,11B,Vaughan,116,2,6,0,95,9,0,228,364
Thornhill/Thornhill,11-1,Vaughan,30,0,3,0,27,2,1,63,122
Thornhill/Thornhill,11-2,Vaughan,58,1,5,2,84,10,0,160,297
Thornhill/Thornhill,11-3,Vaughan,41,1,3,8,61,6,7,127,249
Thornhill/Thornhill,11-4A,Vaughan,Merged with No. 11-5,,,,,,,,109
Thornhill/Thornhill,11-4B,Mobile poll/Bureau itinérant,Merged with No. 121B,,,,,,,,19
Thornhill/Thornhill,11-5,Vaughan,75,1,2,2,65,1,2,148,180
Thornhill/Thornhill,11-6,Vaughan,61,0,0,1,65,4,0,131,296
Thornhill/Thornhill,11-7,Vaughan,103,1,8,0,115,17,0,244,429
Thornhill/Thornhill,11-8,Vaughan,73,0,5,1,103,3,0,185,286
Thornhill/Thornhill,12A,Vaughan,56,0,3,4,65,11,0,139,354
Thornhill/Thornhill,12B,Vaughan,53,0,1,2,81,10,0,147,390
Thornhill/Thornhill,13,Vaughan,59,0,4,0,92,11,0,166,360
Thornhill/Thornhill,14,Vaughan,150,0,2,1,147,14,0,314,554
Thornhill/Thornhill,15,Vaughan,54,1,4,1,84,2,2,148,271
Thornhill/Thornhill,16,Vaughan,85,0,5,0,140,9,3,242,447
Thornhill/Thornhill,17,Vaughan,83,3,3,0,126,13,2,230,406
Thornhill/Thornhill,18,Vaughan,94,3,3,2,113,17,1,233,371
Thornhill/Thornhill,19,Vaughan,57,1,1,0,78,5,0,142,226
Thornhill/Thornhill,20,Vaughan,93,0,7,3,112,16,1,232,384
Thornhill/Thornhill,21,Vaughan,85,0,4,0,109,3,0,201,319
Thornhill/Thornhill,22,Vaughan,114,0,1,0,107,5,1,228,428
Thornhill/Thornhill,23,Vaughan,102,0,3,1,102,9,0,217,399
Thornhill/Thornhill,24A,Vaughan,80,0,3,0,86,3,1,173,310
Thornhill/Thornhill,24B,Vaughan,96,1,3,3,101,9,2,215,353
Thornhill/Thornhill,25,Vaughan,78,1,2,0,75,8,0,164,289
Thornhill/Thornhill,26,Vaughan,136,1,3,0,152,12,0,304,519
Thornhill/Thornhill,27,Vaughan,129,1,1,0,147,7,1,286,452
Thornhill/Thornhill,28,Vaughan,150,2,2,0,163,14,1,332,552
Thornhill/Thornhill,29,Vaughan,124,1,2,0,96,10,1,234,431
Thornhill/Thornhill,30,Vaughan,141,0,7,0,152,7,0,307,483
Thornhill/Thornhill,31A,Vaughan,107,1,3,0,96,7,0,214,335
Thornhill/Thornhill,31B,Vaughan,101,0,2,0,77,0,0,180,286
Thornhill/Thornhill,32,Vaughan,137,0,2,1,85,8,0,233,381
Thornhill/Thornhill,33,Vaughan,80,0,10,0,121,10,0,221,373
Thornhill/Thornhill,34,Vaughan,84,0,8,0,116,9,2,219,376
Thornhill/Thornhill,35,Vaughan,33,0,7,0,156,19,2,217,410
Thornhill/Thornhill,36A,Vaughan,36,1,6,0,128,16,3,190,350
Thornhill/Thornhill,36B,Vaughan,14,1,4,1,111,30,1,162,314
Thornhill/Thornhill,37,Vaughan,59,5,9,2,162,36,5,278,528
Thornhill/Thornhill,38,Vaughan,37,1,13,0,150,35,3,239,467
Thornhill/Thornhill,39,Vaughan,49,0,7,3,180,39,0,278,477
Thornhill/Thornhill,40,Vaughan,66,0,12,1,160,35,0,274,497
Thornhill/Thornhill,41,Vaughan,59,0,9,1,196,42,7,314,537
Thornhill/Thornhill,42,Vaughan,29,2,11,5,157,24,3,231,399
