District,Poll Number,Poll Name,John Chandler,Gordon Earle,Gerald Keddy,Katie Morris Boudreau,Rejected Ballots,Total Vote,Electors
South Shore--St. Margaret's/South Shore--St. Margaret's,1,Upper Tantallon,152,96,68,3,0,319,518
South Shore--St. Margaret's/South Shore--St. Margaret's,2,Stillwater Lake,Void,,,,,,
South Shore--St. Margaret's/South Shore--St. Margaret's,3,Boutiliers Point,72,94,59,10,1,236,398
South Shore--St. Margaret's/South Shore--St. Margaret's,4,Masons Point,80,90,59,9,1,239,332
South Shore--St. Margaret's/South Shore--St. Margaret's,5,Head of St. Margarets Bay,40,38,33,5,0,116,206
South Shore--St. Margaret's/South Shore--St. Margaret's,6,Allen Heights,102,53,67,10,1,233,335
South Shore--St. Margaret's/South Shore--St. Margaret's,7,French Village,81,58,54,3,0,196,291
South Shore--St. Margaret's/South Shore--St. Margaret's,8,Black Point,84,59,40,4,0,187,276
South Shore--St. Margaret's/South Shore--St. Margaret's,9,Boutiliers Point,56,61,25,6,1,149,239
South Shore--St. Margaret's/South Shore--St. Margaret's,10,Queensland,55,108,47,8,2,220,334
South Shore--St. Margaret's/South Shore--St. Margaret's,11,Queensland,124,107,83,16,0,330,519
South Shore--St. Margaret's/South Shore--St. Margaret's,12,Tantallon,73,49,48,5,1,176,271
South Shore--St. Margaret's/South Shore--St. Margaret's,13,Tantallon,76,59,43,12,0,190,307
South Shore--St. Margaret's/South Shore--St. Margaret's,14,Glen Haven,123,114,90,12,0,339,500
South Shore--St. Margaret's/South Shore--St. Margaret's,15,Seabright,106,104,67,20,0,297,447
South Shore--St. Margaret's/South Shore--St. Margaret's,16,Glen Margaret,72,50,52,19,0,193,368
South Shore--St. Margaret's/South Shore--St. Margaret's,17,Tantallon,Void,,,,,,
South Shore--St. Margaret's/South Shore--St. Margaret's,18,Hacketts Cove,106,91,65,6,2,270,404
South Shore--St. Margaret's/South Shore--St. Margaret's,19,Indian Harbour--Peggy's Cove,49,48,30,9,0,136,221
South Shore--St. Margaret's/South Shore--St. Margaret's,20,West Dover,41,65,15,2,0,123,208
South Shore--St. Margaret's/South Shore--St. Margaret's,21,East Dover,86,67,27,8,0,188,237
South Shore--St. Margaret's/South Shore--St. Margaret's,22,Bayside,39,58,19,4,0,120,224
South Shore--St. Margaret's/South Shore--St. Margaret's,23,Mill Road,41,37,115,4,1,198,402
South Shore--St. Margaret's/South Shore--St. Margaret's,24,New Ross--Aldersville,37,26,143,3,1,210,309
South Shore--St. Margaret's/South Shore--St. Margaret's,25,Lake Ramsay,22,21,186,2,1,232,300
South Shore--St. Margaret's/South Shore--St. Margaret's,26,Seffernsville,39,20,71,4,1,135,208
South Shore--St. Margaret's/South Shore--St. Margaret's,27,Windsor Road,49,61,76,15,2,203,372
South Shore--St. Margaret's/South Shore--St. Margaret's,28,Chester Grant,71,79,108,8,1,267,492
South Shore--St. Margaret's/South Shore--St. Margaret's,29,Chester Basin,59,71,130,20,2,282,445
South Shore--St. Margaret's/South Shore--St. Margaret's,30,Lower Grant Road,87,63,96,13,1,260,436
South Shore--St. Margaret's/South Shore--St. Margaret's,31,Robinsons Corner,144,62,111,19,0,336,478
South Shore--St. Margaret's/South Shore--St. Margaret's,32,Chester,136,65,95,14,0,310,526
South Shore--St. Margaret's/South Shore--St. Margaret's,33,East Chester,59,49,61,7,2,178,249
South Shore--St. Margaret's/South Shore--St. Margaret's,34,Chester,137,67,59,15,2,280,405
South Shore--St. Margaret's/South Shore--St. Margaret's,35,Chester,108,47,73,8,0,236,368
South Shore--St. Margaret's/South Shore--St. Margaret's,36,Tancook Islands,24,12,35,2,0,73,159
South Shore--St. Margaret's/South Shore--St. Margaret's,37,Gold River,82,58,61,3,2,206,364
South Shore--St. Margaret's/South Shore--St. Margaret's,38,Western Shore,67,85,98,8,2,260,493
South Shore--St. Margaret's/South Shore--St. Margaret's,39,Western Shore,48,48,53,5,1,155,252
South Shore--St. Margaret's/South Shore--St. Margaret's,40,Martins Point--Martins River,57,34,43,8,2,144,250
South Shore--St. Margaret's/South Shore--St. Margaret's,41,Fox Point--Simms Settlement,64,51,48,9,0,172,299
South Shore--St. Margaret's/South Shore--St. Margaret's,42,Fox Point,90,105,64,21,0,280,452
South Shore--St. Margaret's/South Shore--St. Margaret's,43,East River,78,37,44,5,0,164,206
South Shore--St. Margaret's/South Shore--St. Margaret's,44,Mill Cove,70,75,68,16,2,231,366
South Shore--St. Margaret's/South Shore--St. Margaret's,45,Bayswater,74,56,41,16,1,188,261
South Shore--St. Margaret's/South Shore--St. Margaret's,46,Blandford,89,60,68,16,1,234,316
South Shore--St. Margaret's/South Shore--St. Margaret's,47,Barss Corner,69,53,114,17,0,253,460
South Shore--St. Margaret's/South Shore--St. Margaret's,48,Maplewood,39,28,102,5,0,174,272
South Shore--St. Margaret's/South Shore--St. Margaret's,49,Newburne,49,35,54,1,0,139,223
South Shore--St. Margaret's/South Shore--St. Margaret's,50,New Cornwall,44,60,108,18,1,231,418
South Shore--St. Margaret's/South Shore--St. Margaret's,51,North River,23,31,41,1,0,96,234
South Shore--St. Margaret's/South Shore--St. Margaret's,52,New Germany,29,13,94,6,1,143,258
South Shore--St. Margaret's/South Shore--St. Margaret's,53,New Germany--Simpsons Corner,63,50,108,12,3,236,447
South Shore--St. Margaret's/South Shore--St. Margaret's,54,Stanley Section--Watford,43,37,101,7,0,188,309
South Shore--St. Margaret's/South Shore--St. Margaret's,55,Upper Northfield,68,49,124,9,1,251,402
