District,Poll Number,Poll Name,Brian Carroll,Grant Fraser,Betty Hinton,John O'Fee,Arjun Singh,Rejected Ballots,Total Vote,Electors
Kamloops--Thompson/Kamloops--Thompson,1A,Valemount ,58,16,92,34,4,0,204,369
Kamloops--Thompson/Kamloops--Thompson,1B,Valemount ,62,22,128,44,2,0,258,438
Kamloops--Thompson/Kamloops--Thompson,1C,Valemount ,55,15,116,31,4,3,224,445
Kamloops--Thompson/Kamloops--Thompson,2,Blue River,32,11,57,20,0,0,120,186
Kamloops--Thompson/Kamloops--Thompson,3A,Clearwater ,81,22,141,67,5,1,317,561
Kamloops--Thompson/Kamloops--Thompson,3B,Clearwater ,117,16,102,56,0,1,292,531
Kamloops--Thompson/Kamloops--Thompson,3C,Clearwater ,105,23,116,69,1,0,314,556
Kamloops--Thompson/Kamloops--Thompson,3D,Clearwater ,84,23,110,50,2,2,271,478
Kamloops--Thompson/Kamloops--Thompson,4,Birch Island,40,8,60,24,1,0,133,228
Kamloops--Thompson/Kamloops--Thompson,5,Vavenby,49,8,114,26,2,0,199,326
Kamloops--Thompson/Kamloops--Thompson,6,Avola,10,3,14,2,0,0,29,39
Kamloops--Thompson/Kamloops--Thompson,7A,Lac la Hache ,65,8,135,93,0,1,302,472
Kamloops--Thompson/Kamloops--Thompson,7B,Lac la Hache ,56,13,128,67,0,0,264,419
Kamloops--Thompson/Kamloops--Thompson,8A,108 Mile Ranch ,76,7,148,79,2,1,313,509
Kamloops--Thompson/Kamloops--Thompson,8B,108 Mile Ranch ,83,9,163,81,0,2,338,532
Kamloops--Thompson/Kamloops--Thompson,8C,108 Mile Ranch ,77,10,135,82,2,4,310,455
Kamloops--Thompson/Kamloops--Thompson,9A,100 Mile House ,71,11,107,38,2,0,229,431
Kamloops--Thompson/Kamloops--Thompson,9B,100 Mile House ,83,15,123,53,0,2,276,512
Kamloops--Thompson/Kamloops--Thompson,9C,100 Mile House ,83,20,159,87,2,0,351,633
Kamloops--Thompson/Kamloops--Thompson,9D,100 Mile House ,54,11,92,47,2,2,208,434
Kamloops--Thompson/Kamloops--Thompson,9E,100 Mile House ,92,9,98,70,0,0,269,521
Kamloops--Thompson/Kamloops--Thompson,9F,100 Mile House ,48,8,106,38,0,0,200,387
Kamloops--Thompson/Kamloops--Thompson,9G,100 Mile House ,64,17,157,55,1,1,295,551
Kamloops--Thompson/Kamloops--Thompson,9H,100 Mile House ,21,7,87,48,0,1,164,323
