District,Poll Number,Poll Name,Terry Albright,Jonathan Cormier,Bob McVicar,Tom Oland,Jim Wood,Paul Zed,Rejected Ballots,Total Vote,Electors
Saint John/Saint John,88,Saint John,33,1,50,1,1,80,1,167,391
Saint John/Saint John,89,Saint John,26,9,47,1,1,62,1,147,378
Saint John/Saint John,90,Saint John,32,3,23,0,0,36,1,95,266
Saint John/Saint John,91,Saint John,47,1,24,3,2,79,0,156,397
Saint John/Saint John,92,Saint John,39,2,38,0,0,67,0,146,389
Saint John/Saint John,93,Saint John,31,3,28,1,1,53,0,117,386
Saint John/Saint John,94,Saint John,18,1,31,3,1,59,2,115,249
Saint John/Saint John,95,Saint John,42,2,43,1,2,58,0,148,460
Saint John/Saint John,96,Saint John,35,1,25,1,0,41,0,103,360
Saint John/Saint John,97,Saint John,56,2,62,3,2,82,5,212,437
Saint John/Saint John,98,Saint John,36,3,37,1,2,70,1,150,346
Saint John/Saint John,99,Saint John,28,5,67,2,1,95,0,198,418
Saint John/Saint John,100,Saint John,19,3,16,2,4,18,1,63,340
Saint John/Saint John,101,Saint John,35,1,31,0,1,39,1,108,248
Saint John/Saint John,102,Saint John,16,3,27,1,2,50,0,99,362
Saint John/Saint John,103,Saint John,31,6,29,0,1,74,3,144,430
Saint John/Saint John,104,Saint John,27,8,30,1,1,42,0,109,282
Saint John/Saint John,105,Saint John,33,5,23,1,2,81,3,148,389
Saint John/Saint John,106,Saint John,23,10,18,2,1,54,1,109,300
Saint John/Saint John,107,Saint John,37,1,55,1,2,99,2,197,362
Saint John/Saint John,108,Saint John,27,7,55,1,2,68,5,165,317
Saint John/Saint John,109,Saint John,31,8,40,1,1,112,0,193,430
Saint John/Saint John,110,Saint John,26,6,19,2,1,65,2,121,333
Saint John/Saint John,111,Saint John,36,6,23,1,3,50,1,120,300
Saint John/Saint John,112,Saint John,36,6,34,2,1,38,0,117,330
Saint John/Saint John,113,Saint John,38,6,39,0,0,64,1,148,338
Saint John/Saint John,114,Saint John,46,10,59,0,2,65,2,184,403
Saint John/Saint John,115,Saint John,46,4,35,1,2,44,1,133,313
Saint John/Saint John,116,Saint John,36,0,41,1,1,42,0,121,310
Saint John/Saint John,117,Saint John,26,5,26,0,1,40,0,98,313
Saint John/Saint John,118,Saint John,39,3,32,1,2,48,0,125,353
Saint John/Saint John,119,Saint John,35,1,30,0,5,45,1,117,381
Saint John/Saint John,120,Saint John,39,3,48,2,2,72,0,166,375
Saint John/Saint John,121,Saint John,41,3,68,5,1,65,0,183,357
Saint John/Saint John,122,Saint John,47,3,44,2,2,79,2,179,370
Saint John/Saint John,123,Saint John,14,1,27,0,1,30,2,75,242
Saint John/Saint John,124,Saint John,35,1,50,0,4,44,2,136,377
Saint John/Saint John,125,Saint John,35,5,48,3,1,60,1,153,337
Saint John/Saint John,126,Saint John,17,3,45,3,3,31,0,102,336
Saint John/Saint John,127,Saint John,33,2,24,2,2,24,1,88,276
Saint John/Saint John,128,Saint John,44,5,36,0,3,15,4,107,344
Saint John/Saint John,129,Saint John,31,2,35,2,1,36,0,107,303
