District,Poll Number,Poll Name,John Baloun,Laurie Hawn,Lyle Kenny,Anne McLellan,Meghan McMaster,Peggy Morton,David J. Parker,Sean Tisdall,Rejected Ballots,Total Vote,Electors
Edmonton Centre/Edmonton-Centre,134,Edmonton,0,62,2,92,35,0,17,2,1,211,451
Edmonton Centre/Edmonton-Centre,135,Edmonton,0,58,1,88,24,0,15,2,0,188,373
Edmonton Centre/Edmonton-Centre,136,Edmonton,1,73,0,138,20,2,20,2,1,257,432
Edmonton Centre/Edmonton-Centre,137,Edmonton,2,58,0,61,14,0,13,2,1,151,290
Edmonton Centre/Edmonton-Centre,138A,Edmonton,0,52,1,72,20,1,9,1,0,156,296
Edmonton Centre/Edmonton-Centre,138B,Edmonton,0,72,0,93,11,1,6,0,0,183,318
Edmonton Centre/Edmonton-Centre,139,Edmonton,0,109,0,190,17,1,11,5,0,333,535
Edmonton Centre/Edmonton-Centre,140,Edmonton,0,74,1,82,12,2,5,4,1,181,251
Edmonton Centre/Edmonton-Centre,141A,Edmonton,0,60,0,87,28,0,19,1,0,195,345
Edmonton Centre/Edmonton-Centre,141B,Edmonton,1,58,0,109,38,0,13,2,0,221,405
Edmonton Centre/Edmonton-Centre,142A,Edmonton,0,59,2,74,15,1,8,1,0,160,293
Edmonton Centre/Edmonton-Centre,142B,Edmonton,0,73,1,97,19,0,11,2,0,203,406
Edmonton Centre/Edmonton-Centre,142C,Edmonton,0,53,0,90,15,0,8,1,2,169,341
Edmonton Centre/Edmonton-Centre,143,Edmonton,0,42,0,65,21,0,14,2,0,144,326
Edmonton Centre/Edmonton-Centre,144,Edmonton,3,62,5,125,25,0,26,4,1,251,437
Edmonton Centre/Edmonton-Centre,145,Edmonton,3,27,4,67,19,0,8,4,3,135,275
Edmonton Centre/Edmonton-Centre,146,Edmonton,2,83,1,123,18,1,6,5,1,240,490
Edmonton Centre/Edmonton-Centre,147A,Edmonton,0,40,1,78,25,0,16,1,0,161,344
Edmonton Centre/Edmonton-Centre,147B,Edmonton,0,36,0,52,37,0,11,2,2,140,290
Edmonton Centre/Edmonton-Centre,148A,Edmonton,1,66,3,72,16,1,6,1,0,166,320
Edmonton Centre/Edmonton-Centre,148B,Mobile poll/Bureau itinérant,Merged with No. 506B,,,,,,,,,,21
Edmonton Centre/Edmonton-Centre,149,Edmonton,2,75,3,92,25,0,13,2,0,212,425
Edmonton Centre/Edmonton-Centre,150,Edmonton,0,41,0,93,10,0,10,0,1,155,331
Edmonton Centre/Edmonton-Centre,151,Edmonton,2,41,3,48,31,0,12,4,0,141,296
Edmonton Centre/Edmonton-Centre,152,Edmonton,0,40,3,46,20,0,8,5,0,122,246
Edmonton Centre/Edmonton-Centre,153A,Edmonton,0,45,1,54,28,0,18,1,0,147,291
Edmonton Centre/Edmonton-Centre,153B,Edmonton,1,41,2,59,14,1,8,1,0,127,266
Edmonton Centre/Edmonton-Centre,154,Edmonton,2,71,6,90,58,0,21,2,2,252,521
Edmonton Centre/Edmonton-Centre,155,Edmonton,0,32,1,44,20,1,8,4,1,111,231
Edmonton Centre/Edmonton-Centre,156,Edmonton,1,89,1,171,14,0,14,1,1,292,508
Edmonton Centre/Edmonton-Centre,157,Edmonton,0,72,2,60,22,1,8,2,0,167,409
Edmonton Centre/Edmonton-Centre,158,Edmonton,0,138,1,94,18,0,5,1,1,258,405
Edmonton Centre/Edmonton-Centre,159,Edmonton,0,62,1,48,8,0,1,0,1,121,295
Edmonton Centre/Edmonton-Centre,160,Edmonton,1,28,1,47,14,0,6,2,1,100,298
Edmonton Centre/Edmonton-Centre,161,Edmonton,0,114,2,62,17,1,11,2,0,209,384
Edmonton Centre/Edmonton-Centre,162,Edmonton,0,106,2,42,26,0,8,1,1,186,406
Edmonton Centre/Edmonton-Centre,163,Edmonton,0,71,1,54,10,0,14,4,0,154,384
Edmonton Centre/Edmonton-Centre,164,Edmonton,1,80,2,67,15,0,13,0,1,179,425
Edmonton Centre/Edmonton-Centre,165,Edmonton,0,88,5,50,11,0,11,1,1,167,426
Edmonton Centre/Edmonton-Centre,166,Edmonton,0,71,1,78,28,0,8,2,1,189,380
Edmonton Centre/Edmonton-Centre,167,Edmonton,0,45,1,32,15,0,8,2,0,103,370
Edmonton Centre/Edmonton-Centre,168,Edmonton,1,90,1,72,12,0,5,1,0,182,403
Edmonton Centre/Edmonton-Centre,169,Edmonton,0,69,4,54,13,0,4,0,0,144,319
Edmonton Centre/Edmonton-Centre,170,Edmonton,0,86,3,52,9,0,12,2,0,164,326
Edmonton Centre/Edmonton-Centre,171,Edmonton,1,151,0,141,15,0,21,1,0,330,518
Edmonton Centre/Edmonton-Centre,172,Edmonton,1,126,2,108,9,1,8,3,0,258,379
Edmonton Centre/Edmonton-Centre,173,Edmonton,0,96,0,115,16,0,9,2,0,238,383
Edmonton Centre/Edmonton-Centre,174,Edmonton,0,137,1,138,14,0,10,1,1,302,417
Edmonton Centre/Edmonton-Centre,175,Edmonton,3,70,0,75,21,1,8,0,1,179,404
Edmonton Centre/Edmonton-Centre,176,Edmonton,1,99,1,66,24,0,9,1,0,201,430
Edmonton Centre/Edmonton-Centre,177,Edmonton,2,107,1,46,18,0,15,5,1,195,341
Edmonton Centre/Edmonton-Centre,178,Edmonton,1,89,4,80,16,0,7,2,2,201,366
Edmonton Centre/Edmonton-Centre,179,Edmonton,1,105,5,59,16,0,8,0,0,194,405
Edmonton Centre/Edmonton-Centre,180,Edmonton,0,150,1,135,10,1,19,2,1,319,463
Edmonton Centre/Edmonton-Centre,181,Edmonton,0,103,0,131,3,0,7,1,1,246,367
Edmonton Centre/Edmonton-Centre,182,Edmonton,2,116,2,137,7,0,8,1,0,273,384
Edmonton Centre/Edmonton-Centre,183,Edmonton,7,120,1,66,9,1,11,1,0,216,373
Edmonton Centre/Edmonton-Centre,184,Edmonton,2,128,0,93,14,1,11,5,1,255,407
Edmonton Centre/Edmonton-Centre,185,Edmonton,0,157,3,108,18,0,14,3,1,304,482
Edmonton Centre/Edmonton-Centre,186,Edmonton,3,102,1,79,17,0,10,0,0,212,378
Edmonton Centre/Edmonton-Centre,187,Edmonton,0,161,4,124,24,0,10,1,1,325,518
Edmonton Centre/Edmonton-Centre,188,Edmonton,0,127,1,87,11,0,3,0,0,229,384
Edmonton Centre/Edmonton-Centre,189,Edmonton,3,139,4,130,29,0,15,1,0,321,484
Edmonton Centre/Edmonton-Centre,190,Edmonton,0,71,1,42,8,0,7,1,1,131,231
Edmonton Centre/Edmonton-Centre,191,Edmonton,0,98,6,78,29,0,18,4,0,233,466
Edmonton Centre/Edmonton-Centre,192,Edmonton,0,65,4,54,10,0,6,2,0,141,380
Edmonton Centre/Edmonton-Centre,193,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,,,125
Edmonton Centre/Edmonton-Centre,194,Edmonton,0,51,0,64,20,0,4,0,0,139,366
Edmonton Centre/Edmonton-Centre,195,Edmonton,1,91,1,71,23,0,7,2,0,196,463
Edmonton Centre/Edmonton-Centre,196,Edmonton,0,128,0,57,9,1,9,2,0,206,343
Edmonton Centre/Edmonton-Centre,197,Edmonton,1,97,0,78,10,0,18,2,2,208,347
Edmonton Centre/Edmonton-Centre,198,Edmonton,0,154,1,111,19,2,12,0,1,300,484
Edmonton Centre/Edmonton-Centre,199,Edmonton,0,111,3,62,23,3,7,1,0,210,325
Edmonton Centre/Edmonton-Centre,200,Edmonton,1,122,1,58,16,0,12,4,0,214,395
Edmonton Centre/Edmonton-Centre,201,Edmonton,0,60,1,50,15,2,4,0,1,133,293
Edmonton Centre/Edmonton-Centre,202,Edmonton,0,85,0,89,17,0,5,1,1,198,388
Edmonton Centre/Edmonton-Centre,203,Edmonton,1,128,3,85,17,1,2,0,0,237,365
Edmonton Centre/Edmonton-Centre,204,Edmonton,1,117,4,109,14,1,5,1,3,255,442
Edmonton Centre/Edmonton-Centre,205,Edmonton,1,159,1,144,11,2,20,1,0,339,457
