District,Poll Number,Poll Name,David Askew,Katrina Chowne,Connie Fogal,Stephen Owen,Stephen Rogers,Doug Warkentin,Donovan Young,Rejected Ballots,Total Vote,Electors
Vancouver Quadra/Vancouver Quadra,113,Vancouver,28,0,3,168,73,9,0,4,285,442
Vancouver Quadra/Vancouver Quadra,114,Vancouver,18,0,1,176,87,14,0,0,296,450
Vancouver Quadra/Vancouver Quadra,115,Vancouver,23,2,4,131,118,11,1,2,292,444
Vancouver Quadra/Vancouver Quadra,116,Vancouver,22,1,1,158,82,8,1,0,273,434
Vancouver Quadra/Vancouver Quadra,117,Vancouver,9,0,2,127,72,11,0,0,221,383
Vancouver Quadra/Vancouver Quadra,118,Vancouver,14,2,1,173,115,10,0,0,315,438
Vancouver Quadra/Vancouver Quadra,119,Vancouver,22,0,0,168,81,4,0,0,275,433
Vancouver Quadra/Vancouver Quadra,120,Vancouver,26,0,2,126,55,17,0,1,227,358
Vancouver Quadra/Vancouver Quadra,121,Vancouver,39,0,0,157,86,14,0,0,296,483
Vancouver Quadra/Vancouver Quadra,122,Vancouver,41,1,0,164,50,14,2,2,274,482
Vancouver Quadra/Vancouver Quadra,123,Vancouver,24,0,2,176,48,14,2,3,269,475
Vancouver Quadra/Vancouver Quadra,124,Vancouver,13,0,0,116,56,4,0,2,191,421
Vancouver Quadra/Vancouver Quadra,125,Vancouver,17,0,0,121,73,8,0,2,221,393
Vancouver Quadra/Vancouver Quadra,126,Vancouver,25,1,2,125,83,6,0,0,242,370
Vancouver Quadra/Vancouver Quadra,127,Vancouver,37,2,3,136,60,8,0,3,249,450
Vancouver Quadra/Vancouver Quadra,128,Vancouver,24,1,0,159,50,4,1,1,240,455
Vancouver Quadra/Vancouver Quadra,129,Vancouver,23,1,1,156,75,11,0,0,267,425
Vancouver Quadra/Vancouver Quadra,130,Vancouver,27,2,1,174,83,9,0,0,296,459
Vancouver Quadra/Vancouver Quadra,131,Vancouver,15,2,0,128,68,3,0,1,217,386
Vancouver Quadra/Vancouver Quadra,132,Vancouver,19,1,0,124,95,11,0,1,251,406
Vancouver Quadra/Vancouver Quadra,133,Vancouver,32,1,0,152,79,10,0,0,274,452
Vancouver Quadra/Vancouver Quadra,134,Vancouver,26,0,0,142,71,8,0,0,247,428
Vancouver Quadra/Vancouver Quadra,135,Vancouver,17,0,1,153,86,10,1,0,268,475
Vancouver Quadra/Vancouver Quadra,136,Vancouver,19,0,1,147,75,11,0,0,253,398
Vancouver Quadra/Vancouver Quadra,137,Vancouver,27,0,3,136,94,14,0,1,275,504
Vancouver Quadra/Vancouver Quadra,138,Vancouver,24,1,0,167,85,12,0,1,290,511
Vancouver Quadra/Vancouver Quadra,139,Vancouver,22,1,0,155,59,11,0,0,248,444
Vancouver Quadra/Vancouver Quadra,140,Vancouver,24,0,0,151,68,17,0,1,261,473
Vancouver Quadra/Vancouver Quadra,141,Vancouver,21,2,2,159,106,18,1,0,309,514
Vancouver Quadra/Vancouver Quadra,142,Vancouver,20,0,0,134,60,8,0,0,222,433
Vancouver Quadra/Vancouver Quadra,143,Vancouver,15,0,1,101,47,7,0,0,171,293
Vancouver Quadra/Vancouver Quadra,144,Vancouver,11,1,0,93,86,8,0,1,200,349
Vancouver Quadra/Vancouver Quadra,145,Vancouver,24,2,0,88,66,9,0,0,189,355
Vancouver Quadra/Vancouver Quadra,146,Vancouver,67,0,1,122,43,25,1,1,260,466
Vancouver Quadra/Vancouver Quadra,147,Vancouver,17,0,0,141,81,7,0,4,250,388
Vancouver Quadra/Vancouver Quadra,148,Vancouver,18,1,0,54,53,10,0,1,137,262
Vancouver Quadra/Vancouver Quadra,149,Vancouver,18,1,1,117,70,7,1,1,216,407
Vancouver Quadra/Vancouver Quadra,150,Vancouver,13,0,1,142,68,10,0,0,234,359
Vancouver Quadra/Vancouver Quadra,151,Vancouver,11,1,0,117,109,8,0,0,246,384
Vancouver Quadra/Vancouver Quadra,152,Vancouver,12,0,0,123,82,7,0,1,225,414
Vancouver Quadra/Vancouver Quadra,153,Vancouver,24,0,0,164,108,18,1,0,315,559
Vancouver Quadra/Vancouver Quadra,154,Vancouver,5,0,2,140,87,8,0,1,243,408
Vancouver Quadra/Vancouver Quadra,155,Vancouver,18,2,3,114,86,4,0,1,228,425
Vancouver Quadra/Vancouver Quadra,156,Vancouver,14,0,1,92,47,8,0,1,163,310
Vancouver Quadra/Vancouver Quadra,157,Vancouver,11,1,1,88,32,7,0,1,141,263
Vancouver Quadra/Vancouver Quadra,158,Vancouver,23,0,1,96,59,8,0,0,187,347
Vancouver Quadra/Vancouver Quadra,159,Vancouver,38,0,0,128,93,17,0,0,276,474
Vancouver Quadra/Vancouver Quadra,160,Vancouver,17,0,0,79,58,14,0,1,169,292
Vancouver Quadra/Vancouver Quadra,161,Vancouver,23,1,2,78,65,14,0,2,185,384
Vancouver Quadra/Vancouver Quadra,162,Vancouver,9,0,0,164,72,16,0,0,261,442
Vancouver Quadra/Vancouver Quadra,163,Vancouver,7,1,2,114,80,6,0,0,210,396
Vancouver Quadra/Vancouver Quadra,164,Vancouver,8,0,2,133,72,4,0,0,219,418
Vancouver Quadra/Vancouver Quadra,165,Vancouver,13,2,1,150,86,8,0,1,261,469
Vancouver Quadra/Vancouver Quadra,166,Vancouver,9,0,0,92,47,4,1,1,154,273
Vancouver Quadra/Vancouver Quadra,167A,Vancouver,10,1,0,73,66,8,0,0,158,328
Vancouver Quadra/Vancouver Quadra,167B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,,39
Vancouver Quadra/Vancouver Quadra,168,Musqueam 2,9,0,0,32,48,3,0,0,92,191
Vancouver Quadra/Vancouver Quadra,169,Musqueam 2,38,0,1,115,104,7,0,1,266,410
Vancouver Quadra/Vancouver Quadra,170,Musqueam 2,40,0,0,56,12,8,1,0,117,279
Vancouver Quadra/Vancouver Quadra,171,Vancouver,20,1,0,143,111,21,0,0,296,507
Vancouver Quadra/Vancouver Quadra,172,Vancouver,9,0,2,148,96,15,0,1,271,407
Vancouver Quadra/Vancouver Quadra,173,Vancouver,23,1,0,182,109,12,0,3,330,513
Vancouver Quadra/Vancouver Quadra,174,Vancouver,9,0,1,112,66,12,0,2,202,321
Vancouver Quadra/Vancouver Quadra,175,Vancouver,12,0,0,148,73,11,0,0,244,400
Vancouver Quadra/Vancouver Quadra,176,Vancouver,13,1,1,172,71,13,0,0,271,472
Vancouver Quadra/Vancouver Quadra,177,Vancouver,6,0,0,161,115,10,1,0,293,471
Vancouver Quadra/Vancouver Quadra,178,Vancouver,29,2,0,124,76,10,0,0,241,434
Vancouver Quadra/Vancouver Quadra,179,Vancouver,31,1,1,117,72,8,0,0,230,437
Vancouver Quadra/Vancouver Quadra,180,Vancouver,27,0,2,115,60,14,1,1,220,390
Vancouver Quadra/Vancouver Quadra,181,Vancouver,33,0,1,99,56,14,0,1,204,386
Vancouver Quadra/Vancouver Quadra,182,Vancouver,28,1,1,132,69,14,0,1,246,438
Vancouver Quadra/Vancouver Quadra,183,Vancouver,30,0,0,106,51,8,0,0,195,380
Vancouver Quadra/Vancouver Quadra,184,Vancouver,26,0,1,160,65,15,0,2,269,497
Vancouver Quadra/Vancouver Quadra,185,Vancouver,5,1,3,103,79,16,0,2,209,335
Vancouver Quadra/Vancouver Quadra,186,Vancouver,9,0,1,113,89,9,1,0,222,411
Vancouver Quadra/Vancouver Quadra,187,Vancouver,15,1,0,151,90,10,0,0,267,467
Vancouver Quadra/Vancouver Quadra,188,Vancouver,24,0,1,147,105,17,0,0,294,483
Vancouver Quadra/Vancouver Quadra,189,Vancouver,22,2,0,135,68,9,0,0,236,388
Vancouver Quadra/Vancouver Quadra,190,Vancouver,3,0,0,99,57,2,0,1,162,278
Vancouver Quadra/Vancouver Quadra,191,Vancouver,40,0,1,125,63,15,0,0,244,436
Vancouver Quadra/Vancouver Quadra,192,Vancouver,24,0,0,121,74,10,2,0,231,439
Vancouver Quadra/Vancouver Quadra,193,Vancouver,5,1,0,114,80,4,0,0,204,385
Vancouver Quadra/Vancouver Quadra,194,Vancouver,29,2,2,147,59,10,0,0,249,444
Vancouver Quadra/Vancouver Quadra,195,Vancouver,10,0,0,131,96,8,0,0,245,480
Vancouver Quadra/Vancouver Quadra,196,Vancouver,9,2,1,168,118,11,1,1,311,553
Vancouver Quadra/Vancouver Quadra,197,Vancouver,5,0,0,100,81,11,0,0,197,389
Vancouver Quadra/Vancouver Quadra,198,Vancouver,3,0,1,109,60,9,0,2,184,403
Vancouver Quadra/Vancouver Quadra,199,Vancouver,11,2,0,132,92,10,1,3,251,461
Vancouver Quadra/Vancouver Quadra,200,Vancouver,22,1,0,150,74,14,0,0,261,511
Vancouver Quadra/Vancouver Quadra,201,Vancouver,31,2,0,158,98,10,0,2,301,564
Vancouver Quadra/Vancouver Quadra,202,Vancouver,62,1,2,85,43,10,0,2,205,410
Vancouver Quadra/Vancouver Quadra,203,Vancouver,63,0,1,59,46,11,1,2,183,363
Vancouver Quadra/Vancouver Quadra,400,University Endowment Lands,Void,,,,,,,,,
Vancouver Quadra/Vancouver Quadra,401,University Endowment Lands,Merged with No. 13-1,,,,,,,,,56
Vancouver Quadra/Vancouver Quadra,402,University Endowment Lands,Merged with No. 13-1,,,,,,,,,2
Vancouver Quadra/Vancouver Quadra,403,University Endowment Lands,Merged with No. 13-1,,,,,,,,,75
Vancouver Quadra/Vancouver Quadra,404,University Endowment Lands,Void,,,,,,,,,
Vancouver Quadra/Vancouver Quadra,405,University Endowment Lands,Merged with No. 13-1,,,,,,,,,104
Vancouver Quadra/Vancouver Quadra,406,University Endowment Lands,Void,,,,,,,,,
Vancouver Quadra/Vancouver Quadra,407,University Endowment Lands,Void,,,,,,,,,
Vancouver Quadra/Vancouver Quadra,408,Vancouver,21,1,3,36,21,4,0,4,90,114
Vancouver Quadra/Vancouver Quadra,500,Mobile poll/Bureau itinérant,17,1,2,28,24,3,0,4,79,138
Vancouver Quadra/Vancouver Quadra,501,Mobile poll/Bureau itinérant,18,0,1,48,13,3,0,2,85,68
Vancouver Quadra/Vancouver Quadra,502,Mobile poll/Bureau itinérant,7,1,1,34,43,1,0,2,89,147
Vancouver Quadra/Vancouver Quadra,503,Mobile poll/Bureau itinérant,17,2,0,90,46,2,1,1,159,237
Vancouver Quadra/Vancouver Quadra,600,Greater Vancouver,49,1,0,152,112,21,0,0,335,
Vancouver Quadra/Vancouver Quadra,601,Vancouver,115,1,0,380,236,31,0,2,765,
Vancouver Quadra/Vancouver Quadra,602,Vancouver,149,0,0,303,157,34,2,0,645,
Vancouver Quadra/Vancouver Quadra,603,Vancouver,156,1,4,298,184,51,0,0,694,
Vancouver Quadra/Vancouver Quadra,604,Vancouver,84,0,2,410,302,36,0,1,835,
Vancouver Quadra/Vancouver Quadra,605,Vancouver,55,0,4,374,295,20,0,2,750,
Vancouver Quadra/Vancouver Quadra,606,Vancouver,40,2,0,366,395,30,0,0,833,
Vancouver Quadra/Vancouver Quadra,607,Vancouver,62,2,5,395,345,28,0,2,839,
Vancouver Quadra/Vancouver Quadra,,Group 1/Groupe 1,25,1,1,86,36,19,0,6,174,279
Vancouver Quadra/Vancouver Quadra,,Group 2/Groupe 2,171,2,8,549,378,51,1,13,1173,
