District,Poll Number,Poll Name,Tony Backhurst,Raymond Cho,Kathryn Holloway,Fauzia Khan,Derek Lee,Rejected Ballots,Total Vote,Electors
Scarborough--Rouge River/Scarborough--Rouge River,1,Scarborough,17,20,4,18,108,1,168,392
Scarborough--Rouge River/Scarborough--Rouge River,2,Scarborough,34,28,5,8,127,0,202,397
Scarborough--Rouge River/Scarborough--Rouge River,3,Scarborough,39,21,2,21,104,0,187,441
Scarborough--Rouge River/Scarborough--Rouge River,4,Scarborough,37,24,4,12,181,1,259,538
Scarborough--Rouge River/Scarborough--Rouge River,5A,Scarborough,11,14,0,16,86,2,129,322
Scarborough--Rouge River/Scarborough--Rouge River,5B,Scarborough,11,12,2,13,81,1,120,255
Scarborough--Rouge River/Scarborough--Rouge River,6,Scarborough,17,30,2,22,153,0,224,465
Scarborough--Rouge River/Scarborough--Rouge River,7,Scarborough,28,28,2,11,157,1,227,501
Scarborough--Rouge River/Scarborough--Rouge River,8,Scarborough,40,26,5,10,138,1,220,498
Scarborough--Rouge River/Scarborough--Rouge River,9,Scarborough,31,27,7,29,137,0,231,492
Scarborough--Rouge River/Scarborough--Rouge River,10,Scarborough,39,17,1,13,159,0,229,432
Scarborough--Rouge River/Scarborough--Rouge River,11,Scarborough,19,11,0,16,145,0,191,394
Scarborough--Rouge River/Scarborough--Rouge River,12,Scarborough,40,30,3,26,152,0,251,494
Scarborough--Rouge River/Scarborough--Rouge River,12-1,Scarborough,5,3,2,13,44,4,71,202
Scarborough--Rouge River/Scarborough--Rouge River,13,Scarborough,41,14,0,21,156,1,233,484
Scarborough--Rouge River/Scarborough--Rouge River,14,Scarborough,23,21,6,32,136,0,218,490
Scarborough--Rouge River/Scarborough--Rouge River,15,Scarborough,11,12,5,26,160,1,215,493
Scarborough--Rouge River/Scarborough--Rouge River,16,Scarborough,33,14,6,26,178,1,258,483
Scarborough--Rouge River/Scarborough--Rouge River,17,Scarborough,41,14,9,27,162,0,253,453
Scarborough--Rouge River/Scarborough--Rouge River,18,Scarborough,35,22,3,19,143,1,223,477
Scarborough--Rouge River/Scarborough--Rouge River,19,Scarborough,16,28,3,25,196,2,270,540
Scarborough--Rouge River/Scarborough--Rouge River,20,Scarborough,37,27,3,24,135,0,226,482
Scarborough--Rouge River/Scarborough--Rouge River,21,Scarborough,32,19,1,18,125,1,196,422
Scarborough--Rouge River/Scarborough--Rouge River,22,Scarborough,15,15,1,17,158,0,206,462
Scarborough--Rouge River/Scarborough--Rouge River,23,Scarborough,41,29,3,15,124,1,213,507
Scarborough--Rouge River/Scarborough--Rouge River,24,Scarborough,37,29,6,11,119,0,202,482
Scarborough--Rouge River/Scarborough--Rouge River,25,Scarborough,26,28,7,14,170,0,245,462
Scarborough--Rouge River/Scarborough--Rouge River,26,Scarborough,36,28,1,8,125,0,198,460
Scarborough--Rouge River/Scarborough--Rouge River,27,Scarborough,35,31,7,27,146,3,249,478
Scarborough--Rouge River/Scarborough--Rouge River,28,Scarborough,46,26,5,20,150,6,253,451
Scarborough--Rouge River/Scarborough--Rouge River,29,Scarborough,31,33,2,17,157,1,241,447
Scarborough--Rouge River/Scarborough--Rouge River,30,Scarborough,19,31,2,25,142,1,220,450
Scarborough--Rouge River/Scarborough--Rouge River,31,Scarborough,21,29,1,24,145,0,220,426
Scarborough--Rouge River/Scarborough--Rouge River,32,Scarborough,21,27,4,18,137,0,207,455
Scarborough--Rouge River/Scarborough--Rouge River,33,Scarborough,48,28,2,19,122,0,219,545
Scarborough--Rouge River/Scarborough--Rouge River,34,Scarborough,36,18,3,26,131,1,215,442
Scarborough--Rouge River/Scarborough--Rouge River,35,Scarborough,28,12,4,21,134,2,201,469
Scarborough--Rouge River/Scarborough--Rouge River,36,Scarborough,33,24,2,35,147,2,243,428
Scarborough--Rouge River/Scarborough--Rouge River,37,Scarborough,31,15,10,12,117,0,185,429
Scarborough--Rouge River/Scarborough--Rouge River,38,Scarborough,32,12,4,15,160,1,224,448
Scarborough--Rouge River/Scarborough--Rouge River,39,Scarborough,28,31,3,15,147,1,225,475
Scarborough--Rouge River/Scarborough--Rouge River,40,Scarborough,42,25,6,21,106,1,201,459
Scarborough--Rouge River/Scarborough--Rouge River,41,Scarborough,28,14,10,13,150,0,215,396
Scarborough--Rouge River/Scarborough--Rouge River,42,Scarborough,34,34,6,20,128,0,222,453
Scarborough--Rouge River/Scarborough--Rouge River,43,Scarborough,32,33,5,31,196,0,297,571
Scarborough--Rouge River/Scarborough--Rouge River,44,Scarborough,38,25,4,20,165,1,253,455
Scarborough--Rouge River/Scarborough--Rouge River,45,Scarborough,46,23,0,31,132,2,234,484
Scarborough--Rouge River/Scarborough--Rouge River,46,Scarborough,39,32,3,24,139,3,240,444
Scarborough--Rouge River/Scarborough--Rouge River,47,Scarborough,32,24,2,16,158,1,233,464
Scarborough--Rouge River/Scarborough--Rouge River,48,Scarborough,38,31,2,19,149,3,242,434
Scarborough--Rouge River/Scarborough--Rouge River,49,Scarborough,12,30,7,22,152,0,223,451
Scarborough--Rouge River/Scarborough--Rouge River,50,Scarborough,42,18,3,20,153,1,237,436
Scarborough--Rouge River/Scarborough--Rouge River,51,Scarborough,24,20,5,19,158,2,228,435
Scarborough--Rouge River/Scarborough--Rouge River,52,Scarborough,30,12,2,25,155,1,225,416
Scarborough--Rouge River/Scarborough--Rouge River,53,Scarborough,25,25,7,25,121,0,203,496
Scarborough--Rouge River/Scarborough--Rouge River,54,Scarborough,39,32,3,12,141,0,227,487
Scarborough--Rouge River/Scarborough--Rouge River,55,Scarborough,58,34,6,28,123,0,249,504
Scarborough--Rouge River/Scarborough--Rouge River,56,Scarborough,34,12,8,14,109,0,177,396
Scarborough--Rouge River/Scarborough--Rouge River,57,Scarborough,37,22,1,20,159,2,241,508
Scarborough--Rouge River/Scarborough--Rouge River,58,Scarborough,34,18,4,11,159,1,227,503
Scarborough--Rouge River/Scarborough--Rouge River,59A,Scarborough,34,8,1,16,79,0,138,421
Scarborough--Rouge River/Scarborough--Rouge River,59B,Scarborough,25,2,1,10,75,0,113,313
Scarborough--Rouge River/Scarborough--Rouge River,60A,Scarborough,35,10,2,18,97,0,162,411
Scarborough--Rouge River/Scarborough--Rouge River,60B,Scarborough,17,10,0,14,60,1,102,242
Scarborough--Rouge River/Scarborough--Rouge River,61,Scarborough,39,34,4,15,214,0,306,587
Scarborough--Rouge River/Scarborough--Rouge River,62,Scarborough,25,13,0,11,70,1,120,200
Scarborough--Rouge River/Scarborough--Rouge River,63,Scarborough,25,21,0,22,118,2,188,346
Scarborough--Rouge River/Scarborough--Rouge River,64,Scarborough,58,40,6,28,155,0,287,538
Scarborough--Rouge River/Scarborough--Rouge River,65,Scarborough,33,21,3,14,150,0,221,457
Scarborough--Rouge River/Scarborough--Rouge River,66A,Scarborough,18,7,1,14,91,0,131,272
Scarborough--Rouge River/Scarborough--Rouge River,66B,Scarborough,19,29,0,18,120,1,187,340
Scarborough--Rouge River/Scarborough--Rouge River,67,Scarborough,44,30,6,43,193,2,318,572
Scarborough--Rouge River/Scarborough--Rouge River,68,Scarborough,31,14,7,22,196,2,272,515
Scarborough--Rouge River/Scarborough--Rouge River,69,Scarborough,29,13,8,12,160,1,223,478
Scarborough--Rouge River/Scarborough--Rouge River,70,Scarborough,19,10,3,25,92,1,150,405
Scarborough--Rouge River/Scarborough--Rouge River,71,Scarborough,27,13,1,10,75,1,127,341
Scarborough--Rouge River/Scarborough--Rouge River,72,Scarborough,8,16,2,13,87,1,127,306
Scarborough--Rouge River/Scarborough--Rouge River,73A,Scarborough,27,37,4,12,138,3,221,492
Scarborough--Rouge River/Scarborough--Rouge River,73B,Scarborough,31,37,4,13,117,4,206,439
Scarborough--Rouge River/Scarborough--Rouge River,74,Scarborough,37,47,3,31,186,2,306,566
Scarborough--Rouge River/Scarborough--Rouge River,75,Scarborough,6,13,1,8,30,0,58,135
Scarborough--Rouge River/Scarborough--Rouge River,76,Scarborough,36,33,1,22,122,3,217,471
Scarborough--Rouge River/Scarborough--Rouge River,77,Scarborough,22,23,5,22,56,0,128,312
Scarborough--Rouge River/Scarborough--Rouge River,78,Scarborough,24,21,4,15,90,0,154,454
Scarborough--Rouge River/Scarborough--Rouge River,79,Scarborough,58,37,7,21,137,0,260,427
Scarborough--Rouge River/Scarborough--Rouge River,80,Scarborough,22,64,2,19,85,2,194,400
Scarborough--Rouge River/Scarborough--Rouge River,80-1,Scarborough,29,57,1,11,71,0,169,339
Scarborough--Rouge River/Scarborough--Rouge River,81A,Scarborough,10,72,0,14,74,1,171,350
Scarborough--Rouge River/Scarborough--Rouge River,81B,Scarborough,18,23,0,9,91,0,141,275
Scarborough--Rouge River/Scarborough--Rouge River,81C,Scarborough,19,68,2,12,107,0,208,379
Scarborough--Rouge River/Scarborough--Rouge River,81D,Scarborough,18,56,1,19,116,1,211,419
Scarborough--Rouge River/Scarborough--Rouge River,81-1,Scarborough,13,56,2,7,72,1,151,311
Scarborough--Rouge River/Scarborough--Rouge River,82,Scarborough,11,102,0,17,75,0,205,385
Scarborough--Rouge River/Scarborough--Rouge River,83,Scarborough,9,40,1,8,69,1,128,253
Scarborough--Rouge River/Scarborough--Rouge River,84,Scarborough,26,68,4,19,79,5,201,590
Scarborough--Rouge River/Scarborough--Rouge River,85,Scarborough,25,71,5,27,132,0,260,529
Scarborough--Rouge River/Scarborough--Rouge River,86,Scarborough,35,75,6,16,103,2,237,540
Scarborough--Rouge River/Scarborough--Rouge River,87,Scarborough,31,59,5,16,119,1,231,487
Scarborough--Rouge River/Scarborough--Rouge River,88,Scarborough,12,75,2,28,101,1,219,467
Scarborough--Rouge River/Scarborough--Rouge River,89,Scarborough,Merged with No. 90,,,,,,,36
Scarborough--Rouge River/Scarborough--Rouge River,90,Scarborough,11,29,0,21,109,4,174,266
Scarborough--Rouge River/Scarborough--Rouge River,91,Scarborough,16,107,0,9,104,13,249,346
Scarborough--Rouge River/Scarborough--Rouge River,92A,Scarborough,9,31,3,11,84,3,141,334
Scarborough--Rouge River/Scarborough--Rouge River,92B,Scarborough,7,37,1,13,91,0,149,302
Scarborough--Rouge River/Scarborough--Rouge River,93,Scarborough,17,53,0,9,92,1,172,395
Scarborough--Rouge River/Scarborough--Rouge River,94,Scarborough,32,54,1,9,107,0,203,396
Scarborough--Rouge River/Scarborough--Rouge River,95,Scarborough,10,35,0,5,120,6,176,326
Scarborough--Rouge River/Scarborough--Rouge River,96,Scarborough,26,79,0,6,99,3,213,436
Scarborough--Rouge River/Scarborough--Rouge River,97,Scarborough,18,43,1,12,99,2,175,381
Scarborough--Rouge River/Scarborough--Rouge River,98,Scarborough,15,59,0,13,125,3,215,400
Scarborough--Rouge River/Scarborough--Rouge River,99,Scarborough,10,47,2,22,60,1,142,334
Scarborough--Rouge River/Scarborough--Rouge River,100,Scarborough,23,69,0,23,148,2,265,521
Scarborough--Rouge River/Scarborough--Rouge River,101,Scarborough,29,47,3,15,171,3,268,526
Scarborough--Rouge River/Scarborough--Rouge River,102,Scarborough,28,65,3,14,88,1,199,383
Scarborough--Rouge River/Scarborough--Rouge River,103,Scarborough,15,57,2,30,98,0,202,430
Scarborough--Rouge River/Scarborough--Rouge River,104,Scarborough,14,61,4,27,92,0,198,391
Scarborough--Rouge River/Scarborough--Rouge River,105,Scarborough,29,45,1,25,90,0,190,405
Scarborough--Rouge River/Scarborough--Rouge River,106,Scarborough,22,36,1,10,80,2,151,354
Scarborough--Rouge River/Scarborough--Rouge River,107,Scarborough,27,46,3,31,106,1,214,496
Scarborough--Rouge River/Scarborough--Rouge River,108,Scarborough,15,21,0,10,75,1,122,352
Scarborough--Rouge River/Scarborough--Rouge River,109A,Scarborough,11,39,3,16,67,3,139,304
Scarborough--Rouge River/Scarborough--Rouge River,109B,Scarborough,21,46,1,20,67,0,155,309
Scarborough--Rouge River/Scarborough--Rouge River,110,Scarborough,39,70,4,20,92,2,227,462
Scarborough--Rouge River/Scarborough--Rouge River,111,Scarborough,34,40,1,16,107,5,203,469
Scarborough--Rouge River/Scarborough--Rouge River,112,Scarborough,26,51,7,11,99,0,194,388
Scarborough--Rouge River/Scarborough--Rouge River,113,Scarborough,29,39,1,21,90,1,181,422
Scarborough--Rouge River/Scarborough--Rouge River,114,Scarborough,26,57,7,20,115,2,227,492
Scarborough--Rouge River/Scarborough--Rouge River,115,Scarborough,23,37,5,29,82,5,181,430
Scarborough--Rouge River/Scarborough--Rouge River,116,Scarborough,14,51,3,37,121,1,227,449
