District,Poll Number,Poll Name,Andres Esteban Barker,Don H. Bell,Michael Hill,John Nelson,Peggy Stortz,Ted White,Rejected Ballots,Total Vote,Electors
North Vancouver/North Vancouver,1,North Vancouver,1,127,0,25,20,104,0,277,471
North Vancouver/North Vancouver,2,North Vancouver,0,128,0,6,11,80,0,225,394
North Vancouver/North Vancouver,3,North Vancouver,3,127,0,9,8,115,1,263,387
North Vancouver/North Vancouver,4,North Vancouver,0,108,0,14,12,108,0,242,378
North Vancouver/North Vancouver,5,North Vancouver,3,122,0,29,22,101,0,277,410
North Vancouver/North Vancouver,6,North Vancouver,0,122,0,35,8,97,0,262,416
North Vancouver/North Vancouver,7,North Vancouver,0,131,0,29,29,107,2,298,498
North Vancouver/North Vancouver,8,North Vancouver,1,113,0,13,13,78,0,218,335
North Vancouver/North Vancouver,9,North Vancouver,1,124,0,25,26,105,0,281,438
North Vancouver/North Vancouver,10,North Vancouver,0,120,0,20,18,117,1,276,385
North Vancouver/North Vancouver,11,North Vancouver,1,97,1,20,16,136,0,271,408
North Vancouver/North Vancouver,12,North Vancouver,0,114,0,13,30,94,0,251,375
North Vancouver/North Vancouver,13,North Vancouver,0,102,0,18,12,82,1,215,347
North Vancouver/North Vancouver,14,North Vancouver,0,121,0,11,11,109,0,252,390
North Vancouver/North Vancouver,15,North Vancouver,0,104,0,19,14,100,0,237,402
North Vancouver/North Vancouver,16,North Vancouver,0,119,2,18,18,103,0,260,411
North Vancouver/North Vancouver,17,North Vancouver,0,138,1,15,23,111,0,288,416
North Vancouver/North Vancouver,18,North Vancouver,1,109,0,12,12,108,0,242,378
North Vancouver/North Vancouver,19,North Vancouver,2,126,0,18,12,93,0,251,373
North Vancouver/North Vancouver,20,North Vancouver,0,118,0,13,16,130,0,277,413
North Vancouver/North Vancouver,21,North Vancouver,1,115,0,19,21,56,1,213,355
North Vancouver/North Vancouver,22,North Vancouver,0,112,0,39,18,143,0,312,477
North Vancouver/North Vancouver,23,North Vancouver,0,122,1,24,18,108,1,274,409
North Vancouver/North Vancouver,24,North Vancouver,3,105,0,13,9,102,4,236,376
North Vancouver/North Vancouver,25,North Vancouver,0,115,0,25,26,104,0,270,426
North Vancouver/North Vancouver,26,North Vancouver,0,114,0,15,16,121,0,266,447
North Vancouver/North Vancouver,27,North Vancouver,0,125,0,29,15,117,0,286,436
North Vancouver/North Vancouver,28,North Vancouver,2,132,1,24,13,110,0,282,432
North Vancouver/North Vancouver,29,North Vancouver,2,116,0,38,24,101,1,282,431
North Vancouver/North Vancouver,30,North Vancouver,1,128,1,29,25,107,0,291,450
North Vancouver/North Vancouver,31,North Vancouver,1,116,0,19,23,111,0,270,450
North Vancouver/North Vancouver,32,North Vancouver,1,117,1,16,26,116,2,279,425
North Vancouver/North Vancouver,33,North Vancouver,1,145,1,27,25,113,1,313,421
North Vancouver/North Vancouver,34,North Vancouver,0,105,1,39,23,116,0,284,449
North Vancouver/North Vancouver,35,North Vancouver,0,126,0,13,7,72,0,218,360
North Vancouver/North Vancouver,36,North Vancouver,0,156,0,22,26,99,0,303,482
North Vancouver/North Vancouver,37A,North Vancouver,1,61,0,26,12,61,0,161,236
North Vancouver/North Vancouver,37B,North Vancouver,0,80,0,20,18,48,2,168,217
North Vancouver/North Vancouver,38A,North Vancouver,1,60,0,20,8,64,0,153,283
North Vancouver/North Vancouver,38B,North Vancouver,0,80,0,25,6,58,2,171,294
North Vancouver/North Vancouver,39,North Vancouver,1,69,0,23,16,55,1,165,304
North Vancouver/North Vancouver,40,North Vancouver,0,80,0,39,19,83,0,221,348
North Vancouver/North Vancouver,41,North Vancouver,2,93,0,30,24,79,0,228,382
North Vancouver/North Vancouver,42,North Vancouver,0,108,0,28,21,108,0,265,405
North Vancouver/North Vancouver,43,North Vancouver,0,126,1,34,26,87,1,275,400
North Vancouver/North Vancouver,44,North Vancouver,0,99,0,38,21,107,0,265,375
North Vancouver/North Vancouver,45,North Vancouver,0,61,0,19,7,88,0,175,273
North Vancouver/North Vancouver,46,North Vancouver,1,112,0,37,22,103,1,276,450
North Vancouver/North Vancouver,47,North Vancouver,2,93,0,12,12,86,0,205,348
North Vancouver/North Vancouver,48,North Vancouver,1,124,0,55,26,119,0,325,479
North Vancouver/North Vancouver,49,North Vancouver,1,117,0,32,16,101,0,267,429
North Vancouver/North Vancouver,50,North Vancouver,0,95,0,34,23,76,1,229,366
North Vancouver/North Vancouver,51,North Vancouver,2,105,0,40,15,103,0,265,395
North Vancouver/North Vancouver,52,North Vancouver,1,100,0,24,17,113,1,256,364
North Vancouver/North Vancouver,53,North Vancouver,0,120,0,41,12,96,0,269,412
North Vancouver/North Vancouver,54,North Vancouver,0,98,0,51,22,89,0,260,405
North Vancouver/North Vancouver,55,North Vancouver,0,106,0,35,13,97,1,252,411
North Vancouver/North Vancouver,56,North Vancouver,2,123,0,57,21,76,0,279,445
North Vancouver/North Vancouver,57,North Vancouver,0,74,0,43,32,92,0,241,374
North Vancouver/North Vancouver,58,North Vancouver,0,127,0,60,28,111,0,326,495
North Vancouver/North Vancouver,59,North Vancouver,0,101,1,59,21,77,1,260,434
North Vancouver/North Vancouver,60A,North Vancouver,0,127,0,56,14,90,1,288,451
North Vancouver/North Vancouver,60B,North Vancouver,Merged with No. 61,,,,,,,,119
North Vancouver/North Vancouver,61,North Vancouver,1,108,0,40,12,79,0,240,300
North Vancouver/North Vancouver,62A,North Vancouver,0,104,0,34,16,85,0,239,412
North Vancouver/North Vancouver,62B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,34
North Vancouver/North Vancouver,63,North Vancouver,1,134,1,48,16,127,1,328,533
North Vancouver/North Vancouver,64A,North Vancouver,0,85,0,40,17,94,1,237,310
North Vancouver/North Vancouver,64B,North Vancouver,2,65,1,41,12,75,0,196,326
North Vancouver/North Vancouver,65A,North Vancouver,2,67,0,45,14,83,2,213,347
North Vancouver/North Vancouver,65B,North Vancouver,1,88,0,47,12,72,1,221,346
North Vancouver/North Vancouver,66,North Vancouver,0,86,0,39,19,114,0,258,439
North Vancouver/North Vancouver,67,North Vancouver,Merged with No. 68,,,,,,,,2
North Vancouver/North Vancouver,68,North Vancouver,1,93,2,87,18,64,3,268,455
North Vancouver/North Vancouver,69,North Vancouver,1,125,2,48,23,102,1,302,476
North Vancouver/North Vancouver,70,North Vancouver,2,95,1,42,17,111,2,270,396
North Vancouver/North Vancouver,71,North Vancouver,0,109,0,60,21,122,0,312,464
North Vancouver/North Vancouver,72,North Vancouver,0,96,0,38,27,104,0,265,388
North Vancouver/North Vancouver,73,North Vancouver,0,92,0,33,26,95,1,247,356
North Vancouver/North Vancouver,74,North Vancouver,1,93,1,23,18,98,1,235,362
North Vancouver/North Vancouver,75,North Vancouver,0,69,0,35,18,71,1,194,349
North Vancouver/North Vancouver,76,North Vancouver,1,87,0,25,15,97,0,225,356
North Vancouver/North Vancouver,77,North Vancouver,1,78,0,43,8,86,0,216,410
North Vancouver/North Vancouver,78,North Vancouver,1,120,1,32,13,93,0,260,397
North Vancouver/North Vancouver,79,North Vancouver,0,97,0,55,13,115,0,280,471
North Vancouver/North Vancouver,80,North Vancouver,0,82,0,26,23,105,0,236,383
North Vancouver/North Vancouver,81,North Vancouver,0,99,0,49,21,99,0,268,418
North Vancouver/North Vancouver,82,North Vancouver,2,87,2,61,14,89,0,255,388
North Vancouver/North Vancouver,83,North Vancouver,0,101,2,41,13,99,0,256,390
North Vancouver/North Vancouver,84A,North Vancouver,0,89,1,65,22,94,1,272,404
North Vancouver/North Vancouver,84B,North Vancouver,Merged with No. 207,,,,,,,,196
North Vancouver/North Vancouver,85,North Vancouver,0,83,1,44,15,84,2,229,376
North Vancouver/North Vancouver,86,North Vancouver,2,71,0,59,23,70,2,227,516
North Vancouver/North Vancouver,87,North Vancouver,0,36,0,43,20,41,0,140,274
North Vancouver/North Vancouver,88,North Vancouver,1,79,0,66,24,83,1,254,432
North Vancouver/North Vancouver,89,North Vancouver,2,156,0,38,21,108,2,327,506
North Vancouver/North Vancouver,90,North Vancouver,1,100,0,33,21,56,1,212,337
North Vancouver/North Vancouver,91,North Vancouver,3,90,0,59,26,72,1,251,411
North Vancouver/North Vancouver,92,North Vancouver,Merged with No. 91,,,,,,,,84
North Vancouver/North Vancouver,93A,North Vancouver,2,119,1,54,19,61,0,256,352
North Vancouver/North Vancouver,93B,North Vancouver,0,91,0,38,20,52,0,201,341
North Vancouver/North Vancouver,94,North Vancouver,0,136,0,24,21,110,1,292,438
North Vancouver/North Vancouver,95,North Vancouver,2,100,0,24,13,103,1,243,367
North Vancouver/North Vancouver,96,North Vancouver,2,86,0,35,7,70,1,201,402
North Vancouver/North Vancouver,97,North Vancouver,0,90,0,48,18,72,0,228,416
