District,Poll Number,Poll Name,Rob Anders,James S. Kohut,Tim Patterson,Danielle Roberts,Justin Thompson,André Vachon,Rejected Ballots,Total Vote,Electors
Calgary West/Calgary-Ouest,1A,Calgary,141,0,10,14,80,0,1,246,379
Calgary West/Calgary-Ouest,1B,Calgary,119,1,24,24,77,0,0,245,361
Calgary West/Calgary-Ouest,2,Calgary,202,0,14,23,82,0,0,321,477
Calgary West/Calgary-Ouest,3,Calgary,77,3,6,12,57,0,0,155,259
Calgary West/Calgary-Ouest,4A,Calgary,99,1,17,21,56,1,0,195,287
Calgary West/Calgary-Ouest,4B,Calgary,95,0,16,16,45,1,0,173,235
Calgary West/Calgary-Ouest,5A,Calgary,103,0,9,9,48,0,0,169,283
Calgary West/Calgary-Ouest,5B,Calgary,134,0,9,8,41,1,0,193,291
Calgary West/Calgary-Ouest,6,Calgary,101,0,16,10,59,0,0,186,323
Calgary West/Calgary-Ouest,7A,Calgary,133,0,33,15,83,0,0,264,422
Calgary West/Calgary-Ouest,7B,Calgary,131,2,24,18,78,0,0,253,433
Calgary West/Calgary-Ouest,8,Calgary,184,2,12,19,91,0,1,309,488
Calgary West/Calgary-Ouest,9,Calgary,221,2,12,24,76,1,1,337,509
Calgary West/Calgary-Ouest,10A,Calgary,132,1,10,12,101,0,0,256,384
Calgary West/Calgary-Ouest,10B,Calgary,153,0,11,10,77,0,0,251,375
Calgary West/Calgary-Ouest,11A,Calgary,178,1,14,18,84,0,0,295,456
Calgary West/Calgary-Ouest,11B,Calgary,166,3,22,18,86,1,0,296,472
Calgary West/Calgary-Ouest,12,Calgary,Merged with No. 11A,,,,,,,,1
Calgary West/Calgary-Ouest,13A,Calgary,167,2,12,12,60,0,0,253,350
Calgary West/Calgary-Ouest,13B,Calgary,186,2,15,7,70,1,0,281,400
Calgary West/Calgary-Ouest,14A,Calgary,159,0,9,19,87,0,0,274,425
Calgary West/Calgary-Ouest,14B,Calgary,189,1,14,13,92,0,0,309,496
Calgary West/Calgary-Ouest,15,Calgary,199,6,15,18,98,0,1,337,501
Calgary West/Calgary-Ouest,16A,Calgary,88,0,10,5,45,0,0,148,232
