District,Poll Number,Poll Name,Jean-Sébastien Busque,Sébastien Gagnon,Daniel Giguère,Jocelyne Girard-Bujold,Gilles Lavoie,Michel Perron,François Picard,Rejected Ballots,Total Vote,Electors
Jonquière--Alma/Jonquière--Alma,1,Bégin,1,97,28,5,10,0,2,0,143,284
Jonquière--Alma/Jonquière--Alma,2,Saint-David-de-Falardeau,3,160,75,3,10,0,3,0,254,509
Jonquière--Alma/Jonquière--Alma,3,Saint-David-de-Falardeau,2,130,59,3,10,1,7,6,218,428
Jonquière--Alma/Jonquière--Alma,3-1,Saint-David-de-Falardeau,6,134,87,4,15,0,5,4,255,407
Jonquière--Alma/Jonquière--Alma,4,Bégin,9,102,63,3,11,0,1,5,194,377
Jonquière--Alma/Jonquière--Alma,5,Saint-David-de-Falardeau,6,117,66,5,14,2,5,8,223,425
Jonquière--Alma/Jonquière--Alma,6,Saint-Ambroise,8,101,40,11,13,0,4,2,179,365
Jonquière--Alma/Jonquière--Alma,7,Saint-Ambroise,1,91,32,12,11,0,4,1,152,366
Jonquière--Alma/Jonquière--Alma,8,Saint-Ambroise,4,153,38,5,10,3,13,5,231,417
Jonquière--Alma/Jonquière--Alma,9,Saint-Ambroise,5,122,54,7,15,1,4,4,212,432
Jonquière--Alma/Jonquière--Alma,10,Saint-Ambroise,2,121,54,14,13,0,11,5,220,427
Jonquière--Alma/Jonquière--Alma,11,Saint-Ambroise,0,117,49,15,9,0,7,2,199,408
Jonquière--Alma/Jonquière--Alma,12,Saint-Charles-de-Bourget,2,103,38,14,9,0,5,4,175,301
Jonquière--Alma/Jonquière--Alma,13,Saint-Charles-de-Bourget,4,96,24,12,7,0,4,6,153,273
Jonquière--Alma/Jonquière--Alma,14,Saint-Ambroise,4,95,24,8,5,0,5,2,143,293
Jonquière--Alma/Jonquière--Alma,15,Shipshaw,2,88,45,14,8,0,3,0,160,282
Jonquière--Alma/Jonquière--Alma,16,Shipshaw,2,92,18,7,6,0,9,3,137,253
Jonquière--Alma/Jonquière--Alma,17,Shipshaw,7,171,76,31,21,1,4,7,318,569
Jonquière--Alma/Jonquière--Alma,18,Shipshaw,4,122,83,19,10,0,7,0,245,477
Jonquière--Alma/Jonquière--Alma,19,Shipshaw,5,126,51,37,13,0,2,4,238,404
Jonquière--Alma/Jonquière--Alma,20,Shipshaw,6,76,39,9,10,0,4,4,148,275
Jonquière--Alma/Jonquière--Alma,21A,Delisle,3,260,53,6,18,0,11,7,358,641
Jonquière--Alma/Jonquière--Alma,21B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,,21
Jonquière--Alma/Jonquière--Alma,22,Delisle,1,200,35,4,10,3,4,3,260,452
Jonquière--Alma/Jonquière--Alma,23,Delisle,4,133,42,1,10,2,5,2,199,402
Jonquière--Alma/Jonquière--Alma,24,Delisle,4,130,29,3,16,0,8,2,192,341
Jonquière--Alma/Jonquière--Alma,25,Delisle,1,133,17,1,13,0,3,1,169,349
Jonquière--Alma/Jonquière--Alma,26,Delisle,1,146,19,2,14,0,10,8,200,405
Jonquière--Alma/Jonquière--Alma,27A,Delisle,2,176,46,2,15,0,6,7,254,494
Jonquière--Alma/Jonquière--Alma,27B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,,61
Jonquière--Alma/Jonquière--Alma,28,Alma,5,123,40,3,13,0,5,2,191,406
Jonquière--Alma/Jonquière--Alma,29,Alma,2,157,59,6,6,1,5,2,238,433
Jonquière--Alma/Jonquière--Alma,30,Alma,3,181,41,0,15,0,3,2,245,425
Jonquière--Alma/Jonquière--Alma,31A,Alma,4,101,44,0,13,0,8,1,171,315
Jonquière--Alma/Jonquière--Alma,31B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,,65
Jonquière--Alma/Jonquière--Alma,32,Alma,3,127,34,1,6,0,9,3,183,279
Jonquière--Alma/Jonquière--Alma,33,Alma,2,120,20,0,6,0,6,5,159,298
Jonquière--Alma/Jonquière--Alma,34,Alma,2,113,23,2,9,0,9,0,158,312
