District,Poll Number,Poll Name,Gérard Binet,Marc Boulianne,Alexandre Côté,Yves Mailly,Bruno Vézina,Rejected Ballots,Total Vote,Electors
Mégantic--L'Érable/Mégantic--L'Érable,1,Princeville,59,103,23,47,4,5,241,481
Mégantic--L'Érable/Mégantic--L'Érable,2,Princeville,40,104,7,29,5,6,191,394
Mégantic--L'Érable/Mégantic--L'Érable,3,Princeville,62,84,18,42,3,26,235,425
Mégantic--L'Érable/Mégantic--L'Érable,4,Princeville,52,91,13,17,3,8,184,439
Mégantic--L'Érable/Mégantic--L'Érable,5,Princeville,53,79,8,27,6,4,177,378
Mégantic--L'Érable/Mégantic--L'Érable,6,Princeville,71,99,23,32,8,5,238,417
Mégantic--L'Érable/Mégantic--L'Érable,7,Princeville,85,124,22,20,11,5,267,482
Mégantic--L'Érable/Mégantic--L'Érable,8,Princeville,47,84,15,29,0,8,183,391
Mégantic--L'Érable/Mégantic--L'Érable,9,Princeville,50,109,18,38,6,11,232,457
Mégantic--L'Érable/Mégantic--L'Érable,10,Princeville,42,130,18,39,9,6,244,435
Mégantic--L'Érable/Mégantic--L'Érable,11,Villeroy,52,128,8,59,10,10,267,402
Mégantic--L'Érable/Mégantic--L'Érable,12,Notre-Dame-de-Lourdes,25,48,11,17,7,5,113,177
Mégantic--L'Érable/Mégantic--L'Érable,13,Sainte-Julie,69,114,15,56,7,5,266,468
Mégantic--L'Érable/Mégantic--L'Érable,14,Laurierville,42,86,9,35,10,3,185,305
Mégantic--L'Érable/Mégantic--L'Érable,15,Laurierville,81,75,10,38,5,12,221,363
Mégantic--L'Érable/Mégantic--L'Érable,16,Notre-Dame-de-Lourdes,52,115,6,32,6,8,219,360
Mégantic--L'Érable/Mégantic--L'Érable,17,Plessisville,49,108,9,31,6,6,209,423
Mégantic--L'Érable/Mégantic--L'Érable,18,Plessisville,50,124,7,27,8,5,221,373
Mégantic--L'Érable/Mégantic--L'Érable,19,Plessisville,52,114,9,21,9,18,223,428
Mégantic--L'Érable/Mégantic--L'Érable,20,Plessisville,33,101,18,21,6,4,183,286
Mégantic--L'Érable/Mégantic--L'Érable,21,Plessisville,59,63,4,17,5,0,148,261
Mégantic--L'Érable/Mégantic--L'Érable,22,Sainte-Sophie,21,55,7,24,3,3,113,176
Mégantic--L'Érable/Mégantic--L'Érable,23,Sainte-Sophie,60,104,12,25,11,2,214,319
Mégantic--L'Érable/Mégantic--L'Érable,24,Plessisville,67,136,16,27,12,9,267,531
Mégantic--L'Érable/Mégantic--L'Érable,25,Plessisville,60,121,20,39,8,7,255,451
Mégantic--L'Érable/Mégantic--L'Érable,26,Plessisville,92,126,13,33,3,9,276,437
Mégantic--L'Érable/Mégantic--L'Érable,27,Plessisville,68,161,21,46,13,6,315,510
Mégantic--L'Érable/Mégantic--L'Érable,28,Plessisville,52,109,8,32,3,7,211,406
Mégantic--L'Érable/Mégantic--L'Érable,29,Plessisville,50,103,8,24,2,3,190,349
Mégantic--L'Érable/Mégantic--L'Érable,30,Plessisville,54,101,14,30,8,0,207,436
Mégantic--L'Érable/Mégantic--L'Érable,31,Plessisville,65,100,8,34,8,7,222,386
Mégantic--L'Érable/Mégantic--L'Érable,32,Plessisville,45,121,8,27,6,8,215,359
Mégantic--L'Érable/Mégantic--L'Érable,33,Plessisville,48,84,12,13,8,4,169,274
Mégantic--L'Érable/Mégantic--L'Érable,34,Plessisville,50,88,15,26,3,8,190,371
Mégantic--L'Érable/Mégantic--L'Érable,35,Plessisville,46,120,15,30,8,6,225,378
Mégantic--L'Érable/Mégantic--L'Érable,36,Plessisville,61,132,13,34,6,8,254,386
Mégantic--L'Érable/Mégantic--L'Érable,37,Plessisville,64,45,5,23,3,1,141,233
Mégantic--L'Érable/Mégantic--L'Érable,38,Lyster,49,103,13,30,12,9,216,396
Mégantic--L'Érable/Mégantic--L'Érable,39,Lyster,52,87,11,42,6,4,202,330
Mégantic--L'Érable/Mégantic--L'Érable,40,Lyster,88,123,12,64,9,5,301,525
Mégantic--L'Érable/Mégantic--L'Érable,41,Inverness,57,82,20,40,11,4,214,371
Mégantic--L'Érable/Mégantic--L'Érable,42,Inverness,64,79,7,24,6,4,184,285
Mégantic--L'Érable/Mégantic--L'Érable,43,Saint-Pierre-Baptiste,36,99,11,39,10,5,200,385
Mégantic--L'Érable/Mégantic--L'Érable,44,Halifax-Sud,86,100,10,63,37,6,302,513
Mégantic--L'Érable/Mégantic--L'Érable,45,Saint-Ferdinand,53,54,8,25,19,10,169,309
Mégantic--L'Érable/Mégantic--L'Érable,46,Saint-Ferdinand,74,52,11,47,21,4,209,324
Mégantic--L'Érable/Mégantic--L'Érable,47,Saint-Ferdinand,53,47,10,42,12,4,168,283
Mégantic--L'Érable/Mégantic--L'Érable,48,Saint-Ferdinand,61,73,12,41,18,7,212,391
Mégantic--L'Érable/Mégantic--L'Érable,49,Saint-Jacques-de-Leeds,34,35,9,34,0,4,116,178
Mégantic--L'Érable/Mégantic--L'Érable,50,Saint-Jacques-de-Leeds,77,76,9,79,6,0,247,395
Mégantic--L'Érable/Mégantic--L'Érable,51,Saint-Pierre-de-Broughton,63,83,16,34,8,2,206,318
Mégantic--L'Érable/Mégantic--L'Érable,52,Saint-Pierre-de-Broughton,73,101,9,33,5,4,225,365
Mégantic--L'Érable/Mégantic--L'Érable,53,Sacré-Coeur-de-Jésus,52,115,10,39,7,6,229,389
Mégantic--L'Érable/Mégantic--L'Érable,54,East Broughton,59,111,6,34,14,5,229,415
Mégantic--L'Érable/Mégantic--L'Érable,55,East Broughton,84,99,0,44,7,7,241,400
