District,Poll Number,Poll Name,Rodger Cuzner,Seumas Gibson,Shirley Hartery,Kenzie MacNeil,Rejected Ballots,Total Vote,Electors
Cape Breton--Canso/Cape Breton--Canso,1,Chéticamp,89,1,20,21,5,136,205
Cape Breton--Canso/Cape Breton--Canso,2,Belle-Marche,85,3,16,36,3,143,246
Cape Breton--Canso/Cape Breton--Canso,3,Chéticamp,106,3,16,35,1,161,235
Cape Breton--Canso/Cape Breton--Canso,4,Chéticamp,144,6,29,58,5,242,305
Cape Breton--Canso/Cape Breton--Canso,5,Belle-Marche,131,5,34,64,7,241,336
Cape Breton--Canso/Cape Breton--Canso,6,Chéticamp,86,4,22,37,3,152,300
Cape Breton--Canso/Cape Breton--Canso,7,Plateau,106,6,26,61,5,204,287
Cape Breton--Canso/Cape Breton--Canso,8,Point Cross,150,3,19,46,4,222,307
Cape Breton--Canso/Cape Breton--Canso,9,St. Joseph du Moine,126,3,28,68,0,225,285
Cape Breton--Canso/Cape Breton--Canso,10,Belle Côte,72,2,28,47,2,151,208
Cape Breton--Canso/Cape Breton--Canso,11,Margaree Harbour,70,4,13,28,1,116,173
Cape Breton--Canso/Cape Breton--Canso,12,Margaree,77,8,28,41,0,154,200
Cape Breton--Canso/Cape Breton--Canso,13,Big Intervale,105,1,31,42,0,179,242
Cape Breton--Canso/Cape Breton--Canso,14,Margaree Forks,87,8,17,44,1,157,225
Cape Breton--Canso/Cape Breton--Canso,15,North East Margaree,159,5,42,134,2,342,471
Cape Breton--Canso/Cape Breton--Canso,16,Dunvegan,101,3,33,55,0,192,265
Cape Breton--Canso/Cape Breton--Canso,17,Scotsville,125,3,31,46,5,210,294
Cape Breton--Canso/Cape Breton--Canso,18,Inverness,112,3,30,76,2,223,327
Cape Breton--Canso/Cape Breton--Canso,19,Inverness,103,4,17,59,1,184,282
Cape Breton--Canso/Cape Breton--Canso,20,Inverness,103,5,20,48,3,179,268
Cape Breton--Canso/Cape Breton--Canso,21,Inverness,146,3,26,70,2,247,362
Cape Breton--Canso/Cape Breton--Canso,22,Strathlorne,133,9,32,64,2,240,426
Cape Breton--Canso/Cape Breton--Canso,23,Mabou,152,3,46,63,5,269,401
Cape Breton--Canso/Cape Breton--Canso,24,Glendyer,54,3,29,31,0,117,150
Cape Breton--Canso/Cape Breton--Canso,25,Brook Village,37,4,32,35,1,109,177
Cape Breton--Canso/Cape Breton--Canso,26,Stewartdale,61,2,34,78,1,176,269
Cape Breton--Canso/Cape Breton--Canso,27,Whycocomagh,129,7,54,84,1,275,444
Cape Breton--Canso/Cape Breton--Canso,28,Whycocomagh Reserve,43,3,11,4,1,62,314
Cape Breton--Canso/Cape Breton--Canso,29,Port Hood,133,5,39,67,5,249,370
Cape Breton--Canso/Cape Breton--Canso,30,Mabou,94,4,28,65,2,193,269
Cape Breton--Canso/Cape Breton--Canso,31,Port Hood,174,18,37,99,1,329,480
Cape Breton--Canso/Cape Breton--Canso,32,Glencoe Station,143,10,38,49,1,241,423
Cape Breton--Canso/Cape Breton--Canso,33,Judique North,142,19,57,47,1,266,317
Cape Breton--Canso/Cape Breton--Canso,34,Orangedale,62,3,34,39,0,138,203
Cape Breton--Canso/Cape Breton--Canso,35,Blue Mills,79,1,26,54,0,160,260
Cape Breton--Canso/Cape Breton--Canso,36,Valley Mills,48,2,32,23,1,106,148
Cape Breton--Canso/Cape Breton--Canso,37,Blue Mills,43,1,36,37,0,117,174
Cape Breton--Canso/Cape Breton--Canso,38,West Bay Road,69,1,66,59,0,195,312
Cape Breton--Canso/Cape Breton--Canso,39,Creignish,115,3,83,53,2,256,390
Cape Breton--Canso/Cape Breton--Canso,40,Port Hastings,111,4,106,47,2,270,416
Cape Breton--Canso/Cape Breton--Canso,41,Port Hastings,93,13,104,62,0,272,422
