District,Poll Number,Poll Name,Frank Ellis,Edwin Laryea,Ciprian Mihalcea,Pauline Richards,Steve Strauss,Andrew Telegdi,Rejected Ballots,Total Vote,Electors
Kitchener--Waterloo/Kitchener--Waterloo,164,Waterloo,0,22,0,13,60,81,1,177,336
Kitchener--Waterloo/Kitchener--Waterloo,165,Waterloo,0,19,1,3,62,126,0,211,319
Kitchener--Waterloo/Kitchener--Waterloo,166,Waterloo,4,56,1,21,80,126,0,288,515
Kitchener--Waterloo/Kitchener--Waterloo,167,Waterloo,0,48,0,16,92,127,0,283,485
Kitchener--Waterloo/Kitchener--Waterloo,168,Kitchener,1,14,0,5,119,120,2,261,374
Kitchener--Waterloo/Kitchener--Waterloo,169,Kitchener,1,36,1,11,103,146,0,298,580
Kitchener--Waterloo/Kitchener--Waterloo,170,Kitchener,0,30,0,8,78,142,0,258,413
Kitchener--Waterloo/Kitchener--Waterloo,171,Kitchener,2,54,1,14,84,110,2,267,463
Kitchener--Waterloo/Kitchener--Waterloo,172,Kitchener,4,29,1,12,37,88,0,171,367
Kitchener--Waterloo/Kitchener--Waterloo,173,Kitchener,3,42,0,19,68,115,1,248,499
Kitchener--Waterloo/Kitchener--Waterloo,174A,Kitchener,1,18,0,4,71,78,0,172,328
Kitchener--Waterloo/Kitchener--Waterloo,174B,Kitchener,1,19,2,2,73,72,1,170,367
Kitchener--Waterloo/Kitchener--Waterloo,175,Kitchener,1,27,1,6,91,138,4,268,452
Kitchener--Waterloo/Kitchener--Waterloo,176,Kitchener,0,17,0,8,71,155,0,251,409
Kitchener--Waterloo/Kitchener--Waterloo,177,Kitchener,3,43,2,11,74,96,1,230,467
Kitchener--Waterloo/Kitchener--Waterloo,178A,Kitchener,0,29,2,6,66,45,1,149,307
Kitchener--Waterloo/Kitchener--Waterloo,178B,Kitchener,2,21,0,1,42,72,1,139,310
Kitchener--Waterloo/Kitchener--Waterloo,179,Kitchener,4,26,0,8,52,68,0,158,379
Kitchener--Waterloo/Kitchener--Waterloo,180,Kitchener,5,30,2,8,85,96,1,227,474
Kitchener--Waterloo/Kitchener--Waterloo,181,Kitchener,2,30,0,10,59,73,1,175,379
Kitchener--Waterloo/Kitchener--Waterloo,182A,Kitchener,1,25,3,10,51,78,2,170,334
Kitchener--Waterloo/Kitchener--Waterloo,182B,Kitchener,2,35,1,7,45,77,2,169,313
Kitchener--Waterloo/Kitchener--Waterloo,183,Kitchener,0,23,0,15,47,100,1,186,289
Kitchener--Waterloo/Kitchener--Waterloo,184,Kitchener,1,53,0,16,54,128,1,253,349
Kitchener--Waterloo/Kitchener--Waterloo,185,Kitchener,3,23,0,11,83,130,1,251,369
Kitchener--Waterloo/Kitchener--Waterloo,186,Kitchener,3,60,0,24,34,69,0,190,297
Kitchener--Waterloo/Kitchener--Waterloo,187,Kitchener,2,44,1,12,30,90,0,179,338
Kitchener--Waterloo/Kitchener--Waterloo,188,Kitchener,1,51,0,21,43,72,1,189,371
Kitchener--Waterloo/Kitchener--Waterloo,189,Kitchener,5,68,0,18,62,105,2,260,457
Kitchener--Waterloo/Kitchener--Waterloo,190,Kitchener,3,51,0,23,44,110,1,232,394
Kitchener--Waterloo/Kitchener--Waterloo,191,Kitchener,0,51,0,14,26,63,1,155,259
Kitchener--Waterloo/Kitchener--Waterloo,192,Kitchener,2,49,1,24,33,98,0,207,354
Kitchener--Waterloo/Kitchener--Waterloo,193,Kitchener,3,41,1,4,49,60,1,159,290
Kitchener--Waterloo/Kitchener--Waterloo,194,Kitchener,2,33,1,12,73,118,0,239,425
Kitchener--Waterloo/Kitchener--Waterloo,195A,Kitchener,1,23,1,15,81,97,0,218,380
Kitchener--Waterloo/Kitchener--Waterloo,195B,Kitchener,1,18,0,12,96,97,0,224,390
Kitchener--Waterloo/Kitchener--Waterloo,196,Kitchener,0,41,0,26,53,62,1,183,359
Kitchener--Waterloo/Kitchener--Waterloo,197,Kitchener,1,36,3,4,57,64,2,167,349
Kitchener--Waterloo/Kitchener--Waterloo,198,Kitchener,3,58,3,19,85,106,2,276,540
Kitchener--Waterloo/Kitchener--Waterloo,199,Kitchener,1,10,0,5,24,25,0,65,179
Kitchener--Waterloo/Kitchener--Waterloo,200,Kitchener,2,27,0,8,61,89,3,190,381
Kitchener--Waterloo/Kitchener--Waterloo,201,Kitchener,4,53,2,15,71,100,2,247,360
Kitchener--Waterloo/Kitchener--Waterloo,202,Kitchener,1,66,1,14,61,88,0,231,371
Kitchener--Waterloo/Kitchener--Waterloo,203,Kitchener,4,53,0,9,30,63,1,160,349
Kitchener--Waterloo/Kitchener--Waterloo,204,Kitchener,6,36,0,17,41,67,0,167,291
Kitchener--Waterloo/Kitchener--Waterloo,205,Kitchener,2,47,0,12,52,86,0,199,363
Kitchener--Waterloo/Kitchener--Waterloo,206,Kitchener,0,32,0,12,73,79,2,198,335
Kitchener--Waterloo/Kitchener--Waterloo,207,Kitchener,0,58,2,12,54,66,0,192,384
Kitchener--Waterloo/Kitchener--Waterloo,208,Kitchener,2,65,0,20,61,83,2,233,415
Kitchener--Waterloo/Kitchener--Waterloo,209,Kitchener,1,54,0,17,37,51,3,163,346
Kitchener--Waterloo/Kitchener--Waterloo,210,Kitchener,2,60,0,12,27,86,3,190,340
Kitchener--Waterloo/Kitchener--Waterloo,211,Kitchener,0,54,0,9,43,70,0,176,337
Kitchener--Waterloo/Kitchener--Waterloo,212,Kitchener,3,33,3,8,47,82,0,176,348
Kitchener--Waterloo/Kitchener--Waterloo,213,Kitchener,2,48,0,20,45,80,2,197,372
Kitchener--Waterloo/Kitchener--Waterloo,214,Kitchener,3,53,0,16,39,61,1,173,371
Kitchener--Waterloo/Kitchener--Waterloo,400,Waterloo,0,45,0,11,50,87,0,193,399
Kitchener--Waterloo/Kitchener--Waterloo,401,Kitchener,2,38,4,18,38,40,1,141,287
Kitchener--Waterloo/Kitchener--Waterloo,402,Kitchener,2,28,1,7,60,103,1,202,298
Kitchener--Waterloo/Kitchener--Waterloo,403,Kitchener,2,30,0,6,56,128,4,226,302
Kitchener--Waterloo/Kitchener--Waterloo,600,Waterloo,5,61,1,19,333,383,0,802,
Kitchener--Waterloo/Kitchener--Waterloo,601,Waterloo,7,63,1,25,287,237,3,623,
Kitchener--Waterloo/Kitchener--Waterloo,602,Waterloo,4,69,0,21,344,370,1,809,
