District,Poll Number,Poll Name,Rick Casson,Erin Marie Matthews,Ken Nicol,Dustin Sobie,Melanee Thomas,Ken Vanden Broek,Rejected Ballots,Total Vote,Electors
Lethbridge/Lethbridge,89,Lethbridge,151,14,63,1,24,4,0,257,434
Lethbridge/Lethbridge,90,Lethbridge,144,5,100,1,19,1,0,270,431
Lethbridge/Lethbridge,91,Lethbridge,122,11,74,1,8,1,0,217,368
Lethbridge/Lethbridge,92,Lethbridge,196,8,94,5,27,7,1,338,609
Lethbridge/Lethbridge,93,Lethbridge,139,0,57,2,25,5,3,231,510
Lethbridge/Lethbridge,94,Lethbridge,67,9,46,2,22,2,0,148,277
Lethbridge/Lethbridge,95,Lethbridge,72,9,61,5,38,2,0,187,343
Lethbridge/Lethbridge,96,Lethbridge,113,4,55,4,32,4,0,212,365
Lethbridge/Lethbridge,97,Lethbridge,107,2,69,2,35,0,1,216,525
Lethbridge/Lethbridge,98,Lethbridge,110,7,61,5,15,5,0,203,337
Lethbridge/Lethbridge,99,Lethbridge,108,2,55,2,20,0,0,187,274
Lethbridge/Lethbridge,100,Lethbridge,87,8,50,1,24,5,0,175,355
Lethbridge/Lethbridge,101,Lethbridge,113,9,50,5,38,3,0,218,409
Lethbridge/Lethbridge,102,Lethbridge,105,5,83,4,35,0,0,232,381
Lethbridge/Lethbridge,103,Lethbridge,52,5,43,2,25,1,1,129,242
Lethbridge/Lethbridge,104,Lethbridge,93,4,66,0,29,3,1,196,352
Lethbridge/Lethbridge,105,Lethbridge,56,10,61,3,36,2,2,170,323
Lethbridge/Lethbridge,106,Lethbridge,82,13,36,1,44,2,1,179,350
Lethbridge/Lethbridge,107,Lethbridge,77,6,41,0,35,4,0,163,367
Lethbridge/Lethbridge,108,Lethbridge,129,15,74,6,66,1,2,293,605
Lethbridge/Lethbridge,109,Lethbridge,74,7,87,5,39,2,0,214,360
Lethbridge/Lethbridge,110,Lethbridge,75,12,59,2,31,3,1,183,339
Lethbridge/Lethbridge,111,Lethbridge,75,5,44,2,19,2,0,147,282
Lethbridge/Lethbridge,112,Lethbridge,72,7,34,2,12,1,1,129,224
Lethbridge/Lethbridge,113,Lethbridge,137,4,53,2,21,5,1,223,411
