District,Poll Number,Poll Name,Rona Ambrose,Neil Mather,Jerry Paschen,Hayley Phillips,Rejected Ballots,Total Vote,Electors
Edmonton--Spruce Grove/Edmonton--Spruce Grove,1,Beach Corner,176,34,16,22,0,248,346
Edmonton--Spruce Grove/Edmonton--Spruce Grove,2,Beach Corner,160,35,22,33,1,251,323
Edmonton--Spruce Grove/Edmonton--Spruce Grove,3,Beach Corner,Merged with No. 5,,,,,,151
Edmonton--Spruce Grove/Edmonton--Spruce Grove,4,Beach Corner,209,42,16,34,0,301,407
Edmonton--Spruce Grove/Edmonton--Spruce Grove,5,Beach Corner,143,27,16,35,0,221,264
Edmonton--Spruce Grove/Edmonton--Spruce Grove,6,Beach Corner,163,23,18,25,0,229,222
Edmonton--Spruce Grove/Edmonton--Spruce Grove,7A,Beach Corner,125,21,7,22,0,175,318
Edmonton--Spruce Grove/Edmonton--Spruce Grove,7B,Beach Corner,117,20,12,23,0,172,326
Edmonton--Spruce Grove/Edmonton--Spruce Grove,8,Beach Corner,169,27,14,17,0,227,361
Edmonton--Spruce Grove/Edmonton--Spruce Grove,9,Beach Corner,Merged with No. 6,,,,,,180
Edmonton--Spruce Grove/Edmonton--Spruce Grove,10,Stony Plain,77,19,8,6,1,111,308
Edmonton--Spruce Grove/Edmonton--Spruce Grove,11,Stony Plain,148,55,13,22,2,240,475
Edmonton--Spruce Grove/Edmonton--Spruce Grove,12A,Stony Plain,122,36,9,17,0,184,353
Edmonton--Spruce Grove/Edmonton--Spruce Grove,12B,Stony Plain,150,23,8,17,0,198,366
Edmonton--Spruce Grove/Edmonton--Spruce Grove,13,Stony Plain,120,22,8,23,0,173,345
Edmonton--Spruce Grove/Edmonton--Spruce Grove,14,Stony Plain,65,16,5,14,0,100,272
Edmonton--Spruce Grove/Edmonton--Spruce Grove,15,Stony Plain,179,49,14,29,0,271,533
Edmonton--Spruce Grove/Edmonton--Spruce Grove,16A,Stony Plain,119,29,10,16,0,174,303
Edmonton--Spruce Grove/Edmonton--Spruce Grove,16B,Stony Plain,145,16,9,22,0,192,355
Edmonton--Spruce Grove/Edmonton--Spruce Grove,17,Stony Plain,131,20,7,27,0,185,352
Edmonton--Spruce Grove/Edmonton--Spruce Grove,18,Stony Plain,112,48,6,19,1,186,311
Edmonton--Spruce Grove/Edmonton--Spruce Grove,19,Stony Plain,173,31,10,22,0,236,476
Edmonton--Spruce Grove/Edmonton--Spruce Grove,20,Stony Plain,155,24,11,28,1,219,481
Edmonton--Spruce Grove/Edmonton--Spruce Grove,21,Stony Plain,163,35,11,27,0,236,371
Edmonton--Spruce Grove/Edmonton--Spruce Grove,22,Stony Plain,191,34,6,37,0,268,503
Edmonton--Spruce Grove/Edmonton--Spruce Grove,23,Stony Plain,134,48,15,32,0,229,414
Edmonton--Spruce Grove/Edmonton--Spruce Grove,24,Stony Plain,214,49,12,18,0,293,553
Edmonton--Spruce Grove/Edmonton--Spruce Grove,25A,Stony Plain,191,24,8,18,0,241,353
Edmonton--Spruce Grove/Edmonton--Spruce Grove,25B,Stony Plain,160,22,8,13,0,203,352
Edmonton--Spruce Grove/Edmonton--Spruce Grove,26,Stony Plain,140,25,12,21,0,198,378
Edmonton--Spruce Grove/Edmonton--Spruce Grove,27,Stony Plain,143,18,11,15,0,187,336
Edmonton--Spruce Grove/Edmonton--Spruce Grove,28,Spruce Grove,173,37,4,18,0,232,440
Edmonton--Spruce Grove/Edmonton--Spruce Grove,29,Spruce Grove,210,33,6,28,0,277,514
Edmonton--Spruce Grove/Edmonton--Spruce Grove,30A,Spruce Grove,213,51,7,13,1,285,426
Edmonton--Spruce Grove/Edmonton--Spruce Grove,30B,Spruce Grove,194,57,14,15,1,281,409
Edmonton--Spruce Grove/Edmonton--Spruce Grove,31,Spruce Grove,178,39,17,34,0,268,589
Edmonton--Spruce Grove/Edmonton--Spruce Grove,32,Spruce Grove,150,45,10,25,0,230,373
Edmonton--Spruce Grove/Edmonton--Spruce Grove,33,Spruce Grove,196,59,8,32,0,295,576
Edmonton--Spruce Grove/Edmonton--Spruce Grove,34,Spruce Grove,134,21,14,22,0,191,346
Edmonton--Spruce Grove/Edmonton--Spruce Grove,35,Spruce Grove,175,47,13,26,0,261,455
Edmonton--Spruce Grove/Edmonton--Spruce Grove,36,Spruce Grove,128,32,20,22,2,204,398
Edmonton--Spruce Grove/Edmonton--Spruce Grove,37,Spruce Grove,96,25,16,31,0,168,330
Edmonton--Spruce Grove/Edmonton--Spruce Grove,38,Spruce Grove,197,53,14,31,0,295,488
Edmonton--Spruce Grove/Edmonton--Spruce Grove,39,Spruce Grove,167,39,12,27,0,245,459
Edmonton--Spruce Grove/Edmonton--Spruce Grove,40,Spruce Grove,203,54,14,29,0,300,472
Edmonton--Spruce Grove/Edmonton--Spruce Grove,41A,Spruce Grove,118,39,5,16,3,181,330
Edmonton--Spruce Grove/Edmonton--Spruce Grove,41B,Spruce Grove,116,29,12,21,0,178,319
Edmonton--Spruce Grove/Edmonton--Spruce Grove,42,Spruce Grove,120,25,8,18,1,172,307
Edmonton--Spruce Grove/Edmonton--Spruce Grove,43,Spruce Grove,191,45,18,26,1,281,446
Edmonton--Spruce Grove/Edmonton--Spruce Grove,44,Spruce Grove,156,25,11,26,0,218,411
Edmonton--Spruce Grove/Edmonton--Spruce Grove,45,Spruce Grove,92,25,8,21,0,146,360
Edmonton--Spruce Grove/Edmonton--Spruce Grove,46,Spruce Grove,171,41,10,24,2,248,417
Edmonton--Spruce Grove/Edmonton--Spruce Grove,47,Spruce Grove,169,42,8,33,0,252,451
Edmonton--Spruce Grove/Edmonton--Spruce Grove,48,Spruce Grove,125,31,20,20,0,196,421
Edmonton--Spruce Grove/Edmonton--Spruce Grove,49,Spruce Grove,132,34,18,46,1,231,481
Edmonton--Spruce Grove/Edmonton--Spruce Grove,50,Spruce Grove,126,35,13,26,2,202,456
Edmonton--Spruce Grove/Edmonton--Spruce Grove,51,Spruce Grove,98,25,14,37,0,174,505
Edmonton--Spruce Grove/Edmonton--Spruce Grove,52,Spruce Grove,117,28,13,42,0,200,409
Edmonton--Spruce Grove/Edmonton--Spruce Grove,53,Spruce Grove,119,28,16,43,0,206,523
Edmonton--Spruce Grove/Edmonton--Spruce Grove,54,Spruce Grove,109,15,7,13,0,144,341
Edmonton--Spruce Grove/Edmonton--Spruce Grove,55,Spruce Grove,185,44,10,13,0,252,471
Edmonton--Spruce Grove/Edmonton--Spruce Grove,56,Spring Lake,237,43,25,52,1,358,604
Edmonton--Spruce Grove/Edmonton--Spruce Grove,57,Golden Spike,193,20,16,16,1,246,539
Edmonton--Spruce Grove/Edmonton--Spruce Grove,58,Golden Spike,140,32,5,37,0,214,463
Edmonton--Spruce Grove/Edmonton--Spruce Grove,59,Golden Spike,197,25,7,14,0,243,466
Edmonton--Spruce Grove/Edmonton--Spruce Grove,60,Holborn,199,47,14,24,1,285,374
Edmonton--Spruce Grove/Edmonton--Spruce Grove,61A,Golden Spike,190,33,16,18,0,257,421
Edmonton--Spruce Grove/Edmonton--Spruce Grove,61B,Golden Spike,199,33,8,17,0,257,426
Edmonton--Spruce Grove/Edmonton--Spruce Grove,62A,Beach Corner,121,18,6,17,0,162,344
Edmonton--Spruce Grove/Edmonton--Spruce Grove,62B,Beach Corner,127,27,12,16,0,182,318
Edmonton--Spruce Grove/Edmonton--Spruce Grove,63,Acheson,162,28,0,10,0,200,388
Edmonton--Spruce Grove/Edmonton--Spruce Grove,64,Acheson,167,21,4,10,0,202,376
Edmonton--Spruce Grove/Edmonton--Spruce Grove,65,Acheson,Merged with No. 70,,,,,,62
Edmonton--Spruce Grove/Edmonton--Spruce Grove,66A,Acheson,102,29,9,25,0,165,463
Edmonton--Spruce Grove/Edmonton--Spruce Grove,66B,Acheson,126,10,7,21,0,164,482
Edmonton--Spruce Grove/Edmonton--Spruce Grove,67,Acheson,Merged with No. 77,,,,,,33
Edmonton--Spruce Grove/Edmonton--Spruce Grove,68A,Acheson,147,20,6,9,0,182,355
Edmonton--Spruce Grove/Edmonton--Spruce Grove,68B,Acheson,153,24,6,9,0,192,346
Edmonton--Spruce Grove/Edmonton--Spruce Grove,69A,Golden Spike,140,36,9,12,0,197,338
Edmonton--Spruce Grove/Edmonton--Spruce Grove,69B,Golden Spike,143,27,7,16,0,193,334
Edmonton--Spruce Grove/Edmonton--Spruce Grove,70,Golden Spike,123,21,8,27,0,179,234
Edmonton--Spruce Grove/Edmonton--Spruce Grove,71A,Stony Plain 135,16,55,4,3,0,78,218
Edmonton--Spruce Grove/Edmonton--Spruce Grove,71B,Stony Plain 135,6,122,5,11,0,144,357
Edmonton--Spruce Grove/Edmonton--Spruce Grove,72,Goodbend,240,58,16,35,0,349,492
Edmonton--Spruce Grove/Edmonton--Spruce Grove,73,Woodbend,180,42,12,31,0,265,405
Edmonton--Spruce Grove/Edmonton--Spruce Grove,74,Golden Spike,164,49,16,24,0,253,367
Edmonton--Spruce Grove/Edmonton--Spruce Grove,75,Woodbend,Merged with No. 74,,,,,,36
Edmonton--Spruce Grove/Edmonton--Spruce Grove,76,Woodbend,Merged with No. 77,,,,,,238
Edmonton--Spruce Grove/Edmonton--Spruce Grove,77,Woodbend,235,54,41,23,0,353,284
Edmonton--Spruce Grove/Edmonton--Spruce Grove,78,Woodbend,176,58,19,24,0,277,420
Edmonton--Spruce Grove/Edmonton--Spruce Grove,79,Woodbend,315,63,32,16,0,426,607
Edmonton--Spruce Grove/Edmonton--Spruce Grove,80,Edmonton,23,1,2,1,0,27,74
Edmonton--Spruce Grove/Edmonton--Spruce Grove,81,Edmonton,Void,,,,,,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,82,Edmonton,Merged with No. 80,,,,,,24
Edmonton--Spruce Grove/Edmonton--Spruce Grove,83,Edmonton,Merged with No. 80,,,,,,1
Edmonton--Spruce Grove/Edmonton--Spruce Grove,84,Edmonton,Void,,,,,,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,85A,Edmonton,132,52,23,27,1,235,455
Edmonton--Spruce Grove/Edmonton--Spruce Grove,85B,Edmonton,151,42,11,30,0,234,460
Edmonton--Spruce Grove/Edmonton--Spruce Grove,85C,Edmonton,148,67,13,20,1,249,516
Edmonton--Spruce Grove/Edmonton--Spruce Grove,85D,Edmonton,111,46,14,26,0,197,412
Edmonton--Spruce Grove/Edmonton--Spruce Grove,86,Edmonton,66,12,4,5,0,87,230
Edmonton--Spruce Grove/Edmonton--Spruce Grove,87,Edmonton,Merged with No. 86,,,,,,12
Edmonton--Spruce Grove/Edmonton--Spruce Grove,88A,Edmonton,122,55,11,12,0,200,467
Edmonton--Spruce Grove/Edmonton--Spruce Grove,88B,Edmonton,171,63,10,8,0,252,518
Edmonton--Spruce Grove/Edmonton--Spruce Grove,88C,Edmonton,144,58,9,9,0,220,417
Edmonton--Spruce Grove/Edmonton--Spruce Grove,89,Edmonton,143,68,9,6,0,226,343
Edmonton--Spruce Grove/Edmonton--Spruce Grove,90,Edmonton,138,70,4,17,2,231,467
Edmonton--Spruce Grove/Edmonton--Spruce Grove,91,Edmonton,108,50,14,16,2,190,357
Edmonton--Spruce Grove/Edmonton--Spruce Grove,92A,Edmonton,86,46,6,7,0,145,277
