District,Poll Number,Poll Name,Leo Bonomi,Elaine Couto,Jim Fannon,Linda Klassen,Walt Lastewka,Ted Mouradian,Jane Elizabeth Paxton,Rejected Ballots,Total Vote,Electors
St. Catharines/St. Catharines,1,St. Catharines,124,1,6,10,89,31,1,2,264,367
St. Catharines/St. Catharines,2,St. Catharines,97,0,14,2,84,27,2,0,226,365
St. Catharines/St. Catharines,3,St. Catharines,94,0,15,1,129,54,2,0,295,467
St. Catharines/St. Catharines,4,St. Catharines,123,0,12,5,158,29,2,0,329,505
St. Catharines/St. Catharines,5,St. Catharines,103,0,13,0,145,61,1,1,324,457
St. Catharines/St. Catharines,6,St. Catharines,110,0,20,1,116,64,7,2,320,455
St. Catharines/St. Catharines,7,St. Catharines,164,0,18,2,212,45,2,2,445,581
St. Catharines/St. Catharines,8,St. Catharines,155,0,5,4,125,11,0,1,301,438
St. Catharines/St. Catharines,9,St. Catharines,131,0,10,17,70,25,3,2,258,406
St. Catharines/St. Catharines,10,St. Catharines,101,0,8,0,150,27,0,4,290,484
St. Catharines/St. Catharines,11,St. Catharines,125,1,14,2,129,47,1,1,320,578
St. Catharines/St. Catharines,12,St. Catharines,120,0,14,3,174,22,0,2,335,551
St. Catharines/St. Catharines,13,St. Catharines,78,0,13,3,117,40,0,0,251,387
St. Catharines/St. Catharines,14,St. Catharines,75,0,2,1,78,32,3,2,193,318
St. Catharines/St. Catharines,15,St. Catharines,155,0,10,13,109,31,0,2,320,554
St. Catharines/St. Catharines,16,St. Catharines,70,0,13,2,83,47,0,2,217,365
St. Catharines/St. Catharines,17,St. Catharines,39,0,3,2,35,14,0,0,93,275
St. Catharines/St. Catharines,18,St. Catharines,79,0,13,5,127,30,1,1,256,385
St. Catharines/St. Catharines,19,St. Catharines,140,0,14,3,121,29,0,2,309,482
St. Catharines/St. Catharines,20,St. Catharines,61,0,5,5,50,45,1,0,167,364
St. Catharines/St. Catharines,21,St. Catharines,74,0,7,0,111,45,0,0,237,362
St. Catharines/St. Catharines,22,St. Catharines,79,0,10,7,96,57,0,0,249,425
St. Catharines/St. Catharines,23,St. Catharines,58,0,10,3,54,46,0,0,171,319
St. Catharines/St. Catharines,24,St. Catharines,120,1,11,6,167,22,0,2,329,511
St. Catharines/St. Catharines,25,St. Catharines,97,0,14,4,155,41,0,2,313,473
St. Catharines/St. Catharines,26,St. Catharines,103,2,4,3,90,45,1,1,249,402
St. Catharines/St. Catharines,27,St. Catharines,62,0,5,4,84,42,0,1,198,333
St. Catharines/St. Catharines,28,St. Catharines,84,0,12,2,109,40,3,2,252,429
St. Catharines/St. Catharines,29,St. Catharines,85,1,15,1,131,49,0,2,284,489
St. Catharines/St. Catharines,30,St. Catharines,75,0,4,0,76,38,2,0,195,325
St. Catharines/St. Catharines,31,St. Catharines,37,0,4,1,110,14,1,4,171,263
St. Catharines/St. Catharines,32,St. Catharines,118,1,7,6,109,28,0,2,271,414
St. Catharines/St. Catharines,33,St. Catharines,77,0,3,3,97,41,1,0,222,376
St. Catharines/St. Catharines,34,St. Catharines,95,0,12,3,120,45,0,1,276,504
St. Catharines/St. Catharines,35,St. Catharines,63,0,11,7,84,51,0,1,217,405
St. Catharines/St. Catharines,36,St. Catharines,112,0,6,5,82,54,2,1,262,435
St. Catharines/St. Catharines,37,St. Catharines,73,0,10,4,86,41,1,1,216,394
St. Catharines/St. Catharines,38,St. Catharines,103,1,3,1,132,42,1,3,286,457
St. Catharines/St. Catharines,39,St. Catharines,111,0,7,3,175,20,1,1,318,454
St. Catharines/St. Catharines,40,St. Catharines,84,0,9,2,111,15,1,0,222,485
St. Catharines/St. Catharines,41,St. Catharines,112,0,8,2,97,39,1,3,262,415
St. Catharines/St. Catharines,42,St. Catharines,145,0,10,1,103,61,2,5,327,528
St. Catharines/St. Catharines,43,St. Catharines,118,0,8,2,124,41,0,1,294,513
St. Catharines/St. Catharines,44,St. Catharines,84,0,9,5,75,36,0,2,211,325
St. Catharines/St. Catharines,45,St. Catharines,78,0,2,13,110,34,0,1,238,359
St. Catharines/St. Catharines,46,St. Catharines,99,0,6,1,127,33,0,0,266,402
St. Catharines/St. Catharines,47,St. Catharines,80,0,8,0,100,24,1,1,214,357
St. Catharines/St. Catharines,48,St. Catharines,85,0,7,8,145,21,0,0,266,440
St. Catharines/St. Catharines,49,St. Catharines,90,0,17,1,117,37,2,3,267,408
St. Catharines/St. Catharines,50,St. Catharines,43,0,11,3,59,52,0,1,169,294
St. Catharines/St. Catharines,51,St. Catharines,61,2,9,4,78,51,0,1,206,370
St. Catharines/St. Catharines,52,St. Catharines,107,0,5,3,84,33,0,0,232,354
St. Catharines/St. Catharines,53,St. Catharines,80,0,11,9,120,56,0,0,276,434
St. Catharines/St. Catharines,54,St. Catharines,89,0,3,3,133,37,0,0,265,447
St. Catharines/St. Catharines,55,St. Catharines,93,1,10,0,138,39,1,2,284,444
St. Catharines/St. Catharines,56,St. Catharines,105,0,9,3,104,35,0,1,257,375
St. Catharines/St. Catharines,57,St. Catharines,110,0,5,2,103,32,1,0,253,396
St. Catharines/St. Catharines,58,St. Catharines,97,0,4,2,109,48,1,1,262,435
St. Catharines/St. Catharines,59,St. Catharines,95,0,5,3,118,53,0,3,277,448
St. Catharines/St. Catharines,60,St. Catharines,95,0,9,5,83,34,0,2,228,444
St. Catharines/St. Catharines,61,St. Catharines,116,0,10,3,110,31,1,0,271,405
St. Catharines/St. Catharines,62,St. Catharines,110,0,3,5,128,36,0,0,282,422
St. Catharines/St. Catharines,63,St. Catharines,76,0,4,1,111,46,1,0,239,414
St. Catharines/St. Catharines,64,St. Catharines,77,0,2,9,100,32,0,1,221,395
St. Catharines/St. Catharines,65,St. Catharines,94,0,12,2,74,38,0,2,222,349
St. Catharines/St. Catharines,66,St. Catharines,97,0,9,5,77,43,0,2,233,359
St. Catharines/St. Catharines,67,St. Catharines,79,0,7,5,119,22,0,1,233,343
St. Catharines/St. Catharines,68,St. Catharines,65,0,8,0,113,27,1,1,215,364
St. Catharines/St. Catharines,69,St. Catharines,60,0,11,1,109,35,0,0,216,342
St. Catharines/St. Catharines,70,St. Catharines,89,1,3,2,81,26,0,0,202,334
St. Catharines/St. Catharines,71,St. Catharines,71,0,2,2,78,33,1,0,187,322
St. Catharines/St. Catharines,72,St. Catharines,77,0,4,3,96,25,0,0,205,311
St. Catharines/St. Catharines,73,St. Catharines,55,0,8,7,58,16,0,0,144,244
St. Catharines/St. Catharines,74,St. Catharines,Void,,,,,,,,,
St. Catharines/St. Catharines,75,St. Catharines,56,0,14,2,88,25,1,0,186,311
St. Catharines/St. Catharines,76,St. Catharines,87,0,13,4,88,38,1,0,231,376
