District,Poll Number,Poll Name,Omer Bourque,Anna Girouard,Dominic LeBlanc,Angela Vautour,Rejected Ballots,Total Vote,Electors
Beauséjour/Beauséjour,1,Saint-Louis de Kent,39,7,128,214,8,396,512
Beauséjour/Beauséjour,2,Saint-Louis de Kent,25,12,128,126,8,299,361
Beauséjour/Beauséjour,3,Saint-Louis de Kent,26,8,101,105,13,253,357
Beauséjour/Beauséjour,4A,Saint-Louis de Kent,23,4,69,94,8,198,288
Beauséjour/Beauséjour,4B,Saint-Louis de Kent,19,9,63,87,2,180,257
Beauséjour/Beauséjour,5,Saint-Ignace,28,11,62,64,7,172,215
Beauséjour/Beauséjour,6,Saint-Ignace,39,8,117,122,9,295,379
Beauséjour/Beauséjour,7,Petite-Aldouane,25,7,122,76,8,238,337
Beauséjour/Beauséjour,8A,Saint-Charles,24,8,89,47,3,171,257
Beauséjour/Beauséjour,8B,Saint-Charles,15,6,76,76,8,181,234
Beauséjour/Beauséjour,9,Saint-Charles,19,10,143,112,4,288,413
Beauséjour/Beauséjour,10,Saint-Charles,25,12,153,90,9,289,420
Beauséjour/Beauséjour,11,Richibucto,30,3,100,81,9,223,290
Beauséjour/Beauséjour,12A,Richibucto,34,5,134,60,14,247,316
Beauséjour/Beauséjour,12B,Richibucto,36,14,112,71,6,239,332
Beauséjour/Beauséjour,13,Richibucto,39,5,125,60,3,232,325
Beauséjour/Beauséjour,14,Richibucto,15,9,94,80,7,205,304
Beauséjour/Beauséjour,15,Richibucto,40,5,143,84,6,278,420
Beauséjour/Beauséjour,16,Richibucto,25,8,169,85,7,294,418
Beauséjour/Beauséjour,17,Rexton,23,8,98,66,0,195,303
Beauséjour/Beauséjour,18,Rexton,63,13,133,78,4,291,472
Beauséjour/Beauséjour,19A,Elsipogtog,8,3,66,14,0,91,501
Beauséjour/Beauséjour,19B,Elsipogtog,3,0,120,12,0,135,504
Beauséjour/Beauséjour,20A,South Branch--West Branch,17,13,47,59,3,139,234
Beauséjour/Beauséjour,20B,South Branch--West Branch,27,6,79,43,0,155,247
Beauséjour/Beauséjour,21,Elsipogtog,Merged with No. 19A,,,,,,21
Beauséjour/Beauséjour,22,Bass River,30,0,64,54,2,150,228
Beauséjour/Beauséjour,23,Beersville,45,16,106,77,5,249,444
Beauséjour/Beauséjour,24,Harcourt,35,5,87,80,1,208,337
Beauséjour/Beauséjour,25,Sainte-Anne-de-Kent,26,7,126,55,0,214,288
Beauséjour/Beauséjour,26,Sainte-Anne-de-Kent,40,5,147,82,14,288,395
Beauséjour/Beauséjour,27,Sainte-Anne-de-Kent,34,3,113,110,5,265,379
Beauséjour/Beauséjour,28,Bouctouche,43,11,209,135,5,403,532
Beauséjour/Beauséjour,29,Bouctouche,5,1,102,60,3,171,275
Beauséjour/Beauséjour,30,Bouctouche,21,2,57,50,0,130,275
Beauséjour/Beauséjour,31,Bouctouche,14,4,53,120,8,199,341
Beauséjour/Beauséjour,32,Bouctouche,32,9,91,84,6,222,362
Beauséjour/Beauséjour,33,Bouctouche,8,5,91,67,2,173,307
Beauséjour/Beauséjour,34,Sainte-Marie,24,13,64,52,0,153,245
Beauséjour/Beauséjour,35,Bouctouche,12,8,134,80,7,241,343
Beauséjour/Beauséjour,36,Saint-François-de-Kent,46,9,129,91,4,279,459
Beauséjour/Beauséjour,37,Cocagne,46,18,177,100,3,344,479
Beauséjour/Beauséjour,38,Saint-Joseph-de-Kent,20,4,62,72,7,165,246
Beauséjour/Beauséjour,39,McKees Mills,34,6,94,66,7,207,281
Beauséjour/Beauséjour,40,Sainte-Marie,22,13,119,88,6,248,363
Beauséjour/Beauséjour,41A,Sainte-Marie-de-Kent,22,17,104,60,14,217,291
Beauséjour/Beauséjour,41B,Sainte-Marie-de-Kent,20,22,103,50,5,200,291
Beauséjour/Beauséjour,42,Sainte-Marie,42,15,149,74,5,285,423
Beauséjour/Beauséjour,43A,Saint-Antoine,18,5,101,42,3,169,246
Beauséjour/Beauséjour,43B,Saint-Antoine,15,4,105,46,6,176,258
Beauséjour/Beauséjour,44,Saint-Antoine,23,1,117,57,3,201,272
Beauséjour/Beauséjour,45A,Saint-Paul,22,8,73,52,3,158,249
Beauséjour/Beauséjour,45B,Saint-Paul,29,5,63,35,7,139,251
Beauséjour/Beauséjour,46,Saint-Paul,28,11,99,73,4,215,336
Beauséjour/Beauséjour,47,Breau-Village,22,9,133,51,2,217,351
Beauséjour/Beauséjour,48,Cocagne,37,8,167,54,2,268,402
Beauséjour/Beauséjour,49,Cocagne-Nord,40,8,180,67,13,308,465
Beauséjour/Beauséjour,50A,Saint-Antoine,35,8,115,63,6,227,314
Beauséjour/Beauséjour,50B,Saint-Antoine,39,6,119,66,6,236,328
Beauséjour/Beauséjour,51,Notre-Dame,29,17,123,78,3,250,374
Beauséjour/Beauséjour,52,Saint-Antoine,37,8,104,69,8,226,329
Beauséjour/Beauséjour,53,Notre-Dame,58,10,145,75,8,296,464
Beauséjour/Beauséjour,54,Cap-de-Cocagne,57,10,238,49,2,356,481
Beauséjour/Beauséjour,55A,Grande-Digue,33,6,158,28,1,226,314
Beauséjour/Beauséjour,55B,Grande-Digue,32,12,180,31,5,260,365
Beauséjour/Beauséjour,56A,Grande-Digue,33,5,139,58,2,237,331
Beauséjour/Beauséjour,56B,Grande-Digue,28,9,114,40,1,192,289
Beauséjour/Beauséjour,57,Cocagne-Sud,36,10,182,56,1,285,419
Beauséjour/Beauséjour,58,Notre-Dame,72,10,150,72,0,304,444
Beauséjour/Beauséjour,59,Irishtown,25,4,40,41,2,112,168
Beauséjour/Beauséjour,60A,Irishtown,30,10,84,38,6,168,298
Beauséjour/Beauséjour,60B,Irishtown,37,9,61,34,3,144,274
Beauséjour/Beauséjour,61,Irishtown,55,10,79,90,3,237,432
Beauséjour/Beauséjour,62,Gallagher Ridge,51,16,71,102,1,241,458
Beauséjour/Beauséjour,63A,Lakeville,32,6,70,41,0,149,300
Beauséjour/Beauséjour,63B,Lakeville,39,8,68,64,5,184,303
Beauséjour/Beauséjour,64A,Lakeville,38,3,49,52,1,143,285
Beauséjour/Beauséjour,64B,Lakeville,34,8,60,41,4,147,291
Beauséjour/Beauséjour,65,Lakeville,55,5,83,69,1,213,438
Beauséjour/Beauséjour,66,Moncton,57,11,76,55,5,204,438
Beauséjour/Beauséjour,67,Irishtown,47,11,104,52,7,221,403
Beauséjour/Beauséjour,68,Irishtown,22,5,48,34,0,109,198
Beauséjour/Beauséjour,69A,Indian Mountain,46,12,65,92,0,215,340
Beauséjour/Beauséjour,69B,Indian Mountain,48,10,57,104,2,221,350
Beauséjour/Beauséjour,70,Steeves Mountain,40,10,53,104,0,207,435
Beauséjour/Beauséjour,71,Moncton,39,11,52,64,3,169,352
Beauséjour/Beauséjour,72,Moncton,47,4,84,91,3,229,427
Beauséjour/Beauséjour,73,Moncton,35,12,85,87,1,220,366
Beauséjour/Beauséjour,74,Moncton,11,2,19,37,0,69,146
Beauséjour/Beauséjour,75,Moncton,Void,,,,,,
Beauséjour/Beauséjour,76,Grand-Barachois,25,9,167,51,0,252,352
Beauséjour/Beauséjour,77,Robichaud,25,7,169,51,7,259,380
Beauséjour/Beauséjour,78,Grand-Barachois,21,8,140,47,4,220,354
Beauséjour/Beauséjour,79,Grand-Barachois,30,13,164,57,3,267,432
Beauséjour/Beauséjour,80A,Cap-Brûlé,30,5,122,36,4,197,346
Beauséjour/Beauséjour,80B,Cap-Brûlé,24,8,109,53,2,196,344
Beauséjour/Beauséjour,81,Haute-Aboujagane,36,7,148,59,6,256,365
Beauséjour/Beauséjour,82,Pointe-du-Chêne,7,3,34,17,1,62,121
Beauséjour/Beauséjour,83A,Shediac,20,5,85,28,3,141,272
Beauséjour/Beauséjour,83B,Shediac,18,4,88,28,3,141,263
Beauséjour/Beauséjour,84A,Shediac,8,3,101,21,4,137,236
Beauséjour/Beauséjour,84B,Shediac,13,10,98,34,3,158,254
Beauséjour/Beauséjour,85,Shediac,21,14,151,35,1,222,365
Beauséjour/Beauséjour,86A,Shediac,25,4,91,23,4,147,246
Beauséjour/Beauséjour,86B,Shediac,17,4,87,25,5,138,243
Beauséjour/Beauséjour,87,Shediac,16,6,202,41,5,270,417
Beauséjour/Beauséjour,88,Shediac,21,6,176,39,4,246,383
Beauséjour/Beauséjour,89,Shediac,20,9,174,43,4,250,417
Beauséjour/Beauséjour,90,Shediac,10,4,79,25,3,121,242
Beauséjour/Beauséjour,91A,Shediac,20,5,104,20,5,154,269
Beauséjour/Beauséjour,91B,Shediac,14,8,100,28,2,152,293
Beauséjour/Beauséjour,92A,Shediac,22,6,100,25,0,153,318
Beauséjour/Beauséjour,92B,Shediac,28,9,107,29,3,176,335
Beauséjour/Beauséjour,93,Shediac Bridge,39,7,174,58,4,282,452
Beauséjour/Beauséjour,94A,Shediac River,26,8,116,47,3,200,309
Beauséjour/Beauséjour,94B,Shediac River,28,6,104,45,5,188,314
Beauséjour/Beauséjour,95,Saint-Philippe,31,4,54,41,0,130,216
Beauséjour/Beauséjour,96A,Shediac Cape,35,13,100,94,3,245,375
Beauséjour/Beauséjour,96B,Shediac Cape,38,12,84,82,1,217,344
Beauséjour/Beauséjour,97,Scoudouc,31,4,119,37,1,192,277
Beauséjour/Beauséjour,98,Scoudouc,22,8,199,41,8,278,392
Beauséjour/Beauséjour,99,Barachois,Void,,,,,,
Beauséjour/Beauséjour,100,Scoudouc,20,3,66,25,1,115,209
Beauséjour/Beauséjour,101,Scoudouc,32,11,124,44,4,215,378
Beauséjour/Beauséjour,102,Memramcook,19,5,88,62,0,174,299
Beauséjour/Beauséjour,103,Memramcook,53,15,163,63,5,299,452
