District,Poll Number,Poll Name,Judith Grant,L-Hubert Leduc,Benoit Legros,Gretchen Schwarz,David Smith,Thierry Vicente,Rejected Ballots,Total Vote,Electors
Pontiac/Pontiac,1,Grand-Remous,Merged with No. 2,,,,,,,,76
Pontiac/Pontiac,2,Montcerf,11,72,2,3,108,7,4,207,480
Pontiac/Pontiac,3,Lytton,6,24,0,0,31,2,2,65,117
Pontiac/Pontiac,4,Grand-Remous,18,79,1,3,77,2,6,186,423
Pontiac/Pontiac,5,Grand-Remous,8,35,1,2,12,1,0,59,169
Pontiac/Pontiac,6,Grand-Remous,11,53,1,3,66,4,3,141,350
Pontiac/Pontiac,7,Aumond,29,99,0,3,101,9,5,246,548
Pontiac/Pontiac,8,Bois-Franc,20,81,0,1,80,4,7,193,351
Pontiac/Pontiac,9,Egan-Sud,13,58,0,2,125,5,5,208,413
Pontiac/Pontiac,10,Kitigan Zibi,3,11,0,8,21,5,0,48,1276
Pontiac/Pontiac,11,Déléage,12,46,0,4,53,3,0,118,278
Pontiac/Pontiac,12,Déléage,26,95,3,3,133,3,4,267,558
Pontiac/Pontiac,13,Déléage,28,60,1,1,92,6,4,192,371
Pontiac/Pontiac,14,Déléage,20,70,0,3,72,4,2,171,419
Pontiac/Pontiac,15,Sainte-Thérèse-de-la-Gatineau,25,90,4,2,78,6,1,206,323
Pontiac/Pontiac,16,Messines,16,108,0,4,119,2,3,252,571
Pontiac/Pontiac,17,Messines,19,48,0,2,81,3,3,156,314
Pontiac/Pontiac,18,Messines,17,96,0,3,132,7,3,258,445
Pontiac/Pontiac,19,Blue Sea,45,101,1,9,109,6,6,277,548
Pontiac/Pontiac,20,Bouchette,11,71,2,5,86,8,6,189,363
Pontiac/Pontiac,21,Bouchette,11,63,0,1,54,5,2,136,270
Pontiac/Pontiac,22,Maniwaki,13,42,0,0,70,4,2,131,271
Pontiac/Pontiac,23,Maniwaki,9,72,3,4,94,4,3,189,372
Pontiac/Pontiac,24,Maniwaki,19,62,1,0,90,4,1,177,463
Pontiac/Pontiac,25,Maniwaki,15,64,1,3,104,3,3,193,377
Pontiac/Pontiac,26,Maniwaki,4,48,1,3,74,7,5,142,326
Pontiac/Pontiac,27,Maniwaki,10,65,0,2,99,4,0,180,343
Pontiac/Pontiac,28,Maniwaki,17,47,0,2,84,5,6,161,310
Pontiac/Pontiac,29,Maniwaki,12,51,0,1,64,0,0,128,366
Pontiac/Pontiac,30,Maniwaki,7,27,0,2,48,3,0,87,282
Pontiac/Pontiac,31,Maniwaki,13,44,1,1,86,6,0,151,467
Pontiac/Pontiac,32,Cayamant,33,91,0,5,102,4,6,241,609
Pontiac/Pontiac,33,Wright,16,34,0,5,47,0,1,103,236
Pontiac/Pontiac,34,Wright,35,49,0,4,65,3,3,159,336
Pontiac/Pontiac,35,Gracefield,28,53,2,1,75,1,1,161,357
Pontiac/Pontiac,36,Gracefield,17,29,0,3,41,1,1,92,273
Pontiac/Pontiac,37,Northfield,53,50,1,3,77,4,3,191,463
Pontiac/Pontiac,38,Wright,36,33,0,10,55,4,2,140,381
Pontiac/Pontiac,39,Alleyn-et-Cawood,36,2,0,6,32,2,2,80,144
Pontiac/Pontiac,40,Kazabazua,59,21,1,5,43,4,0,133,250
Pontiac/Pontiac,41,Lac-Sainte-Marie,88,45,0,11,79,6,3,232,449
Pontiac/Pontiac,42,Kazabazua,90,8,1,6,73,7,2,187,359
Pontiac/Pontiac,43,Low,143,15,0,15,72,13,3,261,407
Pontiac/Pontiac,44,Low,54,21,0,6,56,16,2,155,294
Pontiac/Pontiac,45,Denholm,63,52,0,13,87,6,6,227,422
Pontiac/Pontiac,46,Rapides-des-Joachims,14,24,1,5,24,7,1,76,148
Pontiac/Pontiac,47,Sheen-Esher-Aberdeen-et-Malakoff,30,7,0,7,34,0,0,78,104
Pontiac/Pontiac,48,Waltham,59,7,1,17,103,2,0,189,355
Pontiac/Pontiac,49,Chichester,65,2,2,2,55,4,1,131,280
Pontiac/Pontiac,50,L'Isle-aux-Allumettes,54,15,1,12,122,2,2,208,357
Pontiac/Pontiac,51,Chapeau,70,4,0,11,108,5,0,198,364
Pontiac/Pontiac,52,L'Isle-aux-Allumettes,84,6,0,11,96,1,0,198,385
Pontiac/Pontiac,53,Mansfield-et-Pontefract,10,23,0,9,44,3,0,89,265
Pontiac/Pontiac,54,Mansfield-et-Pontefract,31,16,0,6,98,0,1,152,384
Pontiac/Pontiac,55,Mansfield-et-Pontefract,59,48,0,7,64,2,1,181,449
Pontiac/Pontiac,56,Fort-Coulonge,32,22,0,5,72,2,2,135,326
Pontiac/Pontiac,57,Fort-Coulonge,19,14,0,3,47,1,1,85,246
Pontiac/Pontiac,58,Fort-Coulonge,26,47,0,16,72,4,2,167,369
Pontiac/Pontiac,59,Fort-Coulonge,35,19,2,9,68,1,1,135,383
Pontiac/Pontiac,60,Mansfield-et-Pontefract,13,11,0,2,43,0,0,69,226
Pontiac/Pontiac,61,Mansfield-et-Pontefract,35,21,0,5,68,3,1,133,379
Pontiac/Pontiac,62,Leslie-Clapham-et-Huddersfield,59,4,0,11,52,1,0,127,258
Pontiac/Pontiac,63,Leslie-Clapham-et-Huddersfield,95,11,1,12,120,2,1,242,507
Pontiac/Pontiac,64,Thorne,82,2,0,16,44,8,0,152,346
Pontiac/Pontiac,65,Clarendon,92,5,0,12,23,2,1,135,223
Pontiac/Pontiac,66,Clarendon,134,5,0,7,29,1,0,176,296
Pontiac/Pontiac,67,Vinton,67,6,0,17,61,1,0,152,254
Pontiac/Pontiac,68,Campbell's Bay,52,3,0,10,50,0,0,115,178
Pontiac/Pontiac,69,Campbell's Bay,150,35,0,20,104,5,0,314,586
Pontiac/Pontiac,70,Grand-Calumet,89,61,0,12,78,4,2,246,409
Pontiac/Pontiac,71,Grand-Calumet,35,25,0,7,23,3,0,93,175
Pontiac/Pontiac,72,Bryson,154,22,0,20,120,7,2,325,592
Pontiac/Pontiac,73,Portage-du-Fort,55,4,1,10,42,5,0,117,206
Pontiac/Pontiac,74,Litchfield,85,4,0,8,39,1,0,137,252
Pontiac/Pontiac,75,Shawville,119,3,0,19,48,0,1,190,381
Pontiac/Pontiac,76,Shawville,112,4,1,16,53,2,0,188,376
Pontiac/Pontiac,77,Shawville,89,4,0,9,50,3,0,155,298
Pontiac/Pontiac,78,Shawville,151,7,0,7,80,1,0,246,559
Pontiac/Pontiac,79,Clarendon,84,0,0,3,40,1,0,128,194
Pontiac/Pontiac,80,Lac-des-Loups,29,75,2,14,92,6,3,221,400
Pontiac/Pontiac,81,Sainte-Sophie--East Aldfield,40,58,1,5,45,5,3,157,303
Pontiac/Pontiac,82,Duclos,9,72,3,15,37,8,4,148,305
Pontiac/Pontiac,83,Wakefield,84,24,0,43,112,35,1,299,523
Pontiac/Pontiac,84,Masham,66,85,9,21,96,11,5,293,585
Pontiac/Pontiac,85,Masham,47,68,2,8,59,3,6,193,371
Pontiac/Pontiac,86,Masham,28,55,2,8,33,7,2,135,310
Pontiac/Pontiac,87,Masham,40,56,7,6,45,3,4,161,318
Pontiac/Pontiac,88,Masham,34,51,3,2,37,3,4,134,248
Pontiac/Pontiac,89,Wakefield,53,43,1,16,64,15,0,192,417
Pontiac/Pontiac,90,Wakefield,14,23,2,58,157,46,3,303,657
Pontiac/Pontiac,91,Wakefield,98,20,0,31,104,12,1,266,423
Pontiac/Pontiac,92,Wakefield,107,54,1,55,151,28,5,401,636
Pontiac/Pontiac,93,Bristol,80,6,1,16,49,7,0,159,260
Pontiac/Pontiac,94,Bristol,140,5,0,14,49,4,0,212,333
Pontiac/Pontiac,95,Bristol,71,6,0,16,57,1,0,151,253
Pontiac/Pontiac,96,Quyon,140,15,2,15,109,7,0,288,462
Pontiac/Pontiac,97A,Quyon,96,19,0,7,56,8,3,189,399
Pontiac/Pontiac,97B,Quyon,Merged with No. 80,,,,,,,,31
Pontiac/Pontiac,98,Quyon,127,9,0,10,110,12,1,269,443
