District,Poll Number,Poll Name,Reg Alcock,Rod Bruinooge,Ron Cameron,Catherine Green,Jane MacDiarmid,Rejected Ballots,Total Vote,Electors
Winnipeg South/Winnipeg-Sud,88,Winnipeg,67,34,3,27,3,0,134,317
Winnipeg South/Winnipeg-Sud,89,Winnipeg,134,59,7,33,0,0,233,392
Winnipeg South/Winnipeg-Sud,90,Winnipeg,128,82,7,30,4,0,251,380
Winnipeg South/Winnipeg-Sud,91,Winnipeg,162,88,4,30,3,0,287,427
Winnipeg South/Winnipeg-Sud,92,Winnipeg,180,104,5,60,6,3,358,595
Winnipeg South/Winnipeg-Sud,93,Winnipeg,143,56,12,28,3,1,243,462
Winnipeg South/Winnipeg-Sud,94,Winnipeg,90,48,6,23,1,0,168,297
Winnipeg South/Winnipeg-Sud,95,Winnipeg,124,83,8,33,6,0,254,382
Winnipeg South/Winnipeg-Sud,96,Winnipeg,136,75,10,27,2,0,250,391
Winnipeg South/Winnipeg-Sud,97,Winnipeg,156,103,10,20,4,0,293,426
Winnipeg South/Winnipeg-Sud,98,Winnipeg,182,100,13,38,1,0,334,470
Winnipeg South/Winnipeg-Sud,99,Winnipeg,119,62,15,42,2,0,240,393
Winnipeg South/Winnipeg-Sud,100,Winnipeg,63,49,3,45,1,0,161,347
Winnipeg South/Winnipeg-Sud,101,Winnipeg,85,81,6,19,1,0,192,319
Winnipeg South/Winnipeg-Sud,102,Winnipeg,87,63,11,22,0,0,183,316
Winnipeg South/Winnipeg-Sud,103,Winnipeg,114,90,6,57,2,1,270,426
Winnipeg South/Winnipeg-Sud,104,Winnipeg,99,29,4,17,3,5,157,385
Winnipeg South/Winnipeg-Sud,105,Winnipeg,154,86,9,29,3,0,281,411
Winnipeg South/Winnipeg-Sud,106,Winnipeg,127,91,9,48,0,0,275,460
Winnipeg South/Winnipeg-Sud,107,Winnipeg,119,75,19,41,5,0,259,430
Winnipeg South/Winnipeg-Sud,108,Winnipeg,71,44,5,40,0,1,161,358
Winnipeg South/Winnipeg-Sud,109,Winnipeg,68,58,4,36,1,0,167,417
Winnipeg South/Winnipeg-Sud,110,Winnipeg,105,48,4,27,2,0,186,389
Winnipeg South/Winnipeg-Sud,111,Winnipeg,118,63,9,37,0,2,229,400
Winnipeg South/Winnipeg-Sud,112,Winnipeg,92,52,12,36,1,1,194,389
Winnipeg South/Winnipeg-Sud,113,Winnipeg,74,60,4,14,2,0,154,301
Winnipeg South/Winnipeg-Sud,114,Winnipeg,152,117,7,41,5,0,322,492
Winnipeg South/Winnipeg-Sud,115,Winnipeg,76,83,5,34,0,3,201,360
Winnipeg South/Winnipeg-Sud,116,Winnipeg,104,70,2,32,3,0,211,345
Winnipeg South/Winnipeg-Sud,117,Winnipeg,120,82,6,38,7,0,253,467
Winnipeg South/Winnipeg-Sud,118,Winnipeg,123,85,11,32,1,1,253,430
Winnipeg South/Winnipeg-Sud,119,Winnipeg,156,80,6,39,1,1,283,490
Winnipeg South/Winnipeg-Sud,120,Winnipeg,167,71,11,31,0,0,280,507
Winnipeg South/Winnipeg-Sud,121,Winnipeg,118,39,8,38,3,0,206,377
Winnipeg South/Winnipeg-Sud,122,Winnipeg,150,76,2,24,1,2,255,365
Winnipeg South/Winnipeg-Sud,123,Winnipeg,167,63,1,32,2,0,265,429
Winnipeg South/Winnipeg-Sud,124,Winnipeg,103,89,4,48,3,0,247,420
Winnipeg South/Winnipeg-Sud,125,Winnipeg,66,59,5,29,2,1,162,320
Winnipeg South/Winnipeg-Sud,126,Winnipeg,176,95,5,41,3,0,320,500
Winnipeg South/Winnipeg-Sud,127,Winnipeg,78,52,7,26,1,0,164,285
Winnipeg South/Winnipeg-Sud,128,Winnipeg,69,57,5,29,2,0,162,268
Winnipeg South/Winnipeg-Sud,129,Winnipeg,161,95,11,39,6,0,312,485
Winnipeg South/Winnipeg-Sud,130,Winnipeg,91,80,4,17,1,0,193,268
