District,Poll Number,Poll Name,Robert Bouchard,Alcide Boudreault,Éric Dubois,André Harvey,Paul Tremblay,Rejected Ballots,Total Vote,Electors
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,56,Chicoutimi,66,4,12,48,3,3,136,317
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,57,Chicoutimi,62,3,9,43,3,2,122,218
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,58,Chicoutimi,68,3,4,91,5,0,171,333
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,59,Chicoutimi,104,4,3,120,2,12,245,481
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,60,Chicoutimi,96,10,6,140,5,7,264,409
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,61,Chicoutimi,91,6,5,99,4,3,208,369
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,62,Chicoutimi,87,15,9,90,9,3,213,346
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,63,Chicoutimi,67,7,7,54,5,2,142,302
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,64,Chicoutimi,74,4,4,114,3,5,204,339
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,65,Chicoutimi,73,3,12,56,2,1,147,321
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,66,Chicoutimi,123,9,7,64,3,0,206,485
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,67,Chicoutimi,122,6,7,102,3,5,245,471
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,68,Chicoutimi,150,9,4,132,13,6,314,533
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,69,Chicoutimi,137,13,9,146,7,4,316,627
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,70,Chicoutimi,74,8,7,50,4,4,147,297
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,71,Chicoutimi,80,7,5,64,4,2,162,382
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,72,Chicoutimi,52,6,6,61,3,3,131,289
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,73,Chicoutimi,40,2,9,58,0,0,109,297
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,74A,Chicoutimi,69,3,9,45,5,3,134,373
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,74B,Chicoutimi,63,7,9,84,3,1,167,385
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,75,Chicoutimi,67,7,5,58,4,1,142,340
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,76,Chicoutimi,71,6,5,64,6,1,153,388
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,77,Chicoutimi,93,9,15,60,4,2,183,462
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,78,Chicoutimi,98,11,9,62,3,4,187,411
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,79,Chicoutimi,89,7,13,57,4,0,170,359
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,80,Chicoutimi,92,4,12,46,5,4,163,416
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,81,Chicoutimi,30,2,5,35,1,2,75,142
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,82,Chicoutimi,101,8,12,103,3,4,231,522
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,83,Chicoutimi,58,6,14,77,6,3,164,327
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,84,Chicoutimi,75,5,8,84,5,0,177,384
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,85,Chicoutimi,94,2,12,55,3,2,168,427
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,86,Chicoutimi,125,15,4,130,4,5,283,447
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,87,Chicoutimi,100,12,12,109,9,3,245,378
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,88,Chicoutimi,59,3,6,70,3,2,143,276
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,89,Chicoutimi,92,10,4,130,3,3,242,401
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,90,Chicoutimi,102,9,6,98,12,5,232,396
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,91,Chicoutimi,70,6,5,65,2,6,154,278
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,92,Chicoutimi,53,6,10,136,2,4,211,425
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,93,Chicoutimi,98,10,6,104,8,6,232,404
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,94,Chicoutimi,122,14,6,120,4,4,270,491
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,95,Chicoutimi,79,5,10,134,9,3,240,423
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,96,Chicoutimi,96,7,13,115,1,6,238,370
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,97,Chicoutimi,103,12,17,141,4,7,284,456
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,98,Chicoutimi,95,6,7,77,5,5,195,338
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,99,Chicoutimi,61,12,6,118,2,3,202,371
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,100,Chicoutimi,106,9,7,114,3,6,245,473
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,101,Chicoutimi,88,11,5,114,2,7,227,392
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,102,Chicoutimi,70,7,12,63,1,4,157,369
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,103,Chicoutimi,72,4,6,106,4,1,193,395
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,104,Chicoutimi,63,10,2,67,2,2,146,324
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,105,Chicoutimi,90,15,10,65,4,1,185,322
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,106,Chicoutimi,79,9,8,93,3,4,196,336
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,107,Chicoutimi,69,11,4,81,1,3,169,279
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,108,Chicoutimi,52,7,7,58,4,3,131,285
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,109,Chicoutimi,100,13,8,65,1,5,192,340
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,110,Chicoutimi,62,0,4,36,4,1,107,252
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,111,Chicoutimi,64,4,2,77,2,3,152,276
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,112,Chicoutimi,97,6,9,76,4,5,197,339
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,113,Chicoutimi,53,5,8,78,5,2,151,284
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,114,Chicoutimi,70,9,9,84,3,2,177,381
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,115,Chicoutimi,52,4,4,69,1,1,131,345
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,116,Chicoutimi,130,9,12,173,4,10,338,540
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,117,Chicoutimi,75,6,4,73,2,4,164,295
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,118,Chicoutimi,80,13,6,92,1,3,195,448
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,119,Chicoutimi,75,8,6,87,3,3,182,349
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,120,Chicoutimi,96,14,17,85,5,7,224,380
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,121,Chicoutimi,86,11,8,76,2,3,186,329
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,122,Chicoutimi,127,14,8,136,6,4,295,463
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,123,Chicoutimi,87,16,17,99,5,8,232,429
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,124,Chicoutimi,125,9,9,154,2,0,299,581
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,125,Chicoutimi,96,9,6,186,0,3,300,446
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,126,Chicoutimi,120,17,8,161,5,4,315,630
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,127,Chicoutimi,96,9,6,161,2,4,278,435
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,128,Chicoutimi,94,11,9,200,5,0,319,473
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,129,Chicoutimi,125,15,7,161,8,6,322,553
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,130,Chicoutimi,141,10,8,79,6,9,253,409
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,131,Chicoutimi,184,15,20,131,10,22,382,612
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,132,Chicoutimi,101,10,7,81,5,5,209,359
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,133,Chicoutimi,79,11,8,54,3,4,159,270
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,134,Chicoutimi,91,11,9,90,4,4,209,372
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,135,Chicoutimi,84,4,7,87,5,1,188,323
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,136,Chicoutimi,111,10,6,88,3,3,221,392
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,137,Chicoutimi,143,16,16,76,7,2,260,458
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,138,Chicoutimi,117,10,6,79,1,3,216,406
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,139,Chicoutimi,97,11,5,65,5,6,189,336
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,140,Chicoutimi,98,9,8,86,8,0,209,389
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,141,Chicoutimi,93,9,14,82,3,5,206,348
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,142,Chicoutimi,62,8,5,97,2,2,176,287
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,143,Chicoutimi,130,10,4,96,3,3,246,400
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,144,Chicoutimi,79,8,3,79,3,5,177,276
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,145,Laterrière,73,17,5,73,12,1,181,315
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,146,Laterrière,118,15,17,108,8,4,270,492
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,147,Laterrière,135,14,13,107,12,4,285,499
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,148,Laterrière,112,14,7,74,6,4,217,416
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,149,Laterrière,86,8,4,55,3,5,161,313
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,150,Laterrière,84,15,6,49,1,1,156,430
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,151,Laterrière,132,8,12,73,8,7,240,510
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,152,Laterrière,206,11,25,129,10,6,387,664
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,153,Laterrière,129,21,13,98,4,4,269,530
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,154,La Baie,60,7,4,78,4,4,157,351
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,155,La Baie,86,11,4,56,1,5,163,330
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,156,La Baie,95,17,4,92,3,7,218,467
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,157,La Baie,46,35,6,65,11,5,168,576
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,158,La Baie,82,12,3,74,3,4,178,481
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,159,La Baie,60,6,6,45,1,9,127,245
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,160,La Baie,120,19,11,90,10,8,258,564
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,161,La Baie,144,21,10,101,8,6,290,577
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,162,Saint-Félix-d'Otis,172,22,10,151,12,7,374,698
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,163A,Ferland,92,12,4,59,5,6,178,317
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,163B,Ferland,40,5,0,24,2,3,74,133
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,164,La Baie,88,13,10,114,12,5,242,457
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,165,La Baie,74,5,8,91,6,5,189,332
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,166,La Baie,55,4,0,71,5,2,137,307
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,167,La Baie,66,6,7,60,0,2,141,277
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,168A,La Baie,90,15,11,104,3,4,227,409
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,168B,La Baie,82,18,8,78,5,2,193,384
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,169,La Baie,110,15,6,113,5,6,255,493
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,170,La Baie,77,9,3,110,8,4,211,390
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,171,La Baie,84,9,9,109,2,7,220,404
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,172,La Baie,69,8,8,83,3,6,177,337
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,173,La Baie,54,8,3,71,0,4,140,283
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,174,La Baie,48,13,8,101,4,7,181,330
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,175,La Baie,82,17,7,95,5,4,210,430
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,176,La Baie,66,15,9,72,2,6,170,349
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,177,La Baie,61,14,2,40,1,4,122,248
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,178,La Baie,77,5,5,59,4,3,153,295
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,179,La Baie,81,15,11,82,4,6,199,399
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,180,La Baie,80,6,5,46,3,0,140,296
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,181,La Baie,61,9,4,46,2,4,126,235
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,182,La Baie,72,15,4,89,8,4,192,374
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,183,La Baie,69,6,3,74,7,6,165,341
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,184,La Baie,50,13,2,78,2,2,147,295
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,185,La Baie,150,17,15,166,6,6,360,573
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,186,La Baie,91,26,7,145,11,2,282,608
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,187,La Baie,62,10,3,104,4,5,188,330
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,188,La Baie,96,13,12,85,2,10,218,428
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,189,La Baie,66,12,2,60,2,2,144,275
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,190,La Baie,62,10,6,58,6,3,145,257
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,191,La Baie,65,15,4,82,2,6,174,351
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,192,La Baie,101,12,6,86,5,3,213,354
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,193A,La Baie,84,16,2,106,1,6,215,372
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,193B,La Baie,78,5,5,86,2,5,181,374
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,194,Rivière-Éternité,78,18,3,118,4,6,227,408
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,195,L'Anse-Saint-Jean,46,7,10,94,5,5,167,392
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,196,L'Anse-Saint-Jean,56,6,16,58,5,4,145,253
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,197,L'Anse-Saint-Jean,45,5,9,103,4,1,167,315
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,198,Petit-Saguenay,86,10,6,71,2,2,177,285
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,199,Petit-Saguenay,82,19,5,77,5,8,196,352
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,500,Mobile poll/Bureau itinérant,23,3,0,22,0,1,49,104
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,501,Mobile poll/Bureau itinérant,8,0,1,21,0,4,34,97
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,600,Mont-Valin,Void,,,,,,,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,601,Sainte-Rose-du-Nord--Saint-Fulgence,51,6,3,27,2,0,89,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,602,Saint-Honoré,113,13,3,72,5,1,207,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,603,Saguenay,148,21,5,83,8,3,268,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,604,Saguenay,137,15,9,130,3,4,298,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,605,Saguenay,94,8,6,165,7,3,283,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,606,Saguenay,112,6,15,173,10,7,323,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,607,Saguenay,137,17,7,165,5,2,333,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,608,Saguenay,130,24,11,245,7,8,425,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,609,Saguenay,196,19,13,211,5,8,452,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,610,Saguenay,32,1,2,19,1,0,55,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,611,Laterrière,84,8,11,68,2,2,175,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,612,La Baie,34,25,2,45,6,0,112,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,613,Saguenay,117,11,2,168,4,7,309,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,614,Saguenay,106,21,16,133,7,4,287,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,615,Saguenay,28,4,5,42,1,1,81,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,,Group 1/Groupe 1,95,86,17,67,15,9,289,796
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,,Group 2/Groupe 2,304,44,28,697,10,30,1113,
