District,Poll Number,Poll Name,Diane Ablonczy,Vinay Dey,Ted Haney,Richard Larson,Rejected Ballots,Total Vote,Electors
Calgary--Nose Hill/Calgary--Nose Hill,64,Calgary,214,18,72,16,1,321,579
Calgary--Nose Hill/Calgary--Nose Hill,65,Calgary,138,11,37,8,0,194,373
Calgary--Nose Hill/Calgary--Nose Hill,66,Calgary,111,4,33,13,2,163,265
Calgary--Nose Hill/Calgary--Nose Hill,67,Calgary,219,12,59,10,1,301,615
Calgary--Nose Hill/Calgary--Nose Hill,68,Calgary,121,13,51,11,0,196,344
Calgary--Nose Hill/Calgary--Nose Hill,69,Calgary,145,8,69,9,0,231,442
Calgary--Nose Hill/Calgary--Nose Hill,70,Calgary,66,3,19,3,0,91,213
Calgary--Nose Hill/Calgary--Nose Hill,71A,Calgary,116,6,36,9,0,167,295
Calgary--Nose Hill/Calgary--Nose Hill,71B,Calgary,110,7,33,3,0,153,286
Calgary--Nose Hill/Calgary--Nose Hill,72A,Calgary,99,5,66,0,0,170,302
Calgary--Nose Hill/Calgary--Nose Hill,72B,Calgary,125,3,52,3,1,184,355
Calgary--Nose Hill/Calgary--Nose Hill,73,Calgary,87,6,35,3,0,131,243
Calgary--Nose Hill/Calgary--Nose Hill,74,Calgary,113,4,50,5,0,172,339
Calgary--Nose Hill/Calgary--Nose Hill,75,Calgary,134,15,77,3,0,229,476
Calgary--Nose Hill/Calgary--Nose Hill,76A,Calgary,86,8,64,5,1,164,322
Calgary--Nose Hill/Calgary--Nose Hill,76B,Calgary,61,7,59,7,0,134,318
Calgary--Nose Hill/Calgary--Nose Hill,77,Calgary,93,7,101,7,1,209,372
Calgary--Nose Hill/Calgary--Nose Hill,78,Calgary,130,14,64,11,0,219,456
Calgary--Nose Hill/Calgary--Nose Hill,79A,Calgary,82,8,68,7,0,165,293
Calgary--Nose Hill/Calgary--Nose Hill,79B,Calgary,64,13,42,2,0,121,223
Calgary--Nose Hill/Calgary--Nose Hill,80,Calgary,54,9,36,7,0,106,308
Calgary--Nose Hill/Calgary--Nose Hill,81,Calgary,165,25,102,19,2,313,295
Calgary--Nose Hill/Calgary--Nose Hill,82,Calgary,159,14,76,20,1,270,473
Calgary--Nose Hill/Calgary--Nose Hill,83,Calgary,209,22,144,19,0,394,735
Calgary--Nose Hill/Calgary--Nose Hill,84,Calgary,Merged with No. 87,,,,,,231
Calgary--Nose Hill/Calgary--Nose Hill,85,Calgary,140,11,68,14,0,233,488
Calgary--Nose Hill/Calgary--Nose Hill,86,Calgary,Merged with No. 81,,,,,,251
Calgary--Nose Hill/Calgary--Nose Hill,87,Calgary,187,22,76,8,0,293,311
Calgary--Nose Hill/Calgary--Nose Hill,88,Calgary,180,9,40,10,1,240,358
Calgary--Nose Hill/Calgary--Nose Hill,89A,Calgary,79,14,35,19,0,147,256
Calgary--Nose Hill/Calgary--Nose Hill,89B,Calgary,101,7,46,13,1,168,305
Calgary--Nose Hill/Calgary--Nose Hill,90A,Calgary,104,3,36,7,0,150,258
Calgary--Nose Hill/Calgary--Nose Hill,90B,Calgary,95,4,46,6,0,151,262
Calgary--Nose Hill/Calgary--Nose Hill,91,Calgary,139,11,50,11,0,211,400
Calgary--Nose Hill/Calgary--Nose Hill,92A,Calgary,76,4,53,6,3,142,242
Calgary--Nose Hill/Calgary--Nose Hill,92B,Calgary,83,5,63,11,0,162,307
Calgary--Nose Hill/Calgary--Nose Hill,93,Calgary,125,7,78,5,0,215,427
Calgary--Nose Hill/Calgary--Nose Hill,94A,Calgary,61,8,29,5,0,103,233
Calgary--Nose Hill/Calgary--Nose Hill,94B,Calgary,93,6,40,2,0,141,255
Calgary--Nose Hill/Calgary--Nose Hill,95,Calgary,102,8,50,6,0,166,353
Calgary--Nose Hill/Calgary--Nose Hill,96,Calgary,151,16,70,22,0,259,427
Calgary--Nose Hill/Calgary--Nose Hill,97,Calgary,125,19,74,17,0,235,404
Calgary--Nose Hill/Calgary--Nose Hill,98,Calgary,83,12,37,14,0,146,285
Calgary--Nose Hill/Calgary--Nose Hill,99,Calgary,96,15,31,12,0,154,274
Calgary--Nose Hill/Calgary--Nose Hill,100A,Calgary,107,6,36,5,1,155,265
Calgary--Nose Hill/Calgary--Nose Hill,100B,Calgary,115,17,49,7,0,188,315
Calgary--Nose Hill/Calgary--Nose Hill,101,Calgary,77,7,24,5,1,114,289
Calgary--Nose Hill/Calgary--Nose Hill,102A,Calgary,148,17,80,8,2,255,396
Calgary--Nose Hill/Calgary--Nose Hill,102B,Mobile poll/Bureau itinérant,125,12,56,5,1,199,129
Calgary--Nose Hill/Calgary--Nose Hill,103A,Calgary,116,13,47,5,1,182,310
Calgary--Nose Hill/Calgary--Nose Hill,103B,Calgary,96,5,33,7,0,141,226
Calgary--Nose Hill/Calgary--Nose Hill,104,Calgary,157,10,48,20,0,235,421
Calgary--Nose Hill/Calgary--Nose Hill,105,Calgary,84,15,54,17,0,170,322
Calgary--Nose Hill/Calgary--Nose Hill,106,Calgary,152,18,64,25,0,259,435
Calgary--Nose Hill/Calgary--Nose Hill,107A,Calgary,125,11,46,10,0,192,284
Calgary--Nose Hill/Calgary--Nose Hill,107B,Calgary,103,9,40,6,0,158,250
Calgary--Nose Hill/Calgary--Nose Hill,108,Calgary,140,14,48,17,0,219,390
Calgary--Nose Hill/Calgary--Nose Hill,109,Calgary,156,25,56,24,1,262,404
Calgary--Nose Hill/Calgary--Nose Hill,110A,Calgary,108,9,42,10,0,169,245
Calgary--Nose Hill/Calgary--Nose Hill,110B,Calgary,93,10,42,10,0,155,224
Calgary--Nose Hill/Calgary--Nose Hill,111,Calgary,155,17,66,21,1,260,378
Calgary--Nose Hill/Calgary--Nose Hill,112,Calgary,116,25,68,20,1,230,374
Calgary--Nose Hill/Calgary--Nose Hill,113,Calgary,132,23,62,30,1,248,377
Calgary--Nose Hill/Calgary--Nose Hill,114,Calgary,158,24,75,23,1,281,434
Calgary--Nose Hill/Calgary--Nose Hill,115,Calgary,124,15,54,13,1,207,342
Calgary--Nose Hill/Calgary--Nose Hill,116,Calgary,130,24,48,26,1,229,349
Calgary--Nose Hill/Calgary--Nose Hill,117,Calgary,139,24,48,21,0,232,339
Calgary--Nose Hill/Calgary--Nose Hill,118,Calgary,154,18,44,31,1,248,357
Calgary--Nose Hill/Calgary--Nose Hill,119,Calgary,126,15,44,23,1,209,321
Calgary--Nose Hill/Calgary--Nose Hill,120,Calgary,101,29,50,22,0,202,509
Calgary--Nose Hill/Calgary--Nose Hill,121,Calgary,60,19,27,12,2,120,285
Calgary--Nose Hill/Calgary--Nose Hill,122,Calgary,84,10,32,8,0,134,266
Calgary--Nose Hill/Calgary--Nose Hill,123,Calgary,160,22,50,35,0,267,405
Calgary--Nose Hill/Calgary--Nose Hill,124,Calgary,153,24,49,15,0,241,364
Calgary--Nose Hill/Calgary--Nose Hill,125,Calgary,63,11,44,14,0,132,278
Calgary--Nose Hill/Calgary--Nose Hill,126,Calgary,107,23,51,25,1,207,422
Calgary--Nose Hill/Calgary--Nose Hill,127A,Calgary,164,20,48,10,1,243,388
Calgary--Nose Hill/Calgary--Nose Hill,127B,Calgary,153,13,37,9,0,212,366
Calgary--Nose Hill/Calgary--Nose Hill,128A,Calgary,119,11,52,13,0,195,323
Calgary--Nose Hill/Calgary--Nose Hill,128B,Calgary,125,23,42,7,0,197,304
Calgary--Nose Hill/Calgary--Nose Hill,129A,Calgary,135,15,40,14,0,204,326
Calgary--Nose Hill/Calgary--Nose Hill,129B,Calgary,128,10,33,10,1,182,318
Calgary--Nose Hill/Calgary--Nose Hill,130,Calgary,186,18,57,13,1,275,551
Calgary--Nose Hill/Calgary--Nose Hill,131A,Calgary,111,17,54,7,0,189,384
Calgary--Nose Hill/Calgary--Nose Hill,131B,Calgary,121,13,35,4,0,173,388
Calgary--Nose Hill/Calgary--Nose Hill,131C,Calgary,144,10,45,7,2,208,421
Calgary--Nose Hill/Calgary--Nose Hill,132,Calgary,161,23,52,17,0,253,478
Calgary--Nose Hill/Calgary--Nose Hill,133A,Calgary,99,12,28,10,0,149,293
Calgary--Nose Hill/Calgary--Nose Hill,133B,Calgary,107,11,13,8,0,139,323
Calgary--Nose Hill/Calgary--Nose Hill,134,Calgary,119,9,29,19,3,179,349
Calgary--Nose Hill/Calgary--Nose Hill,135,Calgary,157,13,50,6,0,226,489
Calgary--Nose Hill/Calgary--Nose Hill,136,Calgary,89,18,26,7,0,140,286
Calgary--Nose Hill/Calgary--Nose Hill,137,Calgary,129,18,47,12,1,207,388
Calgary--Nose Hill/Calgary--Nose Hill,138,Calgary,132,5,37,5,0,179,344
Calgary--Nose Hill/Calgary--Nose Hill,139A,Calgary,106,8,37,9,1,161,273
Calgary--Nose Hill/Calgary--Nose Hill,139B,Calgary,84,4,17,9,0,114,241
Calgary--Nose Hill/Calgary--Nose Hill,140,Calgary,178,24,49,11,0,262,485
Calgary--Nose Hill/Calgary--Nose Hill,141A,Calgary,85,10,33,19,0,147,278
Calgary--Nose Hill/Calgary--Nose Hill,141B,Calgary,82,9,27,9,0,127,249
Calgary--Nose Hill/Calgary--Nose Hill,142A,Calgary,76,4,25,7,0,112,253
Calgary--Nose Hill/Calgary--Nose Hill,142B,Calgary,80,11,17,15,0,123,234
Calgary--Nose Hill/Calgary--Nose Hill,143A,Calgary,89,7,31,8,0,135,290
Calgary--Nose Hill/Calgary--Nose Hill,143B,Calgary,98,8,38,10,1,155,281
Calgary--Nose Hill/Calgary--Nose Hill,144A,Calgary,97,4,34,4,0,139,269
Calgary--Nose Hill/Calgary--Nose Hill,144B,Calgary,121,7,42,2,1,173,333
Calgary--Nose Hill/Calgary--Nose Hill,145,Calgary,139,14,60,10,0,223,480
Calgary--Nose Hill/Calgary--Nose Hill,146A,Calgary,81,6,42,3,0,132,287
Calgary--Nose Hill/Calgary--Nose Hill,146B,Calgary,125,10,26,2,2,165,328
Calgary--Nose Hill/Calgary--Nose Hill,147A,Calgary,119,9,48,8,0,184,380
Calgary--Nose Hill/Calgary--Nose Hill,147B,Calgary,92,4,39,5,0,140,306
Calgary--Nose Hill/Calgary--Nose Hill,148A,Calgary,86,11,33,5,0,135,274
Calgary--Nose Hill/Calgary--Nose Hill,148B,Calgary,93,9,33,1,0,136,305
Calgary--Nose Hill/Calgary--Nose Hill,149,Calgary,77,6,23,7,1,114,256
Calgary--Nose Hill/Calgary--Nose Hill,150A,Calgary,110,10,11,4,0,135,273
Calgary--Nose Hill/Calgary--Nose Hill,150B,Calgary,115,12,23,12,1,163,300
Calgary--Nose Hill/Calgary--Nose Hill,151A,Calgary,122,16,24,6,1,169,318
Calgary--Nose Hill/Calgary--Nose Hill,151B,Calgary,96,35,11,14,2,158,326
Calgary--Nose Hill/Calgary--Nose Hill,152A,Calgary,151,11,38,8,1,209,347
Calgary--Nose Hill/Calgary--Nose Hill,152B,Calgary,149,14,37,8,1,209,378
Calgary--Nose Hill/Calgary--Nose Hill,153,Calgary,111,2,55,4,0,172,364
Calgary--Nose Hill/Calgary--Nose Hill,154A,Calgary,62,7,48,5,0,122,269
Calgary--Nose Hill/Calgary--Nose Hill,154B,Calgary,78,6,38,5,0,127,286
Calgary--Nose Hill/Calgary--Nose Hill,155,Calgary,111,23,29,12,2,177,365
Calgary--Nose Hill/Calgary--Nose Hill,156,Calgary,122,8,39,7,0,176,339
Calgary--Nose Hill/Calgary--Nose Hill,157A,Calgary,75,9,48,9,0,141,290
Calgary--Nose Hill/Calgary--Nose Hill,157B,Calgary,70,16,42,2,1,131,275
Calgary--Nose Hill/Calgary--Nose Hill,158,Calgary,139,9,56,9,1,214,365
Calgary--Nose Hill/Calgary--Nose Hill,159,Calgary,156,15,72,16,1,260,480
Calgary--Nose Hill/Calgary--Nose Hill,160,Calgary,164,14,63,18,0,259,489
Calgary--Nose Hill/Calgary--Nose Hill,161A,Calgary,80,17,29,7,1,134,292
Calgary--Nose Hill/Calgary--Nose Hill,161B,Calgary,49,9,39,7,0,104,292
Calgary--Nose Hill/Calgary--Nose Hill,162,Calgary,158,15,58,16,1,248,492
Calgary--Nose Hill/Calgary--Nose Hill,163,Calgary,173,12,41,12,0,238,423
Calgary--Nose Hill/Calgary--Nose Hill,164,Calgary,174,6,46,18,0,244,399
Calgary--Nose Hill/Calgary--Nose Hill,165,Calgary,139,17,48,20,0,224,391
Calgary--Nose Hill/Calgary--Nose Hill,166,Calgary,163,16,53,16,2,250,398
Calgary--Nose Hill/Calgary--Nose Hill,167,Calgary,111,14,30,7,1,163,297
Calgary--Nose Hill/Calgary--Nose Hill,168,Calgary,160,11,38,16,0,225,368
Calgary--Nose Hill/Calgary--Nose Hill,169,Calgary,90,13,13,16,0,132,278
Calgary--Nose Hill/Calgary--Nose Hill,170,Calgary,163,23,45,11,4,246,439
Calgary--Nose Hill/Calgary--Nose Hill,171A,Calgary,107,15,38,10,0,170,305
Calgary--Nose Hill/Calgary--Nose Hill,171B,Calgary,91,5,33,7,0,136,255
Calgary--Nose Hill/Calgary--Nose Hill,172,Calgary,174,13,64,19,0,270,484
Calgary--Nose Hill/Calgary--Nose Hill,400,Calgary,Void,,,,,,
Calgary--Nose Hill/Calgary--Nose Hill,600,Calgary,551,43,132,33,3,762,
Calgary--Nose Hill/Calgary--Nose Hill,601,Calgary,382,26,100,16,2,526,
Calgary--Nose Hill/Calgary--Nose Hill,602,Calgary,373,24,111,20,0,528,
Calgary--Nose Hill/Calgary--Nose Hill,603,Calgary,555,36,171,26,3,791,
Calgary--Nose Hill/Calgary--Nose Hill,604,Calgary,319,25,110,29,2,485,
Calgary--Nose Hill/Calgary--Nose Hill,605,Calgary,225,22,76,27,1,351,
Calgary--Nose Hill/Calgary--Nose Hill,606,Calgary,312,30,88,14,0,444,
Calgary--Nose Hill/Calgary--Nose Hill,,Group 1/Groupe 1,50,8,26,3,1,88,154
Calgary--Nose Hill/Calgary--Nose Hill,,Group 2/Groupe 2,502,43,132,35,8,720,
