District,Poll Number,Poll Name,Sarmite (Sam) Bulte,Lorne Gershuny,Jurij Klufas,Peggy Nash,Terry Parker,Neil Spiegel,Rejected Ballots,Total Vote,Electors
Parkdale--High Park/Parkdale--High Park,1,York,162,2,26,104,1,6,4,305,631
Parkdale--High Park/Parkdale--High Park,2,York,60,1,32,69,1,9,3,175,401
Parkdale--High Park/Parkdale--High Park,3,York,112,2,51,90,1,13,0,269,453
Parkdale--High Park/Parkdale--High Park,4,York,81,1,52,83,1,14,0,232,354
Parkdale--High Park/Parkdale--High Park,5,York,52,1,36,70,2,13,0,174,293
Parkdale--High Park/Parkdale--High Park,6,York,106,0,42,52,3,17,0,220,364
Parkdale--High Park/Parkdale--High Park,7,York,105,0,42,69,4,17,1,238,354
Parkdale--High Park/Parkdale--High Park,8,York,70,4,34,88,4,4,1,205,349
Parkdale--High Park/Parkdale--High Park,9,York,127,0,47,77,3,23,2,279,470
Parkdale--High Park/Parkdale--High Park,10,York,152,1,65,89,3,22,0,332,512
Parkdale--High Park/Parkdale--High Park,11,York,121,0,39,46,2,8,0,216,328
Parkdale--High Park/Parkdale--High Park,12,York,79,0,46,68,1,19,0,213,326
Parkdale--High Park/Parkdale--High Park,13,York,95,0,107,19,2,7,1,231,346
Parkdale--High Park/Parkdale--High Park,14,York,121,0,52,32,1,15,1,222,333
Parkdale--High Park/Parkdale--High Park,15,York,142,0,77,83,2,17,1,322,490
Parkdale--High Park/Parkdale--High Park,16,Toronto,57,1,24,48,2,14,0,146,246
Parkdale--High Park/Parkdale--High Park,17,Toronto,141,0,62,61,3,10,2,279,394
Parkdale--High Park/Parkdale--High Park,18,York,117,0,57,68,5,17,0,264,443
Parkdale--High Park/Parkdale--High Park,19,York,155,0,67,66,1,19,1,309,476
Parkdale--High Park/Parkdale--High Park,20,York,189,0,76,90,4,34,1,394,589
Parkdale--High Park/Parkdale--High Park,21,Toronto,80,0,31,34,0,18,0,163,256
Parkdale--High Park/Parkdale--High Park,22,Toronto,92,0,26,49,3,6,0,176,269
Parkdale--High Park/Parkdale--High Park,23,Toronto,140,0,66,41,1,15,0,263,446
