District,Poll Number,Poll Name,Dana Green,Péter Pál Horváth,Peter Julian,Revel Kunz,Mary Pynenburg,Mike Redmond,Rejected Ballots,Total Vote,Electors
Burnaby--New Westminster/Burnaby--New Westminster,1,Burnaby,0,0,70,5,59,57,2,193,386
Burnaby--New Westminster/Burnaby--New Westminster,2,Burnaby,0,0,51,6,70,42,0,169,363
Burnaby--New Westminster/Burnaby--New Westminster,3,Burnaby,1,1,53,2,72,32,2,163,385
Burnaby--New Westminster/Burnaby--New Westminster,4,Burnaby,0,1,45,4,34,28,0,112,302
Burnaby--New Westminster/Burnaby--New Westminster,5,Burnaby,0,1,48,7,96,77,0,229,474
Burnaby--New Westminster/Burnaby--New Westminster,6,Burnaby,2,1,65,12,41,27,1,149,336
Burnaby--New Westminster/Burnaby--New Westminster,7,Burnaby,1,0,74,5,78,61,0,219,406
Burnaby--New Westminster/Burnaby--New Westminster,8,Burnaby,0,0,70,3,48,51,1,173,295
Burnaby--New Westminster/Burnaby--New Westminster,9,Burnaby,1,0,47,4,48,33,1,134,242
Burnaby--New Westminster/Burnaby--New Westminster,10,Burnaby,1,1,33,2,35,42,2,116,237
Burnaby--New Westminster/Burnaby--New Westminster,11,Burnaby,3,1,78,3,85,67,0,237,405
Burnaby--New Westminster/Burnaby--New Westminster,12,Burnaby,1,0,46,3,34,39,2,125,256
Burnaby--New Westminster/Burnaby--New Westminster,13,Burnaby,1,0,53,6,37,34,0,131,284
Burnaby--New Westminster/Burnaby--New Westminster,14,Burnaby,1,0,68,7,47,44,0,167,311
Burnaby--New Westminster/Burnaby--New Westminster,15,Burnaby,3,1,49,6,40,24,0,123,279
Burnaby--New Westminster/Burnaby--New Westminster,16,Burnaby,0,1,52,3,21,9,0,86,243
Burnaby--New Westminster/Burnaby--New Westminster,17,Burnaby,2,1,60,6,40,35,0,144,310
Burnaby--New Westminster/Burnaby--New Westminster,18,Burnaby,1,0,59,2,22,20,2,106,267
Burnaby--New Westminster/Burnaby--New Westminster,19,Burnaby,5,3,66,5,36,40,3,158,317
Burnaby--New Westminster/Burnaby--New Westminster,20,Burnaby,0,0,66,8,44,33,1,152,294
Burnaby--New Westminster/Burnaby--New Westminster,21,Burnaby,0,0,36,4,95,82,1,218,585
Burnaby--New Westminster/Burnaby--New Westminster,22,Burnaby,2,2,54,5,89,70,1,223,487
Burnaby--New Westminster/Burnaby--New Westminster,23,Burnaby,1,0,95,11,88,66,0,261,361
Burnaby--New Westminster/Burnaby--New Westminster,24,Burnaby,0,0,76,10,101,90,0,277,451
Burnaby--New Westminster/Burnaby--New Westminster,25,Burnaby,1,0,53,11,72,77,1,215,434
Burnaby--New Westminster/Burnaby--New Westminster,26,Burnaby,3,0,56,5,74,71,1,210,404
Burnaby--New Westminster/Burnaby--New Westminster,27,Burnaby,3,1,117,6,113,83,0,323,504
Burnaby--New Westminster/Burnaby--New Westminster,28,Burnaby,3,1,58,19,64,81,1,227,358
Burnaby--New Westminster/Burnaby--New Westminster,29,Burnaby,1,0,86,8,127,81,0,303,505
Burnaby--New Westminster/Burnaby--New Westminster,30,Burnaby,3,0,74,6,78,95,2,258,418
Burnaby--New Westminster/Burnaby--New Westminster,31,Burnaby,1,1,81,15,89,57,0,244,411
Burnaby--New Westminster/Burnaby--New Westminster,32,Burnaby,2,0,57,22,81,90,1,253,405
Burnaby--New Westminster/Burnaby--New Westminster,33,Burnaby,0,1,66,12,74,128,1,282,422
Burnaby--New Westminster/Burnaby--New Westminster,34,Burnaby,2,0,50,10,74,79,0,215,360
Burnaby--New Westminster/Burnaby--New Westminster,35,Burnaby,1,1,55,12,72,67,0,208,359
Burnaby--New Westminster/Burnaby--New Westminster,36,Burnaby,3,1,41,8,94,37,0,184,347
Burnaby--New Westminster/Burnaby--New Westminster,37,Burnaby,2,1,56,10,58,60,1,188,369
Burnaby--New Westminster/Burnaby--New Westminster,38,Burnaby,0,1,83,17,62,66,1,230,399
Burnaby--New Westminster/Burnaby--New Westminster,39,Burnaby,1,0,86,13,114,75,2,291,529
Burnaby--New Westminster/Burnaby--New Westminster,40,Burnaby,5,2,62,13,59,43,2,186,346
Burnaby--New Westminster/Burnaby--New Westminster,41,Burnaby,2,0,16,4,52,31,1,106,226
Burnaby--New Westminster/Burnaby--New Westminster,42,Burnaby,1,0,50,6,77,71,3,208,445
Burnaby--New Westminster/Burnaby--New Westminster,43,Burnaby,3,0,50,6,40,39,1,139,303
Burnaby--New Westminster/Burnaby--New Westminster,44,Burnaby,Void,,,,,,,,
Burnaby--New Westminster/Burnaby--New Westminster,45,Burnaby,2,0,34,7,96,85,0,224,390
Burnaby--New Westminster/Burnaby--New Westminster,46,Burnaby,1,1,55,6,81,64,0,208,486
Burnaby--New Westminster/Burnaby--New Westminster,47,Burnaby,2,0,61,3,66,29,0,161,316
Burnaby--New Westminster/Burnaby--New Westminster,48,Burnaby,1,1,69,7,38,30,1,147,308
Burnaby--New Westminster/Burnaby--New Westminster,49,Burnaby,0,0,44,4,24,26,0,98,259
Burnaby--New Westminster/Burnaby--New Westminster,50,Burnaby,0,1,57,4,36,28,1,127,304
Burnaby--New Westminster/Burnaby--New Westminster,51,Burnaby,2,0,54,8,39,38,1,142,390
Burnaby--New Westminster/Burnaby--New Westminster,52,Burnaby,2,1,80,6,65,42,0,196,404
Burnaby--New Westminster/Burnaby--New Westminster,53,Burnaby,1,1,56,8,53,47,0,166,331
Burnaby--New Westminster/Burnaby--New Westminster,54,Burnaby,4,0,55,9,70,60,0,198,378
Burnaby--New Westminster/Burnaby--New Westminster,55,Burnaby,1,0,61,4,102,75,3,246,446
Burnaby--New Westminster/Burnaby--New Westminster,56,Burnaby,1,1,38,6,66,74,1,187,377
Burnaby--New Westminster/Burnaby--New Westminster,57,Burnaby,1,1,62,3,99,74,2,242,445
Burnaby--New Westminster/Burnaby--New Westminster,58,Burnaby,3,0,60,4,69,77,0,213,392
Burnaby--New Westminster/Burnaby--New Westminster,59,Burnaby,3,1,69,9,85,49,2,218,427
Burnaby--New Westminster/Burnaby--New Westminster,60,Burnaby,1,0,28,6,113,61,0,209,345
Burnaby--New Westminster/Burnaby--New Westminster,61,Burnaby,0,1,15,1,54,48,0,119,212
Burnaby--New Westminster/Burnaby--New Westminster,62,Burnaby,0,0,46,9,88,58,0,201,413
Burnaby--New Westminster/Burnaby--New Westminster,63,Burnaby,2,0,79,16,83,63,0,243,411
Burnaby--New Westminster/Burnaby--New Westminster,64,Burnaby,1,0,42,5,46,52,0,146,301
Burnaby--New Westminster/Burnaby--New Westminster,65,Burnaby,1,0,37,9,114,74,0,235,408
Burnaby--New Westminster/Burnaby--New Westminster,66,Burnaby,0,0,41,5,68,95,0,209,362
Burnaby--New Westminster/Burnaby--New Westminster,67,Burnaby,2,0,75,15,75,74,0,241,533
Burnaby--New Westminster/Burnaby--New Westminster,68,Burnaby,3,0,85,3,85,36,0,212,412
Burnaby--New Westminster/Burnaby--New Westminster,69,Burnaby,2,1,79,5,83,70,2,242,458
Burnaby--New Westminster/Burnaby--New Westminster,70,Burnaby,2,1,60,8,65,65,0,201,479
Burnaby--New Westminster/Burnaby--New Westminster,71,Burnaby,1,0,56,4,61,43,0,165,366
Burnaby--New Westminster/Burnaby--New Westminster,72,Burnaby,2,0,74,7,112,63,1,259,541
Burnaby--New Westminster/Burnaby--New Westminster,73,Burnaby,1,0,76,15,84,67,2,245,501
Burnaby--New Westminster/Burnaby--New Westminster,74,Burnaby,0,0,59,7,95,66,0,227,457
Burnaby--New Westminster/Burnaby--New Westminster,75,Burnaby,1,0,73,11,80,55,1,221,372
Burnaby--New Westminster/Burnaby--New Westminster,76,Burnaby,2,1,71,12,63,55,0,204,413
Burnaby--New Westminster/Burnaby--New Westminster,77,Burnaby,2,1,43,3,76,28,0,153,261
Burnaby--New Westminster/Burnaby--New Westminster,78,Burnaby,1,2,65,5,53,29,0,155,299
