District,Poll Number,Poll Name,Guy Caron,Marjolaine Delaunière,Denis Quimper,Côme Roy,Louise Thibault,Rejected Ballots,Total Vote,Electors
Rimouski--Témiscouata/Rimouski--Témiscouata,1,Pointe-au-Père,21,10,13,39,151,5,239,465
Rimouski--Témiscouata/Rimouski--Témiscouata,2,Pointe-au-Père,25,3,12,33,184,0,257,444
Rimouski--Témiscouata/Rimouski--Témiscouata,3,Saint-Anaclet-de-Lessard,10,5,22,30,145,8,220,364
Rimouski--Témiscouata/Rimouski--Témiscouata,4,Pointe-au-Père,31,5,19,47,176,6,284,521
Rimouski--Témiscouata/Rimouski--Témiscouata,5,Pointe-au-Père,14,7,15,50,184,3,273,485
Rimouski--Témiscouata/Rimouski--Témiscouata,6,Pointe-au-Père,18,8,13,39,201,3,282,481
Rimouski--Témiscouata/Rimouski--Témiscouata,7,Pointe-au-Père,18,5,14,37,142,6,222,398
Rimouski--Témiscouata/Rimouski--Témiscouata,8,Pointe-au-Père,12,4,12,25,115,2,170,344
Rimouski--Témiscouata/Rimouski--Témiscouata,9,Rimouski-Est,22,7,7,37,129,4,206,395
Rimouski--Témiscouata/Rimouski--Témiscouata,10,Rimouski-Est,30,1,18,68,109,7,233,357
Rimouski--Témiscouata/Rimouski--Témiscouata,11,Rimouski-Est,25,3,9,39,142,2,220,368
Rimouski--Témiscouata/Rimouski--Témiscouata,12,Rimouski-Est,6,4,8,29,89,3,139,288
Rimouski--Témiscouata/Rimouski--Témiscouata,13,Rimouski-Est,8,4,9,20,70,4,115,240
Rimouski--Témiscouata/Rimouski--Témiscouata,14,Saint-Anaclet-de-Lessard,24,3,23,47,164,3,264,433
Rimouski--Témiscouata/Rimouski--Témiscouata,15,Saint-Anaclet-de-Lessard,13,5,19,28,160,1,226,387
Rimouski--Témiscouata/Rimouski--Témiscouata,16,Saint-Anaclet-de-Lessard,12,7,35,41,213,7,315,492
Rimouski--Témiscouata/Rimouski--Témiscouata,17,Saint-Anaclet-de-Lessard,6,6,13,31,93,2,151,351
Rimouski--Témiscouata/Rimouski--Témiscouata,18,Rimouski,12,9,11,47,138,4,221,428
Rimouski--Témiscouata/Rimouski--Témiscouata,19,Rimouski,15,3,7,70,89,1,185,408
Rimouski--Témiscouata/Rimouski--Témiscouata,20,Rimouski,12,2,6,33,75,0,128,260
Rimouski--Témiscouata/Rimouski--Témiscouata,21,Rimouski,18,3,4,45,69,3,142,307
Rimouski--Témiscouata/Rimouski--Témiscouata,22,Rimouski,7,4,10,15,56,1,93,209
Rimouski--Témiscouata/Rimouski--Témiscouata,23,Rimouski,13,6,8,36,87,3,153,353
Rimouski--Témiscouata/Rimouski--Témiscouata,24,Rimouski,21,9,10,30,77,3,150,277
Rimouski--Témiscouata/Rimouski--Témiscouata,25,Rimouski,15,2,7,51,99,4,178,307
Rimouski--Témiscouata/Rimouski--Témiscouata,26,Rimouski,13,6,10,54,106,2,191,379
Rimouski--Témiscouata/Rimouski--Témiscouata,27,Rimouski,18,4,10,64,80,1,177,341
Rimouski--Témiscouata/Rimouski--Témiscouata,28,Rimouski,24,8,10,66,151,1,260,428
Rimouski--Témiscouata/Rimouski--Témiscouata,29,Rimouski,19,8,18,45,138,5,233,430
Rimouski--Témiscouata/Rimouski--Témiscouata,30,Rimouski,21,4,15,56,109,3,208,351
Rimouski--Témiscouata/Rimouski--Témiscouata,31,Rimouski,9,3,11,45,132,5,205,316
Rimouski--Témiscouata/Rimouski--Témiscouata,32,Rimouski,15,6,6,55,167,8,257,461
Rimouski--Témiscouata/Rimouski--Témiscouata,33,Rimouski,31,5,22,57,139,4,258,442
Rimouski--Témiscouata/Rimouski--Témiscouata,34,Rimouski,16,6,6,70,113,3,214,394
Rimouski--Témiscouata/Rimouski--Témiscouata,35,Rimouski,16,2,16,77,157,4,272,431
Rimouski--Témiscouata/Rimouski--Témiscouata,36,Rimouski,28,4,14,67,159,5,277,465
Rimouski--Témiscouata/Rimouski--Témiscouata,37,Rimouski,27,11,15,66,186,4,309,482
Rimouski--Témiscouata/Rimouski--Témiscouata,38,Rimouski,26,9,12,64,131,1,243,405
Rimouski--Témiscouata/Rimouski--Témiscouata,39,Rimouski,33,14,18,81,122,3,271,449
Rimouski--Témiscouata/Rimouski--Témiscouata,40,Rimouski,21,11,18,54,138,2,244,421
Rimouski--Témiscouata/Rimouski--Témiscouata,41,Rimouski,12,4,7,33,69,1,126,240
Rimouski--Témiscouata/Rimouski--Témiscouata,42,Rimouski,16,2,10,30,100,0,158,280
Rimouski--Témiscouata/Rimouski--Témiscouata,43,Rimouski,10,10,9,26,98,5,158,288
Rimouski--Témiscouata/Rimouski--Témiscouata,44,Rimouski,9,3,7,28,92,3,142,296
Rimouski--Témiscouata/Rimouski--Témiscouata,45,Rimouski,7,4,9,34,82,3,139,280
Rimouski--Témiscouata/Rimouski--Témiscouata,46,Rimouski,7,3,7,19,119,1,156,332
Rimouski--Témiscouata/Rimouski--Témiscouata,47,Rimouski,13,7,13,53,123,4,213,374
Rimouski--Témiscouata/Rimouski--Témiscouata,48,Rimouski,14,4,13,58,88,3,180,372
Rimouski--Témiscouata/Rimouski--Témiscouata,49,Rimouski,12,5,11,39,121,3,191,389
Rimouski--Témiscouata/Rimouski--Témiscouata,50,Rimouski,28,6,15,42,153,4,248,510
Rimouski--Témiscouata/Rimouski--Témiscouata,51,Rimouski,24,1,16,50,163,5,259,466
Rimouski--Témiscouata/Rimouski--Témiscouata,52,Rimouski,19,2,13,43,94,2,173,376
Rimouski--Témiscouata/Rimouski--Témiscouata,53,Rimouski,13,7,6,36,92,2,156,291
Rimouski--Témiscouata/Rimouski--Témiscouata,54,Rimouski,17,5,15,27,114,5,183,349
Rimouski--Témiscouata/Rimouski--Témiscouata,55,Rimouski,19,9,17,43,145,3,236,463
Rimouski--Témiscouata/Rimouski--Témiscouata,56,Rimouski,11,5,18,26,144,6,210,365
Rimouski--Témiscouata/Rimouski--Témiscouata,57,Rimouski,18,4,16,48,204,3,293,433
Rimouski--Témiscouata/Rimouski--Témiscouata,58,Rimouski,18,6,11,48,217,4,304,481
Rimouski--Témiscouata/Rimouski--Témiscouata,59,Rimouski,19,6,18,54,153,3,253,417
Rimouski--Témiscouata/Rimouski--Témiscouata,60,Rimouski,20,3,7,43,99,2,174,297
Rimouski--Témiscouata/Rimouski--Témiscouata,61,Rimouski,19,4,10,44,103,3,183,359
Rimouski--Témiscouata/Rimouski--Témiscouata,62,Rimouski,6,8,15,40,164,3,236,416
Rimouski--Témiscouata/Rimouski--Témiscouata,63,Rimouski,25,10,18,44,162,6,265,437
Rimouski--Témiscouata/Rimouski--Témiscouata,64,Rimouski,17,8,23,59,140,2,249,480
Rimouski--Témiscouata/Rimouski--Témiscouata,65,Rimouski,18,1,18,57,98,3,195,403
Rimouski--Témiscouata/Rimouski--Témiscouata,66,Rimouski,21,3,19,76,140,5,264,421
Rimouski--Témiscouata/Rimouski--Témiscouata,67,Rimouski,23,5,19,57,128,3,235,411
Rimouski--Témiscouata/Rimouski--Témiscouata,68,Rimouski,9,4,14,35,89,6,157,377
Rimouski--Témiscouata/Rimouski--Témiscouata,69,Rimouski,4,3,9,46,94,3,159,288
Rimouski--Témiscouata/Rimouski--Témiscouata,70,Rimouski,7,4,9,26,84,3,133,284
Rimouski--Témiscouata/Rimouski--Témiscouata,71,Rimouski,25,5,17,133,62,3,245,418
Rimouski--Témiscouata/Rimouski--Témiscouata,72,Rimouski,15,6,17,93,107,3,241,465
Rimouski--Témiscouata/Rimouski--Témiscouata,73,Rimouski,10,5,5,26,64,0,110,245
Rimouski--Témiscouata/Rimouski--Témiscouata,74,Rimouski,13,5,6,25,89,1,139,342
Rimouski--Témiscouata/Rimouski--Témiscouata,75,Rimouski,2,2,11,21,68,1,105,241
Rimouski--Témiscouata/Rimouski--Témiscouata,76,Rimouski,22,11,35,62,179,5,314,578
Rimouski--Témiscouata/Rimouski--Témiscouata,77,Rimouski,11,4,20,61,117,1,214,334
Rimouski--Témiscouata/Rimouski--Témiscouata,78,Rimouski,26,5,18,85,111,8,253,424
Rimouski--Témiscouata/Rimouski--Témiscouata,79,Rimouski,21,6,15,53,112,3,210,392
Rimouski--Témiscouata/Rimouski--Témiscouata,80,Rimouski,12,6,21,47,105,6,197,356
Rimouski--Témiscouata/Rimouski--Témiscouata,81,Rimouski,11,5,23,37,97,0,173,334
Rimouski--Témiscouata/Rimouski--Témiscouata,82,Rimouski,18,3,8,24,71,2,126,374
Rimouski--Témiscouata/Rimouski--Témiscouata,83,Rimouski,44,5,18,49,144,2,262,424
Rimouski--Témiscouata/Rimouski--Témiscouata,84,Rimouski,13,5,20,42,171,4,255,491
Rimouski--Témiscouata/Rimouski--Témiscouata,85,Sainte-Odile-sur-Rimouski,16,6,18,27,121,2,190,375
Rimouski--Témiscouata/Rimouski--Témiscouata,86,Sainte-Odile-sur-Rimouski,17,4,17,28,147,2,215,389
Rimouski--Témiscouata/Rimouski--Témiscouata,87,Sainte-Odile-sur-Rimouski,9,5,10,22,103,0,149,371
Rimouski--Témiscouata/Rimouski--Témiscouata,88,Sainte-Blandine,17,8,16,31,165,7,244,509
Rimouski--Témiscouata/Rimouski--Témiscouata,89,Sainte-Blandine,10,4,9,21,136,1,181,368
Rimouski--Témiscouata/Rimouski--Témiscouata,90,Sainte-Blandine,6,4,16,29,162,7,224,432
Rimouski--Témiscouata/Rimouski--Témiscouata,91,Sainte-Blandine,5,2,21,28,113,0,169,336
Rimouski--Témiscouata/Rimouski--Témiscouata,92,Mont-Lebel,5,2,7,17,55,6,92,204
Rimouski--Témiscouata/Rimouski--Témiscouata,93,Saint-Marcellin,5,4,12,35,69,3,128,276
Rimouski--Témiscouata/Rimouski--Témiscouata,94,Saint-Narcisse-de-Rimouski,6,6,20,42,140,1,215,405
Rimouski--Témiscouata/Rimouski--Témiscouata,95,Saint-Narcisse-de-Rimouski,18,7,12,50,118,5,210,379
Rimouski--Témiscouata/Rimouski--Témiscouata,96,La Trinité-des-Monts,13,3,15,24,80,0,135,229
Rimouski--Témiscouata/Rimouski--Témiscouata,97,Esprit-Saint,7,1,11,23,108,2,152,319
Rimouski--Témiscouata/Rimouski--Témiscouata,98,Le Bic,13,3,14,42,117,8,197,355
Rimouski--Témiscouata/Rimouski--Témiscouata,99,Le Bic,18,7,20,37,151,7,240,435
Rimouski--Témiscouata/Rimouski--Témiscouata,100,Le Bic,13,3,16,30,159,6,227,399
Rimouski--Témiscouata/Rimouski--Témiscouata,101,Le Bic,11,7,8,34,99,1,160,268
Rimouski--Témiscouata/Rimouski--Témiscouata,102,Le Bic,8,4,4,24,93,3,136,237
Rimouski--Témiscouata/Rimouski--Témiscouata,103,Le Bic,9,7,20,34,118,3,191,314
Rimouski--Témiscouata/Rimouski--Témiscouata,104,Le Bic,8,4,11,24,81,6,134,243
Rimouski--Témiscouata/Rimouski--Témiscouata,105,Saint-Valérien,7,4,17,28,95,2,153,281
