District,Poll Number,Poll Name,Rex Barnes,John Lannon,Samuel Robert McLean,Scott Simms,Ed Sailor White,Rejected Ballots,Total Vote,Electors
Bonavista--Exploits/Bonavista--Exploits,116,Bishop's Falls,38,0,2,131,0,0,171,310
Bonavista--Exploits/Bonavista--Exploits,117,Bishop's Falls,43,0,5,154,2,0,204,385
Bonavista--Exploits/Bonavista--Exploits,118,Bishop's Falls,45,0,6,91,0,0,142,271
Bonavista--Exploits/Bonavista--Exploits,119,Bishop's Falls,28,3,6,174,0,0,211,415
Bonavista--Exploits/Bonavista--Exploits,120,Bishop's Falls,65,0,7,188,0,0,260,456
Bonavista--Exploits/Bonavista--Exploits,121,Bishop's Falls,45,3,3,108,1,0,160,346
Bonavista--Exploits/Bonavista--Exploits,122,Bishop's Falls,81,1,10,139,0,0,231,434
Bonavista--Exploits/Bonavista--Exploits,123,Bishop's Falls,86,2,15,144,2,0,249,425
Bonavista--Exploits/Bonavista--Exploits,124,Norris Arm South,77,1,17,66,0,0,161,350
Bonavista--Exploits/Bonavista--Exploits,125,Norris Arm North,58,3,9,29,2,0,101,183
Bonavista--Exploits/Bonavista--Exploits,126,Norris Arm South,119,2,22,60,4,0,207,418
Bonavista--Exploits/Bonavista--Exploits,127,Appleton,94,7,51,103,2,0,257,414
Bonavista--Exploits/Bonavista--Exploits,128,Glenwood,85,0,34,86,4,0,209,525
Bonavista--Exploits/Bonavista--Exploits,129,Glenwood,25,1,12,26,3,0,67,180
Bonavista--Exploits/Bonavista--Exploits,130,Benton,27,1,5,20,2,0,55,126
Bonavista--Exploits/Bonavista--Exploits,131,Gander,46,3,15,61,5,0,130,262
Bonavista--Exploits/Bonavista--Exploits,132,Gander,107,6,33,106,2,0,254,546
Bonavista--Exploits/Bonavista--Exploits,133,Gander,58,4,24,66,2,0,154,273
Bonavista--Exploits/Bonavista--Exploits,134,Gander,57,2,19,75,2,0,155,347
Bonavista--Exploits/Bonavista--Exploits,135,Gander,84,4,24,100,3,4,219,487
Bonavista--Exploits/Bonavista--Exploits,136,Gander,98,6,50,148,3,0,305,615
Bonavista--Exploits/Bonavista--Exploits,137,Gander,67,3,21,90,0,0,181,365
Bonavista--Exploits/Bonavista--Exploits,138,Gander,58,1,10,71,2,0,142,348
Bonavista--Exploits/Bonavista--Exploits,139,Gander,46,11,23,123,4,0,207,381
Bonavista--Exploits/Bonavista--Exploits,140,Gander,70,3,30,101,4,1,209,369
Bonavista--Exploits/Bonavista--Exploits,141,Gander,63,3,24,95,1,2,188,408
Bonavista--Exploits/Bonavista--Exploits,142,Gander,54,3,23,76,3,1,160,304
Bonavista--Exploits/Bonavista--Exploits,143,Gander,58,7,29,74,4,0,172,313
Bonavista--Exploits/Bonavista--Exploits,144,Gander,60,7,27,76,2,0,172,282
Bonavista--Exploits/Bonavista--Exploits,145,Gander,36,2,23,58,2,3,124,289
Bonavista--Exploits/Bonavista--Exploits,146,Gander,44,4,28,115,5,0,196,396
Bonavista--Exploits/Bonavista--Exploits,147,Gander,91,5,36,117,4,0,253,509
Bonavista--Exploits/Bonavista--Exploits,148,Gander,61,1,15,99,2,0,178,375
Bonavista--Exploits/Bonavista--Exploits,149,Gander,27,0,5,43,0,0,75,372
Bonavista--Exploits/Bonavista--Exploits,150,Gander,82,6,33,107,3,4,235,488
Bonavista--Exploits/Bonavista--Exploits,151,Centreville--Indian Bay,27,0,4,69,0,2,102,218
Bonavista--Exploits/Bonavista--Exploits,152,Wareham,18,0,0,83,0,0,101,276
Bonavista--Exploits/Bonavista--Exploits,153,Centreville,53,0,6,68,4,4,135,326
Bonavista--Exploits/Bonavista--Exploits,154,Trinity--Bonavista Bay,38,2,5,67,0,0,112,324
Bonavista--Exploits/Bonavista--Exploits,155,Dover,3,0,4,33,1,0,41,176
Bonavista--Exploits/Bonavista--Exploits,156,Dover,25,1,7,74,1,0,108,391
Bonavista--Exploits/Bonavista--Exploits,157,Hare Bay,26,0,6,47,0,0,79,187
Bonavista--Exploits/Bonavista--Exploits,158,Hare Bay,26,0,2,41,0,0,69,214
Bonavista--Exploits/Bonavista--Exploits,159,Hare Bay,22,0,2,32,0,0,56,130
Bonavista--Exploits/Bonavista--Exploits,160,Hare Bay,35,0,8,49,0,0,92,344
Bonavista--Exploits/Bonavista--Exploits,161,Middle Brook,22,2,25,69,0,0,118,218
Bonavista--Exploits/Bonavista--Exploits,162,Middle Brook,71,0,57,89,2,1,220,531
Bonavista--Exploits/Bonavista--Exploits,163,Dark Cove,40,1,20,55,2,0,118,294
Bonavista--Exploits/Bonavista--Exploits,164,Dark Cove,22,2,17,33,0,0,74,160
Bonavista--Exploits/Bonavista--Exploits,165,Dark Cove,20,2,8,48,1,4,83,226
Bonavista--Exploits/Bonavista--Exploits,166,Gambo,30,1,15,50,2,1,99,258
Bonavista--Exploits/Bonavista--Exploits,167,Glovertown--Saunders Cove,33,0,3,32,1,0,69,182
Bonavista--Exploits/Bonavista--Exploits,168,Glovertown,75,1,16,80,1,1,174,448
Bonavista--Exploits/Bonavista--Exploits,169,Glovertown,87,1,22,92,3,0,205,495
Bonavista--Exploits/Bonavista--Exploits,170,Glovertown,67,0,13,63,2,0,145,292
Bonavista--Exploits/Bonavista--Exploits,171,Glovertown,48,1,8,80,1,2,140,294
Bonavista--Exploits/Bonavista--Exploits,172,Traytown--Culls Harbour,51,3,30,74,3,2,163,301
Bonavista--Exploits/Bonavista--Exploits,173,St. Brendan's,25,3,16,46,1,1,92,189
Bonavista--Exploits/Bonavista--Exploits,174,Sandringham,22,0,12,22,2,1,59,217
Bonavista--Exploits/Bonavista--Exploits,175,Burnside-St. Chads,10,0,1,29,0,2,42,77
Bonavista--Exploits/Bonavista--Exploits,176,Sandy Cove--Eastport,76,4,26,119,4,0,229,444
Bonavista--Exploits/Bonavista--Exploits,177,Happy Adventure,50,6,19,101,2,3,181,314
Bonavista--Exploits/Bonavista--Exploits,178,Salvage,35,5,3,23,1,2,69,154
Bonavista--Exploits/Bonavista--Exploits,179,Buchans Junction--Millertown,38,1,6,64,3,0,112,187
Bonavista--Exploits/Bonavista--Exploits,180A,Buchans,62,1,14,110,2,0,189,369
Bonavista--Exploits/Bonavista--Exploits,180B,Buchans,48,2,12,129,0,0,191,381
