Province,District,Candidate,Residence,Occupation,Number of Votes,Number of Votes Percent,Number Majority,Majority Percent
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","R. John Efford ** Liberal/Libéral","Bareneed, N.L./T.-N.-L.","Parliamentarian/Parlementaire",18335,58.34,      9124,  29.0
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","Rick Dalton Conservative/conservateur","Harbour Main, N.L./T.-N.-L.","Business Manager/Directeur des opérations",9211,29.31,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","Michael Kehoe N.D.P./N.P.D.","Paradise, N.L./T.-N.-L.","Customer Service Representative/Représentant au service à la clientèle",3450,10.98,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","Don C. Ferguson Green Party/Parti Vert","Lethbridge, Alta/Alb.","Professor (Retired)/Professeur (retraité)",430,1.37,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Exploits","Scott Simms Liberal/Libéral","Bishop's Falls, N.L./T.-N.-L.","Broadcaster/Radiodiffuseur",15970,48.2,      2184,   6.6
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Exploits","Rex Barnes ** Conservative/conservateur","Grand Falls-Windsor, N.L./T.-N.-L.","Parliamentarian/Parlementaire",13786,41.61,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Exploits","Samuel Robert McLean N.D.P./N.P.D.","Gander, N.L./T.-N.-L.","Teacher/Enseignant",2667,8.05,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Exploits","Ed Sailor White Green Party/Parti Vert","St. John's, N.L./T.-N.-L.","Former WWF Wrestler/Ancien lutteur de la WWF",367,1.11,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Exploits","John Lannon Independent/Indépendant","Gander, N.L./T.-N.-L.","Self-employed/Travailleur autonome",344,1.04,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","Gerry Byrne ** Liberal/Libéral","Corner Brook, N.L./T.-N.-L.","Parliamentarian/Parlementaire",17820,62.56,     11282,  39.6
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","Wynanne Downer Conservative/conservateur","Corner Brook, N.L./T.-N.-L.","Educator/Éducatrice",6538,22.95,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","Holly Pike N.D.P./N.P.D.","Corner Brook, N.L./T.-N.-L.","University Professor/Professeur d'université",3743,13.14,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","Steve Durant Green Party/Parti Vert","Ottawa, Ont/Ont.","Writer/Rédacteur",384,1.35,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","Lawrence David O'Brien ** Liberal/Libéral","Happy Valley-Goose Bay, N.L./T.-N.-L.","Parliamentarian/Parlementaire",5524,62.23,      4124,  46.5
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","Merrill Strachan Conservative/conservateur","Happy Valley-Goose Bay, N.L./T.-N.-L.","General Manager/Directrice générale",1400,15.77,,
