District,Poll Number,Poll Name,Mathieu Allard,Daniel Backé,Chris Buors,Ken Cooper,Gérard Guay,Jeannine Moquin-Perry,Raymond Simard,Rejected Ballots,Total Vote,Electors
Saint Boniface/Saint-Boniface,1,Winnipeg,56,14,0,27,2,3,146,0,248,403
Saint Boniface/Saint-Boniface,2,Winnipeg,41,7,1,33,0,1,57,2,142,306
Saint Boniface/Saint-Boniface,3,Winnipeg,61,5,3,24,1,5,105,2,206,392
Saint Boniface/Saint-Boniface,4,Winnipeg,43,7,1,27,2,1,89,0,170,360
Saint Boniface/Saint-Boniface,5,Winnipeg,28,2,0,8,0,0,112,0,150,279
Saint Boniface/Saint-Boniface,6,Winnipeg,77,13,3,32,4,2,126,3,260,438
Saint Boniface/Saint-Boniface,7,Winnipeg,20,0,1,6,1,10,89,2,129,384
Saint Boniface/Saint-Boniface,8,Winnipeg,20,5,1,16,0,3,56,0,101,217
Saint Boniface/Saint-Boniface,9,Winnipeg,24,2,1,14,1,2,67,2,113,251
Saint Boniface/Saint-Boniface,10,Winnipeg,30,3,4,25,1,8,98,0,169,374
Saint Boniface/Saint-Boniface,11,Winnipeg,31,6,1,41,0,0,141,1,221,414
Saint Boniface/Saint-Boniface,12,Winnipeg,51,2,1,39,1,5,145,0,244,435
Saint Boniface/Saint-Boniface,13,Winnipeg,22,7,1,22,0,6,106,2,166,339
Saint Boniface/Saint-Boniface,14,Winnipeg,50,9,3,31,0,1,80,0,174,375
Saint Boniface/Saint-Boniface,15,Winnipeg,29,4,1,29,0,3,156,1,223,392
Saint Boniface/Saint-Boniface,16,Winnipeg,57,2,0,32,2,5,189,1,288,439
Saint Boniface/Saint-Boniface,17,Winnipeg,26,4,0,16,2,0,52,0,100,197
Saint Boniface/Saint-Boniface,18,Winnipeg,36,5,3,43,0,11,161,0,259,413
Saint Boniface/Saint-Boniface,19,Winnipeg,37,4,6,40,0,1,44,2,134,305
Saint Boniface/Saint-Boniface,20,Winnipeg,26,1,1,36,0,2,26,0,92,300
Saint Boniface/Saint-Boniface,21,Winnipeg,37,3,3,38,0,1,108,1,191,304
Saint Boniface/Saint-Boniface,22,Winnipeg,27,8,3,97,0,0,97,0,232,474
Saint Boniface/Saint-Boniface,23,Winnipeg,39,7,2,58,0,4,59,0,169,366
Saint Boniface/Saint-Boniface,24A,Winnipeg,20,4,0,40,0,8,39,0,111,251
Saint Boniface/Saint-Boniface,24B,Winnipeg,34,3,1,39,0,5,45,0,127,248
