District,Poll Number,Poll Name,Barry Devolin,Tim Holland,Gil J. McElroy,Charles Olito,John O'Reilly,Peter Vogel,Rejected Ballots,Total Vote,Electors
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,1,Oxtongue Lake,36,4,6,0,34,0,0,80,109
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,2,Sherborne and Others,105,11,24,1,102,2,2,247,329
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,3,Stanhope,93,10,23,0,77,1,0,204,238
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,4,Stanhope,87,1,26,1,72,0,0,187,297
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,5,Anson,116,11,37,1,100,3,3,271,446
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,6,Anson, Hindon and Minden,53,14,15,0,65,2,0,149,214
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,7,Anson, Hindon and Minden,74,7,13,1,58,1,0,154,340
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,8,Anson, Hindon and Minden,61,4,19,2,51,2,0,139,309
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,9A,Anson, Hindon and Minden,108,20,30,1,110,1,4,274,613
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,9B,Anson, Hindon and Minden,97,23,35,4,105,2,1,267,598
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,10,Anson, Hindon and Minden,110,5,18,0,86,0,1,220,398
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,11,Anson, Hindon and Minden,111,10,18,0,86,4,1,230,390
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,12,Snowdon,10,1,6,0,6,1,0,24,132
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,13,Snowdon,25,6,6,0,29,0,0,66,266
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,14,Lutterworth,52,9,13,1,48,1,0,124,275
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,15,Lutterworth,89,17,31,1,68,1,1,208,439
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,16,Snowdon,46,5,7,4,28,0,0,90,154
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,17,Glamorgan,67,15,25,1,31,2,1,142,250
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,18,Dysart and Others,83,13,19,1,86,1,0,203,331
